Alloy_ID,PH_Al,PH_Eut,PH_AlSc2Si2,EL_Ce
1,0.51062,0.48344,0,0
2,0.51104,0.48544,0.00005,0.01
3,0.51147,0.48496,0.0001,0.02
4,0.5119,0.48449,0.00015,0.03
5,0.51233,0.48396,0.0003,0.04
6,0.51276,0.48346,0.00038,0.05
7,0.51319,0.48297,0.00045,0.06
8,0.51362,0.48243,0.00053,0.07
9,0.51405,0.48196,0.00061,0.08
10,0.51448,0.48145,0.00068,0.09
11,0.51491,0.48096,0.00075,0.1
12,0.51533,0.48047,0.00083,0.11
13,0.51576,0.47994,0.00091,0.12
14,0.51619,0.47944,0.00098,0.13
15,0.51662,0.47895,0.00105,0.14
16,0.51705,0.47843,0.00113,0.15
17,0.51748,0.47793,0.00121,0.16
18,0.51791,0.47744,0.00128,0.17
19,0.51834,0.4769,0.00136,0.18
20,0.51877,0.47644,0.00142,0.19
21,0.5192,0.47592,0.0015,0.2
22,0.51963,0.47542,0.00158,0.21
23,0.52006,0.47492,0.00165,0.22
24,0.52048,0.47445,0.00172,0.23
25,0.52091,0.47389,0.00181,0.24
26,0.52134,0.47342,0.00187,0.25
27,0.52177,0.47288,0.00196,0.26
28,0.5222,0.47241,0.00203,0.27
29,0.52263,0.47184,0.00212,0.28
30,0.52306,0.47132,0.00223,0.29
31,0.52349,0.4709,0.00228,0.3
32,0.52392,0.47039,0.00236,0.31
33,0.52435,0.46987,0.00244,0.32
34,0.52478,0.46935,0.00252,0.33
35,0.52528,0.46883,0.00254,0.34
36,0.52571,0.46834,0.00261,0.35
37,0.52614,0.46782,0.00269,0.36
38,0.52657,0.46734,0.00276,0.37
39,0.527,0.46665,0.00291,0.38
40,0.52743,0.46621,0.003,0.39
41,0.52786,0.46575,0.00307,0.4
42,0.52829,0.46528,0.00313,0.41
43,0.52872,0.4648,0.00319,0.42
44,0.52915,0.46421,0.00331,0.43
45,0.52958,0.46374,0.00336,0.44
46,0.53001,0.46328,0.00341,0.45
47,0.53043,0.46271,0.00353,0.46
48,0.53086,0.46225,0.00358,0.47
49,0.53129,0.46166,0.0037,0.48
50,0.53172,0.46122,0.00374,0.49
51,0.53215,0.46078,0.00379,0.5
52,0.53258,0.4602,0.0039,0.51
53,0.53301,0.45976,0.00394,0.52
54,0.53344,0.45917,0.00406,0.53
55,0.53387,0.45875,0.00409,0.54
56,0.5343,0.45817,0.00421,0.55
57,0.53472,0.45775,0.00424,0.56
58,0.53515,0.45718,0.00436,0.57
59,0.53558,0.4566,0.00447,0.58
60,0.53601,0.4562,0.00449,0.59
61,0.53644,0.45562,0.00461,0.6
62,0.53687,0.4552,0.00463,0.61
63,0.5373,0.45463,0.00475,0.62
64,0.53773,0.45406,0.00486,0.63
65,0.53815,0.45367,0.00487,0.64
66,0.53858,0.45311,0.00498,0.65
67,0.53901,0.45271,0.00499,0.66
68,0.53944,0.45215,0.00511,0.67
69,0.53987,0.45158,0.00522,0.68
70,0.5403,0.45121,0.00522,0.69
71,0.54072,0.45064,0.00533,0.7
72,0.54115,0.45007,0.00545,0.71
73,0.54158,0.4497,0.00544,0.72
74,0.54201,0.44913,0.00556,0.73
75,0.54244,0.44857,0.00567,0.74
76,0.54287,0.4482,0.00566,0.75
77,0.54329,0.44765,0.00577,0.76
78,0.54372,0.44708,0.00588,0.77
79,0.54415,0.44652,0.006,0.78
80,0.54458,0.44618,0.00597,0.79
81,0.545,0.44562,0.00609,0.8
82,0.54543,0.44506,0.0062,0.81
83,0.54586,0.44448,0.00632,0.82
84,0.54629,0.44398,0.0064,0.83
85,0.54292,0.44725,0.00649,0.84
86,0.53881,0.4513,0.00656,0.85
87,0.5347,0.45532,0.00664,0.86
88,0.53059,0.45935,0.00672,0.87
89,0.52649,0.46337,0.0068,0.88
90,0.52238,0.46741,0.00687,0.89
91,0.51764,0.47206,0.00696,0.9
92,0.51353,0.47609,0.00704,0.91
93,0.50944,0.4801,0.00712,0.92
94,0.50535,0.48412,0.00719,0.93
95,0.50126,0.48813,0.00727,0.94
96,0.49718,0.49213,0.00735,0.95
97,0.49311,0.49612,0.00743,0.96
98,0.48904,0.50011,0.00751,0.97
99,0.48498,0.5041,0.00759,0.98
100,0.48093,0.50807,0.00766,0.99
101,0.47612,0.51279,0.00774,1
102,0.47208,0.51675,0.00782,1.01
103,0.46805,0.5207,0.00791,1.02
104,0.46403,0.52463,0.00799,1.03
105,0.46002,0.52858,0.00806,1.04
106,0.45602,0.5325,0.00814,1.05
107,0.45204,0.5364,0.00822,1.06
108,0.44806,0.5403,0.0083,1.07
109,0.44409,0.54419,0.00837,1.08
110,0.44014,0.54807,0.00845,1.09
111,0.43619,0.55195,0.00853,1.1
112,0.43226,0.55578,0.00861,1.11
113,0.42834,0.55963,0.00869,1.12
114,0.4235,0.5644,0.00876,1.13
115,0.4196,0.56819,0.00886,1.14
116,0.41674,0.57103,0.00892,1.15
117,0.4119,0.57577,0.00902,1.16
118,0.40804,0.57954,0.0091,1.17
119,0.40419,0.58331,0.00919,1.18
120,0.40035,0.58706,0.00927,1.19
121,0.39653,0.59083,0.00933,1.2
122,0.39272,0.59456,0.00941,1.21
123,0.38892,0.59826,0.0095,1.22
124,0.38514,0.60197,0.00958,1.23
125,0.38137,0.60566,0.00965,1.24
126,0.37761,0.60935,0.00972,1.25
127,0.37387,0.61302,0.0098,1.26
128,0.37014,0.61666,0.00989,1.27
129,0.36642,0.62031,0.00996,1.28
130,0.36272,0.62392,0.01004,1.29
131,0.35903,0.62755,0.01011,1.3
132,0.35536,0.63112,0.0102,1.31
133,0.3517,0.63473,0.01027,1.32
134,0.34684,0.63949,0.01036,1.33
135,0.34319,0.64304,0.01046,1.34
