Alloy_ID,PH_Al,PH_Al2,PH_Si,PH_AlSc2Si2,EL_Sc,
1,0.50824,0.50844,0.04743,0,0,
2,0.50829,0.54093,0.05144,0,0.001,
3,0.50835,0.5422,0.05157,0,0.002,
4,0.50841,0.54174,0.05148,0,0.003,
5,0.50847,0.5416,0.05143,0,0.004,
6,0.50853,0.54159,0.0514,0,0.005,
7,0.50859,0.5421,0.05143,0,0.006,
8,0.50865,0.54959,0.05236,0.00009,0.007,
9,0.50871,0.54974,0.05235,0.0001,0.008,
10,0.50877,0.54991,0.05234,0.00011,0.009,
11,0.50883,0.55007,0.05233,0.00013,0.01,
12,0.50889,0.55025,0.05232,0.00014,0.011,
13,0.50895,0.54985,0.05238,0.00015,0.012,
14,0.50901,0.55001,0.05238,0.00016,0.013,
15,0.50906,0.55019,0.05237,0.00018,0.014,
16,0.50912,0.55034,0.05236,0.00019,0.015,
17,0.50918,0.55051,0.05235,0.0002,0.016,
18,0.50924,0.55069,0.05235,0.00021,0.017,
19,0.5093,0.55084,0.05234,0.00023,0.018,
20,0.50936,0.55102,0.05233,0.00024,0.019,
21,0.50942,0.55117,0.05232,0.00025,0.02,
22,0.50948,0.55135,0.05231,0.00027,0.021,
23,0.50954,0.55152,0.05231,0.00028,0.022,
24,0.5096,0.55167,0.0523,0.00029,0.023,
25,0.50966,0.55185,0.05229,0.0003,0.024,
26,0.50972,0.552,0.05228,0.00032,0.025,
27,0.50978,0.55217,0.05227,0.00033,0.026,
28,0.50983,0.55235,0.05227,0.00034,0.027,
29,0.50989,0.55193,0.05232,0.00036,0.028,
30,0.50995,0.5521,0.05232,0.00037,0.029,
31,0.51001,0.55225,0.05231,0.00038,0.03,
32,0.51007,0.55243,0.0523,0.00039,0.031,
33,0.51013,0.5526,0.05229,0.0004,0.032,
34,0.51019,0.55275,0.05229,0.00042,0.033,
35,0.51025,0.55293,0.05228,0.00043,0.034,
36,0.51031,0.55307,0.05227,0.00046,0.035,
37,0.51037,0.55323,0.05227,0.00049,0.036,
38,0.51043,0.55373,0.05226,0.00052,0.037,
39,0.51048,0.55462,0.05226,0.00054,0.038,
40,0.51054,0.55548,0.05225,0.00056,0.039,
41,0.5106,0.55637,0.05224,0.00057,0.04,
42,0.51066,0.55726,0.05223,0.00058,0.041,
43,0.51072,0.55814,0.05223,0.0006,0.042,
44,0.51078,0.55902,0.05222,0.00061,0.043,
45,0.51084,0.55987,0.05221,0.00062,0.044,
46,0.5109,0.5602,0.05227,0.00064,0.045,
47,0.51096,0.56106,0.05226,0.00065,0.046,
48,0.51102,0.56193,0.05225,0.00067,0.047,
49,0.51108,0.56277,0.05224,0.00068,0.048,
50,0.51113,0.56366,0.05224,0.00069,0.049,
51,0.51119,0.5645,0.05223,0.00071,0.05,
52,0.51125,0.56537,0.05222,0.00072,0.051,
53,0.51131,0.56621,0.05221,0.00074,0.052,
54,0.51137,0.56705,0.05221,0.00075,0.053,
55,0.51143,0.56789,0.0522,0.00077,0.054,
56,0.51149,0.56876,0.05219,0.00078,0.055,
57,0.51155,0.56959,0.05218,0.00079,0.056,
58,0.51161,0.57043,0.05217,0.00081,0.057,
59,0.51166,0.57126,0.05217,0.00082,0.058,
60,0.51172,0.57209,0.05216,0.00084,0.059,
61,0.51178,0.57294,0.05215,0.00085,0.06,
62,0.51184,0.57326,0.05221,0.00087,0.061,
63,0.5119,0.57427,0.0522,0.00088,0.062,
64,0.51196,0.57524,0.05219,0.0009,0.063,
65,0.51202,0.57622,0.05219,0.00091,0.064,
66,0.51208,0.57719,0.05218,0.00093,0.065,
67,0.51214,0.57817,0.05217,0.00094,0.066,
68,0.51219,0.57912,0.05216,0.00097,0.067,
69,0.51225,0.5801,0.05215,0.00098,0.068,
70,0.51231,0.58109,0.05215,0.001,0.069,
71,0.51237,0.58207,0.05214,0.00101,0.07,
72,0.51243,0.58307,0.05213,0.00103,0.071,
73,0.51249,0.58406,0.05212,0.00105,0.072,
74,0.51255,0.58506,0.05212,0.00106,0.073,
75,0.51261,0.58605,0.05211,0.00108,0.074,
76,0.51266,0.58702,0.0521,0.0011,0.075,
77,0.51272,0.58803,0.05209,0.00111,0.076,
78,0.51278,0.58903,0.05209,0.00113,0.077,
79,0.51284,0.58939,0.05214,0.00114,0.078,
80,0.5129,0.59096,0.05213,0.00116,0.079,
81,0.51296,0.59177,0.05212,0.00119,0.08,
82,0.51302,0.59267,0.0521,0.00119,0.081,
83,0.51308,0.59354,0.05209,0.00121,0.082,
84,0.51313,0.59441,0.05208,0.00124,0.083,
85,0.51319,0.59529,0.05207,0.00125,0.084,
86,0.51325,0.59617,0.05206,0.00126,0.085,
87,0.51331,0.59701,0.05205,0.00128,0.086,
88,0.51337,0.59788,0.05203,0.00129,0.087,
89,0.51343,0.59877,0.05202,0.0013,0.088,
90,0.51349,0.5996,0.05201,0.00133,0.089,
91,0.51354,0.60048,0.052,0.00134,0.09,
92,0.5136,0.60136,0.05199,0.00135,0.091,
93,0.51366,0.60219,0.05197,0.00137,0.092,
94,0.51372,0.60306,0.05196,0.00138,0.093,
95,0.51378,0.60295,0.05208,0.00139,0.094,
96,0.51384,0.60378,0.05207,0.00141,0.095,
97,0.5139,0.60466,0.05206,0.00142,0.096,
98,0.51395,0.60548,0.05205,0.00144,0.097,
99,0.51401,0.60636,0.05203,0.00145,0.098,
100,0.51407,0.60719,0.05202,0.00147,0.099,
101,0.51413,0.60806,0.05201,0.00148,0.1,
102,0.51419,0.6089,0.052,0.0015,0.101,
103,0.51425,0.60977,0.05199,0.00151,0.102,
104,0.51431,0.6106,0.05197,0.00153,0.103,
105,0.51436,0.61147,0.05196,0.00154,0.104,
106,0.51442,0.61234,0.05195,0.00155,0.105,
107,0.51448,0.61317,0.05194,0.00157,0.106,
108,0.51454,0.61399,0.05192,0.00159,0.107,
109,0.5146,0.61487,0.05191,0.0016,0.108,
110,0.51466,0.61569,0.0519,0.00162,0.109,
111,0.51532,0.61606,0.05196,0.00163,0.11,
112,0.51538,0.61685,0.05195,0.00165,0.111,
113,0.51544,0.61769,0.05194,0.00166,0.112,
114,0.5155,0.61849,0.05193,0.00168,0.113,
115,0.51556,0.61933,0.05192,0.00169,0.114,
116,0.51561,0.62013,0.05192,0.00171,0.115,
117,0.51567,0.62096,0.05191,0.00171,0.116,
118,0.51573,0.62175,0.0519,0.00174,0.117,
119,0.51579,0.62259,0.05189,0.00174,0.118,
120,0.51585,0.62339,0.05188,0.00176,0.119,
121,0.51591,0.62418,0.05187,0.00178,0.12,
122,0.51596,0.62501,0.05187,0.00179,0.121,
123,0.51602,0.62581,0.05186,0.00181,0.122,
124,0.51608,0.62664,0.05185,0.00181,0.123,
125,0.51614,0.62744,0.05184,0.00184,0.124,
126,0.5162,0.62822,0.05183,0.00186,0.125,
127,0.51625,0.62859,0.05189,0.00186,0.126,
128,0.51631,0.62938,0.05188,0.00188,0.127,
129,0.51637,0.63022,0.05187,0.00189,0.128,
130,0.51643,0.63101,0.05187,0.00191,0.129,
131,0.51649,0.63179,0.05186,0.00193,0.13,
132,0.51655,0.63263,0.05185,0.00193,0.131,
133,0.5166,0.63343,0.05184,0.00196,0.132,
134,0.51666,0.63421,0.05183,0.00198,0.133,
135,0.51672,0.63505,0.05183,0.00198,0.134,
136,0.51678,0.63583,0.05182,0.002,0.135,
137,0.51684,0.63662,0.05181,0.00202,0.136,
138,0.51689,0.63745,0.0518,0.00202,0.137,
139,0.51695,0.63824,0.05179,0.00204,0.138,
140,0.51701,0.63902,0.05178,0.00207,0.139,
141,0.51707,0.63986,0.05178,0.00207,0.14,
142,0.51713,0.64065,0.05177,0.00209,0.141,
143,0.51718,0.64097,0.05182,0.00211,0.142,
144,0.51724,0.64181,0.05182,0.00211,0.143,
145,0.5173,0.6426,0.05181,0.00213,0.144,
146,0.51736,0.64338,0.0518,0.00216,0.145,
147,0.51742,0.64422,0.05179,0.00216,0.146,
148,0.51748,0.645,0.05178,0.00218,0.147,
149,0.51753,0.64578,0.05178,0.0022,0.148,
150,0.51759,0.64662,0.05177,0.0022,0.149,
151,0.51765,0.6474,0.05176,0.00222,0.15,
152,0.51771,0.64818,0.05175,0.00224,0.151,
153,0.51776,0.64902,0.05174,0.00224,0.152,
154,0.51782,0.6498,0.05173,0.00226,0.153,
155,0.51788,0.65058,0.05173,0.00228,0.154,
156,0.51794,0.65136,0.05172,0.0023,0.155,
157,0.518,0.65219,0.05171,0.0023,0.156,
158,0.51805,0.65297,0.0517,0.00232,0.157,
159,0.51811,0.65332,0.05176,0.00235,0.158,
160,0.51817,0.65416,0.05175,0.00234,0.159,
161,0.51823,0.65494,0.05174,0.00236,0.16,
162,0.51829,0.65572,0.05173,0.00238,0.161,
163,0.51834,0.6565,0.05172,0.00241,0.162,
164,0.5184,0.65734,0.05172,0.0024,0.163,
165,0.51846,0.65812,0.05171,0.00242,0.164,
166,0.51852,0.65888,0.0517,0.00244,0.165,
167,0.51858,0.65966,0.05169,0.00247,0.166,
168,0.51863,0.6605,0.05168,0.00246,0.167,
169,0.51869,0.66128,0.05168,0.00248,0.168,
170,0.51875,0.66206,0.05167,0.0025,0.169,
171,0.51881,0.66283,0.05166,0.00252,0.17,
172,0.51886,0.66367,0.05165,0.00252,0.171,
173,0.51892,0.66445,0.05164,0.00254,0.172,
174,0.51898,0.66481,0.0517,0.00256,0.173,
175,0.51904,0.66557,0.05169,0.00259,0.174,
176,0.5191,0.66642,0.05168,0.00258,0.175,
177,0.51915,0.66719,0.05167,0.0026,0.176,
178,0.51921,0.66797,0.05167,0.00262,0.177,
179,0.51927,0.66875,0.05166,0.00264,0.178,
180,0.51933,0.66958,0.05165,0.00263,0.179,
181,0.51938,0.67036,0.05164,0.00266,0.18,
182,0.51944,0.67113,0.05163,0.00268,0.181,
183,0.5195,0.6719,0.05162,0.0027,0.182,
184,0.51956,0.67268,0.05162,0.00272,0.183,
185,0.51961,0.67352,0.05161,0.00271,0.184,
186,0.51967,0.67428,0.0516,0.00273,0.185,
187,0.51973,0.67506,0.05159,0.00275,0.186,
188,0.51979,0.67583,0.05158,0.00277,0.187,
189,0.51985,0.67667,0.05157,0.00276,0.188,
190,0.5199,0.67704,0.05163,0.00279,0.189,
191,0.51996,0.67781,0.05162,0.00281,0.19,
192,0.52002,0.67859,0.05161,0.00283,0.191,
193,0.52008,0.67936,0.0516,0.00285,0.192,
194,0.52013,0.6802,0.0516,0.00284,0.193,
195,0.52019,0.68097,0.05159,0.00286,0.194,
196,0.52025,0.68174,0.05158,0.00288,0.195,
197,0.52031,0.68251,0.05157,0.0029,0.196,
198,0.52036,0.68328,0.05156,0.00293,0.197,
199,0.52042,0.68412,0.05155,0.00291,0.198,
200,0.52048,0.68489,0.05155,0.00293,0.199,
201,0.52054,0.68566,0.05154,0.00295,0.2,
202,0.52059,0.68643,0.05153,0.00298,0.201,
203,0.52065,0.6872,0.05152,0.003,0.202,
204,0.52071,0.68805,0.05151,0.00298,0.203,
205,0.52077,0.68881,0.0515,0.003,0.204,
206,0.52082,0.6892,0.05156,0.00303,0.205,
207,0.52088,0.68996,0.05155,0.00305,0.206,
208,0.52094,0.69073,0.05154,0.00307,0.207,
209,0.521,0.6915,0.05153,0.00309,0.208,
210,0.52105,0.69234,0.05153,0.00308,0.209,
211,0.52111,0.69311,0.05152,0.0031,0.21,
212,0.52117,0.69387,0.05151,0.00312,0.211,
213,0.52123,0.69465,0.0515,0.00314,0.212,
214,0.52128,0.69542,0.05149,0.00316,0.213,
215,0.52134,0.69626,0.05148,0.00315,0.214,
216,0.5214,0.69703,0.05148,0.00317,0.215,
217,0.52145,0.69779,0.05147,0.00319,0.216,
218,0.52151,0.69856,0.05146,0.00321,0.217,
219,0.52157,0.69932,0.05145,0.00323,0.218,
220,0.52163,0.70009,0.05144,0.00325,0.219,
221,0.52168,0.70056,0.0515,0.00324,0.22,
222,0.52174,0.70133,0.05149,0.00326,0.221,
223,0.5218,0.70209,0.05148,0.00328,0.222,
224,0.52186,0.70286,0.05147,0.0033,0.223,
225,0.52191,0.70362,0.05146,0.00332,0.224,
226,0.52197,0.70439,0.05146,0.00334,0.225,
227,0.52203,0.70524,0.05145,0.00332,0.226,
228,0.52209,0.706,0.05144,0.00334,0.227,
229,0.52214,0.70677,0.05143,0.00336,0.228,
230,0.5222,0.70753,0.05142,0.00338,0.229,
231,0.52226,0.70829,0.05141,0.00341,0.23,
232,0.52231,0.70906,0.0514,0.00343,0.231,
233,0.52237,0.70991,0.0514,0.00341,0.232,
234,0.52243,0.71067,0.05139,0.00343,0.233,
235,0.52249,0.71143,0.05138,0.00345,0.234,
236,0.52254,0.71219,0.05137,0.00347,0.235,
237,0.5226,0.7126,0.05143,0.00349,0.236,
238,0.52266,0.71337,0.05142,0.00351,0.237,
239,0.52271,0.71413,0.05141,0.00354,0.238,
240,0.52277,0.71498,0.0514,0.00351,0.239,
241,0.52283,0.71575,0.05139,0.00353,0.24,
242,0.52289,0.71651,0.05138,0.00355,0.241,
243,0.52294,0.71727,0.05138,0.00357,0.242,
244,0.523,0.71803,0.05137,0.0036,0.243,
245,0.52306,0.71879,0.05136,0.00362,0.244,
246,0.52311,0.71956,0.05135,0.00364,0.245,
247,0.52317,0.72041,0.05134,0.00361,0.246,
248,0.52323,0.72117,0.05133,0.00363,0.247,
249,0.52328,0.72193,0.05132,0.00365,0.248,
