,PH_Al,PH_Eut,PH_AlSc2Si2,EL_Sc
0,0.50824165,0.44341037,8.493662e-07,0.0
1,0.5083029,0.44354838,1.552701e-05,0.001
2,0.5083641,0.44368643,3.0219555e-05,0.002
3,0.50842524,0.4438245,4.49121e-05,0.003
4,0.50848645,0.44396257,5.9582293e-05,0.004
5,0.50854766,0.4441006,7.4252486e-05,0.005
6,0.5086088,0.4442387,8.893013e-05,0.006
7,0.50867003,0.4443767,0.000103622675,0.007
8,0.50873125,0.4445148,0.00011831522,0.008
9,0.5087924,0.4446528,0.00013300031,0.009
10,0.5088536,0.44479084,0.00014767051,0.01
11,0.5089147,0.44492897,0.00016236305,0.011
12,0.5089759,0.44506702,0.0001770407,0.012
13,0.50903714,0.44520506,0.00019172579,0.013
14,0.5090983,0.4453431,0.00020641088,0.014
15,0.50915945,0.44548115,0.00022108853,0.015
16,0.5092207,0.4456192,0.00023578107,0.016
17,0.5092819,0.44575724,0.00025046617,0.017
18,0.509343,0.4458953,0.00026513636,0.018
19,0.5094043,0.4460334,0.0002798289,0.019
20,0.50946546,0.4461715,0.0002945289,0.02
21,0.5095266,0.44630945,0.0003091991,0.021
22,0.50958776,0.4464475,0.0003238693,0.022
23,0.509649,0.44658563,0.00033856183,0.023
24,0.5097102,0.44672364,0.00035326183,0.024
25,0.50977135,0.44686168,0.00036793947,0.025
26,0.5098325,0.44699976,0.00038261712,0.026
27,0.5098937,0.44713786,0.00039729476,0.027
28,0.5099549,0.44727588,0.00041197985,0.028
29,0.5100161,0.44741395,0.00042665005,0.029
30,0.51007724,0.44755203,0.0004413426,0.03
31,0.51013845,0.4476901,0.00045602024,0.031
32,0.51019967,0.44782814,0.00047070533,0.032
33,0.51026076,0.4479662,0.00048539788,0.033
34,0.510322,0.44810423,0.0005000755,0.034
35,0.51038325,0.44824228,0.00051475316,0.035
36,0.51044446,0.44838023,0.0005294457,0.036
37,0.5105056,0.44851834,0.00054413825,0.037
38,0.5105667,0.44865644,0.0005588159,0.038
39,0.510628,0.44879448,0.000573501,0.039
40,0.51068914,0.4489325,0.00058817863,0.04
41,0.5107503,0.44907063,0.0006028712,0.041
42,0.51081157,0.44920865,0.0006175488,0.042
43,0.5108727,0.44934675,0.0006322339,0.043
44,0.5109339,0.44948477,0.0006469041,0.044
45,0.51099503,0.4496228,0.00066159666,0.045
46,0.5110563,0.4497609,0.00067628175,0.046
47,0.51111746,0.44989893,0.0006909594,0.047
48,0.5111786,0.45003697,0.00070563704,0.048
49,0.5112398,0.45017505,0.00072032213,0.049
50,0.511301,0.4503131,0.0007350147,0.05
51,0.5113622,0.45045117,0.0007496998,0.051
52,0.51142335,0.4505892,0.00076438487,0.052
53,0.51148456,0.45072722,0.0007790625,0.053
54,0.5115458,0.4508653,0.0007937476,0.054
55,0.51160693,0.45100328,0.0008084327,0.055
56,0.5116681,0.4511414,0.00082311034,0.056
57,0.51172936,0.45127943,0.000837788,0.057
58,0.5117905,0.4514175,0.000852488,0.058
59,0.5118517,0.45155558,0.0008671731,0.059
60,0.5119129,0.4516936,0.0008818507,0.06
61,0.5119741,0.4518317,0.0008965209,0.061
62,0.51203525,0.4519697,0.00091121346,0.062
63,0.5120964,0.4521078,0.00092589855,0.063
64,0.51215756,0.4522458,0.0009405762,0.064
65,0.51221883,0.45238394,0.00095525384,0.065
66,0.51228,0.45252198,0.0009699464,0.066
67,0.51234114,0.45266002,0.0009846389,0.067
68,0.5124023,0.4527981,0.0009993166,0.068
69,0.5124635,0.45293617,0.0010139942,0.069
70,0.5125247,0.45307422,0.0010286719,0.07
71,0.5125859,0.4532123,0.001043357,0.071
72,0.51264703,0.4533503,0.001058042,0.072
73,0.51270825,0.45348832,0.0010727197,0.073
74,0.51276946,0.4536264,0.0010874122,0.074
75,0.5128307,0.4537645,0.0011021048,0.075
76,0.5128919,0.45390257,0.0011167899,0.076
77,0.51295304,0.4540406,0.001131475,0.077
78,0.5130142,0.45417866,0.0011461526,0.078
79,0.51307535,0.45431668,0.0011608377,0.079
80,0.51313657,0.45445478,0.0011755228,0.08
81,0.5131978,0.45459282,0.0011902004,0.081
82,0.51325893,0.4547309,0.0012048781,0.082
83,0.5133201,0.45486894,0.0012195632,0.083
84,0.5133813,0.455007,0.0012342408,0.084
85,0.5134425,0.45514506,0.0012489334,0.085
86,0.5135037,0.45528314,0.0012636185,0.086
87,0.5135649,0.4554211,0.0012782961,0.087
88,0.5136261,0.4555592,0.0012929887,0.088
89,0.51368725,0.45569727,0.0013076663,0.089
90,0.5137484,0.45583534,0.0013223514,0.09
91,0.5138096,0.45597333,0.001337029,0.091
92,0.51387084,0.4561114,0.0013517141,0.092
93,0.513932,0.45624945,0.0013663992,0.093
94,0.51399326,0.45638752,0.0013810769,0.094
95,0.5140544,0.4565256,0.0013957694,0.095
96,0.5141156,0.45666364,0.0014104545,0.096
97,0.5141767,0.45680165,0.0014251322,0.097
98,0.5142379,0.45693976,0.0014398098,0.098
99,0.51429915,0.45707783,0.0014544874,0.099
100,0.5143603,0.45721585,0.00146918,0.1
101,0.51442146,0.45735392,0.0014838725,0.101
102,0.5144826,0.457492,0.0014985502,0.102
103,0.51454383,0.45763007,0.0015132278,0.103
104,0.51460505,0.45776808,0.0015279055,0.104
105,0.5146662,0.4579062,0.001542598,0.105
106,0.51472735,0.45804423,0.0015572831,0.106
107,0.5147886,0.4581823,0.0015719682,0.107
108,0.5148498,0.45832026,0.0015866458,0.108
109,0.514911,0.45845836,0.0016013384,0.109
110,0.5149722,0.45859638,0.001616016,0.11
111,0.51503336,0.45873442,0.0016306937,0.111
112,0.5150946,0.45887253,0.0016453788,0.112
113,0.5151557,0.4590106,0.0016600788,0.113
114,0.51521695,0.4591486,0.0016747564,0.114
115,0.5152781,0.45928666,0.001689434,0.115
116,0.5153393,0.45942473,0.0017041191,0.116
117,0.5154004,0.45956278,0.0017187968,0.117
118,0.5154616,0.45970082,0.0017334819,0.118
119,0.51552284,0.45983887,0.0017481595,0.119
120,0.515584,0.45997697,0.0017628521,0.12
121,0.51564515,0.46011505,0.0017775297,0.121
122,0.5157064,0.46025306,0.0017922148,0.122
123,0.5157676,0.4603911,0.001806885,0.123
124,0.5158287,0.46052918,0.0018215775,0.124
125,0.5158899,0.46066722,0.0018362701,0.125
126,0.51595116,0.4608053,0.0018509477,0.126
127,0.5160123,0.46094334,0.0018656403,0.127
128,0.51607347,0.46108142,0.0018803254,0.128
129,0.51613474,0.46121943,0.0018950105,0.129
130,0.5161959,0.46135747,0.0019096807,0.13
131,0.51625705,0.46149555,0.0019243658,0.131
132,0.5163182,0.46163362,0.0019390434,0.132
133,0.5163795,0.46177167,0.001953736,0.133
134,0.51644063,0.46190974,0.0019684136,0.134
135,0.5165018,0.46204776,0.0019830987,0.135
136,0.51656294,0.4621859,0.0019977912,0.136
137,0.51662415,0.4623239,0.0020124614,0.137
138,0.51668537,0.46246195,0.002027154,0.138
139,0.5167465,0.46260002,0.0020418316,0.139
140,0.51680773,0.4627381,0.0020565093,0.14
141,0.51686895,0.46287614,0.0020712018,0.141
142,0.5169301,0.46301416,0.002085887,0.142
143,0.5169913,0.4631522,0.002100572,0.143
144,0.5170525,0.46329024,0.0021152496,0.144
145,0.5171137,0.46342832,0.0021299273,0.145
146,0.5171749,0.46356633,0.0021446198,0.146
147,0.5172361,0.4637044,0.0021592975,0.147
148,0.5172972,0.46384242,0.00217399,0.148
149,0.5173584,0.4639805,0.002188675,0.149
150,0.51741964,0.4641186,0.0022033602,0.15
151,0.5174808,0.46425667,0.0022180378,0.151
152,0.51754194,0.46439472,0.0022327155,0.152
153,0.51760316,0.46453282,0.0022474006,0.153
154,0.5176643,0.46467087,0.0022620857,0.154
155,0.51772547,0.46480894,0.0022767633,0.155
156,0.5177867,0.464947,0.0022914484,0.156
157,0.5178479,0.46508503,0.002306141,0.157
158,0.5179091,0.4652231,0.002320826,0.158
159,0.5179702,0.46536115,0.0023354888,0.159
160,0.5180315,0.4654992,0.0023501813,0.16
161,0.51809263,0.4656372,0.002364874,0.161
162,0.51815385,0.46577525,0.002379544,0.162
163,0.518215,0.46591336,0.0023942366,0.163
164,0.5182762,0.4660514,0.0024089217,0.164
165,0.51833737,0.46618944,0.0024236068,0.165
166,0.5183986,0.4663275,0.002438292,0.166
167,0.5184598,0.46646553,0.0024529696,0.167
168,0.51852095,0.46660364,0.0024676472,0.168
169,0.5185821,0.46674162,0.0024823323,0.169
170,0.5186433,0.46687976,0.0024970174,0.17
171,0.5187045,0.4670178,0.002511695,0.171
172,0.5187657,0.46715587,0.0025263876,0.172
173,0.51882684,0.46729386,0.0025410652,0.173
174,0.51888806,0.46743196,0.0025557429,0.174
175,0.5189493,0.46756998,0.0025704354,0.175
176,0.5190104,0.46770805,0.002585113,0.176
177,0.51907164,0.4678461,0.0025997981,0.177
178,0.5191328,0.46798414,0.0026144832,0.178
179,0.519194,0.4681222,0.0026291683,0.179
180,0.51925516,0.46826023,0.0026438609,0.18
181,0.51931643,0.46839827,0.002658531,0.181
182,0.5193776,0.46853632,0.0026732162,0.182
183,0.51943874,0.46867442,0.0026879013,0.183
184,0.5194999,0.4688125,0.0027025864,0.184
185,0.5195611,0.4689506,0.0027172714,0.185
186,0.51962227,0.4690886,0.002731949,0.186
187,0.5196835,0.46922666,0.0027466342,0.187
188,0.51974463,0.4693647,0.0027613118,0.188
189,0.51980585,0.46950278,0.0027760044,0.189
190,0.51986706,0.46964082,0.002790682,0.19
191,0.5199282,0.4697789,0.002805367,0.191
192,0.5199894,0.46991688,0.0028200448,0.192
193,0.5200506,0.47005498,0.0028347373,0.193
194,0.5201118,0.47019303,0.002849415,0.194
195,0.52017295,0.47033107,0.0028641,0.195
196,0.52023417,0.47046912,0.0028787851,0.196
197,0.5202953,0.47060722,0.0028934628,0.197
198,0.52035654,0.47074527,0.0029081553,0.198
199,0.52041775,0.4708833,0.0029228404,0.199
200,0.5204789,0.47102138,0.0029375255,0.2
201,0.52054006,0.47115946,0.0029522032,0.201
202,0.5206013,0.4712975,0.0029668957,0.202
203,0.5206624,0.47143555,0.0029815733,0.203
204,0.52072364,0.4715736,0.002996251,0.204
205,0.5207848,0.4717117,0.0030109286,0.205
206,0.52084595,0.47184974,0.0030256212,0.206
207,0.52090716,0.47198778,0.0030402988,0.207
208,0.5209684,0.47212586,0.0030549914,0.208
209,0.52102953,0.47226387,0.003069669,0.209
210,0.52109075,0.47240195,0.0030843467,0.21
211,0.52115196,0.47254,0.0030990392,0.211
212,0.5212131,0.47267807,0.0031137243,0.212
213,0.5212743,0.47281608,0.003128402,0.213
214,0.5213355,0.47295415,0.003143087,0.214
215,0.5213967,0.4730922,0.0031577796,0.215
216,0.52145785,0.47323027,0.0031724498,0.216
217,0.52151906,0.4733683,0.0031871349,0.217
218,0.5215803,0.47350633,0.00320182,0.218
219,0.52164143,0.4736444,0.0032164901,0.219
220,0.52170265,0.47378248,0.0032311827,0.22
221,0.5217638,0.47392052,0.0032458752,0.221
222,0.521825,0.4740586,0.0032605529,0.222
223,0.52188617,0.47419667,0.003275238,0.223
224,0.5219473,0.47433472,0.003289923,0.224
225,0.52200854,0.47447273,0.0033046156,0.225
226,0.5220697,0.4746108,0.0033192784,0.226
227,0.52213097,0.47474885,0.003333971,0.227
228,0.5221921,0.4748869,0.0033486485,0.228
229,0.5222533,0.47502497,0.0033633336,0.229
230,0.5220788,0.475316,0.003562525,0.23
231,0.52182865,0.47565615,0.0038209707,0.231
232,0.5218272,0.47564456,0.003881663,0.232
233,0.5218868,0.47554687,0.003893964,0.233
234,0.52194643,0.47544923,0.0039062575,0.234
235,0.5220059,0.47535157,0.003918566,0.235
236,0.52206546,0.47525394,0.0039308667,0.236
237,0.52212507,0.47515625,0.0039431676,0.237
238,0.5221846,0.47505862,0.0039554685,0.238
239,0.52224416,0.47496095,0.0039677694,0.239
240,0.5223037,0.4748633,0.0039800704,0.24
241,0.5223633,0.47476563,0.0039923713,0.241
242,0.52242285,0.47466797,0.004004672,0.242
243,0.5224824,0.47457033,0.0040169805,0.243
244,0.52254194,0.47447267,0.004029274,0.244
245,0.52260154,0.474375,0.0040415823,0.245
246,0.5226611,0.47427735,0.0040538907,0.246
247,0.52272063,0.4741797,0.004066184,0.247
248,0.5227802,0.474082,0.0040784776,0.248
249,0.5228398,0.47398436,0.004090786,0.249
250,0.5228994,0.47388667,0.004103087,0.25
251,0.5229589,0.47378904,0.004115388,0.251
252,0.5230185,0.47369134,0.004127696,0.252
253,0.5230781,0.4735937,0.0041399896,0.253
254,0.52313757,0.47349602,0.004152298,0.254
255,0.5231971,0.4733984,0.0041645914,0.255
256,0.5232567,0.47330076,0.0041769,0.256
257,0.52331626,0.47320306,0.0041891932,0.257
258,0.5233758,0.47310543,0.0042015016,0.258
259,0.5234354,0.47300774,0.00421381,0.259
260,0.52349496,0.47291008,0.0042261034,0.26
261,0.5235545,0.4728124,0.004238397,0.261
262,0.52361405,0.47271478,0.0042507052,0.262
263,0.52367365,0.47261712,0.0042630136,0.263
264,0.5237332,0.47251943,0.004275307,0.264
265,0.52379274,0.47242177,0.004287608,0.265
266,0.52385235,0.47232413,0.004299909,0.266
267,0.52391183,0.47222644,0.0043122172,0.267
268,0.52397144,0.4721288,0.0043245107,0.268
269,0.52403104,0.47203112,0.004336819,0.269
270,0.5240905,0.47193348,0.0043491125,0.27
271,0.52415013,0.47183582,0.004361421,0.271
272,0.5242097,0.47173816,0.0043737143,0.272
273,0.5242692,0.47164053,0.0043860227,0.273
274,0.5243288,0.47154284,0.004398331,0.274
275,0.5243884,0.4714452,0.0044106245,0.275
276,0.5244479,0.47134757,0.0044229254,0.276
277,0.5245075,0.47124988,0.0044352263,0.277
278,0.524567,0.47115225,0.004447527,0.278
279,0.5246266,0.47105455,0.0044598356,0.279
280,0.52468616,0.47095692,0.0044721365,0.28
281,0.5247457,0.4708593,0.00448443,0.281
282,0.5248053,0.47076157,0.0044967383,0.282
283,0.52486485,0.47066393,0.004509032,0.283
284,0.5249244,0.47056627,0.00452134,0.284
285,0.52498394,0.4704686,0.0045336336,0.285
286,0.52504355,0.47037095,0.004545942,0.286
287,0.5251031,0.47027326,0.0045582503,0.287
288,0.5251627,0.47017562,0.0045705438,0.288
289,0.5252222,0.470078,0.004582852,0.289
290,0.5252818,0.46998027,0.0045951456,0.29
291,0.52534133,0.46988267,0.0046074465,0.291
292,0.5254009,0.46978498,0.0046197474,0.292
293,0.5254604,0.46968734,0.0046320558,0.293
294,0.52552,0.46958965,0.004644349,0.294
295,0.5255796,0.46949202,0.0046566576,0.295
296,0.5256391,0.46939436,0.0046689585,0.296
297,0.52569866,0.4692967,0.0046812594,0.297
298,0.52575827,0.469199,0.0046935603,0.298
299,0.5258178,0.46910137,0.0047058687,0.299
300,0.52587736,0.46900368,0.0047181696,0.3
301,0.52593696,0.46890604,0.004730463,0.301
302,0.5259965,0.46880838,0.0047427714,0.302
303,0.5260561,0.46871072,0.0047550723,0.303
304,0.5261156,0.4686131,0.004767373,0.304
305,0.52617514,0.4685154,0.0047796667,0.305
306,0.52623475,0.46841776,0.004791975,0.306
307,0.52629435,0.46832007,0.004804276,0.307
308,0.52635384,0.46822244,0.004816577,0.308
309,0.52641344,0.46812475,0.004828885,0.309
310,0.526473,0.46802709,0.0048411787,0.31
311,0.52653253,0.46792942,0.0048534796,0.311
312,0.52659214,0.4678318,0.004865788,0.312
313,0.5266517,0.46773416,0.0048780814,0.313
314,0.5267112,0.46763647,0.0048903823,0.314
315,0.52677083,0.46753883,0.0049026757,0.315
316,0.5268303,0.46744114,0.004914984,0.316
317,0.5268899,0.4673435,0.004927285,0.317
318,0.52694947,0.46724582,0.004939586,0.318
319,0.52700907,0.46714818,0.004951887,0.319
320,0.5270686,0.46705055,0.004964195,0.32
321,0.5271282,0.46695283,0.004976496,0.321
322,0.52718776,0.4668552,0.004988797,0.322
323,0.52724725,0.46675754,0.005001098,0.323
324,0.5273068,0.4666599,0.005013399,0.324
325,0.5273664,0.4665622,0.0050256997,0.325
326,0.527426,0.46646455,0.005038008,0.326
327,0.5274855,0.46636692,0.0050503016,0.327
328,0.5275451,0.46626922,0.00506261,0.328
329,0.52760464,0.4661716,0.005074911,0.329
330,0.5276642,0.46607393,0.0050872117,0.33
331,0.5277238,0.46597624,0.0050995126,0.331
332,0.52778333,0.4658786,0.005111821,0.332
333,0.5278429,0.46578094,0.005124122,0.333
334,0.5279025,0.46568328,0.0051364154,0.334
335,0.52796197,0.46558562,0.0051487163,0.335
336,0.5280216,0.46548796,0.0051610246,0.336
337,0.5280812,0.46539026,0.0051733255,0.337
338,0.5281407,0.46529263,0.0051856264,0.338
339,0.52820027,0.465195,0.0051979274,0.339
340,0.5282598,0.4650973,0.0052102357,0.34
341,0.5283194,0.46499965,0.005222529,0.341
342,0.52837896,0.46490198,0.0052348226,0.342
343,0.52843845,0.46480435,0.005247131,0.343
344,0.52849805,0.4647067,0.0052594244,0.344
345,0.52855766,0.46460903,0.005271733,0.345
346,0.52861714,0.46451136,0.005284041,0.346
347,0.52867675,0.4644137,0.0052963346,0.347
348,0.5287363,0.46431604,0.0053086355,0.348
349,0.52879584,0.46421838,0.0053209364,0.349
350,0.5288554,0.46412075,0.00533323,0.35
351,0.528915,0.46402305,0.0053455383,0.351
352,0.52897453,0.46392542,0.0053578317,0.352
353,0.52903414,0.46382776,0.00537014,0.353
354,0.5290937,0.4637301,0.0053824484,0.354
