,Al,Eut,Al2Sc2Si2
0,0.45,-1.03,-1.46
1,0.46,-1.02,-1.45
2,0.46,-1.02,-1.45
3,0.46,-1.02,-1.45
4,0.46,-1.02,-1.44
5,0.46,-1.01,-1.44
6,0.46,-1.01,-1.44
7,0.46,-1.01,-1.43
8,0.46,-1.01,-1.43
9,0.47,-1.00,-1.42
10,0.47,-1.00,-1.42
11,0.47,-1.00,-1.42
12,0.47,-0.99,-1.41
13,0.47,-0.99,-1.41
14,0.47,-0.99,-1.41
15,0.47,-0.99,-1.40
16,0.47,-0.98,-1.40
17,0.48,-0.98,-1.40
18,0.48,-0.98,-1.39
19,0.48,-0.97,-1.39
20,0.48,-0.97,-1.38
21,0.48,-0.97,-1.38
22,0.48,-0.97,-1.38
23,0.48,-0.96,-1.37
24,0.49,-0.96,-1.37
25,0.49,-0.96,-1.37
26,0.49,-0.96,-1.36
27,0.49,-0.95,-1.36
28,0.49,-0.95,-1.36
29,0.49,-0.95,-1.35
30,0.49,-0.94,-1.35
31,0.49,-0.94,-1.35
32,0.50,-0.94,-1.34
33,0.50,-0.94,-1.34
34,0.50,-0.93,-1.33
35,0.50,-0.93,-1.33
36,0.50,-0.93,-1.33
37,0.50,-0.92,-1.32
38,0.50,-0.92,-1.32
39,0.51,-0.92,-1.32
40,0.51,-0.92,-1.31
41,0.51,-0.91,-1.31
42,0.51,-0.91,-1.31
43,0.51,-0.91,-1.30
44,0.51,-0.91,-1.30
45,0.51,-0.90,-1.29
46,0.51,-0.90,-1.29
47,0.52,-0.90,-1.29
48,0.52,-0.89,-1.28
49,0.52,-0.89,-1.28
50,0.52,-0.89,-1.28
51,0.52,-0.89,-1.27
52,0.52,-0.88,-1.27
53,0.52,-0.88,-1.27
54,0.53,-0.88,-1.26
55,0.53,-0.87,-1.26
56,0.53,-0.87,-1.26
57,0.53,-0.87,-1.25
58,0.53,-0.87,-1.25
59,0.53,-0.86,-1.24
60,0.53,-0.86,-1.24
61,0.53,-0.86,-1.24
62,0.54,-0.85,-1.23
63,0.54,-0.85,-1.23
64,0.54,-0.85,-1.23
65,0.54,-0.85,-1.22
66,0.54,-0.84,-1.22
67,0.54,-0.84,-1.22
68,0.54,-0.84,-1.21
69,0.55,-0.84,-1.21
70,0.55,-0.83,-1.21
71,0.55,-0.83,-1.20
72,0.55,-0.83,-1.20
73,0.55,-0.82,-1.19
74,0.55,-0.82,-1.19
75,0.55,-0.82,-1.19
76,0.55,-0.82,-1.18
77,0.56,-0.81,-1.18
78,0.56,-0.81,-1.18
79,0.56,-0.81,-1.17
80,0.56,-0.80,-1.17
81,0.56,-0.80,-1.17
82,0.56,-0.80,-1.16
83,0.56,-0.80,-1.16
84,0.57,-0.79,-1.15
85,0.57,-0.79,-1.15
86,0.57,-0.79,-1.15
87,0.57,-0.79,-1.14
88,0.57,-0.78,-1.14
89,0.57,-0.78,-1.14
90,0.57,-0.78,-1.13
91,0.57,-0.77,-1.13
92,0.58,-0.77,-1.13
93,0.58,-0.77,-1.12
94,0.58,-0.77,-1.12
95,0.58,-0.76,-1.12
96,0.58,-0.76,-1.11
97,0.58,-0.76,-1.11
98,0.58,-0.75,-1.10
99,0.59,-0.75,-1.10
100,0.59,-0.75,-1.10
101,0.59,-0.75,-1.09
102,0.59,-0.74,-1.09
103,0.59,-0.74,-1.09
104,0.59,-0.74,-1.08
105,0.59,-0.74,-1.08
106,0.59,-0.73,-1.08
107,0.60,-0.73,-1.07
108,0.60,-0.73,-1.07
109,0.60,-0.72,-1.06
110,0.60,-0.72,-1.06
111,0.60,-0.72,-1.06
112,0.60,-0.72,-1.05
113,0.60,-0.71,-1.05
114,0.61,-0.71,-1.05
115,0.61,-0.71,-1.04
116,0.61,-0.70,-1.04
117,0.61,-0.70,-1.04
118,0.61,-0.70,-1.03
119,0.61,-0.70,-1.03
120,0.61,-0.69,-1.03
121,0.61,-0.69,-1.02
122,0.62,-0.69,-1.02
123,0.62,-0.69,-1.01
124,0.62,-0.68,-1.01
125,0.62,-0.68,-1.01
126,0.62,-0.68,-1.00
127,0.62,-0.67,-1.00
128,0.62,-0.67,-1.00
129,0.62,-0.67,-0.99
130,0.63,-0.67,-0.99
131,0.63,-0.66,-0.99
132,0.63,-0.66,-0.98
133,0.63,-0.66,-0.98
134,0.63,-0.65,-0.98
135,0.63,-0.65,-0.97
136,0.63,-0.65,-0.97
137,0.64,-0.65,-0.96
138,0.64,-0.64,-0.96
139,0.64,-0.64,-0.96
140,0.64,-0.64,-0.95
141,0.64,-0.63,-0.95
142,0.64,-0.63,-0.95
143,0.64,-0.63,-0.94
144,0.64,-0.63,-0.94
145,0.65,-0.62,-0.94
146,0.65,-0.62,-0.93
147,0.65,-0.62,-0.93
148,0.65,-0.62,-0.92
149,0.65,-0.61,-0.92
