,PH_Al,PH_Eut,PH_AlSc2Si2,EL_Sc
0,0.50824094,0.44340914,-5.5134296e-07,0.0
1,0.5083022,0.44354725,1.4208257e-05,0.001
2,0.5083636,0.4436854,2.8982759e-05,0.002
3,0.5084248,0.44382346,4.3734908e-05,0.003
4,0.50848615,0.44396162,5.850196e-05,0.004
5,0.5085474,0.44409966,7.325411e-05,0.005
6,0.5086087,0.44423777,8.802116e-05,0.006
7,0.50867,0.44437584,0.00010278821,0.007
8,0.50873125,0.44451386,0.00011754036,0.008
9,0.5087925,0.44465202,0.00013230741,0.009
10,0.50885385,0.4447901,0.00014707446,0.01
11,0.5089151,0.4449282,0.00016182661,0.011
12,0.50897646,0.4450663,0.00017659366,0.012
13,0.5090377,0.44520438,0.00019135326,0.013
14,0.509099,0.44534248,0.00020610541,0.014
15,0.5091603,0.44548059,0.00022087246,0.015
16,0.50922155,0.44561872,0.00023563951,0.016
17,0.5092828,0.4457568,0.00025039166,0.017
18,0.5093441,0.44589493,0.00026515126,0.018
19,0.5094054,0.446033,0.0002799183,0.019
20,0.50946665,0.4461711,0.00029468536,0.02
21,0.5095279,0.4463092,0.00030945987,0.021
22,0.5095892,0.44644722,0.00032420456,0.022
23,0.5096505,0.4465854,0.0003389567,0.023
24,0.5097118,0.44672346,0.00035372376,0.024
25,0.5097731,0.44686162,0.00036849082,0.025
26,0.5098344,0.44699964,0.00038325787,0.026
27,0.5098957,0.4471377,0.00039801002,0.027
28,0.50995696,0.44727585,0.00041277707,0.028
29,0.5100182,0.44741395,0.00042752922,0.029
30,0.5100795,0.44755208,0.00044229627,0.03
31,0.5101408,0.44769013,0.00045707077,0.031
32,0.51020205,0.44782823,0.00047183037,0.032
33,0.5102633,0.44796634,0.00048658252,0.033
34,0.51032466,0.4481044,0.00050133467,0.034
35,0.5103859,0.44824257,0.0005161017,0.035
36,0.5104472,0.44838065,0.00053086877,0.036
37,0.5105085,0.4485188,0.0005456358,0.037
38,0.5105698,0.4486568,0.00056040287,0.038
39,0.5106311,0.4487949,0.0005751699,0.039
40,0.51069236,0.44893295,0.00058992207,0.04
41,0.51075363,0.44907102,0.0006046891,0.041
42,0.5108149,0.44920918,0.00061944127,0.042
43,0.5108762,0.44934726,0.0006342009,0.043
44,0.51093745,0.4494854,0.0006489679,0.044
45,0.5109987,0.4496235,0.0006637275,0.045
46,0.51106006,0.4497616,0.0006784871,0.046
47,0.5111213,0.44989967,0.0006932467,0.047
48,0.5111826,0.45003778,0.0007080138,0.048
49,0.5112439,0.4501759,0.0007227659,0.049
50,0.5113052,0.450314,0.000737533,0.05
51,0.5113665,0.45045206,0.0007522851,0.051
52,0.51142776,0.45059013,0.0007670522,0.052
53,0.51148903,0.45072827,0.0007818267,0.053
54,0.5115503,0.45086634,0.0007965863,0.054
55,0.5116116,0.45100445,0.0008113384,0.055
56,0.511673,0.45114252,0.0008261055,0.056
57,0.5117342,0.45128062,0.0008408576,0.057
