UTS,YS,EL
204.37178,109.44244,4.6580257
204.31848,109.41257,4.655478
204.26543,109.38282,4.6529384
204.2124,109.353096,4.6504
204.15927,109.32331,4.647858
204.1062,109.293564,4.6453185
204.05305,109.26376,4.6427746
203.99994,109.233986,4.640235
203.94691,109.20427,4.6376963
203.89366,109.17442,4.6351514
203.84047,109.1446,4.6326075
203.78735,109.114815,4.630067
203.73427,109.08507,4.627526
203.68121,109.05532,4.6249866
203.62819,109.02559,4.6224475
203.57503,108.9958,4.619905
203.52194,108.96604,4.617365
203.46878,108.93624,4.614822
203.435,108.91701,4.61274
203.40901,108.90203,4.6108427
203.383,108.88703,4.6089454
203.35709,108.87208,4.60705
203.33101,108.857056,4.605151
203.30516,108.842155,4.603257
203.27914,108.82715,4.60136
203.25313,108.81216,4.599462
203.22708,108.79715,4.597564
203.20114,108.782196,4.5956693
203.17514,108.767204,4.593772
203.14915,108.752235,4.591876
203.12326,108.7373,4.589982
203.09726,108.72231,4.588084
203.07123,108.7073,4.586185
203.04533,108.69237,4.5842905
203.01935,108.6774,4.582394
202.99327,108.66236,4.580494
202.96735,108.64742,4.5786004
202.94133,108.63242,4.576703
202.91548,108.61752,4.574808
202.88945,108.60251,4.5729103
202.86346,108.587524,4.5710144
202.83751,108.57256,4.5691185
202.81152,108.55759,4.567221
202.78543,108.54256,4.5653214
202.75938,108.52754,4.563425
202.73369,108.51271,4.5615354
202.70766,108.49772,4.5596375
202.68149,108.48262,4.557735
202.6557,108.46775,4.5558443
202.62976,108.4528,4.553948
202.60368,108.437775,4.5520477
202.57767,108.42277,4.5501513
202.55167,108.40778,4.5482545
202.52574,108.392845,4.5463586
202.49979,108.37787,4.544462
202.47372,108.362854,4.5425644
202.44778,108.3479,4.5406694
202.42188,108.33297,4.5387745
202.39578,108.31793,4.5368743
202.36986,108.30297,4.534978
202.3439,108.28802,4.5330834
202.31795,108.27305,4.531187
202.29189,108.25803,4.5292892
202.26595,108.243065,4.5273933
202.24,108.22812,4.525498
202.214,108.21313,4.5236006
202.1881,108.1982,4.521705
202.16212,108.18322,4.5198092
202.1361,108.16823,4.5179124
202.11014,108.15327,4.5160155
202.08408,108.13823,4.5141163
202.0582,108.12332,4.5122223
202.03221,108.10833,4.510327
202.00612,108.093285,4.508426
201.98033,108.07843,4.506535
201.95433,108.06343,4.5046387
201.92827,108.04841,4.502738
201.9023,108.03344,4.500843
201.8762,108.0184,4.498944
201.85042,108.003525,4.4970512
201.82442,107.98854,4.495155
201.7983,107.973495,4.4932556
201.77242,107.95857,4.4913597
201.74654,107.94364,4.489466
201.72049,107.92863,4.4875684
201.69438,107.91359,4.485668
201.66853,107.89868,4.4837737
201.64253,107.883705,4.481878
201.6165,107.86869,4.4799795
201.59064,107.85378,4.4780855
201.56459,107.83877,4.4761887
201.53873,107.82385,4.474293
201.51265,107.80882,4.4723945
201.48665,107.793846,4.4704995
201.46063,107.77884,4.4686003
201.43477,107.763916,4.466706
201.40868,107.74888,4.4648075
201.3828,107.73396,4.462913
201.35669,107.71891,4.461013
201.33086,107.70402,4.4591203
201.30476,107.68899,4.4572206
201.27888,107.674065,4.4553285
201.25288,107.65907,4.45343
201.22685,107.644066,4.451532
201.20096,107.62914,4.449637
201.17499,107.61417,4.4477425
201.14888,107.59911,4.4458413
201.12285,107.58412,4.4439445
201.09695,107.56919,4.44205
201.07094,107.55418,4.44015
201.04497,107.53922,4.4382553
201.01909,107.5243,4.436361
200.993,107.509254,4.434461
200.96721,107.49438,4.4325695
200.94109,107.47933,4.43067
200.91507,107.46434,4.4287715
200.88914,107.44939,4.4268765
200.99016,107.569664,4.428731
201.15263,107.755424,4.432397
201.31523,107.94134,4.4360685
201.47775,108.127106,4.4397388
201.6403,108.31292,4.443408
201.80275,108.498665,4.447075
201.96529,108.68446,4.4507427
202.1277,108.87017,4.454409
202.29024,109.05598,4.45808
202.45287,109.24189,4.461751
202.61528,109.427605,4.465417
202.77792,109.61349,4.4690905
202.94032,109.79913,4.472756
203.10292,109.98502,4.476426
203.26537,110.1708,4.480093
203.4279,110.356606,4.483763
203.59035,110.54234,4.4874296
203.75298,110.72819,4.4911013
203.91548,110.91402,4.4947705
204.07794,111.09979,4.4984374
204.24055,111.28559,4.5021086
204.403,111.4714,4.505776
204.56548,111.65714,4.509443
204.728,111.84295,4.513112
204.89055,112.02875,4.516783
205.05301,112.21451,4.5204496
205.21567,112.40044,4.5241227
205.37807,112.58609,4.5277877
205.54057,112.771935,4.5314574
205.70303,112.957726,4.5351253
205.86565,113.14353,4.538796
206.0281,113.32931,4.5424633
206.19055,113.51504,4.5461307
206.35316,113.70088,4.5498013
206.51562,113.88664,4.553468
206.67827,114.07251,4.55714
206.84071,114.25825,4.5608077
207.0032,114.44405,4.564476
207.16573,114.62984,4.568144
207.32826,114.815674,4.5718145
207.49074,115.00143,4.5754814
207.65334,115.18726,4.579153
207.81581,115.37305,4.5828223
207.97832,115.55889,4.58649
208.14075,115.74458,4.5901556
208.30331,115.93037,4.593827
208.46584,116.11622,4.5974965
208.62842,116.302086,4.601166
208.79091,116.48783,4.6048346
208.95337,116.673584,4.608502
209.11595,116.85947,4.612173
209.2785,117.045265,4.615842
209.44101,117.23104,4.61951
209.60344,117.41675,4.623177
209.76598,117.602554,4.626848
209.92848,117.78838,4.6305146
210.091,117.974174,4.6341853
210.25352,118.15996,4.637853
210.41602,118.345764,4.6415224
210.5786,118.5316,4.6451926
210.74104,118.71738,4.6488585
210.90364,118.903175,4.65253
211.0661,119.088905,4.656197
211.22865,119.274796,4.6598682
211.3911,119.4605,4.6635356
211.55368,119.64639,4.667205
211.71617,119.83212,4.670874
211.87862,120.01784,4.67454
212.0412,120.20376,4.6782103
212.20372,120.38953,4.68188
212.36618,120.57528,4.6855474
212.52875,120.761116,4.6892176
212.69127,120.94687,4.6928864
212.85374,121.13268,4.696554
213.01631,121.31853,4.7002234
213.17885,121.50434,4.703893
213.3413,121.69009,4.7075605
213.50392,121.87591,4.711232
213.6663,122.06165,4.714899
213.82884,122.24744,4.718567
213.9915,122.43336,4.7222385
214.15392,122.61907,4.7259064
214.31636,122.8048,4.7295737
214.4789,122.99058,4.7332425
214.6414,123.17642,4.7369103
214.80403,123.36226,4.7405825
214.96649,123.548035,4.74425
215.129,123.7338,4.7479196
215.29147,123.91958,4.751586
215.45406,124.10546,4.7552576
215.61653,124.291176,4.758924
215.77905,124.477036,4.7625937
215.94156,124.66276,4.7662625
216.10413,124.848625,4.7699313
215.94205,124.07168,4.767102
215.95822,123.877655,4.7678733
216.0689,123.98293,4.770548
216.17964,124.0883,4.773223
216.29036,124.1936,4.775899
216.40092,124.29893,4.778571
216.5117,124.40429,4.7812495
216.62233,124.509544,4.783923
216.73311,124.61489,4.7865996
216.8438,124.72026,4.789273
216.95442,124.82552,4.791946
217.06512,124.93085,4.794623
217.1757,125.03608,4.7972946
217.28647,125.14151,4.7999706
217.39719,125.24682,4.802647
217.5079,125.35219,4.8053226
217.61853,125.45748,4.8079953
217.7293,125.562805,4.8106728
217.83987,125.66805,4.813344
217.95062,125.77347,4.816021
218.06131,125.87877,4.8186965
218.17203,125.984116,4.8213725
218.28264,126.089325,4.8240447
218.39328,126.19465,4.8267174
218.50403,126.30005,4.8293953
218.61473,126.40536,4.8320713
218.72537,126.510635,4.8347425
218.83607,126.61598,4.8374186
218.9468,126.721306,4.840094
219.05745,126.82662,4.8427696
219.16823,126.932,4.8454466
219.27887,127.03726,4.848118
219.38951,127.14261,4.8507934
219.50021,127.24793,4.853468
219.61092,127.35325,4.8561454
219.72154,127.4585,4.858817
219.83226,127.56385,4.8614926
219.94298,127.66922,4.864169
220.05373,127.77456,4.8668437
220.16434,127.87983,4.869518
220.27509,127.98522,4.872194
220.38568,128.09045,4.8748665
220.49641,128.19583,4.877543
220.60713,128.30118,4.8802185
220.71777,128.40645,4.8828926
220.82849,128.51181,4.885568
220.93915,128.61714,4.888241
221.04984,128.72244,4.890918
221.16052,128.82773,4.8935924
221.27118,128.93304,4.8962665
221.38191,129.03842,4.8989415
221.49254,129.14369,4.901614
221.60327,129.2491,4.9042907
221.71399,129.3544,4.906967
221.82469,129.4597,4.9096417
221.93532,129.56499,4.9123144
222.04604,129.67036,4.9149914
222.15666,129.77563,4.917665
222.26738,129.88094,4.92034
222.37813,129.98634,4.9230165
222.48874,130.09161,4.9256887
222.59947,130.19695,4.9283657
222.71013,130.30222,4.9310393
222.82076,130.40749,4.9337134
222.9315,130.5129,4.9363894
223.0422,130.61818,4.939064
223.15286,130.72351,4.9417396
223.26357,130.82883,4.9444146
223.3743,130.93419,4.9470887
223.48494,131.0395,4.9497633
223.59552,131.14473,4.952437
223.70638,131.25017,4.9551144
223.81699,131.35544,4.957788
223.92764,131.46075,4.9604616
224.03836,131.56612,4.9631376
224.14906,131.67142,4.965813
224.2598,131.77681,4.968488
224.37044,131.8821,4.971162
224.48112,131.9874,4.973837
