UTS,YS,EL
198.44122,109.350426,4.6709847
198.3761,109.31302,4.6679792
198.32285,109.28226,4.665259
198.28679,109.26112,4.6629553
198.25067,109.23993,4.6606464
198.21457,109.21877,4.6583414
198.17834,109.19755,4.656033
198.14223,109.17636,4.6537247
198.10617,109.15523,4.651421
198.06993,109.13397,4.64911
198.03369,109.11274,4.646801
197.99754,109.091545,4.6444936
197.96147,109.07038,4.642187
197.92534,109.04921,4.6398807
197.88931,109.02808,4.6375756
197.85313,109.00687,4.6352663
197.81702,108.985695,4.6329603
197.78085,108.9645,4.630652
197.74474,108.94332,4.6283464
197.70859,108.922134,4.6260386
197.67238,108.90092,4.62373
197.6363,108.87976,4.621425
197.60007,108.85851,4.6191144
197.56407,108.83741,4.6168113
197.52786,108.816185,4.614503
197.49168,108.79496,4.6121926
197.4555,108.77376,4.6098843
197.4194,108.752594,4.6075788
197.38324,108.7314,4.6052713
197.3471,108.71021,4.6029634
197.31105,108.68907,4.6006575
197.27489,108.66786,4.5983505
197.23868,108.646645,4.5960407
197.20262,108.6255,4.593735
197.16649,108.60431,4.591428
197.13022,108.58305,4.5891175
197.09416,108.56191,4.5868125
197.05795,108.540695,4.584503
197.02197,108.5196,4.5822015
196.98578,108.49837,4.5798926
196.94962,108.47718,4.577585
196.9135,108.456,4.575278
196.87733,108.4348,4.572969
196.84111,108.41356,4.57066
196.8049,108.39233,4.5683503
196.76904,108.3713,4.5660515
196.73285,108.35009,4.5637426
196.69649,108.32877,4.5614305
196.66055,108.30769,4.559127
196.62447,108.28654,4.556822
196.5882,108.26528,4.554509
196.55203,108.24409,4.552202
196.51587,108.22288,4.5498943
196.47977,108.20171,4.5475883
196.44366,108.18055,4.5452824
196.40744,108.15931,4.5429726
196.37134,108.138145,4.540666
196.33528,108.117004,4.538361
196.29901,108.09576,4.5360503
196.26291,108.07458,4.533744
196.22682,108.05341,4.5314384
196.19067,108.03223,4.5291305
196.15446,108.010994,4.526821
196.11836,107.98983,4.5245147
196.08224,107.968666,4.5222087
196.04608,107.94746,4.5199
196.01004,107.92632,4.517597
195.9739,107.905136,4.5152884
195.93773,107.88393,4.51298
195.90161,107.86275,4.5106735
195.86537,107.84151,4.5083637
195.82935,107.82039,4.5060596
195.79318,107.79919,4.5037527
195.75691,107.77792,4.5014405
195.72098,107.75685,4.499139
195.68481,107.73565,4.496831
195.64857,107.71442,4.494521
195.61244,107.69323,4.4922137
195.57617,107.671974,4.4899035
195.54024,107.65089,4.4876003
195.50409,107.6297,4.4852924
195.46782,107.60844,4.482983
195.43176,107.587296,4.4806776
195.39569,107.566154,4.478373
195.3595,107.54493,4.4760633
195.32324,107.52368,4.4737525
195.28723,107.502556,4.4714484
195.25108,107.48137,4.4691424
195.21487,107.46014,4.4668326
195.17886,107.43903,4.464529
195.14265,107.4178,4.46222
195.1066,107.39666,4.4599156
195.07037,107.37542,4.457606
195.03421,107.35423,4.455297
194.99805,107.33303,4.4529896
194.96199,107.31188,4.450684
194.92574,107.290634,4.448374
194.8897,107.26949,4.4460683
194.85342,107.24824,4.443759
194.81744,107.22714,4.441455
194.78117,107.20589,4.4391427
194.74515,107.18475,4.436841
194.70898,107.16356,4.434532
194.67278,107.142334,4.4322233
194.63672,107.12119,4.4299192
194.60062,107.10001,4.4276123
194.56433,107.07876,4.4253
194.52812,107.05753,4.4229913
194.4921,107.0364,4.420687
194.45589,107.01517,4.4183774
194.4198,106.99401,4.4160714
194.38373,106.97286,4.4137673
194.34747,106.95162,4.411457
194.37988,107.00102,4.411225
194.54193,107.18418,4.4149213
194.70393,107.367256,4.4186153
194.86603,107.55039,4.422312
195.02809,107.733505,4.42601
195.19008,107.9166,4.4297047
195.35223,108.099815,4.4334016
195.51431,108.282936,4.4371004
195.67639,108.46607,4.4407973
195.8384,108.64916,4.4444914
196.00046,108.83229,4.4481883
196.16245,109.01534,4.4518843
196.32454,109.19848,4.4555817
196.48666,109.38171,4.4592786
196.64868,109.564766,4.462974
196.81085,109.74799,4.466674
196.9728,109.93097,4.4703674
197.13492,110.11417,4.4740653
197.29694,110.29728,4.477761
197.45901,110.48043,4.4814577
197.62102,110.6635,4.485152
197.7832,110.84669,4.488853
197.94524,111.02983,4.4925475
198.10724,111.212944,4.496243
198.2694,111.39607,4.4999413
198.43141,111.579216,4.503638
198.5934,111.76229,4.5073323
198.7555,111.945435,4.5110297
198.91757,112.12856,4.5147257
199.07959,112.31165,4.518422
199.24179,112.494896,4.5221205
199.40373,112.67792,4.5258164
199.56578,112.86108,4.529513
199.7278,113.04418,4.533208
199.88995,113.227325,4.536906
200.05197,113.41044,4.540601
200.21394,113.5935,4.544295
200.37611,113.77667,4.5479946
200.53813,113.959785,4.55169
200.70029,114.14297,4.555389
200.8623,114.32604,4.559084
201.02432,114.50918,4.56278
201.18642,114.6923,4.566477
201.34851,114.87547,4.5701737
201.5105,115.058556,4.573869
201.67267,115.24173,4.5775695
201.83467,115.42483,4.581263
201.99673,115.60801,4.5849595
202.15869,115.79104,4.5886536
202.32083,115.97416,4.5923533
202.48288,116.15734,4.596048
202.64499,116.34053,4.599746
202.80707,116.52363,4.6034427
202.96906,116.706696,4.607137
203.13118,116.88991,4.610835
203.29329,117.07305,4.6145334
203.45535,117.25616,4.61823
203.61734,117.4392,4.621925
203.7794,117.62233,4.6256213
203.94145,117.80549,4.6293178
204.10353,117.98861,4.6330137
204.2656,118.17173,4.636711
204.42764,118.354866,4.6404076
204.58975,118.53805,4.644105
204.75175,118.72114,4.647799
204.9139,118.90429,4.6514983
205.07587,119.08733,4.6551943
205.238,119.27057,4.658892
205.4,119.453606,4.6625857
205.56213,119.636826,4.666283
205.72418,119.819885,4.6699796
205.88614,120.00294,4.6736736
206.0483,120.18618,4.6773725
206.21037,120.3693,4.6810694
206.37238,120.55238,4.6847663
206.53447,120.735535,4.6884613
206.69653,120.91865,4.6921597
206.85857,121.101776,4.695855
207.02068,121.28494,4.699552
207.18275,121.46809,4.703249
207.34477,121.65118,4.7069464
207.50691,121.834335,4.7106442
207.66885,122.0174,4.714337
207.83092,122.20052,4.718034
207.99313,122.38377,4.7217336
208.15509,122.56681,4.725428
208.31708,122.74987,4.729122
208.47916,122.93298,4.732819
208.64122,123.11616,4.736515
208.80338,123.29933,4.7402143
208.9654,123.48243,4.74391
209.12747,123.66555,4.7476068
209.28946,123.84864,4.751302
209.4516,124.03187,4.755
209.61363,124.214905,4.758696
209.7757,124.398094,4.762393
209.93774,124.58116,4.7660885
210.09985,124.76435,4.769786
209.96931,124.03675,4.7683005
209.99615,123.85952,4.7695417
210.10707,123.96504,4.77225
210.21803,124.07067,4.774959
210.32893,124.1762,4.777668
210.43977,124.28178,4.7803736
210.55077,124.387375,4.7830834
210.6616,124.49288,4.78579
210.77261,124.59849,4.7885
