Alloy_ID,PH_Al,PH_Al_2,PH_Si,PH_AlSi2Sr,EL_Sr
1,0.5034278 ,0.4009626 ,0.0526138 ,0.0000001 ,0
2,0.5034517 ,0.4009232 ,0.0521340 ,0.0000001 ,0.0005
3,0.5034756 ,0.4008837 ,0.0516402 ,0.0000001 ,0.001
4,0.5034995 ,0.4008443 ,0.0511521 ,0.0000001 ,0.0015
5,0.5035234 ,0.4008049 ,0.0506649 ,0.0000001 ,0.002
6,0.5035473 ,0.4007654 ,0.0501786 ,0.0000001 ,0.0025
7,0.5035713 ,0.4007260 ,0.0496933 ,0.0000001 ,0.003
8,0.5035952 ,0.4006866 ,0.0492088 ,0.0000001 ,0.0035
9,0.5036191 ,0.4006472 ,0.0487253 ,0.0000001 ,0.004
10,0.5036431 ,0.4006078 ,0.0482426 ,0.0000001 ,0.0045
11,0.5036670 ,0.4005684 ,0.0477609 ,0.0000001 ,0.005
12,0.5036909 ,0.3976057 ,0.0477467 ,0.0000070 ,0.0055
13,0.5037148 ,0.3944697 ,0.0477127 ,0.0000146 ,0.006
14,0.5037387 ,0.3913711 ,0.0477147 ,0.0000221 ,0.0065
15,0.5037626 ,0.3883041 ,0.0477035 ,0.0000296 ,0.007
16,0.5037866 ,0.3852643 ,0.0477209 ,0.0000370 ,0.0075
17,0.5038105 ,0.3827277 ,0.0477749 ,0.0000446 ,0.008
18,0.5038344 ,0.3797290 ,0.0477917 ,0.0000519 ,0.0085
19,0.5038584 ,0.3767489 ,0.0477763 ,0.0000596 ,0.009
20,0.5038823 ,0.3737854 ,0.0477785 ,0.0000670 ,0.0095
21,0.5039062 ,0.3708368 ,0.0477976 ,0.0000742 ,0.01
22,0.5039301 ,0.3679017 ,0.0477744 ,0.0000820 ,0.0105
23,0.5039540 ,0.3649790 ,0.0477638 ,0.0000896 ,0.011
24,0.5039779 ,0.3620673 ,0.0477656 ,0.0000970 ,0.0115
25,0.5040018 ,0.3591661 ,0.0477793 ,0.0001042 ,0.012
26,0.5040257 ,0.3562742 ,0.0477396 ,0.0001124 ,0.0125
27,0.5040496 ,0.3522173 ,0.0477616 ,0.0001194 ,0.013
28,0.5040736 ,0.3493054 ,0.0477563 ,0.0001303 ,0.0135
29,0.5040975 ,0.3464010 ,0.0477424 ,0.0001382 ,0.014
30,0.5041214 ,0.3435038 ,0.0477360 ,0.0001459 ,0.0145
31,0.5041453 ,0.3406132 ,0.0477372 ,0.0001533 ,0.015
32,0.5041692 ,0.3377289 ,0.0477457 ,0.0001606 ,0.0155
33,0.5041932 ,0.3348505 ,0.0477614 ,0.0001675 ,0.016
34,0.5042171 ,0.3319775 ,0.0477074 ,0.0001769 ,0.0165
35,0.5042410 ,0.3291097 ,0.0477355 ,0.0001834 ,0.017
36,0.5042649 ,0.3262467 ,0.0477705 ,0.0001895 ,0.0175
37,0.5042888 ,0.3233885 ,0.0477313 ,0.0001985 ,0.018
38,0.5043127 ,0.3205346 ,0.0476959 ,0.0002074 ,0.0185
39,0.5043366 ,0.3176848 ,0.0477478 ,0.0002127 ,0.019
40,0.5043605 ,0.3148389 ,0.0477211 ,0.0002212 ,0.0195
41,0.5043844 ,0.3119969 ,0.0476981 ,0.0002297 ,0.02
42,0.5044083 ,0.3091585 ,0.0476786 ,0.0002381 ,0.0205
43,0.5044322 ,0.3063233 ,0.0477515 ,0.0002421 ,0.021
44,0.5044561 ,0.3034915 ,0.0477402 ,0.0002500 ,0.0215
45,0.5044801 ,0.3006628 ,0.0477323 ,0.0002578 ,0.022
46,0.5045040 ,0.2978370 ,0.0477277 ,0.0002654 ,0.0225
47,0.5045279 ,0.2950141 ,0.0477264 ,0.0002728 ,0.023
48,0.5045518 ,0.2921941 ,0.0477283 ,0.0002801 ,0.0235
49,0.5045757 ,0.2893766 ,0.0477335 ,0.0002871 ,0.024
50,0.5045996 ,0.2865617 ,0.0477417 ,0.0002939 ,0.0245
51,0.5046235 ,0.2837492 ,0.0476539 ,0.0003066 ,0.025
52,0.5046474 ,0.2809389 ,0.0476670 ,0.0003132 ,0.0255
53,0.5046713 ,0.2781309 ,0.0476832 ,0.0003196 ,0.026
54,0.5046952 ,0.2753251 ,0.0477024 ,0.0003257 ,0.0265
55,0.5047192 ,0.2725216 ,0.0477246 ,0.0003315 ,0.027
56,0.5047431 ,0.2697200 ,0.0476444 ,0.0003443 ,0.0275
57,0.5047670 ,0.2669202 ,0.0476711 ,0.0003498 ,0.028
58,0.5047909 ,0.2641224 ,0.0477008 ,0.0003550 ,0.0285
59,0.5048148 ,0.2613267 ,0.0476245 ,0.0003679 ,0.029
60,0.5048387 ,0.2585322 ,0.0476585 ,0.0003727 ,0.0295
61,0.5048626 ,0.2557398 ,0.0476954 ,0.0003772 ,0.03
62,0.5048865 ,0.2529491 ,0.0476227 ,0.0003902 ,0.0305
63,0.5049104 ,0.2501598 ,0.0476638 ,0.0003943 ,0.031
64,0.5049343 ,0.2473723 ,0.0477078 ,0.0003980 ,0.0315
65,0.5049582 ,0.2445861 ,0.0476385 ,0.0004109 ,0.032
66,0.5049821 ,0.2418015 ,0.0476866 ,0.0004142 ,0.0325
67,0.5050060 ,0.2390183 ,0.0476193 ,0.0004272 ,0.033
68,0.5050299 ,0.2362365 ,0.0476715 ,0.0004299 ,0.0335
69,0.5050538 ,0.2334561 ,0.0476060 ,0.0004430 ,0.034
70,0.5050777 ,0.2306769 ,0.0476622 ,0.0004452 ,0.0345
71,0.5051016 ,0.2278991 ,0.0475985 ,0.0004583 ,0.035
72,0.5051255 ,0.2251225 ,0.0476587 ,0.0004599 ,0.0355
73,0.5051494 ,0.2223473 ,0.0475967 ,0.0004730 ,0.036
74,0.5051733 ,0.2195730 ,0.0476609 ,0.0004741 ,0.0365
75,0.5051972 ,0.2168000 ,0.0476006 ,0.0004872 ,0.037
76,0.5052211 ,0.2140282 ,0.0476686 ,0.0004877 ,0.0375
77,0.5052450 ,0.2112573 ,0.0476099 ,0.0005008 ,0.038
78,0.5052689 ,0.2084879 ,0.0476818 ,0.0005006 ,0.0385
79,0.5052928 ,0.2057191 ,0.0476247 ,0.0005137 ,0.039
80,0.5053167 ,0.2029516 ,0.0475679 ,0.0005269 ,0.0395
81,0.5053406 ,0.2001849 ,0.0476448 ,0.0005258 ,0.04
82,0.5053645 ,0.1974193 ,0.0475895 ,0.0005390 ,0.0405
83,0.5053884 ,0.1946549 ,0.0476702 ,0.0005373 ,0.041
84,0.5054123 ,0.1921315 ,0.0476761 ,0.0005511 ,0.0415
85,0.5054362 ,0.1893653 ,0.0476226 ,0.0005643 ,0.042
86,0.5054601 ,0.1865999 ,0.0477081 ,0.0005616 ,0.0425
87,0.5054840 ,0.1838352 ,0.0476560 ,0.0005748 ,0.043
88,0.5055079 ,0.1810718 ,0.0476042 ,0.0005881 ,0.0435
89,0.5055318 ,0.1783088 ,0.0476946 ,0.0005845 ,0.044
90,0.5055557 ,0.1755468 ,0.0476441 ,0.0005977 ,0.0445
91,0.5055795 ,0.1727858 ,0.0475940 ,0.0006110 ,0.045
92,0.5056034 ,0.1700253 ,0.0476890 ,0.0006063 ,0.0455
93,0.5056273 ,0.1672656 ,0.0476402 ,0.0006195 ,0.046
94,0.5056512 ,0.1645069 ,0.0475916 ,0.0006329 ,0.0465
95,0.5056751 ,0.1617489 ,0.0476914 ,0.0006271 ,0.047
96,0.5056990 ,0.1589913 ,0.0476441 ,0.0006403 ,0.0475
97,0.5057229 ,0.1562349 ,0.0475971 ,0.0006536 ,0.048
