,PH_Al,PH_Al_2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.50337833,0.40098256,0.052638963,-5.364418e-07,0.0
1,0.50343466,0.40093827,0.05214055,-1.1026859e-06,0.0005
2,0.503491,0.400894,0.051642165,-1.6540289e-06,0.001
3,0.5035473,0.40084976,0.051143736,-2.1904707e-06,0.0015
4,0.50360364,0.4008054,0.05064535,-2.7567148e-06,0.002
5,0.50365996,0.4007612,0.050146967,-3.2931566e-06,0.0025
6,0.5037163,0.40071687,0.04964854,-3.8444996e-06,0.003
7,0.5037726,0.4006726,0.049150154,-4.4107437e-06,0.0035
8,0.503829,0.40062833,0.048651755,-4.9471855e-06,0.004
9,0.50388527,0.400584,0.04815334,-5.5134296e-06,0.0045
10,0.5039207,0.39920378,0.047892734,-2.130866e-06,0.005
11,0.50393337,0.39637893,0.047889218,5.528331e-06,0.0055
12,0.50394607,0.3935541,0.0478857,1.3157725e-05,0.006
13,0.5039588,0.39072925,0.04788217,2.0816922e-05,0.0065
14,0.50397146,0.3879044,0.047878653,2.8446317e-05,0.007
15,0.5039842,0.38507956,0.047875136,3.6090612e-05,0.0075
16,0.5039969,0.38225472,0.04787162,4.3734908e-05,0.008
17,0.5040096,0.37942988,0.047868103,5.1379204e-05,0.0085
18,0.50402236,0.37660503,0.04786457,5.90235e-05,0.009
19,0.504035,0.3737802,0.047861055,6.6667795e-05,0.0095
20,0.50404775,0.37095535,0.047857538,7.429719e-05,0.01
21,0.50406045,0.3681305,0.04785402,8.195639e-05,0.0105
22,0.50407314,0.36530566,0.04785052,8.958578e-05,0.011
23,0.5040859,0.36248085,0.047846973,9.724498e-05,0.0115
24,0.50409853,0.35965598,0.04784347,0.00010487437,0.012
25,0.50411123,0.35683113,0.04783994,0.00011250377,0.0125
26,0.504124,0.3540063,0.047836423,0.000120162964,0.013
27,0.5041367,0.35118148,0.04783292,0.00012779236,0.0135
28,0.50414944,0.34835663,0.04782939,0.00013545156,0.014
29,0.5041621,0.3455318,0.047825888,0.00014308095,0.0145
30,0.5041748,0.34270692,0.047822356,0.00015072525,0.015
31,0.50418746,0.3398821,0.047818854,0.00015836954,0.0155
32,0.50420016,0.33705723,0.047815338,0.00016599894,0.016
33,0.504213,0.33423242,0.04781179,0.00017365813,0.0165
34,0.5042256,0.33140755,0.047808275,0.00018128753,0.017
35,0.50423837,0.32858276,0.047804773,0.00018893182,0.0175
36,0.504251,0.32575792,0.04780124,0.00019657612,0.018
37,0.50426376,0.32293305,0.047797725,0.00020422041,0.0185
38,0.5042765,0.32010823,0.047794193,0.00021186471,0.019
39,0.50428915,0.3172834,0.04779069,0.0002194941,0.0195
40,0.5043019,0.31445852,0.047787175,0.0002271533,0.02
41,0.50431454,0.3116337,0.047783658,0.0002347827,0.0205
42,0.5043273,0.30880886,0.04778014,0.00024244189,0.021
43,0.50434005,0.30598402,0.047776625,0.0002500862,0.0215
44,0.5043527,0.30315918,0.047773108,0.00025771558,0.022
45,0.50436544,0.30033433,0.04776959,0.00026535988,0.0225
46,0.50437814,0.2975095,0.04776609,0.00027298927,0.023
47,0.50439084,0.29468465,0.047762528,0.00028064847,0.0235
48,0.50440353,0.29185978,0.04775901,0.00028827786,0.024
49,0.5044162,0.28903496,0.047755495,0.00029592216,0.0245
50,0.504429,0.28621012,0.047751978,0.00030356646,0.025
51,0.5044416,0.28338528,0.047748476,0.00031121075,0.0255
52,0.5044544,0.28056043,0.047744945,0.00031884015,0.026
53,0.50446707,0.2777356,0.047741428,0.00032649934,0.0265
54,0.50447977,0.27491075,0.04773791,0.00033414364,0.027
55,0.5044925,0.2720859,0.047734395,0.00034178793,0.0275
56,0.5045052,0.26926106,0.047730893,0.00034943223,0.028
57,0.5045179,0.26643622,0.047727346,0.00035706162,0.0285
58,0.50453067,0.26361138,0.047723815,0.00036472082,0.029
59,0.5045433,0.26078653,0.047720328,0.00037235022,0.0295
60,0.50455606,0.2579617,0.04771678,0.0003799945,0.03
