,PH_Al,PH_Al_2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.50254,0.4040558,0.0523514,0.000109262764,0.0
1,0.50273764,0.40311578,0.051972084,0.00010437518,0.0005
2,0.5029354,0.40217584,0.05159276,9.9517405e-05,0.001
3,0.5031332,0.40123582,0.05121343,9.468198e-05,0.0015
4,0.5033309,0.40029576,0.05083414,8.981675e-05,0.002
5,0.5035286,0.39935577,0.050454848,8.497387e-05,0.0025
6,0.5037263,0.3984158,0.05007551,8.011609e-05,0.003
7,0.503924,0.39747575,0.04969623,7.528812e-05,0.0035
8,0.5041217,0.39653572,0.049316905,7.043034e-05,0.004
9,0.5043195,0.39559582,0.04893756,6.558001e-05,0.0045
10,0.5045172,0.39465573,0.04855828,6.0729682e-05,0.005
11,0.5047149,0.39371583,0.048178926,5.5857003e-05,0.0055
12,0.5049126,0.39277577,0.047799647,5.1014125e-05,0.006
13,0.50494844,0.39029944,0.047729447,5.6490302e-05,0.0065
14,0.5049483,0.3874825,0.047727704,6.424636e-05,0.007
15,0.5049481,0.38466555,0.047726013,7.201731e-05,0.0075
16,0.50494796,0.3818487,0.04772433,7.978827e-05,0.008
17,0.50494784,0.37903178,0.047722585,8.753687e-05,0.0085
18,0.50494784,0.37621477,0.0477209,9.531528e-05,0.009
19,0.5049477,0.3733979,0.04771916,0.00010304153,0.0095
20,0.5049475,0.37058094,0.047717467,0.00011082739,0.01
21,0.50494736,0.367764,0.047715798,0.00011860579,0.0105
22,0.50494725,0.36494714,0.047714055,0.0001263544,0.011
23,0.5049471,0.36213025,0.04771237,0.000134103,0.0115
24,0.504947,0.35931325,0.04771068,0.00014189631,0.012
25,0.5049468,0.35649633,0.047708906,0.00014960766,0.0125
26,0.5049467,0.3536794,0.047707252,0.00015737116,0.013
27,0.5049466,0.3508625,0.04770551,0.00016514212,0.0135
28,0.5049465,0.3480455,0.047703832,0.00017289072,0.014
29,0.5049463,0.3452286,0.04770211,0.00018065423,0.0145
30,0.5049462,0.34241173,0.047700368,0.00018843263,0.015
31,0.50494605,0.33959475,0.04769869,0.00019618124,0.0155
32,0.50494593,0.3367778,0.047697008,0.00020395964,0.016
33,0.5049458,0.33396092,0.047695294,0.0002117157,0.0165
34,0.50494564,0.33114392,0.04769361,0.00021947175,0.017
35,0.5049455,0.328327,0.047691867,0.0002272278,0.0175
36,0.50494534,0.32551014,0.047690175,0.00023499876,0.018
37,0.5049452,0.32269317,0.04768846,0.00024273247,0.0185
38,0.50494504,0.31987628,0.047686726,0.00025050342,0.019
39,0.5049449,0.3170593,0.047685012,0.00025827438,0.0195
40,0.5049448,0.31424242,0.04768333,0.00026602298,0.02
41,0.5049446,0.31142554,0.047681585,0.00027377903,0.0205
42,0.5049445,0.30860853,0.0476799,0.00028155744,0.021
43,0.5049444,0.30579168,0.04767818,0.0002892837,0.0215
44,0.50494426,0.3029747,0.047676496,0.0002970621,0.022
45,0.5049441,0.3001577,0.047674812,0.0003048405,0.0225
46,0.504944,0.29734078,0.047673076,0.0003125891,0.023
47,0.5049439,0.29452386,0.0476714,0.00032036752,0.0235
48,0.5049438,0.29170695,0.04766971,0.00032813102,0.024
49,0.5049436,0.28889006,0.047667965,0.00033584982,0.0245
