,PH_Al,PH_Al_2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.5029853,0.40096152,0.052835017,-0.00019735843,0.0
1,0.5031202,0.40092388,0.052294314,-0.00016052648,0.0005
2,0.50325507,0.40088636,0.05175361,-0.00012369361,0.001
3,0.50338984,0.4008488,0.051212907,-8.686166e-05,0.0015
4,0.5035248,0.40081123,0.050672233,-5.0029717e-05,0.002
5,0.50365955,0.40077382,0.0501315,-1.319591e-05,0.0025
6,0.50379443,0.40073612,0.049590796,2.3635104e-05,0.003
7,0.5039293,0.40069857,0.049050093,6.046705e-05,0.0035
8,0.50406414,0.40066105,0.04850945,9.730086e-05,0.004
9,0.50419897,0.4006236,0.047968715,0.0001341328,0.0045
10,0.50426835,0.39914095,0.047707707,0.0001547914,0.005
11,0.50427693,0.39631674,0.047706306,0.00016043149,0.0055
12,0.5042854,0.39349264,0.047704935,0.00016607251,0.006
13,0.504294,0.39066848,0.047703564,0.00017171353,0.0065
14,0.50430256,0.38784423,0.047702134,0.00017735362,0.007
15,0.50431114,0.38502014,0.047700763,0.00018299464,0.0075
16,0.5043197,0.38219592,0.04769942,0.00018863566,0.008
17,0.50432825,0.37937182,0.04769802,0.00019427761,0.0085
18,0.5043368,0.37654766,0.04769668,0.0001999177,0.009
19,0.50434536,0.37372342,0.04769528,0.00020555872,0.0095
20,0.50435394,0.37089938,0.047693938,0.00021119975,0.01
21,0.5043624,0.36807516,0.047692508,0.00021684077,0.0105
22,0.504371,0.36525095,0.047691137,0.00022248179,0.011
23,0.5043796,0.36242676,0.047689736,0.00022812188,0.0115
24,0.504388,0.35960266,0.047688395,0.0002337629,0.012
25,0.5043967,0.3567785,0.047686994,0.00023940485,0.0125
26,0.5044052,0.35395434,0.047685623,0.00024504494,0.013
27,0.5044137,0.35113013,0.047684222,0.0002506869,0.0135
28,0.50442225,0.34830597,0.04768288,0.00025632605,0.014
29,0.5044309,0.3454818,0.04768148,0.000261968,0.0145
30,0.50443935,0.3426577,0.04768008,0.00026760902,0.015
31,0.50444794,0.33983347,0.04767874,0.00027324818,0.0155
32,0.5044565,0.33700928,0.047677338,0.00027889013,0.016
33,0.504465,0.33418518,0.047675967,0.00028453115,0.0165
34,0.5044736,0.33136094,0.047674596,0.00029017217,0.017
35,0.50448215,0.32853687,0.047673196,0.0002958132,0.0175
36,0.5044907,0.32571268,0.047671795,0.00030145328,0.018
37,0.50449926,0.32288852,0.047670424,0.00030709524,0.0185
38,0.5045078,0.3200643,0.047669053,0.00031273533,0.019
39,0.5045163,0.31724015,0.047667682,0.00031837635,0.0195
40,0.5045249,0.31441602,0.04766634,0.00032401737,0.02
41,0.50453347,0.31159186,0.04766494,0.0003296584,0.0205
42,0.50454193,0.3087677,0.04766354,0.0003352994,0.021
43,0.5045506,0.30594346,0.04766217,0.0003409395,0.0215
44,0.50455916,0.30311933,0.047660798,0.00034658052,0.022
45,0.5045677,0.30029523,0.047659397,0.00035222154,0.0225
46,0.5045762,0.297471,0.047657996,0.00035786256,0.023
47,0.5045847,0.2946468,0.047656626,0.00036350265,0.0235
48,0.5045933,0.29182273,0.047655255,0.00036914367,0.024
49,0.5046019,0.2889985,0.047653884,0.00037478656,0.0245
50,0.5046104,0.2861744,0.047652543,0.0003804257,0.025
51,0.504619,0.2833502,0.047651142,0.00038606767,0.0255
