UTS,YS,EL
203.1808,92.64912,8.846775
204.14882,93.37499,9.185753
205.14406,94.121574,9.534561
206.12827,94.85975,9.879358
207.11069,95.59656,10.223536
208.09134,96.33205,10.567076
209.07018,97.06611,10.909924
210.04733,97.798935,11.252207
211.01944,98.52751,11.601534
212.96017,99.72973,11.977476
215.12088,101.03901,12.359499
214.56465,100.77646,12.38855
214.26715,100.64411,12.4562645
213.38896,100.22176,12.452461
212.7323,99.90983,12.474783
211.61548,99.36808,12.440365
209.95583,98.55331,12.330879
208.86052,98.02207,12.297678
208.27333,97.74451,12.32762
207.41711,97.33249,12.323114
206.2971,96.788666,12.285339
205.8384,96.57507,12.330421
205.18636,96.26485,12.350811
204.34396,95.8595,12.34688
203.3196,95.36318,12.31967
203.11412,95.27595,12.396587
201.95708,94.720795,12.356247
201.47137,94.50178,12.3554
201.33122,94.454094,12.377253
201.02126,94.32065,12.385115
200.54372,94.10249,12.379017
199.97194,93.832756,12.363794
199.40768,93.55791,12.345579
200.79958,94.24916,12.480803
199.88521,93.80137,12.435112
198.78227,93.26045,12.374382
199.75389,93.74409,12.476728
200.61732,94.1743,12.570602
199.04628,93.4022,12.472815
199.66835,93.71317,12.54759
200.18187,93.97053,12.61401
200.59612,94.17884,12.672653
198.45386,93.12464,12.529209
198.64491,93.22274,12.570034
198.73978,93.2733,12.6033
198.74458,93.27941,12.629383
198.65947,93.2411,12.648283
198.4839,93.15812,12.660093
198.22185,93.032425,12.664852
197.87862,92.86665,12.663101
200.14586,93.98992,12.869509
199.66582,93.75656,12.85696
199.10173,93.48171,12.837685
198.46013,93.16857,12.81205
197.7409,92.817116,12.780046
199.78166,93.82848,12.969131
198.94064,93.41688,12.92737
198.0219,92.966896,12.8792305
199.94476,93.920006,13.059357
198.91365,93.41454,13.0020485
197.80789,92.87223,12.938602
199.62161,93.7714,13.110449
198.40633,93.175026,13.038057
197.11981,92.54348,12.959656
198.8373,93.39509,13.123955
197.44423,92.710945,13.03684
199.09946,93.5318,13.196468
197.60684,92.79853,13.100908
199.20593,93.59164,13.256334
197.61317,92.80892,13.152414
199.15936,93.57589,13.303766
197.4699,92.74546,13.191624
198.9662,93.48777,13.339134
197.17674,92.60798,13.218641
198.6231,93.32562,13.3622875
196.7428,92.401,13.234026
198.14217,93.09543,13.374062
196.17143,92.1262,13.237932
197.52399,92.7975,13.374365
198.86427,93.462715,13.509975
196.7779,92.436424,13.363768
198.07419,93.07992,13.495983
195.89702,92.00881,13.342012
195.37195,91.752045,13.333744
196.61555,92.36951,13.461918
194.33205,91.245964,13.298475
195.53455,91.843124,13.423498
196.72475,92.4342,13.547684
194.3285,91.25504,13.374399
195.48402,91.82899,13.495785
196.62415,92.3953,13.616116
194.1309,91.168335,13.433935
195.23647,91.71758,13.551479
196.32932,92.26054,13.668295
193.73311,90.98277,13.476749
194.7947,91.510315,13.5908985
195.84409,92.03181,13.704237
193.15077,90.706154,13.503778
194.17125,91.21338,13.614767
195.17659,91.71312,13.724718
196.17256,92.208206,13.834066
193.36946,90.82846,13.623209
194.33714,91.30959,13.730114
195.45943,91.86471,13.805717
196.7534,92.50205,13.847725
193.64769,90.97572,13.662489
194.90958,91.59729,13.702726
196.16524,92.21577,13.74259
197.40971,92.82869,13.781445
194.1705,91.23692,13.590849
195.38545,91.835335,13.628252
196.59404,92.4306,13.66527
197.79161,93.02039,13.701271
194.4244,91.365944,13.505856
195.59546,91.9427,13.540596
196.76015,92.51632,13.574947
197.9131,93.08412,13.608423
199.05803,93.64792,13.641062
195.55107,91.92507,13.440796
196.672,92.47712,13.472507
197.78639,93.02593,13.503809
198.88985,93.5693,13.534107
199.98456,94.10833,13.563705
196.34004,92.318214,13.35891
197.41393,92.84704,13.387764
198.47908,93.371544,13.415916
199.53764,93.892815,13.443666
200.58856,94.41024,13.470606
196.80632,92.55277,13.261269
197.83873,93.06116,13.287769
198.86008,93.564064,13.313274
199.87793,94.06524,13.33856
200.88422,94.560684,13.362957
201.8849,95.05334,13.386873
197.96083,93.12664,13.173767
198.94374,93.6106,13.197105
199.92348,94.093,13.220257
200.88902,94.56836,13.242189
201.85118,95.04203,13.263926
202.80804,95.51309,13.285181
198.74446,93.518295,13.068636
199.68042,93.97911,13.089138
200.61624,94.43986,13.109619
201.54318,94.8962,13.129398
202.46178,95.3484,13.148502
203.37462,95.79774,13.16707
204.2813,96.244026,13.18528
200.06825,94.17639,12.965557
200.96582,94.61831,12.9839
200.46658,94.36379,12.952364
201.81323,95.020546,13.032274
203.32823,95.74723,13.122034
204.99611,96.53739,13.220745
206.87083,97.42755,13.319685
206.96,97.43966,13.3189125
206.99168,97.41915,13.31358
205.12505,96.47366,13.194698
205.26021,96.503746,13.195591
