UTS,YS,EL
201.20102,92.53056,8.30869
202.45963,93.01427,8.61242
205.19669,93.42588,9.553967
208.81989,94.61338,10.640479
207.94849,96.034454,10.588717
207.07861,97.452866,10.537061
206.21057,98.86836,10.485501
204.31949,98.7964,11.22836
202.02504,98.13431,12.285407
203.33334,98.74125,12.824414
212.18082,101.461586,12.443692
212.2562,101.16055,12.327031
212.69066,100.99327,12.081529
212.43106,100.56576,12.010449
212.43242,100.23922,11.876092
211.8324,99.63505,11.918214
210.63817,98.84206,12.128106
209.86337,97.97333,12.315177
209.56458,97.09888,12.474578
209.01006,96.235794,12.64745
208.21169,95.38026,12.834104
208.87006,95.12301,13.142495
209.19315,95.00241,13.301482
209.0809,94.9656,13.337197
208.99255,94.91492,13.472188
208.81291,94.92344,13.163766
208.521,94.89634,13.343259
208.58481,94.816025,13.356
208.45805,94.793365,13.263623
208.34238,94.763054,13.233052
208.23233,94.7265,13.264073
208.13828,94.681076,13.356271
208.04303,94.63153,13.505548
207.89417,94.64122,13.088712
207.81311,94.580124,13.339437
207.7298,94.51531,13.644685
207.6026,94.509995,13.349767
207.48125,94.50076,13.086228
207.4028,94.424164,13.526948
207.28479,94.408615,13.333299
207.17787,94.387794,13.171216
207.07578,94.363495,13.037923
206.9859,94.27694,13.643727
206.87994,94.248634,13.5749445
206.7785,94.21698,13.534135
206.67557,94.183685,13.519303
206.57121,94.14873,13.530454
206.4707,94.11078,13.567822
206.3631,94.07268,13.630109
206.2531,94.0334,13.715821
206.2059,94.038345,13.047978
206.09927,93.9951,13.173364
205.99057,93.95054,13.323026
205.87384,93.90627,13.495004
205.74918,93.862305,13.689412
205.73082,93.85478,13.08751
205.60252,93.80902,13.317029
205.46622,93.763565,13.568921
205.46545,93.7489,13.001393
205.31934,93.703445,13.285649
205.16498,93.65846,13.591405
205.18076,93.63709,13.055699
205.0163,93.59223,13.39298
204.83786,93.54939,13.75068
204.85838,93.52464,13.242917
204.66956,93.482086,13.63128
204.70181,93.45293,13.141694
204.49136,93.41371,13.558572
204.53476,93.38045,13.085389
204.30795,93.34319,13.530992
204.3569,93.30733,13.073213
204.10817,93.27356,13.546498
204.1623,93.23523,13.103227
203.89717,93.203445,13.60521
203.95651,93.16268,13.176461
203.66887,93.13466,13.7044115
203.733,93.09161,13.289296
203.41751,93.06875,13.843019
203.48653,93.02339,13.441548
203.56221,92.97604,13.043748
203.21082,92.959854,13.630422
203.29105,92.910355,13.245408
202.91713,92.89795,13.858041
203.24695,92.74686,14.005181
203.33208,92.694855,13.635457
202.9154,92.691025,14.27823
203.00471,92.63702,13.920438
203.10072,92.58103,13.566327
202.64778,92.584015,14.241189
202.74208,92.52771,13.897096
202.8432,92.46927,13.557481
202.342,92.482544,14.259717
202.44147,92.42378,13.930154
202.5529,92.36166,13.604444
202.00397,92.38495,14.335832
202.10802,92.32402,14.019044
202.21873,92.26111,13.705903
201.62158,92.29467,14.464715
201.7299,92.23173,14.15989
201.84515,92.16667,13.859555
201.96672,92.099785,13.562024
201.30136,92.14851,14.351602
201.41525,92.08297,14.062154
201.54105,92.01408,13.776559
201.66788,91.94473,13.49355
200.93411,92.00873,14.313054
201.05852,91.93933,14.038346
201.18369,91.86966,13.765351
201.32076,91.79662,13.496224
200.51323,91.8773,14.34546
200.64227,91.80575,14.083558
200.77206,91.73389,13.823373
200.9137,91.65871,13.56704
200.02654,91.757675,14.444085
200.1599,91.68413,14.194131
200.29399,91.610245,13.945924
200.4346,91.53441,13.701333
200.58685,91.45538,13.459725
199.59964,91.577805,14.36625
199.73798,91.50196,14.12996
199.87694,91.42578,13.895379
200.02786,91.34624,13.664689
200.18506,91.26487,13.436784
199.09218,91.41234,14.371682
199.2352,91.334274,14.148217
199.38443,91.254395,13.927537
199.53432,91.17423,13.708581
199.69586,91.090866,13.492608
198.49738,91.263275,14.455949
198.63905,91.184746,14.243363
198.7926,91.10285,14.0346155
198.94652,91.020805,13.82676
199.10704,90.9368,13.622537
199.27354,90.851105,13.420251
197.93747,91.05683,14.410653
198.08946,90.97458,14.211976
198.24176,90.89218,14.014123
198.4063,90.806305,13.821008
198.5711,90.720276,13.628739
198.74194,90.63255,13.438386
197.26274,90.8731,14.45482
197.41936,90.78871,14.268937
197.57608,90.704285,14.083085
197.73897,90.618065,13.899995
197.90816,90.52997,13.719659
198.08337,90.44023,13.5413065
198.2592,90.350174,13.36464
198.24394,91.60144,14.258515
198.67177,91.71041,14.058656
200.31213,92.33296,14.283242
200.96764,92.542725,14.073701
202.28268,92.926575,13.95601
203.96164,93.354294,13.909074
205.60683,93.786705,13.865533
204.8724,93.197556,13.759568
204.10986,92.62261,13.6691065
203.43652,92.362305,13.830491
203.10533,92.143295,13.691079
202.06587,92.04268,14.037728
202.2309,91.81952,13.661981
201.73563,91.68269,13.787629
201.54398,91.5504,13.612924
201.06374,91.41423,13.726068
200.8895,91.2832,13.537431
200.43062,91.14754,13.639375
199.97491,91.01224,13.7350855
199.82928,90.88295,13.526734
199.39429,90.74823,13.611703
198.9695,90.61368,13.691247
199.15836,90.665825,13.43435
198.7433,90.52994,13.502702
198.3475,90.39979,13.565225
198.86526,90.625626,13.261331
198.51123,90.508194,13.311135
198.1704,90.39746,13.354203
197.84286,90.29334,13.390565
197.54042,90.19409,13.422006
197.28519,90.105606,13.453332
197.8901,90.37073,13.10019
197.63498,90.29137,13.111817
197.40338,90.21634,13.119088
197.18503,90.148056,13.11963
196.98578,90.08562,13.114335
196.86609,90.03749,13.11612
196.8095,90.00017,13.121583
196.75497,89.966606,13.11789
196.70267,89.936874,13.105065
196.64537,89.91104,13.083665
196.59009,89.88906,13.053086
196.53677,89.8705,13.01423
196.4786,89.85628,12.96592
196.43825,89.8551,12.909478
196.39755,89.856094,12.844674
196.35489,89.85826,12.77147
196.61867,89.73715,13.277078
196.56732,89.74289,13.187852
196.32533,89.74909,13.40677
196.4491,89.752335,12.9844675
196.38562,89.7632,12.869805
196.3141,89.77695,12.744798
196.5715,89.66087,13.21145
196.49695,89.67656,13.072282
196.42049,89.6933,12.925591
196.33627,89.712814,12.769441
196.58424,89.601425,13.210183
196.49649,89.623024,13.038987
196.4068,89.645706,12.860269
196.30952,89.671036,12.672906
196.54779,89.56436,13.087708
196.44714,89.59169,12.8861475
196.33885,89.62164,12.67595
196.5685,89.51883,13.071473
196.45673,89.55078,12.847062
196.3429,89.58384,12.615075
196.5696,89.4833,12.993196
196.44128,89.52132,12.74569
196.6664,89.42212,13.113076
196.53415,89.462296,12.85048
196.39993,89.503494,12.581109
196.61662,89.40797,12.930871
196.47308,89.45274,12.646203
196.68797,89.35857,12.9852
196.54092,89.40529,12.6871195
196.75403,89.31251,13.015351
196.59247,89.36408,12.702546
196.80339,89.27284,13.019143
196.63814,89.326385,12.692872
196.84183,89.23793,12.998483
196.66733,89.29494,12.657739
196.86925,89.207794,12.953408
196.69096,89.266785,12.599198
196.88521,89.18258,12.882997
196.69785,89.24495,12.5151
196.89015,89.16206,12.788926
197.08194,89.07977,13.05782
196.88377,89.14633,12.670396
197.06798,89.066895,12.92825
196.86618,89.135376,12.528184
197.04839,89.05722,12.776059
197.22977,88.97974,13.018941
197.01178,89.05385,12.599122
197.19118,88.97768,12.832025
197.37,88.902054,13.0608225
197.141,88.98041,12.621442
197.31233,88.907486,12.840016
197.48285,88.835236,13.053605
197.24304,88.91774,12.595475
197.41164,88.846695,12.79992
197.5737,88.77784,12.998334
196.88937,88.943504,12.536809
197.45375,88.75537,13.070844
197.68031,88.709206,12.90466
197.83858,88.64274,13.085565
197.57454,88.73456,12.584718
197.72507,88.67087,12.755349
197.88052,88.606186,12.922929
198.02965,88.543564,13.08529
197.74734,88.641846,12.559564
197.89429,88.5805,12.712728
198.03496,88.52118,12.860723
198.18045,88.46092,13.005597
197.88548,88.56407,12.456826
198.02338,88.50646,12.592309
198.16023,88.44954,12.722802
198.29095,88.394516,12.848912
198.4265,88.33853,12.97194
198.55566,88.28463,13.089765
198.23953,88.39557,12.507646
198.36623,88.342964,12.6162195
198.49236,88.290794,12.721501
198.61237,88.240555,12.822427
198.73688,88.18945,12.919412
198.8554,88.140175,13.012849
198.97284,88.09158,13.101285
198.62793,88.21267,12.479634
198.74307,88.16531,12.559655
198.852,88.11987,12.635354
198.96558,88.07346,12.70791
199.07297,88.02905,12.77612
199.17943,87.98516,12.840116
199.27959,87.94327,12.899735
199.3844,87.900406,12.956273
199.48297,87.85949,13.008431
199.58081,87.81903,13.057237
199.67773,87.77914,13.101884
199.77391,87.73967,13.143212
199.86908,87.70079,13.180345
199.47417,87.83951,12.488996
199.56152,87.80322,12.517518
199.64789,87.76758,12.541856
199.73352,87.732346,12.562856
199.8128,87.69913,12.579469
199.89664,87.664925,12.592961
199.9744,87.63257,12.60291
200.05106,87.60083,12.608666
200.127,87.56952,12.611077
200.1965,87.54021,12.609082
200.27054,87.50994,12.603974
200.33842,87.48154,12.595338
200.40526,87.453735,12.582482
200.47122,87.42638,12.566293
