UTS,YS,EL
194.11655,85.91806,8.2264805
193.14587,86.63042,8.518799
192.17415,87.34186,8.811003
191.20374,88.05419,9.1033325
190.23404,88.76695,9.395681
192.721,89.84064,9.881247
198.73764,91.28317,10.564083
204.40872,92.90076,11.216713
207.25427,95.947784,11.621761
210.1018,98.99571,12.026922
211.75923,100.521286,12.30843
211.33237,99.37875,12.373306
210.90594,98.23648,12.438227
210.48137,97.095245,12.50321
210.05696,95.95421,12.568211
209.63115,94.81213,12.633148
209.20448,93.66987,12.69805
208.77766,92.52739,12.762928
208.35353,91.38666,12.827974
207.92883,90.245285,12.892937
207.49933,89.10124,12.957708
207.07562,87.96054,13.0227375
206.65164,86.81973,13.087791
206.22552,85.67765,13.1527
205.79935,84.53543,13.217596
205.37369,83.39365,13.282555
205.143,82.64392,13.349407
205.00635,82.083786,13.417168
204.8698,81.52339,13.484911
204.73317,80.96286,13.55265
204.59627,80.40232,13.620398
204.45863,79.84179,13.688095
204.32251,79.28171,13.755878
204.18468,78.720856,13.823565
204.04706,78.16031,13.89127
203.90971,77.59941,13.958971
203.77417,77.03983,14.026779
203.63655,76.479,14.0944805
203.50064,75.91876,14.162258
203.36392,75.358536,14.230009
203.22743,74.79854,14.297764
202.96951,74.51808,14.329144
202.61603,74.44672,14.332869
202.2617,74.37485,14.3365555
201.91147,74.304756,14.340479
201.56125,74.23536,14.344389
201.20726,74.162506,14.348116
200.85576,74.093155,14.351936
200.50514,74.022026,14.355852
200.15607,73.95213,14.359848
199.80254,73.88062,14.363577
199.44798,73.80989,14.367226
199.0973,73.7386,14.371141
198.7469,73.668625,14.37505
198.36075,73.704,14.361528
197.9014,73.94227,14.313793
197.44319,74.180176,14.266174
196.98685,74.41989,14.218636
196.53078,74.65985,14.171103
196.0698,74.89819,14.123226
195.61328,75.13722,14.075703
195.41173,75.39762,14.047293
195.40123,75.676315,14.03315
195.3903,75.95427,14.019001
195.37578,76.229805,14.004648
195.36496,76.50715,13.990538
195.35347,76.78549,13.976318
195.3424,77.06327,13.96217
195.3257,77.33794,13.94766
195.31664,77.616714,13.933636
195.30467,77.89435,13.919413
195.2927,78.17195,13.905184
195.2793,78.448,13.890909
195.2701,78.72676,13.876877
195.25644,79.00345,13.862545
195.24481,79.28096,13.848354
195.23367,79.55905,13.834179
195.2194,79.8356,13.819799
195.20683,80.11229,13.805563
195.19713,80.39032,13.791523
195.18535,80.66797,13.777309
195.17152,80.94461,13.762968
195.1601,81.22183,13.748808
195.14856,81.49951,13.734619
195.13692,81.77702,13.72043
195.1265,82.05557,13.706295
195.1114,82.33084,13.691906
195.0993,82.60827,13.677675
195.08899,82.88699,13.663544
195.07777,83.16475,13.649382
195.06305,83.43976,13.635033
195.05197,83.71753,13.620884
195.04123,83.996185,13.606716
195.02959,84.2737,13.592522
195.01633,84.54994,13.578249
195.00267,84.826614,13.563915
194.99197,85.104935,13.54977
194.98009,85.38208,13.535576
194.96915,85.660034,13.521429
194.9557,85.93643,13.507126
194.94386,86.21424,13.492903
194.93329,86.49194,13.478798
194.92224,86.769714,13.464647
194.90564,87.0452,13.4501095
194.8954,87.32297,13.436033
194.88426,87.60105,13.421858
194.87227,87.87802,13.40766
194.86205,88.157074,13.393522
194.848,88.43255,13.379215
194.83508,88.70935,13.364944
194.82393,88.98758,13.350761
194.81287,89.26536,13.336607
194.80054,89.542435,13.322378
194.7886,89.81926,13.308191
194.903,90.04776,13.299938
195.15974,90.21564,13.29838
195.41838,90.38455,13.296951
195.67834,90.554436,13.295589
195.93826,90.724236,13.294226
