UTS,YS,EL
200.994,92.51793,8.30647
201.25966,92.43973,8.742862
201.52534,92.361565,9.179244
201.79091,92.28337,9.6155615
202.05661,92.20521,10.051931
202.3222,92.12699,10.488313
203.27568,92.41365,10.847651
205.07687,93.14903,11.237483
210.2633,95.67616,11.758501
215.45018,98.20351,12.279555
219.3108,100.101364,12.714678
218.257,99.63001,12.699081
217.20406,99.15909,12.683595
216.15074,98.68799,12.668051
215.09776,98.21706,12.65256
214.04439,97.74591,12.637014
212.99065,97.27458,12.621419
211.93727,96.80345,12.605883
210.88376,96.33226,12.590327
209.83104,95.861435,12.574853
208.96622,95.45978,12.57181
208.62758,95.25615,12.608985
208.28987,95.05294,12.646239
207.9512,94.84931,12.683401
207.61182,94.64537,12.7205
207.27402,94.44211,12.757747
206.93459,94.238144,12.794849
206.59602,94.03456,12.83202
206.30313,93.855194,12.86409
206.14815,93.74899,12.88066
205.99341,93.64292,12.897249
205.83943,93.53716,12.9139185
205.68474,93.4311,12.930509
205.52907,93.324615,12.947002
205.37517,93.218895,12.9636755
205.22038,93.11279,12.980257
205.06555,93.00667,12.996842
204.91003,92.90025,13.013343
204.75604,92.794495,13.030017
204.60127,92.6884,13.046607
204.44644,92.582275,13.063181
204.29092,92.47586,13.079689
204.13693,92.3701,13.096358
203.98216,92.264,13.112941
203.8283,92.158295,13.12962
203.6726,92.0518,13.146114
203.51782,91.94571,13.162697
203.36311,91.83963,13.179283
203.20837,91.73355,13.195868
203.05359,91.62746,13.212456
202.89876,91.52133,13.229041
202.74397,91.41522,13.245623
202.59007,91.3095,13.262302
202.43529,91.2034,13.278884
202.27968,91.09694,13.295377
202.12491,90.99085,13.311967
201.97011,90.884735,13.328544
201.81618,90.77901,13.345226
201.66061,90.67256,13.36172
201.50581,90.56646,13.378297
201.35104,90.46036,13.394887
201.19702,90.35458,13.4115505
201.04225,90.24849,13.4281435
200.8867,90.14206,13.444643
200.73189,90.03594,13.461222
200.57715,89.92987,13.477811
200.42317,89.82411,13.494477
200.2676,89.71767,13.510977
200.11282,89.61157,13.527565
199.95891,89.505844,13.544241
199.80406,89.39972,13.560828
199.64929,89.29361,13.577409
199.4938,89.18721,13.593913
199.33897,89.0811,13.610493
199.18501,88.97534,13.627163
199.02942,88.8689,13.643665
198.87465,88.7628,13.660247
198.72073,88.657074,13.676923
198.56595,88.55097,13.693506
198.41109,88.44483,13.710092
198.2556,88.338425,13.726595
198.10158,88.23265,13.743261
197.94678,88.12655,13.759846
197.792,88.02045,13.776431
197.6373,87.91438,13.79302
197.48169,87.80793,13.809511
197.32773,87.70218,13.826184
197.1729,87.596054,13.842765
197.01823,87.490005,13.859357
196.86339,87.38387,13.875939
196.70871,87.277824,13.892531
196.5539,87.1717,13.909112
196.39825,87.06524,13.925607
196.24432,86.9595,13.942285
196.08951,86.85338,13.958859
195.93472,86.747284,13.975448
195.78076,86.641525,13.992124
195.62512,86.535065,14.00861
195.47044,86.429,14.025205
195.31644,86.32324,14.041871
195.16159,86.21712,14.0584545
195.00606,86.11069,14.07496
194.85127,86.00459,14.091539
194.6973,85.898834,14.108214
194.54173,85.79239,14.124712
194.60034,85.804924,14.120869
194.82681,85.9108,14.1009245
195.0541,86.01701,14.081063
195.28053,86.12287,14.061115
195.50613,86.228355,14.041103
195.73256,86.33419,14.021157
195.95905,86.44007,14.001222
196.18636,86.54631,13.981361
196.41283,86.65217,13.961422
196.63838,86.75763,13.941401
196.8657,86.86388,13.921538
197.09213,86.96973,13.901599
197.3186,87.07559,13.881657
197.54417,87.18106,13.861636
197.77066,87.286934,13.841697
197.99706,87.39277,13.821752
198.22353,87.49863,13.801813
198.44998,87.60449,13.781873
198.6764,87.71034,13.761926
198.90378,87.8166,13.742075
199.13019,87.92243,13.72213
199.35579,88.02792,13.702114
199.58226,88.13379,13.682176
199.80861,88.2396,13.662223
200.03592,88.34584,13.642364
200.2624,88.451706,13.622422
200.48802,88.5572,13.602411
200.71535,88.66344,13.582554
200.94174,88.76927,13.562603
201.16827,88.87517,13.542668
201.46873,89.014305,13.536176
202.10211,89.30315,13.590114
202.73558,89.59203,13.64406
203.36897,89.88089,13.698009
204.0024,90.16974,13.751952
204.63582,90.45862,13.805891
205.26921,90.74747,13.859846
206.00539,91.083374,13.916918
207.0551,91.56285,13.983578
208.10475,92.04228,14.05022
209.15437,92.52173,14.116873
210.20483,93.00152,14.183586
211.25453,93.48098,14.250237
212.30344,93.96008,14.316818
213.35313,94.439545,14.383471
213.43086,94.48709,14.382058
212.88795,94.25881,14.337197
212.34581,94.03088,14.292395
211.80292,93.80263,14.247528
211.26076,93.57469,14.20273
210.71785,93.34643,14.157857
210.17494,93.11815,14.11299
209.63205,92.88989,14.06812
209.08913,92.66162,14.0232525
208.54619,92.43335,13.97838
208.00412,92.20543,13.933588
207.46118,91.97716,13.88872
206.91907,91.74924,13.843918
206.37614,91.520966,13.799054
205.83324,91.292694,13.754187
205.29031,91.06442,13.709314
204.74818,90.8365,13.664518
204.20529,90.60823,13.619649
203.66237,90.37996,13.574778
203.11942,90.15167,13.529905
202.57735,89.923775,13.485112
202.0344,89.69549,13.440245
201.49144,89.46721,13.395371
201.33658,89.389984,13.378025
201.36763,89.385124,13.373864
201.39876,89.380295,13.369705
201.43135,89.3761,13.365683
201.46248,89.37128,13.361518
201.49364,89.366455,13.357368
201.5247,89.3616,13.353201
201.55579,89.35675,13.349044
201.58691,89.35192,13.344886
201.61879,89.34741,13.340797
201.64986,89.34256,13.336634
201.68102,89.33774,13.332475
201.71211,89.3329,13.328321
201.744,89.32841,13.324227
201.77507,89.32355,13.320065
201.80615,89.318695,13.315909
201.8373,89.31387,13.31175
201.86844,89.309044,13.307594
201.90028,89.30454,13.303501
201.9306,89.29935,13.299277
201.96326,89.2952,13.2952585
201.99432,89.29034,13.291097
202.0254,89.28549,13.286934
202.05656,89.28067,13.282774
202.08842,89.27616,13.278684
202.11877,89.27098,13.274454
202.15062,89.26648,13.270366
202.1825,89.26197,13.266277
202.2136,89.257126,13.262123
202.2447,89.25229,13.257957
202.27583,89.24747,13.253797
202.30696,89.24263,13.249644
202.33803,89.23778,13.245482
202.36989,89.23326,13.241398
202.40025,89.22809,13.237167
202.43288,89.22392,13.233141
202.46399,89.21908,13.22898
202.49507,89.21424,13.224824
202.52617,89.2094,13.220668
202.55733,89.204575,13.216507
202.58914,89.20006,13.212416
202.62029,89.19523,13.208266
202.65218,89.19073,13.204169
202.68329,89.1859,13.200011
202.71432,89.18103,13.195848
202.74547,89.17621,13.1916895
202.77658,89.17137,13.187534
202.80771,89.166534,13.183377
202.83878,89.161674,13.179215
202.86989,89.156845,13.175056
202.90251,89.152664,13.171031
202.93286,89.14749,13.16681
202.96472,89.14299,13.162718
202.9958,89.13814,13.158552
203.02696,89.133316,13.154392
203.05807,89.12848,13.150238
203.08992,89.12397,13.146148
203.12102,89.11912,13.141993
203.15285,89.11461,13.1378975
203.18324,89.10945,13.133677
203.21513,89.10495,13.129579
203.2462,89.1001,13.125415
203.27731,89.09526,13.121261
203.30917,89.090744,13.117169
203.34029,89.08592,13.113015
203.37065,89.08074,13.108796
203.40251,89.07625,13.104695
203.43434,89.07172,13.100608
203.46547,89.066895,13.096447
203.49654,89.062035,13.092287
203.52771,89.057236,13.088137
203.55882,89.05238,13.083972
203.59068,89.047874,13.079882
203.6218,89.04304,13.075723
203.65364,89.03851,13.07163
203.68474,89.03368,13.067474
203.71587,89.028854,13.063314
203.74698,89.02402,13.059159
