UTS,YS,EL
201.19977,92.526695,8.305894
201.08614,92.36497,8.736159
200.9685,92.19826,9.178914
200.8525,92.033585,9.616578
200.73677,91.86924,10.053441
200.62126,91.70519,10.489505
201.79222,91.978775,10.886268
204.31572,92.7996,11.225743
206.83401,93.61871,11.564509
209.34834,94.43658,11.902732
212.31325,95.303375,12.29227
212.20184,94.78419,12.39784
212.34923,94.26467,12.551322
211.9522,93.669914,12.623733
211.75484,93.10838,12.72466
211.12688,92.48782,12.761296
209.89406,91.81922,12.702241
209.2804,91.20801,12.739207
209.1266,90.655266,12.8468275
208.72615,90.07649,12.9152
208.08202,89.4688,12.945796
208.30653,89.63101,12.985385
208.31236,89.67464,13.007001
208.10309,89.601166,13.011018
207.6881,89.41565,12.998162
208.18251,89.726746,13.060147
207.76286,89.53001,13.046834
207.42975,89.41843,13.050288
207.47237,89.484344,13.075616
207.3906,89.48188,13.090535
207.18996,89.413185,13.095223
206.86143,89.27502,13.089494
206.42886,89.07776,13.074437
207.09703,89.49204,13.153394
206.46394,89.18388,13.121354
205.73235,88.81963,13.08044
206.15547,89.09914,13.138875
206.51532,89.34388,13.192012
205.52928,88.83653,13.128774
205.75714,89.007195,13.170379
205.91643,89.14103,13.2065325
206.01811,89.24314,13.237847
204.73825,88.56753,13.147832
204.72462,88.6037,13.168672
204.65538,88.60918,13.184821
204.53949,88.58802,13.196746
204.37706,88.54026,13.204438
204.16267,88.46379,13.207738
203.90901,88.36381,13.207133
203.61436,88.240204,13.202741
204.65778,88.8832,13.320197
204.28693,88.71708,13.309222
203.87329,88.52637,13.294322
203.42607,88.31519,13.275958
202.9452,88.083496,13.254127
203.84016,88.64764,13.360061
203.29778,88.38051,13.332551
202.72171,88.092865,13.30157
203.53687,88.61501,13.401427
202.91037,88.29704,13.365386
202.25212,87.9596,13.32603
202.99309,88.44272,13.420266
202.2862,88.07594,13.3759775
201.55482,87.6928,13.328691
202.23999,88.14515,13.418231
201.46191,87.73365,13.366174
202.10252,88.162926,13.452443
201.29234,87.72933,13.396249
201.89232,88.1376,13.479554
201.04451,87.67978,13.419045
201.61101,88.07005,13.499688
200.7329,87.5911,13.435184
201.26778,87.96444,13.51332
200.35223,87.46133,13.444522
200.85551,87.81769,13.520146
199.91336,87.29544,13.4476385
200.38692,87.63584,13.520904
199.42354,87.096535,13.444861
199.8675,87.42106,13.515777
200.29843,87.739426,13.585917
199.30821,87.17839,13.505359
199.71138,87.48185,13.573297
198.69458,86.90169,13.489039
197.89905,86.56767,13.463317
198.26917,86.85337,13.528632
197.23683,86.256744,13.440488
197.58098,86.5285,13.503739
197.91212,86.794106,13.566226
196.85483,86.176765,13.473723
197.16917,86.43254,13.534604
197.46863,86.681145,13.594575
196.40645,86.052284,13.498761
196.6892,86.291084,13.5571375
196.95357,86.52167,13.614589
195.88278,85.87926,13.51518
196.13768,86.10313,13.571343
196.37965,86.32087,13.626746
195.30391,85.66689,13.524034
195.53275,85.876785,13.578124
195.74687,86.079575,13.631316
195.9499,86.27723,13.683892
194.88176,85.61517,13.577804
195.07716,85.80712,13.629245
195.25414,85.9908,13.6797495
195.42557,86.17152,13.729817
194.36697,85.50241,13.620511
194.52531,85.67528,13.669272
194.6799,85.84613,13.717734
194.81612,86.00874,13.765269
193.77234,85.33465,13.652896
193.90282,85.49256,13.699452
194.0295,85.64844,13.745698
194.1379,85.79613,13.79102
193.11801,85.121086,13.6760435
193.22246,85.26502,13.720529
193.3231,85.40694,13.7647085
193.4109,85.54276,13.808129
193.4822,85.67135,13.850774
192.56857,85.00236,13.743699
192.76587,85.13291,13.804902
192.95973,85.261375,13.865878
193.13847,85.38174,13.926412
193.3079,85.497025,13.986606
192.55194,84.83803,13.894614
192.86635,85.10201,13.914428
193.3119,85.50834,13.894397
193.7542,85.91267,13.874118
194.18552,86.31267,13.852778
193.42154,85.616234,13.768754
193.8579,86.01474,13.748208
194.28163,86.40789,13.726472
194.70358,86.799965,13.704606
195.11626,87.18754,13.681912
195.52254,87.57239,13.65862
194.78752,86.862015,13.57968
195.19563,87.244606,13.556827
195.60216,87.62623,13.53386
195.99452,88.00156,13.509576
196.38521,88.37587,13.485164
196.76964,88.74751,13.46017
196.06818,88.024864,13.386781
196.45296,88.39335,13.362105
196.83757,88.761734,13.337436
197.21425,89.126465,13.312026
197.58318,89.487625,13.285922
197.9457,89.84605,13.259219
198.3051,90.202576,13.232268
