UTS,YS,EL
208.67485,95.73992,9.39091
208.64754,95.62298,9.797235
208.61897,95.5055,10.203469
208.58919,95.3875,10.609685
208.6273,95.48119,10.979028
209.53194,95.89982,11.316623
211.9439,96.69581,11.6344595
214.3569,97.49235,11.952317
216.76756,98.287704,12.270085
219.18065,99.08424,12.587958
220.06438,99.2077,12.758016
219.58449,98.62744,12.807412
219.28192,98.04708,12.892587
218.97745,97.46556,12.977754
218.6748,96.88514,13.062917
218.37123,96.3042,13.148082
218.06758,95.72323,13.233233
217.7639,95.14224,13.318387
217.46051,94.56132,13.403567
217.15678,93.980316,13.488719
216.99715,93.75295,13.535993
216.86177,93.58973,13.576198
216.7282,93.42739,13.61645
216.60738,93.30955,13.648782
216.52141,93.300606,13.6621065
216.43599,93.29193,13.675483
216.34834,93.28229,13.688745
216.26244,93.273346,13.702077
216.17503,93.26385,13.7153635
216.08908,93.25489,13.728694
216.0027,93.245804,13.742024
215.91573,93.23642,13.755307
215.83006,93.227615,13.768662
215.74297,93.21826,13.781966
215.65723,93.20944,13.79532
215.57037,93.20008,13.808602
215.48387,93.19097,13.821929
215.39723,93.181755,13.835238
215.31088,93.17269,13.848571
215.22491,93.16373,13.861899
215.13725,93.15408,13.875163
215.05154,93.14525,13.888516
214.96391,93.13562,13.90178
214.87727,93.12641,13.915093
214.79156,93.117584,13.928433
214.70493,93.108376,13.941752
214.61903,93.09945,13.955083
214.53206,93.09019,13.968398
214.44641,93.081375,13.981748
214.35973,93.072136,13.995055
214.2731,93.06293,14.0083685
214.18611,93.053535,14.021655
214.10075,93.0449,14.0350275
214.01305,93.03523,14.048291
213.92638,93.026,14.061599
213.83975,93.0168,14.074906
213.75282,93.007416,14.088197
213.66765,92.99889,14.10159
213.58028,92.98938,14.114875
213.49403,92.980286,14.128182
213.40791,92.97135,14.141532
213.321,92.961975,14.154822
213.23532,92.95316,14.16817
213.14787,92.94365,14.181455
213.06197,92.93471,14.194783
212.97458,92.9252,14.208072
212.88866,92.91627,14.221404
212.80199,92.907036,14.234712
212.7153,92.89779,14.248017
212.62988,92.88913,14.261392
212.54224,92.879486,14.274657
212.45653,92.870674,14.287995
212.36888,92.86104,14.301263
212.28297,92.8521,14.314595
212.1968,92.84312,14.327945
212.11015,92.83391,14.341258
212.02443,92.82509,14.3546
211.93678,92.81544,14.367871
211.85162,92.80691,14.381265
211.7647,92.79755,14.394549
211.67776,92.788185,14.407836
211.59134,92.779076,14.421161
211.50471,92.769875,14.434474
211.41801,92.76063,14.447778
211.33134,92.75141,14.461085
211.24574,92.74262,14.474441
211.15883,92.73325,14.487737
211.07262,92.724304,14.501075
210.98595,92.71506,14.514388
210.89952,92.70595,14.527711
210.81288,92.69674,14.541022
210.72589,92.68736,14.554297
210.64055,92.67872,14.567683
210.55261,92.668915,14.580928
210.46718,92.66024,14.594296
210.38026,92.65088,14.607575
210.29381,92.64178,14.620904
210.20695,92.63244,14.634196
210.12027,92.62321,14.647506
210.03358,92.61398,14.660811
209.9469,92.60474,14.674121
209.86174,92.596214,14.687512
209.77412,92.586555,14.70078
209.68843,92.57776,14.714126
209.60278,92.56896,14.727479
209.51506,92.55929,14.740741
209.42845,92.55008,14.754052
209.34203,92.540985,14.767383
209.25618,92.53208,14.780715
209.1684,92.52239,14.793971
209.08281,92.51361,14.807328
208.99709,92.50479,14.82068
208.90968,92.495285,14.833961
208.82428,92.48662,14.847335
