,PH_Al,PH_Al_2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.5033431,0.40105128,0.05260226,-4.1514635e-05,0.0
1,0.5034081,0.4009819,0.05211085,-3.454089e-05,0.0005
2,0.50347304,0.4009127,0.05161941,-2.759695e-05,0.001
3,0.503538,0.40084332,0.05112797,-2.0712614e-05,0.0015
4,0.503603,0.40077412,0.050636545,-1.3798475e-05,0.002
5,0.50366795,0.40070486,0.05014509,-6.824732e-06,0.0025
6,0.50373286,0.40063554,0.04965368,8.940697e-08,0.003
7,0.5037979,0.40056622,0.04916221,7.0035458e-06,0.0035
8,0.50386286,0.40049702,0.0486708,1.3917685e-05,0.004
9,0.5039278,0.40042776,0.048179343,2.0831823e-05,0.0045
10,0.50397027,0.39918077,0.04789637,2.7924776e-05,0.005
11,0.5039824,0.3963561,0.047892645,3.5136938e-05,0.0055
12,0.5039947,0.3935315,0.04788895,4.2408705e-05,0.006
13,0.50400686,0.39070684,0.047885224,4.965067e-05,0.0065
14,0.504019,0.38788223,0.04788153,5.6892633e-05,0.007
15,0.5040313,0.3850575,0.04787782,6.41644e-05,0.0075
16,0.5040435,0.38223296,0.04787408,7.143617e-05,0.008
17,0.50405574,0.37940836,0.047870398,7.864833e-05,0.0085
18,0.504068,0.3765837,0.047866687,8.5920095e-05,0.009
19,0.5040802,0.37375897,0.047862977,9.316206e-05,0.0095
20,0.5040924,0.37093443,0.04785925,0.00010046363,0.01
21,0.5041046,0.36810976,0.04785554,0.00010770559,0.0105
22,0.50411683,0.3652851,0.04785186,0.00011497736,0.011
23,0.50412905,0.3624605,0.047848105,0.00012215972,0.0115
24,0.5041412,0.3596359,0.04784441,0.00012946129,0.012
25,0.5041535,0.35681123,0.0478407,0.00013667345,0.0125
26,0.5041657,0.35398656,0.04783699,0.00014397502,0.013
27,0.50417787,0.3511619,0.047833294,0.00015124679,0.0135
28,0.5041901,0.34833735,0.04782957,0.00015845895,0.014
29,0.5042023,0.3455127,0.047825873,0.00016573071,0.0145
30,0.5042145,0.34268802,0.047822148,0.00017294288,0.015
31,0.5042268,0.33986336,0.047818437,0.00018021464,0.0155
32,0.50423896,0.33703876,0.047814727,0.00018748641,0.016
33,0.50425124,0.3342141,0.047811,0.00019475818,0.0165
34,0.5042634,0.3313895,0.04780732,0.00020200014,0.017
35,0.5042756,0.32856488,0.04780361,0.0002092123,0.0175
36,0.50428784,0.32574016,0.047799915,0.00021651387,0.018
37,0.50430006,0.32291555,0.04779616,0.00022372603,0.0185
38,0.5043123,0.32009095,0.047792464,0.0002310276,0.019
39,0.50432456,0.3172663,0.04778877,0.00023826957,0.0195
40,0.5043367,0.31444162,0.047785044,0.00024554133,0.02
41,0.50434893,0.31161708,0.047781333,0.0002527535,0.0205
42,0.50436115,0.30879235,0.047777608,0.00025996566,0.021
43,0.5043734,0.30596775,0.047773898,0.00026729703,0.0215
44,0.5043856,0.30314314,0.047770202,0.0002745092,0.022
45,0.50439775,0.30031842,0.047766507,0.00028178096,0.0225
46,0.50441,0.29749382,0.04776278,0.00028905272,0.023
47,0.50442225,0.2946692,0.047759056,0.0002962649,0.0235
48,0.50443447,0.29184455,0.04775536,0.00030356646,0.024
49,0.5044466,0.28901994,0.047751635,0.00031077862,0.0245
50,0.5044589,0.28619528,0.04774794,0.0003180802,0.025
51,0.50447106,0.28337067,0.047744215,0.00032529235,0.0255
52,0.50448334,0.28054595,0.04774052,0.00033256412,0.026
53,0.5044955,0.27772135,0.047736794,0.00033980608,0.0265
54,0.5045077,0.27489674,0.0477331,0.00034710765,0.027
55,0.50451994,0.27207208,0.047729373,0.0003543198,0.0275
56,0.50453216,0.26924747,0.047725648,0.00036159158,0.028
57,0.5045444,0.2664228,0.047721952,0.00036880374,0.0285
58,0.5045566,0.2635982,0.04771824,0.0003760755,0.029
59,0.5045688,0.2607736,0.04771456,0.00038331747,0.0295
60,0.50458103,0.25794888,0.04771082,0.00039061904,0.03
61,0.50459325,0.2551242,0.04770711,0.000397861,0.0305
62,0.5046055,0.25229967,0.0477034,0.00040510297,0.031
63,0.5046177,0.24947502,0.04769969,0.00041234493,0.0315
64,0.5046299,0.24665035,0.04769598,0.0004195869,0.032
65,0.5046421,0.24382575,0.04769227,0.00042688847,0.0325
66,0.5046543,0.24100108,0.047688574,0.00043416023,0.033
67,0.50466657,0.23817645,0.04768485,0.0004413426,0.0335
68,0.5046787,0.23535182,0.047681138,0.00044861436,0.034
69,0.504691,0.23252718,0.047677428,0.00045588613,0.0345
70,0.50470316,0.22970252,0.047673702,0.0004631281,0.035
71,0.50471544,0.22687794,0.047670007,0.00047039986,0.0355
72,0.5047276,0.22405334,0.04766631,0.00047764182,0.036
73,0.5047398,0.22122858,0.047662586,0.0004849136,0.0365
74,0.50475204,0.21840392,0.04765886,0.00049212575,0.037
75,0.50476426,0.21557926,0.047655165,0.0004993975,0.0375
76,0.5047765,0.21275477,0.047651455,0.0005066693,0.038
77,0.5047887,0.2099301,0.047647744,0.00051394105,0.0385
78,0.5048009,0.20710541,0.04764402,0.0005211532,0.039
79,0.50481313,0.20428081,0.04764031,0.000528425,0.0395
80,0.50482535,0.20145614,0.047636613,0.00053569674,0.04
81,0.5048376,0.19863154,0.047632873,0.0005429089,0.0405
82,0.5048498,0.19580682,0.047629207,0.0005501807,0.041
83,0.50486195,0.19298221,0.047625482,0.00055745244,0.0415
84,0.5048742,0.19015767,0.047621787,0.0005647242,0.042
85,0.50488645,0.18733297,0.04761806,0.00057193637,0.0425
86,0.50489867,0.18450834,0.047614336,0.00057920814,0.043
87,0.5049108,0.18168373,0.04761061,0.0005864203,0.0435
88,0.50492305,0.17885913,0.047606915,0.00059375167,0.044
89,0.50493526,0.1760344,0.04760322,0.00060096383,0.0445
90,0.50494754,0.1732098,0.047599494,0.000608176,0.045
91,0.5049597,0.17038508,0.0475958,0.00061547756,0.0455
92,0.5049719,0.16756047,0.047592074,0.0006226897,0.046
93,0.50498414,0.16473593,0.04758835,0.0006299913,0.0465
94,0.50499636,0.16191126,0.047584653,0.00063723326,0.047
95,0.5050086,0.15908666,0.047580943,0.000644505,0.0475
96,0.5050208,0.15626194,0.047577202,0.000651747,0.048
97,0.505033,0.15343733,0.047573507,0.00065895915,0.0485
98,0.50504524,0.1506127,0.04756981,0.0006662607,0.049
99,0.50505745,0.14778803,0.0475661,0.0006735027,0.0495
100,0.5050696,0.1449634,0.04756239,0.00068077445,0.05
101,0.5050819,0.14213873,0.047558665,0.0006880164,0.0505
102,0.5050941,0.13931413,0.04755497,0.0006951988,0.051
103,0.50510633,0.13648947,0.047551244,0.00070250034,0.0515
104,0.50511855,0.13366486,0.04754755,0.0007098019,0.052
105,0.5051307,0.13084026,0.047543854,0.0007170141,0.0525
106,0.5051429,0.1280156,0.04754013,0.00072428584,0.053
107,0.5051552,0.12519093,0.047536418,0.0007315576,0.0535
108,0.50516737,0.12236638,0.047532707,0.0007387996,0.054
109,0.5051796,0.11954166,0.047528982,0.00074607134,0.0545
110,0.5051918,0.116716996,0.04752527,0.0007532835,0.055
111,0.505204,0.11389239,0.04752156,0.00076058507,0.0555
112,0.50521624,0.11106773,0.047517866,0.00076779723,0.056
113,0.50522846,0.10824312,0.047514156,0.0007750988,0.0565
114,0.5052407,0.10541852,0.04751043,0.00078231096,0.057
115,0.5052529,0.102593794,0.047506735,0.00078961253,0.0575
116,0.5052651,0.09976925,0.04750301,0.0007968247,0.058
117,0.50527734,0.096944585,0.0474993,0.00080406666,0.0585
118,0.50528955,0.09411986,0.047495604,0.0008113086,0.059
119,0.5053017,0.09129532,0.047491893,0.0008185804,0.0595
120,0.505314,0.08847065,0.047488168,0.00082585216,0.06
121,0.5053262,0.08564605,0.047484457,0.0008331239,0.0605
122,0.50533843,0.08282144,0.047480747,0.0008403659,0.061
123,0.5053506,0.07999678,0.047477037,0.00084760785,0.0615
124,0.50536287,0.077172115,0.04747331,0.00085482,0.062
125,0.5053751,0.07434751,0.047469616,0.0008620918,0.0625
126,0.50538725,0.07152279,0.047465906,0.00086936355,0.063
127,0.50539947,0.06869824,0.047462195,0.0008766353,0.0635
