,PH_Al,PH_Al_2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.50336134,0.4009881,0.05264517,1.0579824e-05,0.0
1,0.50340414,0.4009376,0.052145205,9.693205e-06,0.0005
2,0.50344706,0.40088704,0.051645346,8.821487e-06,0.001
3,0.50349,0.40083644,0.05114539,7.934868e-06,0.0015
4,0.5035329,0.40078592,0.05064545,7.0407987e-06,0.002
5,0.5035758,0.40073538,0.050145537,6.1541796e-06,0.0025
6,0.5036187,0.40068477,0.04964567,5.2675605e-06,0.003
7,0.50366163,0.40063432,0.0491457,4.388392e-06,0.0035
8,0.5037044,0.40058377,0.048645765,3.5092235e-06,0.004
9,0.50374746,0.40053314,0.04814583,2.6151538e-06,0.0045
10,0.50378156,0.39948148,0.047826402,4.835427e-06,0.005
11,0.5038004,0.39667436,0.04782342,1.2502074e-05,0.0055
12,0.50381935,0.3938673,0.047820404,2.0168722e-05,0.006
13,0.5038382,0.39106023,0.047817416,2.7813017e-05,0.0065
14,0.503857,0.38825324,0.0478144,3.5457313e-05,0.007
15,0.503876,0.38544607,0.04781141,4.311651e-05,0.0075
16,0.5038948,0.38263905,0.047808394,5.0783157e-05,0.008
17,0.50391364,0.37983203,0.047805406,5.8449805e-05,0.0085
18,0.5039325,0.377025,0.047802337,6.60941e-05,0.009
19,0.5039513,0.37421793,0.04779937,7.3738396e-05,0.0095
20,0.50397027,0.37141088,0.047796376,8.1434846e-05,0.01
21,0.5039891,0.3686038,0.047793366,8.907169e-05,0.0105
22,0.50400805,0.36579672,0.04779031,9.671599e-05,0.011
23,0.5040269,0.36298972,0.04778733,0.00010437518,0.0115
24,0.5040457,0.3601826,0.047784366,0.00011203438,0.012
25,0.5040647,0.35737562,0.04778134,0.00011969358,0.0125
26,0.5040834,0.3545685,0.04777831,0.00012734532,0.013
27,0.50410235,0.3517615,0.047775283,0.00013500452,0.0135
28,0.5041212,0.3489545,0.047772296,0.00014265627,0.014
29,0.50414,0.34614736,0.047769316,0.00015030801,0.0145
30,0.504159,0.34334025,0.04776632,0.00015796721,0.015
31,0.5041778,0.34053326,0.047763303,0.00016563386,0.0155
32,0.50419676,0.33772618,0.047760293,0.0001732856,0.016
33,0.5042156,0.3349191,0.047757298,0.00018095225,0.0165
34,0.50423443,0.33211198,0.04775428,0.0001886189,0.017
35,0.50425327,0.32930493,0.047751307,0.0001962781,0.0175
36,0.5042721,0.32649797,0.047748283,0.00020392239,0.018
37,0.50429106,0.3236909,0.047745287,0.00021158904,0.0185
38,0.5043099,0.32088378,0.047742307,0.00021923333,0.019
39,0.50432885,0.3180768,0.04773929,0.00022689253,0.0195
40,0.50434756,0.31526974,0.047736272,0.00023454428,0.02
41,0.5043665,0.31246266,0.047733255,0.00024218857,0.0205
42,0.50438535,0.30965555,0.04773026,0.00024986267,0.021
43,0.5044042,0.30684853,0.04772728,0.00025754422,0.0215
44,0.50442314,0.30404145,0.047724262,0.00026518852,0.022
45,0.504442,0.30123448,0.047721207,0.0002728328,0.0225
46,0.5044608,0.29842737,0.047718287,0.0002805069,0.023
47,0.50447965,0.29562038,0.04771521,0.0002881661,0.0235
48,0.5044986,0.29281324,0.047712244,0.0002958104,0.024
49,0.50451744,0.29000622,0.047709234,0.0003034398,0.0245
50,0.5045363,0.28719905,0.047706246,0.0003111139,0.025
51,0.5045551,0.28439203,0.0477032,0.0003188029,0.0255
52,0.50457406,0.28158498,0.04770024,0.0003264472,0.026
53,0.5045929,0.27877796,0.047697216,0.00033409148,0.0265
54,0.50461173,0.27597094,0.04769417,0.00034173578,0.027
55,0.5046307,0.27316386,0.04769119,0.00034940988,0.0275
56,0.5046495,0.2703567,0.04768823,0.00035706908,0.028
57,0.50466835,0.26754975,0.047685206,0.00036471337,0.0285
58,0.5046873,0.26474267,0.047682174,0.00037235767,0.029
59,0.50470614,0.26193562,0.04767918,0.00038004667,0.0295
60,0.504725,0.2591286,0.047676183,0.00038769096,0.03
61,0.50474393,0.25632143,0.047673203,0.00039536506,0.0305
62,0.50476277,0.2535144,0.04767015,0.00040300936,0.031
63,0.5047816,0.25070742,0.047667123,0.00041065365,0.0315
