,PH_Al,PH_Al_2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.5033647,0.40096113,0.05266133,-1.0878779e-05,0.0
1,0.5034243,0.4009208,0.052156866,-9.132549e-06,0.0005
2,0.5034839,0.40088046,0.05165243,-7.3844567e-06,0.001
3,0.5035436,0.4008401,0.051147938,-5.6372955e-06,0.0015
4,0.50360316,0.40079993,0.050643474,-3.8910657e-06,0.002
5,0.50366277,0.40075958,0.05013901,-2.1429732e-06,0.0025
6,0.50372237,0.40071926,0.049634516,-3.9674342e-07,0.003
7,0.503782,0.4006789,0.049130082,1.3504177e-06,0.0035
8,0.50384164,0.4006386,0.04862559,3.0975789e-06,0.004
9,0.50390124,0.40059832,0.048121125,4.8438087e-06,0.0045
10,0.5039379,0.39919177,0.04786262,9.42871e-06,0.005
11,0.50395036,0.39636692,0.04785934,1.6958453e-05,0.0055
12,0.5039629,0.3935421,0.047856092,2.4486333e-05,0.006
13,0.5039755,0.39071727,0.047852844,3.2017007e-05,0.0065
14,0.50398815,0.38789243,0.047849596,3.954675e-05,0.007
15,0.50400066,0.38506758,0.047846347,4.707463e-05,0.0075
16,0.5040132,0.38224268,0.0478431,5.4605305e-05,0.008
17,0.50402576,0.37941793,0.04783985,6.213412e-05,0.0085
18,0.5040383,0.37659308,0.0478366,6.966386e-05,0.009
19,0.50405085,0.37376827,0.047833323,7.71936e-05,0.0095
20,0.5040634,0.3709434,0.047830105,8.472148e-05,0.01
21,0.504076,0.36811844,0.047826856,9.225216e-05,0.0105
22,0.5040886,0.3652937,0.047823608,9.978097e-05,0.011
23,0.5041011,0.36246893,0.04782036,0.00010730885,0.0115
24,0.5041137,0.359644,0.04781708,0.000114839524,0.012
25,0.5041263,0.3568192,0.047813863,0.00012236927,0.0125
26,0.5041388,0.35399437,0.047810584,0.00012989715,0.013
27,0.50415146,0.35116947,0.047807366,0.00013742782,0.0135
28,0.504164,0.34834474,0.047804117,0.00014495663,0.014
29,0.5041765,0.34551984,0.04780087,0.00015248545,0.0145
30,0.5041891,0.34269497,0.04779765,0.00016001519,0.015
31,0.5042016,0.33987018,0.0477944,0.000167544,0.0155
32,0.5042142,0.3370453,0.047791123,0.00017507467,0.016
33,0.50422674,0.33422053,0.047787845,0.00018260349,0.0165
34,0.5042393,0.33139572,0.047784597,0.0001901323,0.017
35,0.50425184,0.32857084,0.04778135,0.00019766204,0.0175
36,0.5042645,0.325746,0.04777813,0.00020519178,0.018
37,0.504277,0.32292125,0.04777485,0.0002127206,0.0185
38,0.5042896,0.32009628,0.047771633,0.00022025034,0.019
39,0.50430214,0.3172715,0.047768354,0.00022777915,0.0195
40,0.50431466,0.3144466,0.047765106,0.0002353089,0.02
41,0.5043273,0.31162181,0.047761887,0.00024283864,0.0205
42,0.5043398,0.30879697,0.04775864,0.00025036745,0.021
43,0.5043524,0.30597213,0.04775539,0.0002578972,0.0215
44,0.5043649,0.3031473,0.047752142,0.000265426,0.022
45,0.50437754,0.30032244,0.047748864,0.00027295575,0.0225
46,0.50439006,0.2974976,0.047745615,0.0002804855,0.023
47,0.5044027,0.29467282,0.047742367,0.0002880143,0.0235
48,0.5044152,0.29184794,0.04773912,0.0002955431,0.024
49,0.50442773,0.28902307,0.0477359,0.00030307285,0.0245
50,0.5044403,0.28619823,0.04773262,0.0003106026,0.025
51,0.5044528,0.28337342,0.047729373,0.00031813048,0.0255
52,0.50446546,0.2805485,0.047726125,0.00032566115,0.026
53,0.504478,0.2777238,0.047722876,0.00033318996,0.0265
54,0.50449055,0.27489886,0.047719657,0.00034071878,0.027
55,0.50450313,0.27207413,0.04771638,0.00034824945,0.0275
56,0.50451577,0.26924917,0.04771313,0.00035577733,0.028
57,0.50452834,0.26642436,0.047709912,0.000363308,0.0285
58,0.50454086,0.26359954,0.047706634,0.00037083589,0.029
59,0.5045534,0.26077467,0.047703415,0.00037836563,0.0295
60,0.50456595,0.25794986,0.047700137,0.00038589537,0.03
61,0.50457853,0.25512505,0.04769689,0.00039342418,0.0305
62,0.5045911,0.25230023,0.04769367,0.00040095393,0.031
63,0.5046037,0.2494753,0.04769039,0.00040848367,0.0315
64,0.5046162,0.24665055,0.047687143,0.00041601248,0.032
65,0.5046288,0.24382564,0.047683895,0.00042354222,0.0325
66,0.5046413,0.24100089,0.047680646,0.00043107197,0.033
