,PH_Al,PH_Al_2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.5033839,0.4008817,0.052639782,1.417473e-06,0.0
1,0.50342786,0.40086547,0.05214247,9.927899e-07,0.0005
2,0.50347185,0.40084916,0.05164516,5.6717545e-07,0.001
3,0.50351584,0.40083286,0.051147938,1.4342368e-07,0.0015
4,0.5035599,0.40081665,0.050650656,-2.8125942e-07,0.002
5,0.50360394,0.40080026,0.050153345,-7.050112e-07,0.0025
6,0.50364786,0.40078405,0.049656063,-1.1306256e-06,0.003
7,0.5036919,0.40076774,0.04915881,-1.5553087e-06,0.0035
8,0.50373584,0.40075144,0.04866153,-1.9799918e-06,0.004
9,0.5037799,0.40073514,0.04816422,-2.404675e-06,0.0045
10,0.5038159,0.39996392,0.047799468,-6.64033e-07,0.005
11,0.50383013,0.3971297,0.047796875,6.9942325e-06,0.0055
12,0.5038444,0.39429545,0.047794223,1.4652498e-05,0.006
13,0.5038586,0.3914612,0.0477916,2.2309832e-05,0.0065
14,0.5038728,0.38862705,0.047788948,2.9968098e-05,0.007
15,0.50388706,0.38579276,0.047786325,3.7626363e-05,0.0075
16,0.50390124,0.38295856,0.047783732,4.5282766e-05,0.008
17,0.50391555,0.3801243,0.04778111,5.2941963e-05,0.0085
18,0.5039297,0.3772901,0.047778487,6.060023e-05,0.009
19,0.503944,0.3744559,0.047775835,6.825663e-05,0.0095
20,0.5039582,0.3716217,0.047773242,7.59149e-05,0.01
21,0.5039725,0.36878738,0.04777062,8.3574094e-05,0.0105
22,0.5039867,0.36595315,0.047767967,9.123143e-05,0.011
23,0.50400084,0.36311892,0.047765344,9.888876e-05,0.0115
24,0.50401515,0.36028475,0.04776275,0.00010654703,0.012
25,0.50402933,0.35745054,0.0477601,0.00011420529,0.0125
26,0.50404364,0.35461634,0.047757506,0.00012186449,0.013
27,0.5040578,0.35178202,0.047754884,0.0001295209,0.0135
28,0.5040722,0.34894785,0.04775226,0.00013717916,0.014
29,0.5040862,0.34611368,0.04774964,0.00014483742,0.0145
30,0.5041005,0.34327945,0.047747016,0.00015249569,0.015
31,0.5041147,0.34044522,0.047744364,0.00016015302,0.0155
32,0.504129,0.33761093,0.04774174,0.00016781129,0.016
33,0.5041432,0.3347768,0.04773915,0.00017546955,0.0165
34,0.5041574,0.33194256,0.047736496,0.00018312689,0.017
35,0.50417167,0.32910827,0.047733873,0.00019078515,0.0175
36,0.50418586,0.3262741,0.04773125,0.00019844342,0.018
37,0.50420016,0.32343975,0.047728658,0.00020610169,0.0185
38,0.50421435,0.32060558,0.047726005,0.00021375902,0.019
39,0.5042286,0.31777132,0.047723383,0.00022141729,0.0195
40,0.5042428,0.3149372,0.04772076,0.00022907555,0.02
41,0.50425714,0.31210288,0.047718167,0.00023673475,0.0205
42,0.50427127,0.30926868,0.047715515,0.00024439115,0.021
43,0.5042855,0.3064345,0.047712892,0.00025204942,0.0215
44,0.5042998,0.30360028,0.04771024,0.00025970675,0.022
45,0.50431395,0.30076605,0.047707647,0.00026736502,0.0225
46,0.5043282,0.29793185,0.047705024,0.00027502328,0.023
47,0.5043425,0.2950976,0.047702402,0.00028268155,0.0235
48,0.5043567,0.29226333,0.04769978,0.00029033795,0.024
49,0.5043709,0.28942916,0.047697157,0.00029799622,0.0245
50,0.5043851,0.28659493,0.047694534,0.00030565448,0.025
51,0.50439936,0.28376076,0.04769191,0.00031331275,0.0255
52,0.5044136,0.28092647,0.04768926,0.00032097008,0.026
53,0.50442785,0.27809227,0.047686636,0.00032862835,0.0265
54,0.50444204,0.275258,0.047684044,0.0003362866,0.027
55,0.50445634,0.27242374,0.04768142,0.00034394488,0.0275
56,0.50447047,0.26958957,0.0476788,0.0003516022,0.028
57,0.5044848,0.2667554,0.047676146,0.00035926048,0.0285
58,0.504499,0.26392105,0.047673553,0.00036691874,0.029
59,0.5045132,0.2610869,0.04767093,0.00037457608,0.0295
60,0.50452745,0.25825262,0.047668308,0.00038223434,0.03
61,0.50454164,0.25541848,0.047665656,0.0003898926,0.0305
62,0.50455594,0.25258425,0.047663033,0.0003975518,0.031
63,0.5045701,0.24975002,0.04766044,0.0004052082,0.0315
64,0.5045843,0.24691573,0.047657818,0.00041286647,0.032
65,0.5045986,0.24408156,0.047655195,0.00042052474,0.0325
66,0.5046128,0.24124742,0.047652543,0.00042818207,0.033
67,0.50462705,0.23841307,0.04764995,0.00043584034,0.0335
68,0.5046413,0.2355789,0.047647327,0.0004434986,0.034
69,0.50465554,0.2327446,0.047644675,0.00045115594,0.0345
70,0.5046697,0.22991043,0.047642052,0.0004588142,0.035
71,0.5046839,0.2270762,0.04763943,0.00046647154,0.0355
72,0.5046983,0.22424206,0.047636837,0.0004741298,0.036
73,0.50471246,0.22140777,0.047634214,0.00048178807,0.0365
74,0.5047267,0.21857348,0.04763156,0.00048944633,0.037
