UTS,YS,EL
201.40527,92.526924,8.29579
203.71484,93.212944,9.073109
206.10443,93.9257,9.873596
208.46149,94.62757,10.6646595
207.46378,95.66596,10.851757
206.467,96.70205,11.0384655
205.4704,97.734924,11.224727
204.47583,98.76621,11.410728
206.54404,99.64451,11.72106
209.36447,100.5973,12.058033
212.1795,101.54881,12.394333
212.17749,101.192444,12.333679
212.32635,100.88794,12.282261
212.16122,100.438736,12.205891
212.11264,100.04544,12.139285
211.81584,99.53745,12.052879
211.88828,98.5664,12.102278
212.36697,97.72158,12.187683
213.17236,96.98109,12.303569
213.7959,96.19007,12.402136
214.24658,95.34533,12.484568
215.12694,94.63344,12.607361
215.87787,93.88432,12.717888
216.50137,93.098625,12.81633
217.00262,92.27831,12.903143
216.64157,92.258995,12.926701
215.8153,91.94455,12.906567
214.98233,91.717995,12.899447
214.37729,91.60597,12.900133
213.7414,91.45449,12.896992
213.07996,91.26512,12.890087
212.38278,91.03528,12.879353
211.66818,90.772026,12.8651905
211.20679,90.86248,12.886
210.44525,90.53547,12.865566
209.66805,90.17672,12.84185
209.14609,90.18947,12.8551235
208.60846,90.18215,12.866463
207.78221,89.74196,12.834492
207.21872,89.692474,12.841568
206.63416,89.62141,12.8466625
206.03558,89.53208,12.849976
205.16644,88.99718,12.808075
204.55074,88.870735,12.807505
203.92136,88.72661,12.805254
203.28525,88.56751,12.801401
202.64218,88.393425,12.795982
201.98679,88.20283,12.788942
201.33035,87.99938,12.780458
200.66876,87.78272,12.77054
200.20981,88.000626,12.806227
199.53204,87.759674,12.793907
198.84842,87.5049,12.78014
198.1655,87.2391,12.765055
197.48299,86.96221,12.748724
196.97504,87.13367,12.780226
196.28487,86.836945,12.761757
195.59529,86.52912,12.74198
195.05933,86.67571,12.771275
194.36893,86.35137,12.749617
193.6798,86.01656,12.726719
193.76212,86.36779,12.777197
193.32384,86.10573,12.761507
192.86241,85.82462,12.743586
193.4136,86.32858,12.809727
192.91667,86.01948,12.788729
193.44547,86.507805,12.853506
192.91641,86.17199,12.829348
193.42499,86.64626,12.8929
192.86314,86.28381,12.865692
193.35307,86.74459,12.927977
192.76016,86.35622,12.897669
193.23257,86.8043,12.9587555
192.60689,86.38931,12.9254055
193.06174,86.82467,12.985292
192.40701,86.385216,12.948988
192.84523,86.808556,13.007723
192.16216,86.344536,12.968332
192.58398,86.75599,13.025972
193.00098,87.16454,13.083445
192.2816,86.669044,13.040121
192.68317,87.066414,13.096537
191.93477,86.54643,13.050253
191.69333,86.48066,13.06378
192.0763,86.86463,13.118925
191.29538,86.31535,13.068811
191.66391,86.68887,13.122965
192.02756,87.05946,13.176958
191.42188,86.57699,13.137121
192.10094,87.09012,13.212137
192.77997,87.60219,13.287264
192.9783,87.47844,13.299662
193.65398,87.98542,13.374426
194.33148,88.49299,13.449644
195.09709,88.601524,13.491724
196.19139,89.28689,13.589872
197.29211,89.974396,13.688551
198.57991,90.29614,13.757799
199.68393,90.9819,13.856447
200.79515,91.66986,13.95566
201.91211,92.35997,14.055365
203.17111,92.651474,14.120188
204.28761,93.33775,14.219477
205.41339,94.027794,14.319597
206.54214,94.71835,14.419912
207.77347,94.98053,14.480429
208.90558,95.66938,14.580706
210.03897,96.35821,14.681059
211.18262,97.05129,14.782316
212.38068,97.28115,14.837996
213.52316,97.97042,14.938803
214.66693,98.65966,15.039682
216.03928,99.410286,15.146521
216.98055,99.54852,15.191847
218.13278,100.23819,15.293154
219.5234,100.98987,15.400007
221.13913,101.80087,15.512453
222.76517,102.61633,15.625776
222.9222,102.520836,15.647585
224.53278,103.327896,15.759798
226.14069,104.1335,15.871885
227.76163,104.94454,15.985052
229.38779,105.757515,16.098707
229.43076,105.60223,16.11204
231.04135,106.40698,16.224546
232.65717,107.21373,16.337526
234.2703,108.01903,16.450388
235.8965,108.82989,16.564306
235.82535,108.61474,16.569178
237.4308,109.41502,16.681509
239.04665,110.219635,16.794783
240.65988,111.02295,16.907896
242.28093,111.82925,17.021673
243.9071,112.637634,17.135897
243.69067,112.34783,17.12979
245.30136,113.14815,17.242853
246.91068,113.94772,17.35586
248.53178,114.752045,17.469885
250.15022,115.55505,17.583769
251.77644,116.3613,17.698267
251.40941,115.99459,17.680723
253.02016,116.7926,17.794085
254.63083,117.590546,17.907457
256.24408,118.389435,18.021124
257.8652,119.19143,18.135435
259.4915,119.99553,18.250223
261.11774,120.79935,18.36503
260.5715,120.34196,18.333841
262.1769,121.13564,18.447
263.92117,121.905106,18.582552
265.57346,122.72365,18.699163
267.22964,123.54378,18.816137
268.89227,124.36661,18.933653
270.53168,125.176895,19.049547
240.03813,111.60045,16.980501
220.91144,101.556946,15.318529
218.97508,98.90742,14.622141
217.63614,96.633995,13.959175
214.66245,92.76859,12.971224
214.40738,90.812416,12.261404
196.13126,97.2954,9.901762
206.2797,105.17055,10.317578
229.21646,117.59045,11.060548
256.8921,132.06883,12.130251
287.18884,147.69543,13.258841
317.402,163.28021,14.384649
347.54797,178.90633,15.526539
377.5829,194.40205,16.646387
409.118,210.89166,17.865221
441.39307,227.90858,19.163563
473.0994,244.40858,20.43754
504.72043,260.86612,21.70873
536.7789,277.664,23.037064
568.2298,294.03714,24.302782
599.6115,310.3761,25.566408
630.9216,326.67972,26.827856
662.1386,342.9368,28.086126
693.2846,359.15872,29.342226
724.8734,375.7253,30.656195
755.8683,391.8725,31.907583
786.7719,407.97403,33.15583
817.60626,424.04135,34.401966
848.36285,440.06998,35.64561
879.04987,456.06424,36.8871
909.66156,472.02097,38.126125
940.19354,487.93808,39.362576
970.64655,503.81595,40.596455
1001.03534,519.662,41.828354
1031.349,535.47076,43.057854
1061.585,551.2408,44.284756
1091.7565,566.979,45.509758
1121.8535,582.68024,46.732285
1151.8766,598.34454,47.95243
1181.8236,613.971,49.170074
1211.1404,629.15454,50.32193
1240.9524,644.71375,51.535194
1286.9357,668.62036,53.37671
1316.6475,684.21545,54.614197
1346.2941,699.69354,55.822586
1375.8834,715.1437,57.02932
1404.8059,730.1301,58.168015
1434.251,745.5081,59.369904
1463.6268,760.8516,60.569534
1492.9424,776.16534,61.767365
1521.5912,791.0146,62.896805
1550.7695,806.26013,64.090164
1579.8773,821.4703,65.281136
1608.9277,836.6523,66.47038
1637.3116,851.3685,67.59093
1666.2261,866.4826,68.77568
1695.084,881.5688,69.95874
1723.275,896.1884,71.07282
1751.9994,911.208,72.25147
1780.6558,926.1934,73.42784
1808.6478,940.71326,74.53515
1837.1952,955.64496,75.70818
1865.054,970.0975,76.810844
1893.4724,984.9649,77.97972
1921.8271,999.80066,79.14642
1949.4998,1014.1597,80.24283
1977.7384,1028.9377,81.40589
2005.2844,1043.2332,82.4979
2033.3947,1057.9473,83.65672
2060.8142,1072.1791,84.74437
2088.8215,1086.8419,85.90001
2116.1143,1101.0104,86.98337
2143.9998,1115.6124,88.13499
2171.1787,1129.7236,89.21449
