UTS,YS,EL
200.37071,92.14985,8.30778
199.2947,92.60519,8.4907055
198.21725,93.066414,8.674662
197.1407,93.528275,8.858706
196.06482,93.99042,9.04277
197.74709,94.94856,9.460619
204.32362,96.78718,10.293276
210.90091,98.62588,11.126073
217.47754,100.464386,11.958799
224.05574,102.3036,12.791605
227.73817,103.18833,13.305218
226.34557,102.400444,13.259327
224.95361,101.61274,13.213507
223.56306,100.82577,13.167725
222.17293,100.038925,13.121994
220.78122,99.25141,13.076157
219.38911,98.46366,13.030331
217.99663,97.675804,12.984453
216.60716,96.88915,12.938802
215.21631,96.102104,12.8929825
213.82147,95.31312,12.847002
212.43184,94.52653,12.80129
211.04234,93.739876,12.755629
209.6504,92.9523,12.709772
208.25826,92.16464,12.663889
206.86708,91.3773,12.618114
205.47627,90.59012,12.572361
204.08508,89.80276,12.526589
202.69391,89.01551,12.480778
201.3026,88.2282,12.43495
199.91098,87.440704,12.389126
198.51889,86.65298,12.343295
197.49677,85.98319,12.316224
196.58522,85.34843,12.294749
196.07845,84.995964,12.301576
195.80986,84.81011,12.325018
195.54352,84.625145,12.348623
195.27544,84.43945,12.372116
195.00769,84.25396,12.395602
194.74062,84.06867,12.419165
194.4736,83.88343,12.442732
194.20712,83.69842,12.466325
193.93861,83.512535,12.489798
193.6693,83.32635,12.51322
193.40283,83.141335,12.536812
193.1374,82.95672,12.5604925
192.86658,82.769966,12.583771
192.60118,82.58533,12.607487
192.33315,82.399704,12.6309395
192.06697,82.214836,12.65453
191.79822,82.02888,12.677985
191.5306,81.84333,12.701574
191.26234,81.65762,12.725008
190.99599,81.47265,12.7486105
190.73032,81.28795,12.772274
190.46147,81.10194,12.795715
190.19241,80.9159,12.819116
189.92607,80.730934,12.842719
189.66006,80.546104,12.866354
189.39088,80.35995,12.889794
189.12363,80.174614,12.913324
188.85477,79.988625,12.936768
188.58931,79.804,12.96045
188.32295,79.61903,12.98405
188.0525,79.432396,13.007376
187.78569,79.24728,13.030919
187.72154,79.254,13.056442
187.70207,79.30329,13.082325
187.67703,79.35044,13.107843
187.65942,79.40045,13.133846
187.6394,79.449554,13.159712
187.61937,79.49866,13.18557
187.8278,79.68985,13.213314
188.10403,79.922035,13.241932
188.37688,80.15307,13.270313
188.6511,80.384544,13.298787
188.9262,80.61639,13.327326
189.1987,80.84733,13.355684
189.47173,81.07833,13.384067
189.74695,81.31008,13.412608
190.02135,81.54168,13.441099
190.29404,81.77266,13.469466
190.56792,82.003944,13.497915
190.84239,82.235535,13.526409
191.1166,82.467,13.55488
191.39241,82.69912,13.583475
191.66315,82.92929,13.6116905
191.93715,83.16071,13.640154
192.21321,83.392944,13.668767
192.48778,83.624535,13.697266
192.75827,83.85457,13.725462
193.03291,84.08619,13.753965
193.30882,84.31837,13.78257
193.58302,84.54984,13.811044
193.85533,84.78059,13.839376
194.12816,85.01161,13.867749
194.40356,85.24357,13.8963175
194.67729,85.474815,13.924751
194.9522,85.70656,13.953278
195.22467,85.9374,13.98163
195.49924,86.16906,14.010132
195.77394,86.400665,14.038631
196.04858,86.63229,14.067139
196.31935,86.86263,14.095369
196.59412,87.09423,14.12388
196.86922,87.32609,14.152418
197.14267,87.55723,14.180834
197.41911,87.78962,14.209478
197.69034,88.019936,14.237732
197.9634,88.250984,14.26612
198.33397,88.49373,14.295466
198.83778,88.751396,14.325876
199.34056,89.00867,14.356207
199.84297,89.265785,14.386512
200.34773,89.52385,14.416998
200.84863,89.78046,14.44718
201.35103,90.037575,14.477486
201.85497,90.29531,14.507902
202.35876,90.552986,14.538313
202.8623,90.81055,14.568703
203.36485,91.06774,14.599016
203.86636,91.32452,14.62925
204.37236,91.58303,14.659827
204.87453,91.84011,14.690105
205.3786,92.0979,14.720541
205.8796,92.35446,14.750737
206.38327,92.61213,14.781134
206.88785,92.87014,14.811602
207.39207,93.12794,14.842045
207.89333,93.38461,14.87226
208.39659,93.64214,14.902626
208.89894,93.899216,14.932924
209.40501,94.1578,14.963504
209.90627,94.41445,14.993721
210.40883,94.671684,15.024036
210.9099,94.92831,15.054239
211.41577,95.18684,15.084801
211.91864,95.44409,15.115142
212.42137,95.70135,15.145469
212.92487,95.95895,15.175858
213.42938,96.21688,15.206317
213.93141,96.473854,15.236591
214.4359,96.731804,15.267052
214.9366,96.98835,15.297228
215.44148,97.24644,15.327716
215.94284,97.50317,15.357941
216.44844,97.7615,15.38849
216.94965,98.018196,15.418703
217.45403,98.276085,15.449151
217.95634,98.53321,15.479446
218.45894,98.79041,15.509762
217.11713,98.21448,15.415787
215.67912,97.5949,15.315351
214.23964,96.97477,15.21479
212.80254,96.35558,15.114417
211.36394,95.73582,15.0139265
209.9226,95.11504,14.913235
208.48482,94.49558,14.812809
207.04692,93.876015,14.712374
205.60832,93.25626,14.611889
204.16823,92.63596,14.511281
202.72804,92.01553,14.410679
201.76736,91.44944,14.324993
201.19223,91.15092,14.265988
200.61543,90.851814,14.206872
200.03984,90.553154,14.147837
199.4643,90.25446,14.088812
198.88744,89.955376,14.029681
198.31314,89.65716,13.970743
197.75096,89.3671,13.912451
197.5059,89.26133,13.873032
197.25897,89.15504,13.833461
197.01396,89.04935,13.794031
196.76631,88.9428,13.754405
196.5187,88.83611,13.714812
196.27324,88.73017,13.675369
196.02827,88.624466,13.635954
195.78049,88.51792,13.596312
195.53273,88.41137,13.556669
195.2873,88.30538,13.517241
195.0417,88.19943,13.477781
194.79515,88.09323,13.438246
194.54738,87.98669,13.398604
194.30046,87.88039,13.35903
194.05496,87.77442,13.31959
194.1734,87.86876,13.313742
194.3189,87.977684,13.3103695
194.46259,88.086586,13.306824
194.60616,88.19489,13.303323
194.75192,88.30403,13.299959
194.89528,88.41239,13.296429
195.04204,88.52187,13.29314
195.18468,88.630165,13.289547
195.33069,88.73946,13.286198
195.47496,88.847984,13.282738
195.61932,88.956795,13.279272
195.76213,89.06472,13.275717
195.90666,89.17341,13.27228
196.0515,89.282425,13.268835
196.19852,89.392,13.265562
196.34113,89.50022,13.261978
196.48672,89.60951,13.258584
196.63005,89.71778,13.255053
196.77777,89.82746,13.2518425
196.91847,89.93517,13.248106
197.06424,90.04426,13.244753
197.20996,90.15334,13.24139
197.35551,90.26235,13.23802
197.49623,90.370094,13.234285
197.64272,90.479416,13.230979
197.78728,90.58816,13.227536
197.93254,90.697075,13.224148
198.0771,90.80576,13.220702
198.2218,90.915184,13.217218
198.3666,91.02401,13.213791
198.51103,91.13234,13.210365
198.65538,91.24096,13.206905
198.79877,91.34964,13.203358
198.94429,91.45866,13.199984
199.09012,91.568,13.196612
199.23346,91.676285,13.193084
199.37794,91.784706,13.189659
199.52176,91.89332,13.186152
199.66708,92.00245,13.182749
199.81091,92.11097,13.179253
199.95602,92.220146,13.175828
200.1006,92.328835,13.172384
200.24483,92.43717,13.168943
200.38892,92.54583,13.165459
200.53479,92.65543,13.162072
200.68025,92.764366,13.158698
200.82462,92.873116,13.155235
200.96892,92.98184,13.151766
201.11342,93.09025,13.14834
201.25777,93.199135,13.144861
201.40192,93.30799,13.141369
201.54646,93.41668,13.137926
201.69223,93.525764,13.134573
201.83675,93.63438,13.131137
201.97935,93.742485,13.12755
202.12389,93.85111,13.124111
202.26868,93.959915,13.120683
202.41457,94.06954,13.117297
202.55922,94.178764,13.113825
202.70284,94.2872,13.1103115
202.84824,94.39585,13.106955
202.99208,94.504364,13.103458
203.1381,94.61361,13.100118
203.28047,94.72176,13.096507
203.42625,94.83085,13.093155
203.57158,94.94428,13.090546
