UTS,YS,EL
1169.0366,462.6747,86.88284
1068.7572,423.23883,79.48345
965.56146,382.6561,71.868805
863.55225,342.53995,64.34173
761.7316,302.498,56.828575
660.0972,262.5292,49.32917
558.6716,222.64253,41.845177
457.41284,182.82152,34.373505
356.3621,143.08226,26.917175
284.87653,120.33052,19.893324
229.22871,106.725204,13.106686
225.15285,105.14487,12.798822
219.36638,103.21425,12.256035
216.98988,102.00952,12.16819
219.12753,102.82909,12.292093
211.92119,99.44984,11.983255
215.65416,99.76813,12.6306305
215.05037,99.01062,12.754747
210.72475,97.3433,12.424936
208.45076,96.17992,12.3449
208.13835,95.50133,12.501768
202.94063,93.616905,12.067844
199.5853,92.20637,11.845282
197.4283,91.08234,11.773998
196.4214,90.23351,11.847809
194.4318,89.91985,11.5184765
189.84901,87.38473,11.439301
188.5113,86.72552,11.375996
189.41151,87.14925,11.387377
190.76347,87.56944,11.493521
189.2701,86.732765,11.458843
185.0001,84.67023,11.286268
180.6539,82.413864,11.168608
197.46158,89.81072,11.985512
185.75992,84.47144,11.442942
174.9959,79.330925,11.025692
185.28514,83.906746,11.498426
197.67923,89.1946,12.154886
176.96281,79.88237,11.163115
186.0604,83.71713,11.655371
193.7493,86.92957,12.077757
200.10875,89.5555,12.434025
171.44548,76.74289,11.045845
174.70384,78.00283,11.247435
176.66808,78.69155,11.384733
177.38629,78.83172,11.459808
176.8556,78.42175,11.472593
175.1103,77.47599,11.424957
172.12001,75.982635,11.315052
167.99649,73.9904,11.148554
200.20781,88.004295,12.794191
194.22462,85.19196,12.535143
187.06908,81.863304,12.217596
178.78493,78.03845,11.843554
169.36641,73.714584,11.412802
197.33421,87.32458,12.718861
186.83257,81.85178,12.292915
175.29333,75.820335,11.824007
200.54697,89.56991,12.877956
187.52074,82.73809,12.347481
173.49355,75.36723,11.775558
197.47896,88.43833,12.777086
181.99873,80.28529,12.145
165.52264,71.595,11.471655
188.32202,84.029755,12.424122
170.42815,74.57619,11.692072
192.51973,86.63268,12.61529
173.21968,76.420166,11.824976
194.67659,88.13757,12.72197
173.99916,77.18248,11.874605
194.8239,88.56121,12.745455
172.77426,76.86538,11.84123
193.00346,87.92505,12.68746
169.57771,75.487305,11.726233
189.20998,86.227196,12.547775
164.48257,73.08649,11.53261
183.5554,83.52655,12.331003
157.4949,69.665115,11.260574
176.00648,79.80461,12.035776
198.41585,91.02222,13.159822
166.63985,75.10135,11.665226
187.70537,85.82993,12.689964
155.44643,69.41382,11.219019
152.09558,67.83964,11.085709
171.31065,77.88691,11.97974
141.17027,62.23674,10.6015
156.65381,70.71422,11.298655
178.22044,81.24602,12.445501
143.26497,63.845776,10.696112
161.2654,73.08624,11.598007
182.22395,83.17033,12.755779
145.84358,65.451096,10.805809
163.06424,74.009834,11.7609005
184.68846,84.331726,12.9547615
146.1574,65.8519,10.800228
163.88013,74.44568,11.820187
183.64696,83.822426,12.963537
144.26608,65.07948,10.683115
162.44035,73.80382,11.731884
181.43187,82.80808,12.837343
201.91066,92.35879,14.059917
157.98181,71.732574,11.467667
176.4268,80.47818,12.54126
195.38869,89.4098,13.656317
217.71288,99.58114,15.035278
168.52013,76.774315,12.076099
186.35512,85.231346,13.114103
207.03117,94.73799,14.37471
228.66002,104.59292,15.710684
175.02368,79.905754,12.449385
192.8507,88.30154,13.49802
213.8525,97.87098,14.795256
234.77907,107.406296,16.087824
177.59515,81.17536,12.593534
195.63174,89.594635,13.669004
215.97673,98.86513,14.925644
236.19063,108.07603,16.174171
256.37466,117.27345,17.420835
193.74847,88.76363,13.551874
213.43837,97.735985,14.768024
233.03194,106.664505,15.97822
252.55046,115.55898,17.183756
271.9833,124.414536,18.38399
206.30699,94.515114,14.326715
225.29285,103.16704,15.499348
244.19301,111.78004,16.666677
262.99686,120.34919,17.82805
281.77454,128.90654,18.987787
213.04637,97.61675,14.74209
231.36668,105.96568,15.873598
249.61171,114.280525,17.000433
267.80588,122.5722,18.124123
285.87088,130.80515,19.23982
303.89734,139.0206,20.353128
231.78577,106.18914,15.898571
249.41069,114.22167,16.987087
266.9892,122.23307,18.072737
284.44452,130.18854,19.15075
301.85068,138.12163,20.225723
319.222,146.03894,21.298538
243.71654,111.66096,16.634487
260.63922,119.37388,17.679596
277.56006,127.08596,18.724594
294.395,134.75902,19.764275
311.14798,142.39484,20.798878
327.86066,150.01239,21.830978
344.48074,157.58777,22.857365
265.20956,121.49373,17.960878
281.51373,128.9251,18.96777
271.58618,124.41946,18.353102
289.2332,132.46252,19.442905
306.84244,140.48851,20.530365
324.41412,148.49745,21.615498
341.24527,156.16911,22.6549
329.83228,151.07689,21.940351
336.6045,155.20436,21.526325
315.09152,146.42203,19.395157
328.71774,153.73665,19.21474
318.2675,146.55699,17.736977
376.2547,173.88306,19.884409
381.28583,177.53247,19.22514
416.05972,196.57623,19.967224
427.80396,205.21442,19.497194
466.70367,225.79312,20.510958
485.05157,236.78848,20.57697
505.7976,248.85066,20.79095
550.0622,271.54535,22.189543
571.54254,283.92413,22.445267
598.0618,298.43265,22.992416
644.8317,322.20074,24.533356
677.29193,339.28278,25.430176
713.92725,358.19925,26.576477
761.72473,382.42038,28.174198
798.5554,401.42105,29.330286
839.4318,421.96225,30.778328
884.14734,443.96524,32.503418
928.69366,465.9068,34.21468
973.0917,487.79727,35.913033
1015.4755,510.0075,37.099663
1059.5659,531.792,38.771076
1103.4937,553.5165,40.429604
1147.2759,575.191,42.075317
1190.9058,596.8124,43.707924
1234.3931,618.38354,45.328484
1277.7355,639.9029,46.936916
1320.9229,661.3679,48.532127
1363.9556,682.7786,50.114147
1406.8582,704.143,51.68528
1449.6113,725.4559,53.243378
1492.2166,746.7155,54.78923
1534.6866,767.9286,56.323334
1577.0128,789.0905,57.845337
1619.1956,810.2017,59.355225
1661.2323,831.261,60.852875
1705.0533,851.87463,62.857582
1746.8245,872.8387,64.33327
1812.9835,905.0611,66.99575
1852.9932,926.0687,68.10166
1894.4124,946.91724,69.544685
1935.7036,967.7246,70.97553
1978.7861,988.0676,72.92094
2019.8074,1008.7757,74.33024
2060.6958,1029.4363,75.72851
2101.4558,1050.0532,77.11527
2144.03,1070.2054,79.02148
2184.5266,1090.7285,80.3863
2224.8882,1111.203,81.73997
2265.129,1131.6357,83.08314
2307.2078,1151.6033,84.95061
2347.1907,1171.943,86.27265
2387.054,1192.2412,87.58424
2428.7703,1212.0736,89.42341
2468.3792,1232.2805,90.71403
2507.8564,1252.4404,91.993614
2549.2107,1272.1364,93.80506
2588.463,1292.2168,95.06561
2629.5784,1311.8208,96.85938
2668.5781,1331.813,98.09834
2707.4568,1351.7611,99.327354
2748.2278,1371.235,101.09482
2786.8713,1391.1013,102.30365
2827.4136,1410.4878,104.05378
2865.814,1430.266,105.242775
2906.1267,1449.5656,106.97555
2944.3135,1469.2682,108.14655
2984.3933,1488.4803,109.86118
3022.3457,1508.0994,111.012596
3062.214,1527.231,112.711296
3099.941,1546.7708,113.84358
3139.5889,1565.8176,115.52595
3177.0813,1585.2736,116.63868
3216.5203,1604.2434,118.30453
3253.796,1623.6222,119.399086
3293.0205,1642.51,121.04885
3332.133,1661.3542,122.69036
3369.0837,1680.6168,123.75799
3407.9958,1699.3862,125.38398
3444.724,1718.5688,126.43316
3483.422,1737.2566,128.04308
3522.0178,1755.9058,129.64508
3558.4397,1774.9789,130.66882
3596.8245,1793.548,132.25485
3635.1086,1812.0773,133.83371
3671.2173,1831.0398,134.83101
3709.3103,1849.4966,136.39542
3747.3015,1867.9149,137.95193
3783.1013,1886.767,138.92355
3820.8896,1905.1072,140.46509
3858.5898,1923.4161,141.99937
3923.929,1956.7659,144.12338
3962.2668,1974.7174,145.90398
3998.1785,1993.0906,147.0563
4035.5461,2011.277,148.56393
4070.6995,2029.906,149.47917
4107.885,2048.0244,150.97266
4144.9614,2066.099,152.45865
4181.956,2084.1436,153.93826
4216.7285,2102.6382,154.8212
4253.5317,2120.61,156.28622
4290.2476,2138.548,157.74467
4326.8643,2156.448,159.19601
4361.251,2174.8042,160.04706
4397.6914,2192.6365,161.48515
4434.034,2210.4329,162.91547
4470.3013,2228.1997,164.34038
4506.4634,2245.9248,165.75795
4542.5474,2263.6208,167.16925
4576.385,2281.7798,167.97495
4612.2827,2299.406,169.37187
4648.096,2316.9988,170.76297
4683.832,2334.5613,172.14851
4719.465,2352.0845,173.52612
4755.028,2369.5793,174.89911
4790.4956,2387.0393,176.26456
4823.708,2404.975,177.01808
4859.004,2422.3699,178.37033
4894.223,2439.735,179.71712
4929.3457,2457.0625,181.05682
4964.393,2474.3606,182.39105
4999.354,2491.6262,183.71872
5034.2466,2508.8657,185.04117
5069.039,2526.0657,186.35645
5103.761,2543.2393,187.66647
5138.402,2560.3801,188.97076
5172.9556,2577.488,190.26843
5207.4297,2594.5647,191.56046
5241.8193,2611.61,192.84592
5273.929,2629.1533,193.5073
5308.163,2646.1392,194.781
5342.316,2663.0952,196.04819
5376.3887,2680.0198,197.30972
5410.392,2696.9175,198.56604
5444.3022,2713.7798,199.81546
5478.1445,2730.6145,201.0604
5511.9097,2747.4204,202.29903
5545.5938,2764.195,203.53195
5579.2114,2780.9446,204.75977
5612.737,2797.6584,205.98067
5646.2007,2814.348,207.19733
5679.5815,2831.0063,208.40752
5712.8877,2847.6357,209.61227
