UTS,YS,EL
202.18529,93.06686,8.3487835
202.24628,92.89285,8.781111
202.30736,92.71889,9.213461
202.36848,92.54497,9.64579
202.42953,92.371,10.078089
202.49623,92.20002,10.509821
203.26657,92.40228,10.8626995
205.13033,93.183266,11.257948
210.1901,95.65584,11.777056
215.2491,98.12805,12.296099
217.44978,99.22653,12.575359
216.41696,98.765,12.561233
215.38474,98.30376,12.547162
214.35191,97.842224,12.533042
213.31944,97.380875,12.518957
212.28673,96.91939,12.504836
211.25435,96.45808,12.49077
210.22115,95.99635,12.476582
209.189,95.53514,12.46252
208.15656,95.07381,12.448446
207.12328,94.61206,12.43426
206.52391,94.31319,12.453169
206.21104,94.12117,12.492137
205.89723,93.92874,12.531006
205.58353,93.73636,12.569889
205.27061,93.54433,12.608852
204.95593,93.351524,12.647636
204.64297,93.15947,12.686594
204.49423,93.054596,12.70698
204.36342,92.95917,12.72553
204.23106,92.86306,12.743914
204.10051,92.76774,12.762478
203.96886,92.671936,12.780937
203.83818,92.57657,12.799502
203.70654,92.480774,12.817953
203.57497,92.385,12.836417
203.44424,92.28961,12.854973
203.31267,92.19385,12.873444
203.1819,92.09842,12.8919935
203.04956,92.00233,12.910371
202.91878,91.906906,12.928926
202.78725,91.81116,12.947394
202.65646,91.715744,12.965941
202.52492,91.61999,12.984416
202.3933,91.5242,13.002872
202.26181,91.428474,13.021345
202.13115,91.333115,13.039911
201.99951,91.23731,13.0583725
201.86879,91.14191,13.076924
201.7372,91.04614,13.095386
201.60568,90.9504,13.113863
201.47496,90.854996,13.132408
201.34256,90.75888,13.150788
201.21098,90.663124,13.1692505
201.0802,90.56769,13.187803
200.94873,90.47197,13.206277
200.81795,90.37656,13.224827
200.68715,90.28113,13.2433815
200.55487,90.18506,13.261765
200.42401,90.0896,13.280313
200.29248,89.99385,13.2987795
200.161,89.89813,13.317252
200.0294,89.80237,13.335715
199.89864,89.70694,13.354263
199.76706,89.611176,13.372731
199.63637,89.51579,13.391293
199.50484,89.420044,13.409763
199.37321,89.324265,13.428224
199.24248,89.22886,13.446775
199.1101,89.132744,13.465157
198.97937,89.03735,13.483708
198.84859,88.941925,13.502257
198.71701,88.84616,13.520724
198.58629,88.750755,13.539279
198.45471,88.65499,13.557746
198.3231,88.55922,13.576205
198.19157,88.46348,13.594671
198.06001,88.36771,13.613143
197.92848,88.27196,13.631607
197.79695,88.176216,13.650075
197.66623,88.08082,13.668638
