UTS,YS,EL
201.25378,92.40828,8.334565
197.7146,90.79393,8.225568
194.07184,89.132324,8.113376
194.18506,89.11968,8.5139265
196.69281,90.109276,9.169812
199.19595,91.09705,9.824498
201.69405,92.08285,10.477839
204.18802,93.067,11.130097
206.67685,94.04915,11.78103
209.16174,95.02973,12.430882
214.7554,97.70639,13.08377
214.11238,97.44097,13.072671
214.14334,97.50773,13.100064
213.5693,97.28176,13.073581
213.24268,97.17506,13.067615
212.38933,96.81314,13.017585
210.85777,96.11805,12.910508
210.02295,95.764404,12.861737
209.76569,95.69071,12.861758
209.1986,95.46634,12.835372
208.32855,95.09487,12.7833605
208.5347,95.24711,12.835551
208.4614,95.26325,12.861684
208.11157,95.14474,12.861997
207.49707,94.89731,12.837556
208.06409,95.22495,12.923646
207.29362,94.91497,12.889356
206.92198,94.794205,12.897361
206.90852,94.839874,12.929715
206.73213,94.80599,12.946614
206.39581,94.69376,12.94806
205.89581,94.501884,12.934266
205.25058,94.23856,12.906091
206.08395,94.69799,13.019736
205.17291,94.30473,12.966153
204.1235,93.84338,12.8988085
204.63565,94.14594,12.981971
205.06506,94.40811,13.05729
203.66713,93.775734,12.955882
203.9165,93.94956,13.013631
204.0802,94.08181,13.063535
204.1682,94.17707,13.106244
202.35338,93.339325,12.963138
202.2783,93.354256,12.989558
202.12982,93.33333,13.008983
201.91557,93.280014,13.021848
201.63557,93.194305,13.028144
201.28682,93.075,13.027879
200.87764,92.92565,13.02126
200.40964,92.74728,13.008712
201.84785,93.50709,13.186418
201.27707,93.27836,13.163913
200.6452,93.01951,13.135274
199.95999,92.734055,13.100925
199.22127,92.421906,13.060849
200.51144,93.10715,13.224425
199.89255,92.83412,13.18908
199.22237,92.5353,13.14815
200.48885,93.20292,13.307961
199.74388,92.866554,13.259004
198.94989,92.50549,13.204682
200.1338,93.13273,13.357053
199.26714,92.735146,13.294889
198.35593,92.3149,13.227516
199.47086,92.90801,13.373183
198.48918,92.45234,13.298179
199.55612,93.02206,13.439639
198.51309,92.535034,13.357322
199.53658,93.083595,13.494992
198.4298,92.564255,13.4054
199.41423,93.09361,13.539425
198.2482,92.54396,13.442723
199.1958,93.05521,13.573308
197.96613,92.473274,13.469352
198.87686,92.96641,13.596501
197.59225,92.35631,13.485826
198.46837,92.83241,13.609743
197.13116,92.19506,13.492309
197.97272,92.65417,13.613
198.80312,93.10801,13.732917
197.39876,92.43587,13.606839
198.19672,92.873764,13.723725
196.73749,92.173454,13.590943
196.17215,91.941185,13.581758
196.93137,92.36004,13.69504
195.41403,91.62922,13.554193
196.14291,92.033165,13.664651
196.86067,92.431854,13.774333
195.27835,91.66731,13.625041
195.97253,92.05421,13.732255
196.6534,92.434746,13.838495
195.02167,91.64374,13.6816845
195.67899,92.012505,13.785459
196.32288,92.37507,13.888513
194.63734,91.55543,13.72376
195.26222,91.90825,13.824513
195.87602,92.25582,13.924495
194.14102,91.40968,13.752214
194.73553,91.74757,13.850127
195.31683,92.07917,13.947082
195.8892,92.40656,14.043461
194.10349,91.532524,13.862471
194.659,91.85124,13.956756
195.20096,92.163704,14.050298
195.73653,92.473,14.143241
193.90234,91.57215,13.953755
194.4186,91.871765,14.044632
194.93054,92.16926,14.135108
195.46828,92.47803,14.223798
193.54852,91.533745,14.026817
194.31549,91.943596,14.1069975
195.2959,92.44839,14.180871
196.26546,92.94811,14.253959
194.04889,91.86635,14.055741
195.00041,92.35708,14.127271
195.94705,92.845406,14.198407
196.88342,93.32885,14.268757
197.81125,93.80839,14.33851
195.5118,92.683846,14.132601
196.42473,93.15577,14.201003
197.33267,93.62526,14.269005
198.22977,94.08969,14.336215
199.11891,94.550385,14.402831
196.7395,93.38438,14.189425
197.61615,93.83864,14.254888
198.48492,94.28917,14.319762
199.3487,94.73727,14.384229
200.20413,95.181526,14.448117
197.74461,93.97398,14.227193
198.59048,94.41314,14.290122
199.42552,94.84724,14.352262
200.2579,95.280045,14.414187
201.08012,95.70803,14.475331
201.89685,96.13344,14.536082
199.36107,94.88553,14.307685
200.16768,95.305664,14.367475
200.97182,95.72461,14.427068
201.76268,96.137314,14.485677
202.55096,96.548775,14.544078
203.33394,96.957756,14.602094
200.7248,95.67075,14.36641
201.49524,96.073296,14.423268
202.2655,96.47574,14.480117
203.02786,96.87446,14.536372
203.78252,97.26952,14.592048
204.53157,97.66199,14.647315
205.27586,98.05213,14.702205
202.68018,96.75621,14.462733
203.47891,97.16498,14.519727
202.99132,96.932594,14.468162
204.16528,97.516716,14.547921
205.46048,98.15678,14.634517
206.75266,98.795334,14.720855
208.37195,99.58886,14.824193
208.6393,99.71259,14.835013
208.79417,99.78069,14.836947
207.49954,99.130035,14.720407
207.73248,99.236885,14.728759
205.24796,97.993225,14.507459
206.62936,98.66915,14.612979
205.4661,98.08368,14.507258
205.85071,98.26577,14.528007
204.75449,97.71359,14.427838
205.21504,97.93337,14.454827
204.18448,97.413765,14.360026
203.18433,96.90928,14.267787
203.75522,97.183815,14.3038
203.15656,96.86164,14.237533
202.62271,96.56995,14.175887
203.75822,97.10174,14.24882
203.2881,96.84164,14.192416
202.8481,96.5964,14.138446
204.09576,97.18365,14.220456
203.72224,96.971245,14.171861
203.37653,96.772675,14.125596
203.0585,96.58793,14.081668
202.77322,96.41921,14.040296
202.51582,96.2644,14.001269
203.97475,96.956116,14.100396
203.77898,96.83183,14.066419
203.61336,96.72233,14.034785
203.4758,96.62679,14.005507
203.36865,96.54628,13.978686
203.2869,96.47842,13.954005
203.23296,96.42429,13.93156
203.20949,96.38522,13.911576
203.21657,96.36121,13.894059
203.24644,96.3486,13.878465
203.30696,96.3511,13.865342
203.39536,96.36738,13.854457
203.5094,96.39643,13.845727
203.65132,96.43925,13.839238
203.82132,96.49592,13.835008
204.01941,96.56646,13.833039
202.48038,95.780174,13.691417
202.72597,95.874306,13.693374
202.00478,95.47962,13.604903
203.28398,96.08087,13.692948
203.60861,96.21413,13.701325
203.96175,96.361534,13.7120695
202.55087,95.63857,13.580876
202.95164,95.80952,13.595462
203.37787,95.993034,13.612086
203.83,96.189445,13.630876
202.49918,95.5062,13.506288
