,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.9437722,0.05258885,-3.6992453e-05,0.0
1,0.93996173,0.05211673,-3.565135e-05,0.0005
2,0.936151,0.051644616,-3.438475e-05,0.001
3,0.9323406,0.051172502,-3.3058546e-05,0.0015
4,0.92853004,0.05070039,-3.1747244e-05,0.002
5,0.9247195,0.050228275,-3.0465744e-05,0.0025
6,0.9209089,0.049756154,-2.9169343e-05,0.003
7,0.9170984,0.04928405,-2.784314e-05,0.0035
8,0.91328794,0.04881192,-2.6531838e-05,0.004
9,0.90947735,0.048339814,-2.5250338e-05,0.0045
10,0.9056667,0.047867686,-2.3924134e-05,0.005
11,0.90516055,0.047803596,-1.70547e-05,0.0055
12,0.9051521,0.04780095,-9.306095e-06,0.006
13,0.9051436,0.04779832,-1.602195e-06,0.0065
14,0.90513515,0.047795683,6.146409e-06,0.007
15,0.90512663,0.047793053,1.38801115e-05,0.0075
16,0.9051181,0.047790423,2.1598913e-05,0.008
17,0.90510964,0.047787778,2.9317715e-05,0.0085
18,0.9051013,0.047785155,3.7043967e-05,0.009
19,0.90509284,0.047782518,4.477022e-05,0.0095
20,0.9050844,0.04777988,5.248157e-05,0.01
21,0.9050758,0.047777243,6.0222723e-05,0.0105
22,0.9050674,0.047774605,6.7941524e-05,0.011
23,0.9050589,0.047771975,7.5660326e-05,0.0115
24,0.9050504,0.04776933,8.339403e-05,0.012
25,0.90504193,0.047766678,9.115008e-05,0.0125
26,0.90503347,0.04776407,9.884653e-05,0.013
27,0.9050251,0.047761418,0.00010660259,0.0135
28,0.90501666,0.047758803,0.00011432884,0.014
29,0.9050081,0.047756165,0.00012202529,0.0145
30,0.9049997,0.047753528,0.00012975154,0.015
31,0.90499115,0.04775089,0.0001374778,0.0155
32,0.90498275,0.047748245,0.00014521895,0.016
33,0.9049742,0.047745623,0.0001529452,0.0165
34,0.90496576,0.047742985,0.0001606491,0.017
35,0.90495723,0.047740348,0.00016840515,0.0175
36,0.9049489,0.04773771,0.0001761165,0.018
