,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.9054508,0.05294691,7.1525574e-06,0.0
1,0.9051355,0.052413777,7.2717667e-06,0.0005
2,0.9048202,0.051880658,7.390976e-06,0.001
3,0.9045049,0.051347524,7.4505806e-06,0.0015
4,0.9041896,0.05081442,7.599592e-06,0.002
5,0.9038743,0.050281316,7.688999e-06,0.0025
6,0.9035591,0.049748197,7.778406e-06,0.003
7,0.90324366,0.049215093,7.897615e-06,0.0035
8,0.9029285,0.048681974,7.987022e-06,0.004
9,0.90261316,0.048148826,8.106232e-06,0.0045
10,0.90229785,0.047615737,8.225441e-06,0.005
11,0.9004364,0.047411755,1.2904406e-05,0.0055
12,0.89756465,0.04742278,2.0563602e-05,0.006
13,0.8946929,0.04743384,2.82228e-05,0.0065
14,0.89182115,0.04744488,3.5881996e-05,0.007
15,0.8889494,0.047455937,4.3570995e-05,0.0075
16,0.88607764,0.047466964,5.1230192e-05,0.008
17,0.8832059,0.047478005,5.888939e-05,0.0085
18,0.88033414,0.047489062,6.657839e-05,0.009
19,0.8774625,0.047500104,7.4237585e-05,0.0095
20,0.87459064,0.04751116,8.189678e-05,0.01
21,0.8717189,0.047522202,8.958578e-05,0.0105
22,0.86884725,0.047533244,9.724498e-05,0.011
23,0.8659754,0.047544286,0.000104904175,0.0115
24,0.86310375,0.047555342,0.000112593174,0.012
25,0.860232,0.047566384,0.00012025237,0.0125
26,0.85736024,0.04757741,0.00012794137,0.013
27,0.8544885,0.047588453,0.00013557076,0.0135
28,0.85161674,0.047599524,0.00014325976,0.014
29,0.848745,0.047610566,0.00015094876,0.0145
30,0.84587324,0.047621608,0.00015860796,0.015
31,0.8430015,0.047632635,0.00016629696,0.0155
32,0.84012985,0.04764369,0.00017392635,0.016
33,0.8372581,0.047654733,0.00018161535,0.0165
34,0.8343862,0.04766579,0.00018927455,0.017
35,0.8315145,0.0476768,0.00019693375,0.0175
36,0.8286427,0.04768786,0.00020462275,0.018
37,0.825771,0.047698915,0.00021228194,0.0185
38,0.8228992,0.047709957,0.00021994114,0.019
39,0.8200276,0.047720984,0.00022763014,0.0195
40,0.81715584,0.04773204,0.00023531914,0.02
41,0.8142841,0.047743067,0.00024294853,0.0205
42,0.81141245,0.047754124,0.00025063753,0.021
43,0.8085406,0.047765166,0.00025829673,0.0215
44,0.80566883,0.047776222,0.00026595592,0.022
45,0.8027971,0.047787264,0.00027364492,0.0225
46,0.7999253,0.047798306,0.00028133392,0.023
47,0.7970537,0.047809348,0.00028899312,0.0235
48,0.79418194,0.04782039,0.00029665232,0.024
49,0.7913102,0.047831416,0.0003043115,0.0245
50,0.78843844,0.047842488,0.0003120005,0.025
51,0.7855667,0.04785353,0.0003196597,0.0255
52,0.78269494,0.04786457,0.0003273189,0.026
53,0.7798232,0.047875628,0.0003349781,0.0265
54,0.77695143,0.04788667,0.0003426671,0.027
55,0.7741144,0.04789366,0.0003503263,0.0275
56,0.7713864,0.047887877,0.0003579557,0.028
57,0.7686585,0.04788211,0.0003656149,0.0285
58,0.76593065,0.047876343,0.0003732741,0.029
59,0.76320267,0.04787059,0.00038090348,0.0295
60,0.7604748,0.047864795,0.00038853288,0.03
61,0.7577468,0.047859028,0.00039619207,0.0305
62,0.75501895,0.047853246,0.00040382147,0.031
63,0.7522912,0.047847494,0.00041151047,0.0315
64,0.7495632,0.047841728,0.00041913986,0.032
65,0.74683535,0.04783593,0.00042676926,0.0325
66,0.7441075,0.047830164,0.00043442845,0.033
67,0.7413795,0.047824383,0.00044205785,0.0335
68,0.73865163,0.04781863,0.00044971704,0.034
69,0.73592377,0.04781285,0.00045734644,0.0345
70,0.7331959,0.047807083,0.00046500564,0.035
71,0.7304679,0.0478013,0.00047263503,0.0355
72,0.72774005,0.04779555,0.00048029423,0.036
73,0.7250122,0.047789782,0.00048792362,0.0365
74,0.7222842,0.047784,0.000495553,0.037
75,0.71955633,0.04777822,0.0005032122,0.0375
76,0.71682847,0.047772452,0.0005108714,0.038
77,0.7141006,0.047766685,0.0005185008,0.0385
