,Al,Si,Al2Si2Sr
0,0.94,2.86,-0.85
1,0.94,2.52,-0.84
2,0.94,2.19,-0.82
3,0.94,1.86,-0.81
4,0.94,1.52,-0.79
5,0.94,1.19,-0.78
6,0.94,0.85,-0.76
7,0.94,0.52,-0.75
8,0.94,0.19,-0.73
9,0.94,-0.15,-0.72
10,0.93,-0.27,-0.81
11,0.91,-0.27,-0.80
12,0.90,-0.27,-0.79
13,0.88,-0.27,-0.78
14,0.86,-0.27,-0.77
15,0.85,-0.28,-0.75
16,0.83,-0.28,-0.74
17,0.81,-0.28,-0.73
18,0.80,-0.28,-0.72
19,0.78,-0.28,-0.71
20,0.76,-0.28,-0.69
21,0.75,-0.29,-0.68
22,0.73,-0.29,-0.67
23,0.71,-0.29,-0.66
24,0.70,-0.29,-0.65
25,0.68,-0.29,-0.63
26,0.66,-0.30,-0.62
27,0.65,-0.30,-0.61
28,0.63,-0.30,-0.60
29,0.62,-0.30,-0.59
30,0.60,-0.30,-0.58
31,0.58,-0.31,-0.56
32,0.57,-0.31,-0.55
33,0.55,-0.31,-0.54
34,0.53,-0.31,-0.53
35,0.52,-0.31,-0.52
36,0.50,-0.32,-0.50
37,0.48,-0.32,-0.49
38,0.47,-0.32,-0.48
39,0.45,-0.32,-0.47
40,0.43,-0.32,-0.46
41,0.42,-0.33,-0.45
42,0.40,-0.33,-0.43
43,0.38,-0.33,-0.42
44,0.37,-0.33,-0.41
45,0.35,-0.33,-0.40
46,0.34,-0.34,-0.39
47,0.32,-0.34,-0.37
48,0.30,-0.34,-0.36
49,0.29,-0.34,-0.35
50,0.27,-0.34,-0.34
51,0.25,-0.35,-0.33
52,0.24,-0.35,-0.31
53,0.22,-0.35,-0.30
54,0.20,-0.35,-0.29
55,0.19,-0.35,-0.28
56,0.17,-0.36,-0.27
57,0.15,-0.36,-0.26
58,0.14,-0.36,-0.24
59,0.12,-0.36,-0.23
60,0.10,-0.36,-0.22
61,0.09,-0.37,-0.21
62,0.07,-0.37,-0.20
63,0.06,-0.37,-0.18
