UTS,YS,EL
202.53235,93.35563,8.2836685
195.12839,89.332184,7.9288497
189.04793,85.86682,7.77217
189.98314,86.896416,8.620377
192.88162,89.36844,9.721571
195.6119,88.612816,10.674915
197.85284,88.46204,11.251682
199.75584,88.72892,11.568403
201.65886,88.99581,11.88513
203.56181,89.26266,12.201851
210.46361,94.05257,12.267241
209.88582,93.227516,12.279173
209.63017,92.705696,12.280489
209.37437,92.183754,12.2818165
209.11795,91.66134,12.28313
208.86177,91.13908,12.284462
208.53554,90.61048,12.300606
208.11955,90.07314,12.335567
207.70273,89.535194,12.370556
207.28656,88.99773,12.405511
206.65633,88.659485,12.429201
206.03624,88.455826,12.447416
205.41597,88.25208,12.465635
204.79655,88.04898,12.483851
204.17677,87.84539,12.502055
203.55666,87.64185,12.520283
202.9373,87.43865,12.5384865
202.3171,87.23507,12.556713
201.69678,87.03123,12.574924
201.07718,86.82804,12.593141
200.45732,86.62449,12.611356
199.83766,86.42112,12.629568
199.2176,86.21747,12.647779
198.5978,86.01417,12.666002
198.23222,85.90337,12.68438
198.16786,85.90247,12.702967
198.10323,85.90128,12.721544
198.03957,85.90088,12.740128
197.97517,85.899994,12.758701
197.91075,85.898994,12.777292
197.84665,85.89819,12.795866
197.7828,85.89759,12.814441
197.71843,85.89669,12.833023
197.6545,85.89611,12.851605
197.58997,85.895004,12.870184
197.52568,85.89421,12.888766
197.46199,85.8937,12.907349
197.39726,85.8926,12.925934
197.33318,85.89182,12.9445095
197.26894,85.89112,12.963099
197.20485,85.89032,12.98167
197.14064,85.889656,13.000263
197.07646,85.88873,13.018834
197.01251,85.88813,13.037413
196.94843,85.88732,13.05599
196.8837,85.88624,13.074581
196.8193,85.885345,13.0931635
196.75523,85.88456,13.111742
196.69112,85.883965,13.130327
196.6269,85.88305,13.148907
196.56218,85.88196,13.167492
196.49852,85.881454,13.186068
196.43407,85.88047,13.204649
196.3697,85.879585,13.223228
196.30527,85.87858,13.241814
196.24132,85.878,13.260388
196.17686,85.87698,13.278978
196.11311,85.87637,13.297549
196.04832,85.875206,13.316132
195.98463,85.87467,13.334705
195.91994,85.87362,13.353292
195.85564,85.87281,13.371886
195.79175,85.87231,13.390469
195.72774,85.87162,13.409046
