,Al,Si,Al2Si2Sr
0,0.94,2.82,-0.84
1,0.94,2.51,-0.84
2,0.94,2.19,-0.84
3,0.94,1.88,-0.84
4,0.94,1.56,-0.84
5,0.94,1.24,-0.84
6,0.94,0.93,-0.84
7,0.94,0.61,-0.84
8,0.94,0.30,-0.84
9,0.94,-0.02,-0.84
10,0.94,-0.29,-0.84
11,0.92,-0.29,-0.83
12,0.90,-0.29,-0.81
13,0.89,-0.29,-0.80
14,0.87,-0.29,-0.79
15,0.85,-0.30,-0.78
16,0.83,-0.30,-0.77
17,0.82,-0.30,-0.76
18,0.80,-0.30,-0.74
19,0.78,-0.30,-0.73
20,0.77,-0.30,-0.72
21,0.75,-0.31,-0.71
22,0.73,-0.31,-0.70
23,0.71,-0.31,-0.68
24,0.70,-0.31,-0.67
25,0.68,-0.31,-0.66
26,0.66,-0.31,-0.65
27,0.65,-0.32,-0.64
28,0.63,-0.32,-0.63
29,0.61,-0.32,-0.61
30,0.59,-0.32,-0.60
31,0.58,-0.32,-0.59
32,0.56,-0.32,-0.58
33,0.54,-0.32,-0.57
34,0.53,-0.33,-0.56
35,0.51,-0.33,-0.54
36,0.49,-0.33,-0.53
37,0.47,-0.33,-0.52
38,0.46,-0.33,-0.51
39,0.44,-0.33,-0.50
40,0.42,-0.34,-0.49
41,0.41,-0.34,-0.47
42,0.39,-0.34,-0.46
43,0.37,-0.34,-0.45
44,0.35,-0.34,-0.44
45,0.34,-0.34,-0.43
46,0.32,-0.35,-0.41
47,0.30,-0.35,-0.40
48,0.29,-0.35,-0.39
49,0.27,-0.35,-0.38
50,0.25,-0.35,-0.37
51,0.23,-0.35,-0.36
52,0.22,-0.36,-0.34
53,0.20,-0.36,-0.33
54,0.18,-0.36,-0.32
55,0.17,-0.36,-0.31
56,0.15,-0.36,-0.30
57,0.13,-0.36,-0.29
58,0.12,-0.37,-0.27
59,0.10,-0.37,-0.26
60,0.08,-0.37,-0.25
61,0.07,-0.37,-0.24
62,0.05,-0.37,-0.23
63,0.04,-0.37,-0.22
64,0.02,-0.38,-0.20
65,0.00,-0.38,-0.19
66,-0.01,-0.38,-0.18
67,-0.03,-0.38,-0.17
68,-0.05,-0.38,-0.16
69,-0.06,-0.38,-0.14
70,-0.08,-0.39,-0.13
71,-0.09,-0.39,-0.12
72,-0.11,-0.39,-0.11
73,-0.13,-0.39,-0.10
74,-0.14,-0.39,-0.09
75,-0.16,-0.40,-0.07
76,-0.17,-0.40,-0.06
77,-0.19,-0.40,-0.05
78,-0.21,-0.40,-0.04
79,-0.22,-0.40,-0.03
80,-0.24,-0.40,-0.02
81,-0.25,-0.41,-0.00
82,-0.27,-0.41,0.01
83,-0.29,-0.41,0.02
84,-0.30,-0.41,0.03
85,-0.32,-0.41,0.04
86,-0.34,-0.41,0.06
87,-0.35,-0.42,0.07
88,-0.37,-0.42,0.08
89,-0.38,-0.42,0.09
90,-0.40,-0.42,0.10
91,-0.42,-0.42,0.11
92,-0.43,-0.43,0.13
93,-0.45,-0.43,0.14
94,-0.46,-0.43,0.15
95,-0.48,-0.43,0.16
96,-0.50,-0.43,0.17
97,-0.51,-0.43,0.18
98,-0.53,-0.44,0.20
99,-0.54,-0.44,0.21
100,-0.56,-0.44,0.22
101,-0.58,-0.44,0.23
102,-0.59,-0.44,0.24
103,-0.61,-0.44,0.25
104,-0.63,-0.45,0.27
105,-0.64,-0.45,0.28
106,-0.66,-0.45,0.29
107,-0.67,-0.45,0.30
108,-0.69,-0.45,0.31
109,-0.71,-0.46,0.33
110,-0.72,-0.46,0.34
111,-0.74,-0.46,0.35
112,-0.75,-0.46,0.36
113,-0.77,-0.46,0.37
114,-0.79,-0.46,0.38
115,-0.80,-0.47,0.40
116,-0.82,-0.47,0.41
117,-0.84,-0.47,0.42
118,-0.85,-0.47,0.43
119,-0.87,-0.47,0.44
120,-0.88,-0.47,0.45
121,-0.90,-0.48,0.47
122,-0.92,-0.48,0.48
123,-0.93,-0.48,0.49
124,-0.95,-0.48,0.50
125,-0.96,-0.48,0.51
126,-0.98,-0.48,0.53
127,-1.00,-0.49,0.54
128,-1.01,-0.49,0.55
129,-1.03,-0.49,0.56
130,-1.04,-0.49,0.57
131,-1.06,-0.49,0.58
132,-1.08,-0.50,0.60
133,-1.09,-0.50,0.61
134,-1.11,-0.50,0.62
135,-1.13,-0.50,0.63
136,-1.14,-0.50,0.64
137,-1.16,-0.50,0.65
138,-1.17,-0.51,0.67
139,-1.19,-0.51,0.68
140,-1.21,-0.51,0.69
141,-1.22,-0.51,0.70
142,-1.24,-0.51,0.71
143,-1.25,-0.51,0.73
144,-1.27,-0.52,0.74
145,-1.29,-0.52,0.75
146,-1.30,-0.52,0.76
147,-1.32,-0.52,0.77
148,-1.33,-0.52,0.78
149,-1.35,-0.53,0.80
150,-1.37,-0.53,0.81
151,-1.38,-0.53,0.82
152,-1.40,-0.53,0.83
153,-1.41,-0.53,0.84
154,-1.41,-0.53,0.85
155,-1.41,-0.54,0.87
156,-1.41,-0.54,0.88
157,-1.41,-0.54,0.89
158,-1.41,-0.54,0.90
159,-1.41,-0.54,0.91
160,-1.41,-0.54,0.93
161,-1.41,-0.54,0.94
162,-1.41,-0.55,0.95
163,-1.41,-0.55,0.96
164,-1.41,-0.55,0.97
165,-1.41,-0.55,0.99
166,-1.41,-0.55,1.00
167,-1.41,-0.55,1.01
168,-1.41,-0.55,1.02
169,-1.41,-0.56,1.03
170,-1.41,-0.56,1.05
171,-1.41,-0.56,1.06
172,-1.41,-0.56,1.07
173,-1.41,-0.56,1.08
174,-1.41,-0.56,1.09
175,-1.41,-0.56,1.11
176,-1.41,-0.57,1.12
177,-1.41,-0.57,1.13
178,-1.41,-0.57,1.14
179,-1.41,-0.57,1.15
180,-1.41,-0.57,1.17
181,-1.41,-0.57,1.18
182,-1.41,-0.57,1.19
183,-1.41,-0.58,1.20
184,-1.41,-0.58,1.21
185,-1.41,-0.58,1.23
186,-1.41,-0.58,1.24
187,-1.41,-0.58,1.25
188,-1.41,-0.58,1.26
189,-1.41,-0.58,1.27
190,-1.41,-0.59,1.29
191,-1.41,-0.59,1.30
192,-1.41,-0.59,1.31
193,-1.41,-0.59,1.32
194,-1.41,-0.59,1.34
195,-1.41,-0.59,1.35
196,-1.41,-0.59,1.36
197,-1.41,-0.60,1.37
198,-1.41,-0.60,1.38
199,-1.41,-0.60,1.40
200,-1.41,-0.60,1.41
201,-1.41,-0.60,1.42
202,-1.41,-0.60,1.43
203,-1.41,-0.60,1.44
204,-1.41,-0.61,1.46
205,-1.41,-0.61,1.47
206,-1.41,-0.61,1.48
207,-1.41,-0.61,1.49
208,-1.41,-0.61,1.50
209,-1.41,-0.61,1.52
210,-1.41,-0.61,1.53
211,-1.41,-0.61,1.54
212,-1.41,-0.62,1.55
213,-1.41,-0.62,1.56
214,-1.41,-0.62,1.58
215,-1.41,-0.62,1.59
216,-1.41,-0.62,1.60
217,-1.41,-0.62,1.61
218,-1.41,-0.62,1.62
219,-1.41,-0.63,1.64
220,-1.41,-0.63,1.65
221,-1.41,-0.63,1.66
222,-1.41,-0.63,1.67
223,-1.41,-0.63,1.68
224,-1.41,-0.63,1.70
225,-1.41,-0.63,1.71
226,-1.41,-0.64,1.72
227,-1.41,-0.64,1.73
228,-1.41,-0.64,1.74
229,-1.41,-0.64,1.76
230,-1.41,-0.64,1.77
231,-1.41,-0.64,1.78
232,-1.41,-0.64,1.79
233,-1.41,-0.65,1.80
234,-1.41,-0.65,1.82
235,-1.41,-0.65,1.83
236,-1.41,-0.65,1.84
237,-1.41,-0.65,1.85
238,-1.41,-0.65,1.86
239,-1.41,-0.65,1.88
240,-1.41,-0.66,1.89
241,-1.41,-0.66,1.90
242,-1.41,-0.66,1.91
243,-1.41,-0.66,1.92
244,-1.41,-0.66,1.94
245,-1.41,-0.66,1.95
246,-1.41,-0.66,1.96
247,-1.41,-0.67,1.97
248,-1.41,-0.67,1.98
249,-1.41,-0.67,2.00
250,-1.41,-0.67,2.01
