,Al,Si,Al2Si2Sr
0,1.02,2.10,-0.94
1,1.02,1.85,-0.93
2,1.02,1.59,-0.93
3,1.02,1.34,-0.92
4,1.02,1.09,-0.92
5,1.02,0.83,-0.91
6,1.02,0.58,-0.91
7,1.01,0.32,-0.90
8,1.01,0.07,-0.90
9,1.01,-0.19,-0.90
10,1.01,-0.44,-0.92
11,1.00,-0.44,-0.91
12,0.98,-0.44,-0.90
13,0.96,-0.44,-0.89
14,0.95,-0.44,-0.88
15,0.93,-0.44,-0.87
16,0.92,-0.45,-0.86
17,0.90,-0.45,-0.85
18,0.89,-0.45,-0.84
19,0.87,-0.45,-0.83
20,0.85,-0.45,-0.82
21,0.84,-0.45,-0.80
22,0.82,-0.45,-0.79
23,0.81,-0.45,-0.78
24,0.79,-0.45,-0.77
25,0.77,-0.46,-0.76
26,0.76,-0.46,-0.75
27,0.74,-0.46,-0.74
28,0.73,-0.46,-0.73
29,0.71,-0.46,-0.72
30,0.69,-0.46,-0.71
31,0.68,-0.46,-0.70
32,0.66,-0.46,-0.69
33,0.65,-0.47,-0.68
34,0.63,-0.47,-0.67
35,0.61,-0.47,-0.66
36,0.60,-0.47,-0.65
37,0.58,-0.47,-0.64
38,0.57,-0.47,-0.63
39,0.55,-0.47,-0.62
40,0.53,-0.47,-0.61
41,0.52,-0.47,-0.60
42,0.50,-0.48,-0.59
43,0.49,-0.48,-0.58
44,0.47,-0.48,-0.57
45,0.45,-0.48,-0.56
46,0.44,-0.48,-0.55
47,0.42,-0.48,-0.54
48,0.41,-0.48,-0.53
49,0.39,-0.48,-0.52
50,0.38,-0.49,-0.51
51,0.36,-0.49,-0.50
52,0.34,-0.49,-0.49
53,0.33,-0.49,-0.48
54,0.31,-0.49,-0.46
55,0.30,-0.49,-0.45
56,0.28,-0.49,-0.44
57,0.26,-0.49,-0.43
58,0.25,-0.50,-0.42
59,0.23,-0.50,-0.41
60,0.22,-0.50,-0.40
61,0.20,-0.50,-0.39
62,0.18,-0.50,-0.38
63,0.17,-0.50,-0.37
64,0.15,-0.50,-0.36
65,0.14,-0.50,-0.35
66,0.12,-0.50,-0.34
67,0.10,-0.51,-0.33
68,0.09,-0.51,-0.32
69,0.07,-0.51,-0.31
70,0.06,-0.51,-0.30
71,0.04,-0.51,-0.29
72,0.02,-0.51,-0.28
73,0.01,-0.51,-0.27
74,-0.01,-0.51,-0.26
75,-0.02,-0.52,-0.25
76,-0.04,-0.52,-0.24
77,-0.06,-0.52,-0.23
78,-0.07,-0.52,-0.22
79,-0.09,-0.52,-0.21
80,-0.10,-0.52,-0.20
81,-0.12,-0.52,-0.19
82,-0.13,-0.52,-0.18
83,-0.15,-0.52,-0.17
84,-0.17,-0.53,-0.16
85,-0.18,-0.53,-0.15
86,-0.20,-0.53,-0.14
87,-0.21,-0.53,-0.12
88,-0.23,-0.53,-0.11
89,-0.25,-0.53,-0.10
90,-0.26,-0.53,-0.09
91,-0.28,-0.53,-0.08
92,-0.29,-0.54,-0.07
93,-0.31,-0.54,-0.06
94,-0.33,-0.54,-0.05
95,-0.34,-0.54,-0.04
96,-0.36,-0.54,-0.03
97,-0.37,-0.54,-0.02
98,-0.39,-0.54,-0.01
99,-0.41,-0.54,-0.00
100,-0.42,-0.54,0.01
101,-0.44,-0.55,0.02
102,-0.45,-0.55,0.03
103,-0.47,-0.55,0.04
104,-0.49,-0.55,0.05
105,-0.50,-0.55,0.06
106,-0.52,-0.55,0.07
107,-0.53,-0.55,0.08
108,-0.55,-0.55,0.09
109,-0.57,-0.56,0.10
110,-0.58,-0.56,0.11
111,-0.60,-0.56,0.12
112,-0.61,-0.56,0.13
113,-0.63,-0.56,0.14
114,-0.64,-0.56,0.15
115,-0.66,-0.56,0.16
116,-0.68,-0.56,0.17
117,-0.69,-0.57,0.18
118,-0.71,-0.57,0.19
119,-0.72,-0.57,0.21
120,-0.74,-0.57,0.22
121,-0.76,-0.57,0.23
122,-0.77,-0.57,0.24
123,-0.79,-0.57,0.25
124,-0.80,-0.57,0.26
125,-0.82,-0.57,0.27
126,-0.84,-0.58,0.28
127,-0.85,-0.58,0.29
128,-0.87,-0.58,0.30
129,-0.88,-0.58,0.31
130,-0.90,-0.58,0.32
131,-0.92,-0.58,0.33
132,-0.93,-0.58,0.34
133,-0.95,-0.58,0.35
134,-0.96,-0.59,0.36
135,-0.98,-0.59,0.37
136,-1.00,-0.59,0.38
137,-1.01,-0.59,0.39
138,-1.03,-0.59,0.40
139,-1.04,-0.59,0.41
140,-1.06,-0.59,0.42
141,-1.07,-0.59,0.43
142,-1.09,-0.59,0.44
143,-1.11,-0.60,0.45
144,-1.12,-0.60,0.46
145,-1.14,-0.60,0.47
146,-1.15,-0.60,0.48
147,-1.17,-0.60,0.49
148,-1.19,-0.60,0.50
149,-1.20,-0.60,0.51
150,-1.22,-0.60,0.52
151,-1.22,-0.61,0.54
152,-1.22,-0.61,0.55
153,-1.22,-0.61,0.56
154,-1.22,-0.61,0.57
155,-1.22,-0.61,0.58
156,-1.22,-0.61,0.59
157,-1.22,-0.61,0.60
158,-1.22,-0.62,0.61
159,-1.22,-0.62,0.62
160,-1.22,-0.62,0.63
161,-1.22,-0.62,0.64
162,-1.22,-0.62,0.65
163,-1.22,-0.62,0.66
164,-1.22,-0.63,0.67
165,-1.22,-0.63,0.68
166,-1.22,-0.63,0.69
167,-1.22,-0.63,0.71
