UTS,YS,EL
205.8176,89.74141,8.595789
207.97311,92.203285,9.35235
210.1286,94.66513,10.108896
212.0668,96.726814,10.821629
212.34988,95.740486,11.200631
212.63297,94.75414,11.57964
212.2821,94.330475,11.550607
211.82135,94.00433,11.450848
211.169,93.908394,11.6568775
210.51543,93.8139,11.864822
213.73418,96.58258,12.208086
212.93626,95.90997,12.223312
212.13943,95.23814,12.23856
211.64069,94.667915,12.248188
211.46106,94.20689,12.251862
211.28073,93.74543,12.255524
211.10098,93.284325,12.259194
210.9205,92.82275,12.262859
210.74051,92.36151,12.266519
210.56047,91.90023,12.270191
210.38054,91.439026,12.273862
210.20023,90.977585,12.277519
210.02036,90.51641,12.281183
209.84003,90.054924,12.284849
209.66016,89.59377,12.288511
209.47992,89.13236,12.292181
209.30005,88.67119,12.295846
209.11963,88.20967,12.299515
208.9397,87.74848,12.303177
208.7597,87.287186,12.30685
208.9433,87.38064,12.325695
209.12943,87.478294,12.344662
209.31584,87.57608,12.3636265
209.50233,87.673996,12.382614
209.689,87.77195,12.401583
209.87506,87.86955,12.420542
209.76883,87.886284,12.439556
209.65192,87.9,12.458565
209.53488,87.9136,12.477571
209.41833,87.92748,12.496578
209.30122,87.94101,12.515581
209.18442,87.95482,12.534599
209.06766,87.96851,12.553594
208.95064,87.98214,12.572607
208.83398,87.99603,12.591625
208.71678,88.00946,12.6106205
208.60025,88.023445,12.629638
208.48334,88.037056,12.648643
208.36649,88.05077,12.667651
208.24957,88.06446,12.686655
208.13266,88.07817,12.705667
208.01591,88.09189,12.724672
207.89926,88.105675,12.743672
207.78235,88.11945,12.762696
207.66531,88.13307,12.781706
207.54866,88.14688,12.800711
207.43184,88.160576,12.819719
207.31491,88.1742,12.838722
207.19836,88.18816,12.8577385
207.0815,88.201775,12.8767395
206.96423,88.215324,12.895748
206.8475,88.22904,12.914747
206.7305,88.24273,12.933767
206.61429,88.25678,12.952774
206.49684,88.270164,12.971782
206.3805,88.28411,12.990784
206.26369,88.29789,13.0098
206.14636,88.311356,13.028809
206.02934,88.32499,13.047816
205.91266,88.33875,13.066822
205.7955,88.35239,13.085837
205.67867,88.36599,13.10483
205.5622,88.379974,13.123849
205.44516,88.39359,13.142853
205.3283,88.407295,13.161862
205.21204,88.42135,13.180878
205.0945,88.43463,13.199875
204.9776,88.44831,13.218881
204.86156,88.462555,13.2379055
204.74435,88.476006,13.256904
204.6279,88.48996,13.275915
204.51102,88.50359,13.294911
204.39421,88.51737,13.313928
204.2774,88.531166,13.332943
204.16022,88.54463,13.351939
204.04352,88.558395,13.370942
203.92628,88.571945,13.389957
203.81017,88.58608,13.40897
203.69281,88.599525,13.427977
203.57605,88.61323,13.4469795
203.45888,88.626854,13.465998
203.34213,88.64058,13.4850025
203.22556,88.65443,13.504004
203.10854,88.66806,13.523016
202.99207,88.68204,13.542034
202.87473,88.69547,13.561039
202.75787,88.7091,13.580036
202.64163,88.72314,13.599043
202.52438,88.73668,13.618055
202.4078,88.75056,13.637068
202.29126,88.76443,13.656073
202.1737,88.7777,13.675072
202.05656,88.79133,13.694096
201.94077,88.80564,13.713108
201.82288,88.81875,13.732107
201.70631,88.83262,13.75112
201.5894,88.84632,13.770121
201.4724,88.85995,13.789139
201.35616,88.87398,13.808142
201.23872,88.88737,13.827147
201.12192,88.90116,13.846163
201.0047,88.914604,13.865158
200.8879,88.9284,13.88418
200.772,88.94259,13.903175
200.65543,88.95649,13.922194
200.5381,88.96995,13.941195
200.42064,88.983315,13.960207
200.30386,88.99702,13.979204
200.18703,89.0109,13.998241
200.07074,89.02478,14.017223
199.95438,89.0388,14.036243
200.02301,89.11332,14.012299
200.0997,89.190575,13.986654
200.17664,89.26803,13.961014
200.25407,89.34576,13.935402
200.32988,89.42261,13.90971
200.40671,89.49996,13.884064
200.48358,89.5774,13.858423
200.56029,89.654655,13.832781
200.63605,89.7315,13.807089
200.71365,89.80933,13.781471
200.78989,89.88639,13.755804
200.86647,89.963585,13.730158
200.9427,90.04063,13.704487
201.01953,90.11799,13.678844
201.0961,90.19529,13.653183
201.1729,90.27265,13.627539
201.25009,90.35018,13.601921
201.32658,90.42742,13.576254
201.40297,90.50457,13.550585
201.47964,90.58184,13.52495
201.55661,90.659355,13.49931
201.63358,90.73666,13.473679
201.70995,90.81382,13.448015
201.7865,90.89112,13.422352
201.86299,90.96824,13.3967
201.93954,91.04554,13.371037
202.0158,91.1226,13.345366
202.09259,91.19993,13.319727
202.16953,91.277405,13.294087
202.2464,91.35482,13.268446
201.88658,91.19286,13.242401
201.38568,90.953575,13.216204
200.88553,90.71474,13.190035
200.38664,90.47659,13.163931
199.88647,90.23774,13.137762
199.38557,89.99845,13.111561
198.88432,89.75888,13.08536
198.44006,89.54676,13.066943
198.05675,89.36401,13.056917
197.6718,89.18014,13.046816
197.28839,88.997215,13.036777
