,Al,Si,Al2Si2Sr
0,0.88,2.31,-0.82
1,0.88,2.04,-0.82
2,0.88,1.77,-0.81
3,0.88,1.49,-0.81
4,0.88,1.22,-0.80
5,0.88,0.95,-0.80
6,0.88,0.68,-0.79
7,0.88,0.41,-0.79
8,0.88,0.14,-0.78
9,0.88,-0.13,-0.78
10,0.87,-0.40,-0.80
11,0.86,-0.40,-0.79
12,0.84,-0.40,-0.78
13,0.83,-0.40,-0.77
14,0.81,-0.40,-0.76
15,0.79,-0.41,-0.75
16,0.78,-0.41,-0.74
17,0.76,-0.41,-0.73
18,0.75,-0.41,-0.72
19,0.73,-0.41,-0.71
20,0.71,-0.41,-0.70
21,0.70,-0.41,-0.69
22,0.68,-0.41,-0.68
23,0.67,-0.42,-0.67
24,0.65,-0.42,-0.66
25,0.63,-0.42,-0.65
26,0.62,-0.42,-0.63
27,0.60,-0.42,-0.62
28,0.59,-0.42,-0.61
29,0.57,-0.42,-0.60
30,0.55,-0.42,-0.59
31,0.54,-0.43,-0.58
32,0.52,-0.43,-0.57
33,0.51,-0.43,-0.56
34,0.49,-0.43,-0.55
35,0.47,-0.43,-0.54
36,0.46,-0.43,-0.53
37,0.44,-0.43,-0.52
38,0.42,-0.43,-0.51
39,0.41,-0.44,-0.50
40,0.39,-0.44,-0.49
41,0.38,-0.44,-0.48
42,0.36,-0.44,-0.47
43,0.34,-0.44,-0.46
44,0.33,-0.44,-0.45
45,0.31,-0.44,-0.43
46,0.30,-0.44,-0.42
47,0.28,-0.45,-0.41
48,0.26,-0.45,-0.40
49,0.25,-0.45,-0.39
50,0.23,-0.45,-0.38
51,0.22,-0.45,-0.37
52,0.20,-0.45,-0.36
53,0.18,-0.45,-0.35
54,0.17,-0.45,-0.34
55,0.15,-0.46,-0.33
56,0.14,-0.46,-0.32
57,0.12,-0.46,-0.31
58,0.10,-0.46,-0.30
59,0.09,-0.46,-0.29
60,0.07,-0.46,-0.28
61,0.06,-0.46,-0.27
62,0.04,-0.46,-0.26
63,0.02,-0.47,-0.25
64,0.01,-0.47,-0.24
65,-0.01,-0.47,-0.22
66,-0.03,-0.47,-0.21
67,-0.04,-0.47,-0.20
68,-0.06,-0.47,-0.19
69,-0.07,-0.47,-0.18
70,-0.09,-0.48,-0.17
71,-0.11,-0.48,-0.16
72,-0.12,-0.48,-0.15
73,-0.14,-0.48,-0.14
74,-0.15,-0.48,-0.13
75,-0.17,-0.48,-0.12
76,-0.19,-0.48,-0.11
77,-0.20,-0.48,-0.10
78,-0.22,-0.49,-0.09
79,-0.23,-0.49,-0.08
80,-0.25,-0.49,-0.07
81,-0.27,-0.49,-0.06
82,-0.28,-0.49,-0.05
83,-0.30,-0.49,-0.04
84,-0.31,-0.49,-0.02
85,-0.33,-0.49,-0.01
86,-0.35,-0.50,-0.00
87,-0.36,-0.50,0.01
88,-0.38,-0.50,0.02
89,-0.39,-0.50,0.03
90,-0.41,-0.50,0.04
91,-0.43,-0.50,0.05
92,-0.44,-0.50,0.06
93,-0.46,-0.50,0.07
94,-0.48,-0.51,0.08
95,-0.49,-0.51,0.09
96,-0.51,-0.51,0.10
97,-0.52,-0.51,0.11
98,-0.54,-0.51,0.12
99,-0.56,-0.51,0.13
100,-0.57,-0.51,0.14
101,-0.59,-0.51,0.15
102,-0.60,-0.52,0.16
103,-0.62,-0.52,0.17
104,-0.64,-0.52,0.19
105,-0.65,-0.52,0.20
106,-0.67,-0.52,0.21
107,-0.68,-0.52,0.22
108,-0.70,-0.52,0.23
109,-0.72,-0.52,0.24
110,-0.73,-0.53,0.25
111,-0.75,-0.53,0.26
112,-0.76,-0.53,0.27
113,-0.78,-0.53,0.28
114,-0.80,-0.53,0.29
115,-0.81,-0.53,0.30
116,-0.83,-0.53,0.31
117,-0.84,-0.53,0.32
118,-0.86,-0.54,0.33
119,-0.88,-0.54,0.34
120,-0.89,-0.54,0.35
121,-0.91,-0.54,0.36
122,-0.92,-0.54,0.37
123,-0.94,-0.54,0.39
124,-0.96,-0.54,0.40
125,-0.97,-0.54,0.41
126,-0.99,-0.55,0.42
127,-1.01,-0.55,0.43
128,-1.02,-0.55,0.44
129,-1.04,-0.55,0.45
130,-1.05,-0.55,0.46
131,-1.07,-0.55,0.47
132,-1.09,-0.55,0.48
133,-1.10,-0.55,0.49
134,-1.12,-0.56,0.50
135,-1.13,-0.56,0.51
136,-1.15,-0.56,0.52
137,-1.17,-0.56,0.53
138,-1.18,-0.56,0.54
139,-1.20,-0.56,0.55
140,-1.21,-0.56,0.56
141,-1.23,-0.56,0.57
142,-1.25,-0.57,0.59
143,-1.26,-0.57,0.60
144,-1.28,-0.57,0.61
145,-1.29,-0.57,0.62
146,-1.31,-0.57,0.63
147,-1.33,-0.57,0.64
148,-1.34,-0.57,0.65
149,-1.36,-0.57,0.66
150,-1.37,-0.58,0.67
151,-1.38,-0.58,0.68
152,-1.38,-0.58,0.69
153,-1.38,-0.58,0.70
154,-1.38,-0.58,0.71
155,-1.38,-0.58,0.72
156,-1.38,-0.59,0.73
157,-1.38,-0.59,0.75
158,-1.38,-0.59,0.76
159,-1.38,-0.59,0.77
160,-1.38,-0.59,0.78
161,-1.38,-0.59,0.79
162,-1.38,-0.60,0.80
163,-1.38,-0.60,0.81
164,-1.38,-0.60,0.82
165,-1.38,-0.60,0.83
166,-1.38,-0.60,0.84
167,-1.38,-0.60,0.85
168,-1.38,-0.60,0.86
169,-1.38,-0.61,0.88
170,-1.38,-0.61,0.89
171,-1.38,-0.61,0.90
172,-1.38,-0.61,0.91
173,-1.38,-0.61,0.92
174,-1.38,-0.61,0.93
175,-1.38,-0.62,0.94
176,-1.38,-0.62,0.95
177,-1.38,-0.62,0.96
178,-1.38,-0.62,0.97
179,-1.38,-0.62,0.98
180,-1.38,-0.62,0.99
181,-1.38,-0.63,1.01
182,-1.38,-0.63,1.02
183,-1.38,-0.63,1.03
184,-1.38,-0.63,1.04
185,-1.38,-0.63,1.05
186,-1.38,-0.63,1.06
187,-1.38,-0.64,1.07
188,-1.38,-0.64,1.08
189,-1.38,-0.64,1.09
190,-1.38,-0.64,1.10
191,-1.38,-0.64,1.11
192,-1.38,-0.64,1.13
193,-1.38,-0.65,1.14
194,-1.38,-0.65,1.15
195,-1.38,-0.65,1.16
196,-1.38,-0.65,1.17
197,-1.38,-0.65,1.18
198,-1.38,-0.65,1.19
199,-1.38,-0.65,1.20
200,-1.38,-0.66,1.21
201,-1.38,-0.66,1.22
202,-1.38,-0.66,1.23
203,-1.39,-0.66,1.24
204,-1.39,-0.66,1.26
205,-1.39,-0.66,1.27
206,-1.39,-0.67,1.28
207,-1.39,-0.67,1.29
208,-1.39,-0.67,1.30
209,-1.39,-0.67,1.31
210,-1.39,-0.67,1.32
211,-1.39,-0.67,1.33
212,-1.39,-0.68,1.34
213,-1.39,-0.68,1.35
214,-1.39,-0.68,1.36
215,-1.39,-0.68,1.38
216,-1.39,-0.68,1.39
217,-1.39,-0.68,1.40
218,-1.39,-0.69,1.41
219,-1.39,-0.69,1.42
220,-1.39,-0.69,1.43
221,-1.39,-0.69,1.44
222,-1.39,-0.69,1.45
223,-1.39,-0.69,1.46
224,-1.39,-0.70,1.47
225,-1.39,-0.70,1.48
226,-1.39,-0.70,1.49
227,-1.39,-0.70,1.51
228,-1.39,-0.70,1.52
229,-1.39,-0.70,1.53
230,-1.39,-0.70,1.54
231,-1.39,-0.71,1.55
232,-1.39,-0.71,1.56
233,-1.39,-0.71,1.57
234,-1.39,-0.71,1.58
235,-1.39,-0.71,1.59
236,-1.39,-0.71,1.60
237,-1.39,-0.72,1.61
238,-1.39,-0.72,1.63
239,-1.39,-0.72,1.64
240,-1.39,-0.72,1.65
241,-1.39,-0.72,1.66
242,-1.39,-0.72,1.67
243,-1.39,-0.73,1.68
244,-1.39,-0.73,1.69
245,-1.39,-0.73,1.70
246,-1.39,-0.73,1.71
247,-1.39,-0.73,1.72
248,-1.39,-0.73,1.73
249,-1.39,-0.74,1.74
250,-1.39,-0.74,1.76
