,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.9043914,0.052615814,1.66893e-06,0.0
1,0.9043751,0.052124374,1.4305115e-06,0.0005
2,0.90435886,0.05163295,1.1920929e-06,0.001
3,0.90434265,0.051141553,1.013279e-06,0.0015
4,0.90432644,0.050650097,7.748604e-07,0.002
5,0.9043101,0.050158687,5.364418e-07,0.0025
6,0.9042939,0.049667247,2.9802322e-07,0.003
7,0.90427756,0.049175806,8.940697e-08,0.0035
8,0.90426135,0.04868441,-1.4901161e-07,0.004
9,0.90424514,0.04819297,-3.5762787e-07,0.0045
10,0.90382445,0.047770344,5.364418e-07,0.005
11,0.9009347,0.047767855,8.165836e-06,0.0055
12,0.89804494,0.047765337,1.5825033e-05,0.006
13,0.8951551,0.047762834,2.3454428e-05,0.0065
14,0.8922653,0.0477603,3.1083822e-05,0.007
15,0.88937545,0.04775781,3.8713217e-05,0.0075
16,0.8864857,0.04775531,4.6372414e-05,0.008
17,0.8835958,0.04775279,5.403161e-05,0.0085
18,0.8807061,0.04775027,6.169081e-05,0.009
19,0.8778162,0.04774777,6.93202e-05,0.0095
20,0.87492657,0.04774525,7.69496e-05,0.01
21,0.8720367,0.047742747,8.457899e-05,0.0105
22,0.8691468,0.04774023,9.223819e-05,0.011
23,0.8662571,0.04773771,9.9897385e-05,0.0115
24,0.8633673,0.04773522,0.00010752678,0.012
25,0.86047745,0.047732703,0.000115156174,0.0125
26,0.8575877,0.047730185,0.00012284517,0.013
27,0.85469794,0.047727667,0.00013044477,0.0135
28,0.8518081,0.04772515,0.00013810396,0.014
29,0.8489182,0.04772266,0.00014573336,0.0145
30,0.84602845,0.04772017,0.00015339255,0.015
31,0.8431387,0.047717653,0.00016102195,0.0155
32,0.84024894,0.04771512,0.00016868114,0.016
33,0.8373592,0.04771263,0.00017631054,0.0165
34,0.8344692,0.047710128,0.00018393993,0.017
35,0.83157945,0.047707595,0.00019159913,0.0175
36,0.8286897,0.047705077,0.00019925833,0.018
37,0.82579994,0.047702573,0.00020688772,0.0185
38,0.8229101,0.04770007,0.00021451712,0.019
39,0.8200202,0.047697566,0.00022217631,0.0195
40,0.81713045,0.04769505,0.00022983551,0.02
41,0.8142407,0.047692545,0.0002374649,0.0205
42,0.8113508,0.047690026,0.0002450943,0.021
43,0.80846107,0.04768751,0.0002527237,0.0215
44,0.8055713,0.04768502,0.0002603829,0.022
45,0.80268145,0.047682486,0.00026801229,0.0225
46,0.7997917,0.047679983,0.00027567148,0.023
47,0.79690194,0.047677465,0.00028330088,0.0235
48,0.79401207,0.04767496,0.00029096007,0.024
49,0.7911223,0.047672458,0.00029861927,0.0245
50,0.78823245,0.047669955,0.00030621886,0.025
51,0.7853427,0.047667436,0.00031387806,0.0255
52,0.7824528,0.047664918,0.00032150745,0.026
53,0.77956307,0.047662415,0.00032916665,0.0265
54,0.7766733,0.04765991,0.00033682585,0.027
55,0.77378345,0.047657378,0.00034445524,0.0275
56,0.7708936,0.047654904,0.00035211444,0.028
57,0.7680948,0.047652267,0.00035977364,0.0285
58,0.76537466,0.047649495,0.00036740303,0.029
59,0.7626544,0.04764677,0.00037506223,0.0295
60,0.7599343,0.047644027,0.00038272142,0.03
61,0.75721407,0.047641285,0.00039038062,0.0305
62,0.7544939,0.047638528,0.00039803982,0.031
63,0.75177383,0.047635786,0.00040569901,0.0315
64,0.74905354,0.047633044,0.0004133582,0.032
65,0.74633336,0.047630303,0.0004209876,0.0325
66,0.74361324,0.04762756,0.0004286468,0.033
67,0.740893,0.047624834,0.000436306,0.0335
68,0.7381728,0.047622092,0.000443995,0.034
69,0.73545265,0.04761932,0.0004516244,0.0345
70,0.73273253,0.047616594,0.0004593134,0.035
71,0.7300123,0.047613837,0.0004669428,0.0355
72,0.7272921,0.04761111,0.00047460198,0.036
73,0.72457194,0.04760834,0.00048226118,0.0365
74,0.7218518,0.04760561,0.0004899204,0.037
75,0.7191316,0.047602884,0.0004975498,0.0375
76,0.7164114,0.047600128,0.00050520897,0.038
77,0.71369123,0.047597386,0.00051286817,0.0385
78,0.710971,0.047594644,0.00052052736,0.039
79,0.7082509,0.047591887,0.00052821636,0.0395
80,0.70553064,0.047589146,0.00053584576,0.04
81,0.7028105,0.04758642,0.00054353476,0.0405
82,0.7000903,0.047583662,0.00055116415,0.041
83,0.6973702,0.047580935,0.00055882335,0.0415
84,0.69464993,0.047578163,0.00056645274,0.042
85,0.6919298,0.04757545,0.00057414174,0.0425
86,0.6892097,0.047572695,0.00058180094,0.043
87,0.6864894,0.047569938,0.00058943033,0.0435
88,0.6837692,0.047567226,0.0005970895,0.044
89,0.68104905,0.04756447,0.0006047487,0.0445
90,0.6783289,0.047561742,0.0006124079,0.045
91,0.67560875,0.04755897,0.0006200671,0.0455
92,0.6728885,0.047556244,0.0006277263,0.046
93,0.67016834,0.047553502,0.0006353855,0.0465
94,0.6674482,0.047550745,0.0006430149,0.047
95,0.6647279,0.04754799,0.0006507039,0.0475
96,0.6620078,0.047545277,0.0006583631,0.048
97,0.6592877,0.047542505,0.0006659925,0.0485
98,0.65656745,0.047539763,0.0006736517,0.049
99,0.6538473,0.047537036,0.0006813407,0.0495
100,0.6511271,0.047534294,0.0006889701,0.05
101,0.64840686,0.047531553,0.0006966591,0.0505
102,0.64568675,0.04752881,0.0007042885,0.051
103,0.6429665,0.047526054,0.0007119179,0.0515
104,0.64024633,0.047523327,0.0007196069,0.052
105,0.6375262,0.047520556,0.0007272661,0.0525
106,0.634806,0.047517814,0.00073489547,0.053
107,0.63208586,0.047515087,0.00074255466,0.0535
108,0.6293657,0.04751233,0.00075024366,0.054
109,0.62664545,0.04750959,0.00075787306,0.0545
110,0.6239253,0.047506846,0.00076553226,0.055
111,0.6212051,0.047504105,0.00077319145,0.0555
112,0.6184849,0.047501385,0.00078085065,0.056
113,0.61576474,0.04749862,0.00078848004,0.0565
114,0.61304456,0.04749588,0.00079616904,0.057
115,0.6103244,0.047493152,0.00080382824,0.0575
116,0.60760427,0.047490396,0.00081145763,0.058
117,0.604884,0.047487646,0.00081914663,0.0585
118,0.60216385,0.04748489,0.000826776,0.059
119,0.5994437,0.047482155,0.0008344352,0.0595
120,0.5967235,0.04747943,0.0008420944,0.06
121,0.5940033,0.04747668,0.0008497834,0.0605
122,0.59128314,0.047473937,0.0008574128,0.061
123,0.58856297,0.047471188,0.000865072,0.0615
124,0.5858427,0.04746844,0.0008727312,0.062
125,0.58312255,0.047465682,0.0008803606,0.0625
126,0.58040243,0.047462977,0.0008880496,0.063
127,0.57768226,0.04746022,0.0008957088,0.0635
128,0.5749621,0.04745748,0.000903368,0.064
129,0.5722419,0.047454737,0.0009109974,0.0645
130,0.56952167,0.047451988,0.0009186566,0.065
131,0.56680155,0.047449246,0.0009263158,0.0655
132,0.5640814,0.04744649,0.000933975,0.066
