,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.90437686,0.05267359,-1.0617776e-05,0.0
1,0.9043659,0.052153,-7.360941e-07,0.0005
2,0.90435493,0.0516324,9.1458205e-06,0.001
3,0.9043441,0.0511118,1.9027619e-05,0.0015
4,0.9043331,0.050591208,2.8909417e-05,0.002
5,0.90432227,0.050070617,3.87911e-05,0.0025
6,0.9043113,0.04955002,4.8672897e-05,0.003
7,0.90430045,0.04902942,5.855481e-05,0.0035
8,0.9042896,0.04850882,6.843661e-05,0.004
9,0.90427864,0.04798823,7.831841e-05,0.0045
10,0.9024354,0.047805328,1.6384874e-05,0.005
11,0.89965594,0.047802273,2.4118926e-05,0.0055
12,0.89687645,0.047799222,3.1847158e-05,0.006
13,0.894097,0.047796167,3.9578066e-05,0.0065
14,0.8913175,0.047793124,4.731363e-05,0.007
15,0.888538,0.047790077,5.5047334e-05,0.0075
16,0.8857585,0.047787026,6.277545e-05,0.008
17,0.88297904,0.04778397,7.050589e-05,0.0085
18,0.88019955,0.04778092,7.824472e-05,0.009
19,0.8774202,0.047777873,8.5975626e-05,0.0095
20,0.8746407,0.04777482,9.3703275e-05,0.01
21,0.8718612,0.047771774,0.00010143698,0.0105
22,0.86908174,0.047768727,0.00010917254,0.011
23,0.86630225,0.04776567,0.00011690066,0.0115
24,0.86352277,0.047762625,0.00012463157,0.012
25,0.8607433,0.04775957,0.0001323662,0.0125
26,0.8579638,0.04775652,0.00014009338,0.013
27,0.8551843,0.047753464,0.00014782895,0.0135
28,0.85240483,0.04775042,0.00015556451,0.014
29,0.84962535,0.047747362,0.00016329449,0.0145
30,0.84684587,0.047744315,0.00017102633,0.015
31,0.8440664,0.047741264,0.00017875631,0.0155
32,0.8412869,0.047738217,0.00018649001,0.016
33,0.83850753,0.04773516,0.00019422185,0.0165
34,0.83572805,0.04773211,0.00020195369,0.017
35,0.83294857,0.04772906,0.0002096874,0.0175
36,0.8301691,0.04772602,0.0002174211,0.018
37,0.8273896,0.04772296,0.00022514921,0.0185
38,0.8246101,0.04771991,0.00023288291,0.019
39,0.82183063,0.047716863,0.00024061662,0.0195
40,0.81905115,0.047713816,0.0002483466,0.02
41,0.81627166,0.047710765,0.0002560747,0.0205
42,0.8134922,0.047707714,0.0002638084,0.021
43,0.8107127,0.04770466,0.0002715384,0.0215
44,0.8079332,0.047701616,0.0002792721,0.022
45,0.8051537,0.04769856,0.0002870058,0.0225
46,0.80237436,0.04769551,0.00029473205,0.023
47,0.7995949,0.04769246,0.00030246947,0.0235
48,0.7968153,0.04768941,0.00031019945,0.024
49,0.7940359,0.047686353,0.00031793315,0.0245
50,0.7912564,0.047683306,0.00032566313,0.025
51,0.78847694,0.047680248,0.00033339683,0.0255
52,0.78569746,0.047677204,0.0003411268,0.026
53,0.782918,0.04767415,0.0003488568,0.0265
54,0.7801385,0.047671102,0.00035658677,0.027
55,0.777359,0.04766805,0.0003643242,0.0275
56,0.77457964,0.047665,0.0003720579,0.028
57,0.77180004,0.047661953,0.00037978787,0.0285
58,0.76902056,0.04765889,0.00038752158,0.029
59,0.7662412,0.047655847,0.00039525155,0.0295
60,0.7634617,0.047652796,0.00040298898,0.03
61,0.7606822,0.047649745,0.00041071523,0.0305
62,0.75790274,0.047646698,0.00041844894,0.031
63,0.75512326,0.047643647,0.00042618264,0.0315
64,0.7523438,0.0476406,0.00043391634,0.032
65,0.7495643,0.047637545,0.00044164632,0.0325
66,0.7467848,0.047634497,0.00044938002,0.033
67,0.7440053,0.04763145,0.00045710627,0.0335
68,0.74122584,0.047628403,0.0004648437,0.034
69,0.73844635,0.04762535,0.00047256995,0.0345
70,0.7356669,0.0476223,0.00048030738,0.035
71,0.7328874,0.047619246,0.00048804109,0.0355
72,0.730108,0.047616187,0.00049577106,0.036
73,0.72732854,0.047613136,0.00050350104,0.0365
74,0.72454906,0.04761009,0.00051123474,0.037
75,0.7217696,0.047607042,0.00051896845,0.0375
76,0.7189901,0.047603983,0.0005266984,0.038
77,0.7162106,0.04760094,0.0005344284,0.0385
78,0.7134311,0.047597893,0.0005421621,0.039
79,0.71065164,0.047594838,0.0005498921,0.0395
80,0.70787215,0.04759179,0.00055761833,0.04
81,0.70509267,0.047588736,0.0005653446,0.0405
82,0.7023133,0.04758568,0.00057308574,0.041
83,0.6995338,0.047582634,0.0005808269,0.0415
84,0.69675434,0.04757958,0.0005885606,0.042
85,0.69397485,0.04757654,0.00059628685,0.0425
86,0.69119537,0.047573484,0.0006040131,0.043
87,0.6884158,0.047570437,0.0006117468,0.0435
88,0.6856364,0.047567382,0.0006194805,0.044
89,0.6828569,0.047564335,0.00062722166,0.0445
90,0.68007743,0.047561288,0.00063494046,0.045
91,0.67729795,0.047558233,0.0006426816,0.0455
92,0.67451847,0.04755518,0.00065040786,0.046
93,0.671739,0.04755214,0.000658149,0.0465
94,0.6689596,0.04754908,0.0006658678,0.047
95,0.66618013,0.04754603,0.00067360897,0.0475
96,0.66340065,0.04754297,0.0006813427,0.048
97,0.66062117,0.047539923,0.0006890689,0.0485
98,0.6578417,0.047536872,0.0006967952,0.049
99,0.6550622,0.047533825,0.0007045289,0.0495
100,0.6522827,0.047530778,0.0007122626,0.05
101,0.64950323,0.047527723,0.0007199963,0.0505
102,0.64672375,0.047524676,0.00072772254,0.051
103,0.64394426,0.04752163,0.0007354637,0.0515
104,0.6411648,0.04751857,0.00074318994,0.052
105,0.6383854,0.047515523,0.0007509311,0.0525
106,0.6356058,0.047512475,0.00075865735,0.053
107,0.6328263,0.04750943,0.00076639105,0.0535
108,0.63004684,0.047506373,0.00077410985,0.054
109,0.62726736,0.047503322,0.00078184356,0.0545
110,0.62448794,0.047500268,0.00078957726,0.055
111,0.6217085,0.047497217,0.00079731096,0.0555
112,0.618929,0.04749417,0.00080504466,0.056
113,0.61614954,0.047491126,0.0008127858,0.0565
114,0.61337006,0.047488067,0.00082051207,0.057
115,0.6105906,0.04748502,0.0008282383,0.0575
116,0.6078111,0.04748197,0.000835972,0.058
117,0.6050316,0.04747892,0.0008437057,0.0585
118,0.6022521,0.047475867,0.0008514469,0.059
119,0.59947264,0.047472816,0.0008591657,0.0595
120,0.5966932,0.047469757,0.0008668994,0.06
121,0.5939137,0.04746671,0.00087464054,0.0605
122,0.5911342,0.04746367,0.00088235934,0.061
123,0.5883547,0.04746062,0.0008901005,0.0615
124,0.58557534,0.047457557,0.00089782674,0.062
125,0.58279586,0.04745451,0.000905553,0.0625
126,0.5800163,0.04745147,0.0009133016,0.063
127,0.5772369,0.047448404,0.00092102785,0.0635
128,0.57445735,0.047445364,0.0009287541,0.064
129,0.5716779,0.04744231,0.00093648036,0.0645
130,0.5688985,0.047439255,0.00094422896,0.065
131,0.56611896,0.047436222,0.0009519552,0.0655
132,0.5633395,0.04743316,0.00095968146,0.066
133,0.56056,0.047430117,0.0009674077,0.0665
134,0.5577805,0.04742707,0.00097514887,0.067
