,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.90445065,0.052675847,3.6258716e-05,0.0
1,0.90441287,0.05214662,2.5008107e-05,0.0005
2,0.9043751,0.051617403,1.3757497e-05,0.001
3,0.9043372,0.05108818,2.507004e-06,0.0015
4,0.90429944,0.050558954,-8.743606e-06,0.002
5,0.9042616,0.050029736,-1.9994099e-05,0.0025
6,0.9042238,0.049500514,-3.124471e-05,0.003
7,0.904186,0.048971288,-4.2495318e-05,0.0035
8,0.9041482,0.048442073,-5.374581e-05,0.004
9,0.90411043,0.047912844,-6.499642e-05,0.0045
10,0.9016101,0.047855366,-3.236346e-08,0.005
11,0.89883864,0.04785196,7.637311e-06,0.0055
12,0.89606726,0.047848552,1.5303842e-05,0.006
13,0.8932958,0.04784515,2.2977008e-05,0.0065
14,0.8905244,0.047841743,3.06461e-05,0.007
15,0.887753,0.047838338,3.8317405e-05,0.0075
16,0.8849816,0.047834925,4.598638e-05,0.008
17,0.88221014,0.047831528,5.365815e-05,0.0085
18,0.87943876,0.04782812,6.1326195e-05,0.009
19,0.8766674,0.047824707,6.8995636e-05,0.0095
20,0.8738959,0.047821306,7.666694e-05,0.01
21,0.8711245,0.047817893,8.433638e-05,0.0105
22,0.8683531,0.04781449,9.2007685e-05,0.011
23,0.8655817,0.047811087,9.967666e-05,0.0115
24,0.86281025,0.04780768,0.000107347965,0.012
25,0.8600389,0.047804274,0.00011501741,0.0125
26,0.85726744,0.04780087,0.00012268545,0.013
27,0.854496,0.047797453,0.00013035908,0.0135
28,0.8517246,0.04779405,0.00013802666,0.014
29,0.8489532,0.04779065,0.0001456989,0.0145
30,0.84618175,0.047787234,0.00015336834,0.015
31,0.8434104,0.047783837,0.00016103964,0.0155
32,0.84063894,0.04778043,0.00016871002,0.016
33,0.8378675,0.047777023,0.00017637853,0.0165
34,0.8350961,0.04777362,0.00018404983,0.017
35,0.8323247,0.047770217,0.00019171834,0.0175
36,0.82955325,0.0477668,0.00019938964,0.018
37,0.82678187,0.0477634,0.00020705909,0.0185
38,0.8240105,0.047759995,0.00021472853,0.019
39,0.821239,0.04775658,0.00022239797,0.0195
40,0.8184676,0.04775318,0.00023006927,0.02
41,0.8156962,0.047749773,0.00023773871,0.0205
42,0.81292474,0.047746364,0.00024541002,0.021
43,0.81015337,0.04774296,0.00025307946,0.0215
44,0.807382,0.047739558,0.00026074983,0.022
45,0.8046105,0.047736146,0.00026842207,0.0225
46,0.8018391,0.047732737,0.00027609058,0.023
47,0.7990677,0.047729336,0.0002837591,0.0235
48,0.7962963,0.04772593,0.00029143132,0.024
49,0.79352486,0.047722515,0.00029909983,0.0245
50,0.7907535,0.047719117,0.00030677207,0.025
51,0.7879821,0.0477157,0.00031443872,0.0255
52,0.7852106,0.0477123,0.00032211095,0.026
53,0.78243923,0.047708895,0.00032978132,0.0265
54,0.7796678,0.047705486,0.0003374517,0.027
