,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.90473557,0.05263073,-1.2829085e-05,0.0
1,0.90462476,0.052143995,-9.425741e-06,0.0005
2,0.9045139,0.051657256,-6.0223974e-06,0.001
3,0.90440303,0.05117052,-2.6190537e-06,0.0015
4,0.9042923,0.05068378,7.842609e-07,0.002
5,0.9041814,0.05019705,4.1876046e-06,0.0025
6,0.90407056,0.04971031,7.5909775e-06,0.003
7,0.9039597,0.049223572,1.0994292e-05,0.0035
8,0.9038489,0.04873684,1.4397607e-05,0.004
9,0.9037381,0.0482501,1.780095e-05,0.0045
10,0.9035688,0.047771778,6.321061e-07,0.005
11,0.9007595,0.047769506,8.249073e-06,0.0055
12,0.8979501,0.04776724,1.5864382e-05,0.006
13,0.8951407,0.047764976,2.3478642e-05,0.0065
14,0.89233136,0.047762703,3.1099305e-05,0.007
15,0.88952196,0.04776044,3.8713566e-05,0.0075
16,0.8867126,0.047758177,4.6331552e-05,0.008
17,0.8839032,0.0477559,5.3946278e-05,0.0085
18,0.88109386,0.047753643,6.15631e-05,0.009
19,0.8782845,0.04775137,6.917666e-05,0.0095
20,0.8754751,0.047749106,7.6795346e-05,0.01
21,0.8726658,0.047746837,8.440891e-05,0.0105
22,0.86985636,0.047744565,9.203039e-05,0.011
23,0.867047,0.047742303,9.9644414e-05,0.0115
24,0.8642376,0.04774004,0.000107261236,0.012
25,0.86142826,0.047737766,0.00011487666,0.0125
26,0.85861886,0.0477355,0.00012249488,0.013
27,0.8558095,0.04773324,0.0001301131,0.0135
28,0.8530001,0.04773097,0.00013772666,0.014
29,0.8501907,0.047728702,0.00014534674,0.0145
30,0.8473814,0.04772643,0.0001529603,0.015
31,0.844572,0.047724172,0.00016057852,0.0155
32,0.8417626,0.047721904,0.00016819395,0.016
33,0.8389532,0.04771963,0.0001758103,0.0165
34,0.8361439,0.047717374,0.0001834248,0.017
35,0.8333345,0.047715098,0.00019104115,0.0175
36,0.83052516,0.047712833,0.00019865844,0.018
37,0.82771575,0.047710568,0.0002062748,0.0185
38,0.8249064,0.0477083,0.00021389301,0.019
39,0.822097,0.047706034,0.00022150937,0.0195
40,0.8192876,0.047703765,0.00022912386,0.02
41,0.8164783,0.047701493,0.00023674208,0.0205
42,0.8136689,0.047699235,0.00024435658,0.021
43,0.8108595,0.047696963,0.00025197293,0.0215
44,0.80805016,0.047694698,0.00025959115,0.022
45,0.80524075,0.047692437,0.00026720564,0.0225
46,0.8024314,0.047690164,0.00027482386,0.023
47,0.79962206,0.04768789,0.00028243836,0.0235
48,0.7968126,0.04768563,0.0002900547,0.024
49,0.7940033,0.047683366,0.0002976748,0.0245
50,0.7911939,0.04768109,0.00030528742,0.025
51,0.7883845,0.047678832,0.00031290564,0.0255
52,0.7855751,0.04767656,0.00032052014,0.026
53,0.78276575,0.04767429,0.00032813463,0.0265
54,0.7799564,0.047672026,0.00033575285,0.027
55,0.777147,0.04766976,0.0003433692,0.0275
56,0.77433765,0.047667496,0.00035098928,0.028
57,0.77152824,0.047665235,0.0003586075,0.0285
58,0.7687189,0.047662962,0.00036621827,0.029
59,0.76590955,0.047660686,0.00037384022,0.0295
60,0.7631002,0.04765843,0.0003814547,0.03
61,0.7602908,0.047656156,0.0003890692,0.0305
62,0.75748146,0.047653887,0.00039668742,0.031
63,0.754672,0.047651634,0.00040430564,0.0315
64,0.7518627,0.047649357,0.0004119164,0.032
65,0.7490533,0.04764709,0.00041953463,0.0325
66,0.7462439,0.047644824,0.00042715285,0.033
67,0.74343455,0.04764256,0.00043477106,0.0335
68,0.7406252,0.047640286,0.00044238183,0.034
69,0.7378158,0.047638025,0.00045000005,0.0345
70,0.7350064,0.047635753,0.00045761827,0.035
71,0.73219705,0.047633488,0.0004652402,0.0355
72,0.7293877,0.047631226,0.00047285098,0.036
73,0.7265783,0.047628954,0.00048047293,0.0365
74,0.7237689,0.04762669,0.0004880837,0.037
75,0.7209596,0.047624424,0.00049569446,0.0375
76,0.71815014,0.04762215,0.00050332013,0.038
77,0.7153408,0.047619883,0.00051093835,0.0385
78,0.71253145,0.04761762,0.0005185491,0.039
79,0.70972204,0.04761535,0.0005261636,0.0395
80,0.7069127,0.047613084,0.00053378555,0.04
81,0.7041033,0.047610823,0.00054140005,0.0405
82,0.7012939,0.047608554,0.00054901454,0.041
83,0.69848454,0.047606282,0.0005566365,0.0415
84,0.6956752,0.047604017,0.00056424725,0.042
85,0.6928658,0.047601752,0.0005718655,0.0425
86,0.69005644,0.04759948,0.00057947997,0.043
87,0.68724704,0.04759722,0.00058709446,0.0435
88,0.68443763,0.047594946,0.0005947164,0.044
89,0.6816283,0.04759268,0.0006023309,0.0445
90,0.67881894,0.047590412,0.0006099454,0.045
91,0.67600954,0.047588147,0.0006175599,0.0455
92,0.6732002,0.047585882,0.0006251818,0.046
93,0.6703908,0.047583625,0.0006327963,0.0465
94,0.66758144,0.047581345,0.00064041454,0.047
95,0.66477203,0.047579072,0.00064802903,0.0475
96,0.6619627,0.047576815,0.00065564725,0.048
97,0.65915334,0.047574542,0.00066326174,0.0485
98,0.6563439,0.047572285,0.00067087624,0.049
99,0.6535346,0.047570016,0.0006784982,0.0495
100,0.6507252,0.047567744,0.0006861164,0.05
101,0.6479158,0.04756548,0.00069372344,0.0505
102,0.64510643,0.04756321,0.0007013454,0.051
103,0.6422971,0.047560945,0.00070896733,0.0515
104,0.6394876,0.047558688,0.0007165781,0.052
105,0.6366783,0.04755641,0.00072418887,0.0525
106,0.63386893,0.04755414,0.00073181454,0.053
107,0.6310595,0.047551878,0.00073942903,0.0535
108,0.6282502,0.04754961,0.0007470435,0.054
109,0.6254408,0.047547348,0.000754658,0.0545
110,0.6226315,0.047545075,0.00076227996,0.055
111,0.619822,0.047542818,0.00076989445,0.0555
112,0.61701274,0.047540538,0.0007775127,0.056
113,0.61420333,0.04753827,0.0007851346,0.0565
114,0.6113939,0.04753601,0.00079274166,0.057
115,0.6085845,0.047533743,0.00080035615,0.0575
116,0.60577524,0.04753147,0.00080798555,0.058
117,0.60296583,0.04752921,0.00081558514,0.0585
118,0.6001564,0.04752694,0.00082321453,0.059
119,0.5973471,0.047524672,0.0008308216,0.0595
120,0.5945377,0.04752241,0.00083843607,0.06
121,0.5917283,0.04752014,0.000846058,0.0605
122,0.588919,0.047517866,0.0008536725,0.061
123,0.5861095,0.04751561,0.00086129445,0.0615
124,0.5833002,0.047513336,0.00086890894,0.062
125,0.5804909,0.04751106,0.00087652344,0.0625
126,0.5776815,0.047508806,0.0008841305,0.063
127,0.5748721,0.047506534,0.0008917524,0.0635
128,0.57206273,0.04750427,0.00089937437,0.064
129,0.5692534,0.047502,0.00090697396,0.0645
130,0.5664439,0.047499742,0.0009146108,0.065
131,0.5636346,0.047497477,0.00092223275,0.0655
132,0.56082517,0.047495205,0.0009298398,0.066
133,0.5580159,0.04749293,0.00093746174,0.0665
134,0.5552065,0.047490664,0.0009450688,0.067
135,0.5523971,0.047488403,0.0009526758,0.0675
136,0.5495877,0.047486126,0.0009603052,0.068
137,0.5467784,0.04748386,0.0009679197,0.0685
138,0.543969,0.047481596,0.0009755342,0.069
139,0.54115963,0.047479335,0.0009831487,0.0695
140,0.5383501,0.047477078,0.0009907781,0.07
141,0.5355409,0.0474748,0.0009983851,0.0705
142,0.5327314,0.047472533,0.0010059996,0.071
143,0.52992207,0.047470268,0.0010136141,0.0715
144,0.5271128,0.047467995,0.0010212286,0.072
145,0.5243033,0.047465734,0.001028858,0.0725
146,0.52149403,0.04746346,0.001036465,0.073
147,0.5186847,0.047461193,0.001044087,0.0735
148,0.5158752,0.047458928,0.0010517089,0.074
149,0.5130658,0.04745666,0.001059316,0.0745
150,0.51025647,0.04745439,0.0010669305,0.075
151,0.5095564,0.047451656,0.0010747387,0.0755
152,0.5095358,0.047448765,0.0010826065,0.076
153,0.50951517,0.047445886,0.0010904818,0.0765
154,0.5094946,0.047442976,0.0010983496,0.077
155,0.5094741,0.047440086,0.0011062174,0.0775
156,0.50945354,0.047437202,0.0011140703,0.078
157,0.5094329,0.04743431,0.0011219605,0.0785
158,0.5094124,0.04743142,0.0011298283,0.079
159,0.5093918,0.047428526,0.0011376886,0.0795
160,0.50937116,0.04742564,0.0011455714,0.08
161,0.50935054,0.04742275,0.0011534243,0.0805
162,0.5093301,0.047419846,0.001161307,0.081
163,0.50930953,0.047416963,0.0011691673,0.0815
164,0.5092889,0.047414076,0.0011770277,0.082
165,0.5092683,0.047411185,0.0011849104,0.0825
166,0.50924784,0.047408275,0.0011927633,0.083
167,0.5092272,0.047405396,0.0012006386,0.0835
168,0.50920665,0.0474025,0.0012085139,0.084
169,0.5091861,0.0473996,0.0012163817,0.0845
170,0.50916547,0.04739673,0.0012242569,0.085
171,0.5091449,0.047393825,0.0012321098,0.0855
172,0.5091244,0.04739094,0.0012399777,0.086
173,0.50910383,0.04738805,0.0012478529,0.0865
174,0.5090832,0.04738516,0.0012557282,0.087
175,0.5090626,0.047382265,0.0012635886,0.0875
176,0.509042,0.04737937,0.0012714489,0.088
177,0.5090216,0.04737648,0.0012793391,0.0885
178,0.50900096,0.047373585,0.0012871994,0.089
179,0.50898033,0.04737071,0.0012950673,0.0895
180,0.50895983,0.047367804,0.0013029425,0.09
181,0.5089392,0.047364913,0.0013108029,0.0905
182,0.5089187,0.04736202,0.0013186781,0.091
183,0.5088981,0.047359135,0.001326546,0.0915
184,0.5088775,0.047356255,0.0013344138,0.092
185,0.50885695,0.04735335,0.0013422816,0.0925
186,0.5088363,0.04735046,0.001350142,0.093
187,0.50881577,0.04734758,0.0013580172,0.0935
188,0.50879526,0.047344677,0.0013658925,0.094
189,0.5087747,0.047341794,0.0013737454,0.0945
190,0.5087541,0.047338895,0.0013816281,0.095
191,0.5087336,0.047336005,0.0013894959,0.0955
192,0.5087129,0.04733312,0.0013973563,0.096
193,0.50869244,0.047330216,0.0014052241,0.0965
194,0.5086718,0.047327325,0.0014130994,0.097
195,0.50865126,0.047324434,0.0014209597,0.0975
196,0.50863063,0.04732155,0.001428835,0.098
197,0.5086102,0.047318645,0.0014367102,0.0985
198,0.50858957,0.047315754,0.0014445557,0.099
199,0.50856894,0.04731287,0.0014524384,0.0995
200,0.50854844,0.047309972,0.0014603211,0.1
201,0.50852776,0.047307096,0.001468174,0.1005
202,0.50850725,0.0473042,0.0014760493,0.101
203,0.5084867,0.0473013,0.0014839097,0.1015
204,0.5084661,0.047298416,0.0014917849,0.102
205,0.5084455,0.047295533,0.0014996602,0.1025
206,0.50842494,0.047292627,0.0015075131,0.103
207,0.5084044,0.047289737,0.0015153884,0.1035
208,0.5083838,0.047286868,0.0015232562,0.104
209,0.5083633,0.047283955,0.0015311314,0.1045
210,0.50834274,0.047281057,0.0015389993,0.105
211,0.5083221,0.04727819,0.0015468671,0.1055
212,0.5083015,0.04727529,0.0015547274,0.106
213,0.508281,0.0472724,0.0015626176,0.1065
214,0.5082604,0.0472695,0.0015704556,0.107
215,0.50823987,0.04726661,0.0015783532,0.1075
216,0.50821924,0.04726371,0.0015862061,0.108
217,0.5081987,0.04726083,0.0015940889,0.1085
