UTS,YS,EL
202.05766,93.104294,8.024847
198.25702,91.04557,7.9382715
198.38988,91.69186,8.346168
201.03426,94.581535,9.072542
203.31215,95.25989,9.821121
205.56856,95.80858,10.571002
207.7691,96.42397,11.278784
209.23276,97.91958,11.4313755
210.69637,99.41515,11.5839815
212.16005,100.91076,11.736576
215.5451,103.829445,11.832499
214.7845,102.97291,11.88122
214.02403,102.11647,11.929937
213.26364,101.26009,11.978658
212.50267,100.40329,12.027395
211.7423,99.54691,12.076112
210.98155,98.69027,12.124829
210.22116,97.833885,12.17355
209.46051,96.97732,12.222267
208.70021,96.121025,12.270991
207.88393,95.25054,12.307376
207.05626,94.37754,12.341101
206.22783,93.503914,12.374843
205.4119,92.64263,12.409037
204.91011,92.09522,12.455561
204.40852,91.54803,12.502096
203.90659,91.000534,12.548624
203.40462,90.45301,12.595153
202.90315,89.90585,12.641668
202.40114,89.35833,12.688212
201.8997,88.811226,12.734732
201.39769,88.26365,12.78126
200.89607,87.71639,12.827787
200.40796,87.19725,12.873153
200.31279,87.16712,12.893488
200.24583,87.15775,12.907681
200.17857,87.14805,12.921875
200.11137,87.13839,12.936066
200.0441,87.128746,12.950268
199.97693,87.1191,12.9644575
199.90999,87.10961,12.978643
199.84279,87.10005,12.992842
199.77559,87.09031,13.007038
199.70856,87.08083,13.021229
199.64122,87.071075,13.035427
199.57411,87.06142,13.04962
199.5069,87.05185,13.063814
199.44011,87.04255,13.078003
199.37276,87.03272,13.092205
199.30524,87.02288,13.106396
199.23863,87.013695,13.120588
199.1711,87.00376,13.134787
199.10423,86.99437,13.148976
199.03731,86.984886,13.163166
198.96992,86.975136,13.177368
198.90276,86.96551,13.191557
198.83524,86.95565,13.205757
198.7678,86.94582,13.219955
198.70125,86.93662,13.234142
198.6338,86.92695,13.248335
198.5666,86.91721,13.262531
198.49974,86.907814,13.276725
198.43245,86.89816,13.290919
198.36488,86.88816,13.305121
198.29842,86.879036,13.319309
198.23112,86.86938,13.3335
198.16379,86.85964,13.347698
198.09644,86.849884,13.3618965
198.02989,86.840675,13.376078
197.96248,86.83085,13.39028
197.89528,86.82128,13.404478
197.82758,86.81135,13.418673
197.76082,86.801865,13.4328575
197.69327,86.79214,13.447062
197.62659,86.78274,13.461245
197.55989,86.77335,13.475441
197.49203,86.763435,13.489641
197.42476,86.75378,13.503836
197.35797,86.7443,13.518024
197.2911,86.73493,13.532217
197.22343,86.725,13.546413
197.15633,86.71533,13.56061
197.08939,86.705864,13.574799
197.02184,86.69613,13.588995
196.95514,86.686714,13.603188
196.8878,86.676994,13.617386
196.8209,86.66758,13.631575
196.75383,86.657936,13.645767
196.6863,86.64819,13.659967
196.61928,86.63863,13.67416
196.55232,86.62914,13.688346
196.4853,86.619606,13.702543
196.41762,86.60967,13.71675
196.35043,86.599915,13.73094
196.28337,86.59054,13.745138
196.2165,86.581154,13.759319
196.149,86.57121,13.773518
196.08214,86.56182,13.78771
196.01497,86.55209,13.801912
195.94734,86.542244,13.816107
195.88016,86.53269,13.830297
195.81378,86.523476,13.8444805
195.74617,86.51363,13.858681
195.67848,86.50371,13.872888
195.61165,86.49416,13.887072
195.5452,86.48502,13.901257
195.47734,86.4751,13.915464
195.41022,86.46546,13.929662
195.34328,86.45598,13.943848
195.27618,86.44633,13.958044
195.20863,86.43656,13.97224
195.14146,86.42684,13.986441
195.07439,86.41743,14.0006275
195.0068,86.40761,14.014832
194.94029,86.39823,14.029014
194.87335,86.38874,14.043207
194.80513,86.378624,14.057409
194.73936,86.3697,14.071586
194.71695,86.385506,14.073487
194.82866,86.47741,14.03986
194.93968,86.56881,14.00622
195.05042,86.66021,13.97254
195.16167,86.7519,13.938885
195.27211,86.84293,13.905228
195.38336,86.93462,13.871564
195.4947,87.026405,13.837909
195.60612,87.11794,13.8043
195.71683,87.20933,13.77062
195.8274,87.30053,13.736944
195.93968,87.39272,13.703342
196.049,87.48318,13.669636
196.15956,87.57437,13.635967
196.27138,87.66639,13.602332
196.38219,87.757866,13.568645
196.49385,87.84967,13.535032
196.60542,87.941376,13.501406
196.7157,88.03257,13.467697
196.82678,88.12407,13.434053
196.93788,88.215576,13.400398
197.0489,88.30698,13.366765
197.1588,88.39775,13.333076
197.27066,88.48981,13.29944
197.38185,88.5814,13.265793
197.49298,88.672905,13.232145
197.60425,88.764595,13.19849
197.71419,88.85543,13.164797
197.82599,88.94741,13.131162
197.93666,89.03872,13.097489
198.04723,89.12992,13.063824
198.19083,89.236595,13.035753
198.44762,89.39568,13.027495
198.22383,89.30062,13.019976
197.8456,89.123985,13.012695
197.46654,88.94677,13.005398
197.08891,88.770706,12.998129
196.71065,88.59405,12.990852
196.51476,88.511925,13.001
196.33913,88.44031,13.013247
196.1642,88.36912,13.025435
195.98955,88.29815,13.037632
195.81407,88.226585,13.049862
195.63954,88.15559,13.062035
195.46443,88.08445,13.074256
195.46391,88.11014,13.0833645
195.47682,88.14332,13.092241
195.48964,88.17649,13.101135
195.50314,88.21026,13.109993
195.51573,88.24319,13.118883
195.52867,88.27648,13.127765
195.5419,88.310005,13.136635
195.55418,88.34261,13.145533
195.56761,88.37631,13.15439
195.58034,88.409355,13.163273
195.59319,88.44254,13.172158
195.60606,88.475746,13.181047
195.61917,88.50912,13.189921
195.63225,88.5425,13.19878
195.64496,88.5756,13.207689
195.65807,88.608955,13.216555
195.67061,88.641846,13.225441
195.68384,88.67539,13.234323
195.69685,88.70868,13.243189
195.7098,88.74196,13.252079
195.72255,88.77502,13.260952
195.73517,88.80794,13.2698345
195.74847,88.841576,13.278712
195.76144,88.87487,13.287582
195.77403,88.90775,13.29648
195.78719,88.941246,13.305357
195.80003,88.974365,13.314228
195.81303,89.007706,13.323121
195.82596,89.04093,13.331995
195.83876,89.07403,13.340873
195.85207,89.10764,13.349739
195.86493,89.14086,13.358622
195.8779,89.174126,13.367498
195.89058,89.20711,13.376389
195.9038,89.24069,13.38527
195.91693,89.27407,13.394114
195.94945,89.276054,13.389308
195.9868,89.271385,13.38139
196.02377,89.2665,13.37351
196.06117,89.26194,13.36561
196.09868,89.25757,13.357719
196.13568,89.25259,13.34982
196.17274,89.24764,13.341913
196.21046,89.24355,13.334029
196.24767,89.23881,13.326122
196.28435,89.2335,13.318228
196.32213,89.22936,13.310325
196.35957,89.22489,13.302425
196.39629,89.219635,13.294527
196.43376,89.21523,13.286634
196.4709,89.21033,13.278713
196.50851,89.20621,13.270847
196.54561,89.20118,13.262926
196.58315,89.19688,13.255041
196.62015,89.19184,13.247131
196.6573,89.18714,13.239248
196.69508,89.18304,13.231352
196.73178,89.17777,13.2234535
196.76924,89.17332,13.215549
196.80681,89.16887,13.207647
196.84373,89.16396,13.1997595
196.88094,89.159134,13.191849
196.91826,89.15461,13.183973
196.95546,89.1498,13.176051
196.9933,89.145744,13.1681595
197.03053,89.141045,13.160263
197.06761,89.13619,13.152361
197.10423,89.13074,13.144447
197.14232,89.12705,13.13657
197.17928,89.122154,13.128679
197.21638,89.117134,13.120765
197.25407,89.113014,13.112877
197.29097,89.10798,13.104981
197.32799,89.10293,13.097063
197.36543,89.09846,13.089176
197.40266,89.09377,13.081273
197.44029,89.08952,13.073378
197.47699,89.08424,13.065479
197.51465,89.079994,13.057583
197.55182,89.075134,13.049669
197.58926,89.07068,13.041765
197.62631,89.0658,13.033871
197.66356,89.06124,13.026009
197.70131,89.057014,13.018103
197.73802,89.05175,13.010203
197.7759,89.04784,13.0023155
197.81252,89.04238,12.994406
197.8503,89.03831,12.9865055
