UTS,YS,EL
202.53995,87.261246,8.274071
204.66406,89.734344,9.050726
206.89905,92.30308,9.8450985
209.134,94.87183,10.639486
209.40582,93.82528,11.038025
209.67255,92.76942,11.43555
209.43059,92.16505,11.50564
208.91641,91.80229,11.400515
208.19983,91.68273,11.618414
207.48303,91.56338,11.836611
211.92728,95.35186,12.269169
211.45473,94.752464,12.277167
211.20908,94.23101,12.28096
210.96265,93.70902,12.284733
210.71701,93.18758,12.288533
210.47061,92.66561,12.292316
210.22485,92.144066,12.296099
209.97827,91.62199,12.299883
209.73224,91.10028,12.303665
209.48615,90.578514,12.307456
209.24019,90.05685,12.311243
208.99382,89.53492,12.315024
208.74796,89.013306,12.318808
208.5015,88.491295,12.322595
208.25562,87.9697,12.326376
208.00934,87.44779,12.330163
207.8089,86.99554,12.335849
207.95428,87.07139,12.356001
208.1001,87.14746,12.376137
208.24597,87.22364,12.396297
208.39178,87.29969,12.416439
208.484,87.36082,12.436592
208.30214,87.345985,12.456778
208.12009,87.331215,12.476978
207.93852,87.31654,12.49716
207.75618,87.30146,12.517346
207.57443,87.28675,12.537538
207.39238,87.27191,12.557734
207.21022,87.25695,12.577921
207.02856,87.24228,12.598111
206.84634,87.22726,12.618298
206.66438,87.2125,12.638499
206.48251,87.19765,12.658673
206.30035,87.1827,12.678867
206.11862,87.16803,12.699064
205.93625,87.152916,12.719236
205.75461,87.13834,12.739444
205.57254,87.12339,12.759621
205.39061,87.10856,12.779812
205.20853,87.0937,12.8
205.02649,87.07885,12.820198
204.84465,87.064,12.84038
204.66289,87.04926,12.860563
204.48083,87.03446,12.880766
204.29869,87.01952,12.900957
204.11691,87.0048,12.921146
203.93498,86.98994,12.94133
203.7529,86.975,12.961511
203.57127,86.96042,12.98171
203.38931,86.94547,13.001888
203.20686,86.93043,13.022082
203.02502,86.915596,13.042258
202.84286,86.900734,13.062466
202.66159,86.88627,13.082653
202.47894,86.87104,13.102835
202.29758,86.85647,13.123026
202.11563,86.8417,13.143222
201.9331,86.82658,13.163404
201.75095,86.81164,13.183601
201.56918,86.79688,13.203783
201.38684,86.78191,13.223984
201.20488,86.76699,13.244162
201.02333,86.75241,13.2643585
200.84119,86.73748,13.284547
200.65915,86.722626,13.304738
200.47784,86.70815,13.324932
200.29512,86.69282,13.345107
200.11305,86.67796,13.365295
199.932,86.66368,13.385498
199.74966,86.64857,13.405678
199.5681,86.63397,13.425875
199.38615,86.619064,13.446049
199.2042,86.60429,13.466246
199.02225,86.58953,13.486444
198.8399,86.57441,13.506626
198.65813,86.559654,13.526808
198.47571,86.54461,13.547005
198.29453,86.53022,13.5672
198.11197,86.51508,13.587385
197.93011,86.50024,13.607567
197.74779,86.48528,13.627769
197.56593,86.47045,13.647953
197.38425,86.45577,13.668142
197.20212,86.440834,13.688332
197.02057,86.42626,13.708527
196.83804,86.411156,13.728724
196.65605,86.3962,13.748894
196.4748,86.38172,13.769081
196.29234,86.36668,13.789282
196.11069,86.35201,13.8094635
195.92903,86.33736,13.8296585
195.74628,86.322044,13.849846
195.56393,86.30709,13.870045
195.38316,86.2929,13.89023
195.20006,86.2774,13.910418
195.01837,86.26272,13.930607
194.83632,86.247856,13.950794
194.65419,86.23293,13.9709835
194.646,86.27531,13.951237
194.67719,86.330345,13.922077
194.709,86.38582,13.892939
194.74036,86.4409,13.8637905
194.77219,86.496376,13.834656
194.80484,86.55225,13.805567
194.83688,86.607796,13.776438
194.86816,86.66288,13.747274
194.89934,86.71792,13.7181225
194.93115,86.77328,13.688992
194.96298,86.82885,13.659851
194.9952,86.88435,13.630743
195.02744,86.94009,13.601627
195.05862,86.99511,13.572464
195.09042,87.05047,13.543337
195.12247,87.106026,13.514215
195.15512,87.16188,13.485123
195.18588,87.21676,13.455933
195.21782,87.27221,13.426809
195.24983,87.32774,13.397686
195.28165,87.38311,13.36855
195.3124,87.437965,13.339373
195.34518,87.493965,13.310284
195.3765,87.54908,13.281132
195.40816,87.60433,13.251995
195.43944,87.65943,13.222837
195.47136,87.7149,13.193717
195.50299,87.7703,13.1645565
195.53491,87.82575,13.135437
195.56732,87.88143,13.106337
195.59885,87.93672,13.077185
195.63025,87.99192,13.048032
195.77625,88.102,13.034719
195.95952,88.23002,13.026522
196.14246,88.357704,13.0182905
