UTS,YS,EL
195.57938,92.90829,7.9728794
196.79817,92.82622,8.4994
198.02377,92.74731,9.026188
199.24597,92.66684,9.552835
200.46819,92.58636,10.079489
201.69029,92.505844,10.6061325
202.91429,92.4262,11.132856
204.13484,92.34493,11.659451
205.73955,92.43465,12.179256
213.25183,95.153435,12.594982
220.31679,97.710594,12.983688
219.61815,97.38072,12.950699
218.91676,97.04954,12.917587
218.21574,96.71856,12.884489
217.51556,96.38796,12.851423
217.11461,96.20667,12.845667
216.88014,96.10764,12.855146
216.64545,96.00852,12.864618
216.41034,95.90923,12.874123
216.1747,95.80969,12.88357
215.93956,95.710396,12.893059
215.70616,95.61184,12.902597
215.47061,95.51234,12.912029
215.23459,95.41266,12.921553
215.00009,95.31362,12.931063
214.7647,95.214195,12.940496
214.52954,95.114876,12.949989
214.29442,95.01557,12.959469
214.05876,94.91604,12.968973
213.82312,94.8165,12.978411
213.58882,94.71757,12.987938
213.3534,94.618126,12.997404
213.11858,94.51896,13.00692
212.88377,94.41979,13.016403
212.64867,94.32048,13.025858
212.41324,94.22104,13.035315
212.1782,94.12179,13.044844
211.94339,94.02262,13.054325
211.70699,93.92275,13.063795
211.47247,93.82372,13.073303
211.2379,93.72466,13.082809
211.00117,93.62465,13.092255
210.76622,93.52544,13.101788
210.53276,93.42684,13.111235
210.29732,93.327385,13.120718
210.06142,93.227745,13.13018
209.82642,93.128494,13.1396675
209.59161,93.029335,13.149153
209.35573,92.9297,13.15867
209.12091,92.83053,13.168152
208.88548,92.73109,13.177614
208.65057,92.631874,13.187115
208.41574,92.53271,13.196602
208.18033,92.433266,13.206064
207.94615,92.33437,13.215572
207.71127,92.235176,13.225046
207.47504,92.1354,13.234556
207.24054,92.03637,13.244038
207.00478,91.936775,13.253532
206.76967,91.83748,13.262995
206.53453,91.73817,13.272482
206.29912,91.638725,13.281939
206.06516,91.53994,13.2914715
205.8295,91.44039,13.300907
205.59294,91.34048,13.310425
205.35817,91.24132,13.319881
205.12325,91.14211,13.329388
204.88846,91.042946,13.338871
204.6533,90.943634,13.348356
204.4181,90.844284,13.357836
204.18382,90.74535,13.367336
203.94786,90.64567,13.376783
203.71297,90.54647,13.386286
203.47716,90.44688,13.395779
203.24252,90.347786,13.405262
203.00763,90.24857,13.414734
202.77205,90.149086,13.424242
202.53703,90.04981,13.433714
202.3024,89.95072,13.443201
202.0678,89.85165,13.452698
201.83107,89.75164,13.462172
201.59685,89.65274,13.4716835
201.36104,89.55313,13.481127
201.12672,89.45418,13.490616
200.89128,89.35473,13.500099
200.65657,89.25559,13.509575
200.42053,89.15591,13.5190525
200.1853,89.05656,13.528555
199.95049,88.95739,13.538046
199.71597,88.858345,13.54756
199.4805,88.758896,13.557047
199.24518,88.6595,13.566496
199.01042,88.560356,13.575996
198.77498,88.460915,13.58548
198.53954,88.361465,13.594944
198.3044,88.26215,13.604433
198.06902,88.16274,13.613913
197.83495,88.06388,13.623413
197.59947,87.96444,13.632896
197.364,87.86498,13.642391
197.12839,87.765465,13.651882
196.89336,87.6662,13.661335
196.65868,87.567085,13.670841
196.48872,87.50709,13.674732
196.32623,87.45164,13.678028
196.16357,87.396034,13.681267
196.0787,87.38355,13.675432
196.00996,87.37992,13.667744
195.94106,87.37623,13.660051
195.87297,87.37293,13.652414
195.80446,87.36939,13.6447525
195.73541,87.36559,13.637056
195.66685,87.36207,13.629385
195.59818,87.35848,13.621712
195.52959,87.35491,13.614042
195.46075,87.35122,13.6063595
195.39185,87.34756,13.598671
195.32361,87.34414,13.591024
195.25462,87.3404,13.583328
195.18637,87.33697,13.575684
195.11736,87.33324,13.567989
195.04884,87.32967,13.560329
194.98073,87.32635,13.552683
194.9117,87.32256,13.544992
194.84332,87.31913,13.537333
194.77455,87.31551,13.52965
194.70627,87.31204,13.522003
194.63713,87.30825,13.514296
194.56805,87.30448,13.5065975
194.49968,87.30104,13.498943
194.43112,87.29742,13.491278
194.36256,87.29395,13.483608
193.39822,87.11147,13.392855
193.3284,87.10729,13.38512
193.25897,87.10321,13.3774185
193.18974,87.099236,13.369724
193.12022,87.09523,13.362003
193.10233,87.11344,13.355148
193.10558,87.14087,13.348661
193.1086,87.16816,13.342169
193.11177,87.19555,13.33567
193.11502,87.222984,13.329187
193.11784,87.25022,13.322676
193.12122,87.27767,13.316204
