Alloy_ID,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
1,0.9441903,0.0526138,1.00E-07,0
2,0.9403348,0.052134,1.00E-07,0.0005
3,0.9363533,0.0516402,1.00E-07,0.001
4,0.9324323,0.0511521,1.00E-07,0.0015
5,0.9285189,0.0506649,1.00E-07,0.002
6,0.9246129,0.0501786,1.00E-07,0.0025
7,0.9207143,0.0496933,1.00E-07,0.003
8,0.916823,0.0492088,1.00E-07,0.0035
9,0.9129392,0.0487253,1.00E-07,0.004
10,0.9090625,0.0482426,1.00E-07,0.0045
11,0.9051932,0.0477609,1.00E-07,0.005
12,0.9051014,0.0477467,0.000007,0.0055
13,0.904839,0.0477127,0.0000146,0.006
14,0.9048789,0.0477147,0.0000221,0.0065
15,0.9048086,0.0477035,0.0000296,0.007
16,0.9049773,0.0477209,0.000037,0.0075
17,0.9048323,0.0477749,0.0000446,0.008
18,0.9049957,0.0477917,0.0000519,0.0085
19,0.9048905,0.0477763,0.0000596,0.009
20,0.9049322,0.0477785,0.000067,0.0095
21,0.9051157,0.0477976,0.0000742,0.01
22,0.9049451,0.0477744,0.000082,0.0105
23,0.9048806,0.0477638,0.0000896,0.011
24,0.904919,0.0477656,0.000097,0.0115
25,0.9050573,0.0477793,0.0001042,0.012
26,0.9047491,0.0477396,0.0001124,0.0125
27,0.9049569,0.0477616,0.0001194,0.013
28,0.9049324,0.0477563,0.0001303,0.0135
29,0.9048392,0.0477424,0.0001382,0.014
30,0.9048101,0.047736,0.0001459,0.0145
31,0.9048436,0.0477372,0.0001533,0.015
32,0.9049386,0.0477457,0.0001606,0.0155
33,0.905094,0.0477614,0.0001675,0.016
34,0.9046646,0.0477074,0.0001769,0.0165
35,0.9049251,0.0477355,0.0001834,0.017
36,0.9052431,0.0477705,0.0001895,0.0175
37,0.9049373,0.0477313,0.0001985,0.018
38,0.9046634,0.0476959,0.0002074,0.0185
39,0.9051245,0.0477478,0.0002127,0.019
40,0.9049243,0.0477211,0.0002212,0.0195
41,0.9047543,0.0476981,0.0002297,0.02
42,0.9046141,0.0476786,0.0002381,0.0205
43,0.9052537,0.0477515,0.0002421,0.021
44,0.905183,0.0477402,0.00025,0.0215
45,0.9051406,0.0477323,0.0002578,0.022
46,0.9051264,0.0477277,0.0002654,0.0225
47,0.9051399,0.0477264,0.0002728,0.023
48,0.9051807,0.0477283,0.0002801,0.0235
49,0.9052486,0.0477335,0.0002871,0.024
