,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.9432217,0.05269973,0.00016335398,0.0
1,0.93956804,0.05222498,0.00012675673,0.0005
2,0.9359144,0.051750183,9.018928e-05,0.001
3,0.9322609,0.051275462,5.3562224e-05,0.0015
4,0.9286072,0.050800666,1.693517e-05,0.002
5,0.9249537,0.0503259,-1.963228e-05,0.0025
6,0.9213001,0.049851134,-5.6259334e-05,0.003
7,0.91764647,0.04937634,-9.2856586e-05,0.0035
8,0.91399294,0.048901588,-0.00012951344,0.004
9,0.9103393,0.04842682,-0.0001661107,0.0045
10,0.90668577,0.047952026,-0.00020270795,0.005
11,0.90512973,0.047749177,-0.00021310896,0.0055
12,0.90512186,0.04774694,-0.00020410866,0.006
13,0.905114,0.047744706,-0.00019510835,0.0065
14,0.9051061,0.0477425,-0.00018613786,0.007
15,0.90509826,0.04774031,-0.00017713755,0.0075
16,0.90509033,0.047738105,-0.00016819686,0.008
17,0.9050826,0.04773587,-0.00015919656,0.0085
18,0.9050746,0.047733665,-0.00015019625,0.009
19,0.9050667,0.047731474,-0.00014122576,0.0095
20,0.9050589,0.047729224,-0.00013228506,0.01
21,0.90505105,0.047727063,-0.00012331456,0.0105
22,0.9050432,0.047724828,-0.00011431426,0.011
23,0.90503526,0.047722638,-0.00010534376,0.0115
24,0.9050274,0.047720373,-9.634346e-05,0.012
25,0.9050196,0.047718197,-8.737296e-05,0.0125
26,0.9050118,0.047715962,-7.837266e-05,0.013
27,0.9050039,0.0477138,-6.940216e-05,0.0135
28,0.9049959,0.04771155,-6.043166e-05,0.014
29,0.90498805,0.047709376,-5.1431358e-05,0.0145
30,0.90498024,0.047707155,-4.246086e-05,0.015
31,0.9049724,0.047704905,-3.349036e-05,0.0155
32,0.9049645,0.047702685,-2.451986e-05,0.016
33,0.9049566,0.04770048,-1.5549362e-05,0.0165
34,0.90494883,0.047698304,-6.5490603e-06,0.017
35,0.9049409,0.0476961,2.4214387e-06,0.0175
36,0.9049331,0.04769385,1.1391938e-05,0.018
37,0.90492517,0.047691643,2.0362437e-05,0.0185
38,0.90491724,0.047689438,2.939254e-05,0.019
39,0.9049095,0.047687232,3.8333237e-05,0.0195
40,0.9049015,0.047685042,4.7303736e-05,0.02
41,0.90489376,0.047682792,5.633384e-05,0.0205
42,0.9048858,0.0476806,6.5244734e-05,0.021
43,0.9048779,0.04767838,7.421523e-05,0.0215
44,0.90487015,0.047676176,8.3215535e-05,0.022
45,0.9048622,0.04767394,9.2215836e-05,0.0225
46,0.9048544,0.047671765,0.00010121614,0.023
47,0.90484643,0.047669545,0.00011018664,0.0235
48,0.90483856,0.047667325,0.000119157135,0.024
49,0.9048308,0.04766512,0.00012815744,0.0245
50,0.9048228,0.047662944,0.00013711303,0.025
51,0.9048151,0.047660723,0.00014608353,0.0255
52,0.90480715,0.047658473,0.00015509874,0.026
53,0.9047992,0.047656283,0.00016400963,0.0265
54,0.9047915,0.047654107,0.00017302483,0.027
55,0.9047836,0.047651872,0.00018202513,0.0275
56,0.90477574,0.047649637,0.00019099563,0.028
57,0.90476775,0.047647417,0.00019995123,0.0285
58,0.9047599,0.04764521,0.00020893663,0.029
59,0.90475214,0.047643036,0.00021795183,0.0295
60,0.90474415,0.0476408,0.00022689253,0.03
61,0.9047364,0.04763861,0.00023589283,0.0305
62,0.90472853,0.04763636,0.00024486333,0.031
63,0.9047206,0.04763417,0.00025384873,0.0315
64,0.9047128,0.04763192,0.00026280433,0.032
65,0.90470487,0.047629774,0.00027177483,0.0325
66,0.90469706,0.04762751,0.00028080493,0.033
67,0.9046892,0.047625333,0.00028974563,0.0335
68,0.90468127,0.047623083,0.00029873103,0.034
69,0.9046734,0.047620907,0.00030770153,0.0345
70,0.9046655,0.047618672,0.00031671673,0.035
71,0.90465766,0.047616497,0.00032568723,0.0355
72,0.9046498,0.047614247,0.00033465773,0.036
73,0.9046419,0.04761204,0.00034361333,0.0365
74,0.90463406,0.04760985,0.00035262853,0.037
75,0.90462625,0.047607675,0.00036161393,0.0375
76,0.9046183,0.047605425,0.00037055463,0.038
77,0.9046105,0.047603205,0.00037955493,0.0385
78,0.9046026,0.047601014,0.00038854033,0.039
79,0.9045948,0.047598794,0.00039749593,0.0395
80,0.9045869,0.047596574,0.00040649623,0.04
81,0.90457904,0.047594324,0.00041548163,0.0405
82,0.9045712,0.04759215,0.00042446703,0.041
83,0.9045633,0.047589928,0.00043342263,0.0415
84,0.90455544,0.047587737,0.00044242293,0.042
85,0.9045476,0.047585517,0.00045139343,0.0425
86,0.9045397,0.04758331,0.00046036392,0.043
87,0.9045317,0.04758109,0.00046931952,0.0435
88,0.90452397,0.0475789,0.00047831982,0.044
89,0.9045161,0.04757668,0.00048730522,0.0445
