,Al,Si,Al2Si2Sr
0,2.86,2.83,-0.82
1,2.53,2.52,-0.83
2,2.21,2.20,-0.83
3,1.88,1.89,-0.83
4,1.56,1.58,-0.83
5,1.24,1.27,-0.84
6,0.91,0.95,-0.84
7,0.59,0.64,-0.84
8,0.26,0.33,-0.85
9,-0.06,0.02,-0.85
10,-0.38,-0.29,-0.85
11,-0.38,-0.29,-0.84
12,-0.38,-0.29,-0.83
13,-0.38,-0.30,-0.82
14,-0.38,-0.30,-0.80
15,-0.38,-0.30,-0.79
16,-0.38,-0.30,-0.78
17,-0.38,-0.30,-0.77
18,-0.39,-0.30,-0.76
19,-0.39,-0.31,-0.74
20,-0.39,-0.31,-0.73
21,-0.39,-0.31,-0.72
22,-0.39,-0.31,-0.71
23,-0.39,-0.31,-0.70
24,-0.39,-0.31,-0.69
25,-0.39,-0.31,-0.67
26,-0.39,-0.32,-0.66
27,-0.39,-0.32,-0.65
28,-0.39,-0.32,-0.64
29,-0.39,-0.32,-0.63
30,-0.39,-0.32,-0.61
31,-0.39,-0.32,-0.60
32,-0.39,-0.33,-0.59
33,-0.39,-0.33,-0.58
34,-0.39,-0.33,-0.57
35,-0.39,-0.33,-0.55
36,-0.40,-0.33,-0.54
37,-0.40,-0.33,-0.53
38,-0.40,-0.34,-0.52
39,-0.40,-0.34,-0.51
40,-0.40,-0.34,-0.50
41,-0.40,-0.34,-0.48
42,-0.40,-0.34,-0.47
43,-0.40,-0.34,-0.46
44,-0.40,-0.35,-0.45
45,-0.40,-0.35,-0.44
46,-0.40,-0.35,-0.42
47,-0.40,-0.35,-0.41
48,-0.40,-0.35,-0.40
49,-0.40,-0.35,-0.39
50,-0.40,-0.35,-0.38
51,-0.40,-0.36,-0.36
52,-0.40,-0.36,-0.35
53,-0.40,-0.36,-0.34
54,-0.41,-0.36,-0.33
55,-0.41,-0.36,-0.32
56,-0.41,-0.36,-0.31
57,-0.41,-0.37,-0.29
58,-0.41,-0.37,-0.28
59,-0.41,-0.37,-0.27
60,-0.41,-0.37,-0.26
61,-0.41,-0.37,-0.25
62,-0.41,-0.37,-0.23
63,-0.41,-0.38,-0.22
64,-0.41,-0.38,-0.21
65,-0.41,-0.38,-0.20
66,-0.41,-0.38,-0.19
67,-0.41,-0.38,-0.17
68,-0.41,-0.38,-0.16
69,-0.41,-0.38,-0.15
70,-0.41,-0.39,-0.14
71,-0.41,-0.39,-0.13
72,-0.42,-0.39,-0.12
73,-0.42,-0.39,-0.10
74,-0.42,-0.39,-0.09
75,-0.42,-0.39,-0.08
76,-0.42,-0.40,-0.07
77,-0.42,-0.40,-0.06
78,-0.42,-0.40,-0.04
79,-0.42,-0.40,-0.03
80,-0.42,-0.40,-0.02
81,-0.42,-0.40,-0.01
82,-0.42,-0.41,0.00
83,-0.42,-0.41,0.02
84,-0.42,-0.41,0.03
85,-0.42,-0.41,0.04
86,-0.42,-0.41,0.05
87,-0.42,-0.41,0.06
88,-0.42,-0.41,0.07
89,-0.43,-0.42,0.09
90,-0.43,-0.42,0.10
91,-0.43,-0.42,0.11
92,-0.43,-0.42,0.12
93,-0.43,-0.42,0.13
94,-0.43,-0.42,0.15
95,-0.43,-0.43,0.16
96,-0.43,-0.43,0.17
97,-0.43,-0.43,0.18
98,-0.43,-0.43,0.19
99,-0.43,-0.43,0.21
100,-0.43,-0.43,0.22
101,-0.43,-0.44,0.23
102,-0.43,-0.44,0.24
103,-0.43,-0.44,0.25
104,-0.43,-0.44,0.26
105,-0.43,-0.44,0.28
106,-0.43,-0.44,0.29
107,-0.44,-0.45,0.30
108,-0.44,-0.45,0.31
109,-0.44,-0.45,0.32
110,-0.44,-0.45,0.34
111,-0.44,-0.45,0.35
112,-0.44,-0.45,0.36
113,-0.44,-0.45,0.37
114,-0.44,-0.46,0.38
115,-0.44,-0.46,0.40
116,-0.44,-0.46,0.41
117,-0.44,-0.46,0.42
118,-0.44,-0.46,0.43
119,-0.44,-0.46,0.44
120,-0.44,-0.47,0.45
121,-0.44,-0.47,0.47
122,-0.44,-0.47,0.48
123,-0.44,-0.47,0.49
124,-0.44,-0.47,0.50
125,-0.45,-0.47,0.51
126,-0.45,-0.48,0.53
127,-0.45,-0.48,0.54
128,-0.45,-0.48,0.55
129,-0.45,-0.48,0.56
130,-0.45,-0.48,0.57
131,-0.45,-0.48,0.59
132,-0.45,-0.48,0.60
133,-0.45,-0.49,0.61
134,-0.45,-0.49,0.62
135,-0.45,-0.49,0.63
136,-0.45,-0.49,0.64
137,-0.45,-0.49,0.66
138,-0.45,-0.49,0.67
139,-0.45,-0.50,0.68
140,-0.45,-0.50,0.69
141,-0.45,-0.50,0.70
142,-0.46,-0.50,0.72
143,-0.46,-0.50,0.73
144,-0.46,-0.50,0.74
145,-0.46,-0.51,0.75
146,-0.46,-0.51,0.76
147,-0.46,-0.51,0.78
148,-0.46,-0.51,0.79
149,-0.46,-0.51,0.80
150,-0.46,-0.51,0.81
151,-0.46,-0.52,0.82
152,-0.46,-0.52,0.83
153,-0.46,-0.52,0.85
154,-0.46,-0.52,0.86
155,-0.46,-0.52,0.87
156,-0.46,-0.52,0.88
157,-0.46,-0.52,0.89
158,-0.46,-0.53,0.91
159,-0.46,-0.53,0.92
160,-0.47,-0.53,0.93
161,-0.47,-0.53,0.94
162,-0.47,-0.53,0.95
163,-0.47,-0.53,0.97
164,-0.47,-0.54,0.98
165,-0.47,-0.54,0.99
166,-0.47,-0.54,1.00
167,-0.47,-0.54,1.01
168,-0.47,-0.54,1.02
169,-0.47,-0.54,1.04
170,-0.47,-0.55,1.05
171,-0.47,-0.55,1.06
172,-0.47,-0.55,1.07
173,-0.47,-0.55,1.08
174,-0.47,-0.55,1.10
175,-0.47,-0.55,1.11
176,-0.47,-0.55,1.12
177,-0.47,-0.56,1.13
178,-0.48,-0.56,1.14
179,-0.48,-0.56,1.16
180,-0.48,-0.56,1.17
181,-0.48,-0.56,1.18
182,-0.48,-0.56,1.19
183,-0.48,-0.57,1.20
184,-0.48,-0.57,1.21
185,-0.48,-0.57,1.23
186,-0.48,-0.57,1.24
187,-0.48,-0.57,1.25
188,-0.48,-0.57,1.26
189,-0.48,-0.58,1.27
190,-0.48,-0.58,1.29
191,-0.48,-0.58,1.30
192,-0.48,-0.58,1.31
193,-0.48,-0.58,1.32
194,-0.48,-0.58,1.33
195,-0.49,-0.58,1.35
196,-0.49,-0.59,1.36
197,-0.49,-0.59,1.37
198,-0.49,-0.59,1.38
199,-0.49,-0.59,1.39
200,-0.49,-0.59,1.40
201,-0.49,-0.59,1.42
202,-0.49,-0.60,1.43
203,-0.49,-0.60,1.44
204,-0.49,-0.60,1.45
205,-0.49,-0.60,1.46
206,-0.49,-0.60,1.48
207,-0.49,-0.60,1.49
208,-0.49,-0.61,1.50
209,-0.49,-0.61,1.51
210,-0.49,-0.61,1.52
211,-0.49,-0.61,1.54
212,-0.49,-0.61,1.55
213,-0.50,-0.61,1.56
214,-0.50,-0.62,1.57
215,-0.50,-0.62,1.58
216,-0.50,-0.62,1.59
217,-0.50,-0.62,1.61
218,-0.50,-0.62,1.62
219,-0.50,-0.62,1.63
220,-0.50,-0.62,1.64
221,-0.50,-0.63,1.65
222,-0.50,-0.63,1.67
223,-0.50,-0.63,1.68
224,-0.50,-0.63,1.69
225,-0.50,-0.63,1.70
226,-0.50,-0.63,1.71
227,-0.50,-0.64,1.73
228,-0.50,-0.64,1.74
229,-0.50,-0.64,1.75
230,-0.50,-0.64,1.76
231,-0.51,-0.64,1.77
232,-0.51,-0.64,1.78
233,-0.51,-0.65,1.80
234,-0.51,-0.65,1.81
235,-0.51,-0.65,1.82
236,-0.51,-0.65,1.83
237,-0.51,-0.65,1.84
238,-0.51,-0.65,1.86
239,-0.51,-0.65,1.87
240,-0.51,-0.66,1.88
241,-0.51,-0.66,1.89
242,-0.51,-0.66,1.90
243,-0.51,-0.66,1.92
244,-0.51,-0.66,1.93
245,-0.51,-0.66,1.94
246,-0.51,-0.67,1.95
247,-0.51,-0.67,1.96
248,-0.51,-0.67,1.97
249,-0.52,-0.67,1.99
250,-0.52,-0.67,2.00
