UTS,YS,EL
200.67584,92.03557,8.109285
197.5313,87.188896,8.92692
194.38574,82.34216,9.74452
195.6616,83.36055,10.1563015
197.96237,85.73549,10.474468
200.26279,88.11083,10.792553
202.5637,90.48554,11.110756
204.86444,92.8604,11.428911
207.16563,95.2346,11.747181
209.4631,97.60677,12.06539
215.05525,101.39304,12.481125
214.56628,100.8769,12.499517
214.07889,100.362724,12.517805
213.58553,99.84293,12.53624
213.06088,99.36187,12.551651
212.47374,98.93362,12.562269
211.89427,98.51,12.572924
211.3766,98.13295,12.584038
211.19228,97.999245,12.598152
211.00821,97.863556,12.612474
210.82388,97.729836,12.626587
210.64049,97.59757,12.640596
210.45729,97.46282,12.654844
210.27377,97.329475,12.668922
210.08945,97.19574,12.68305
209.90524,97.06312,12.697088
209.72209,96.9289,12.711296
209.53728,96.79496,12.72537
209.35417,96.66128,12.739536
209.16997,96.52864,12.753576
208.9854,96.39275,12.767855
208.80107,96.25903,12.781967
208.61887,96.12627,12.796066
208.43533,95.99291,12.810154
208.25014,95.85827,12.824341
208.06717,95.72569,12.838432
207.88274,95.59089,12.852625
207.69853,95.45826,12.866669
207.51532,95.323494,12.880911
207.3313,95.18992,12.8949585
207.14734,95.055336,12.909197
206.96437,94.92273,12.923283
206.77914,94.787575,12.937513
206.59648,94.655136,12.951529
206.41202,94.520325,12.965727
206.22852,94.38698,12.979809
206.04437,94.2541,12.993925
205.86073,94.11967,13.008091
205.67676,93.98585,13.022213
205.49423,93.85373,13.036272
205.30867,93.71996,13.050339
205.12547,93.5852,13.064583
204.9406,93.44993,13.078817
204.75711,93.31713,13.092863
204.5736,93.18378,13.106951
204.38977,93.05027,13.121107
204.2063,92.91746,13.135153
204.0218,92.78212,13.149391
203.83932,92.65052,13.163406
203.65492,92.51626,13.177567
203.47092,92.381905,13.191725
203.28642,92.24657,13.205959
203.10344,92.11396,13.220051
202.91957,91.98071,13.234129
202.73602,91.84736,13.248217
202.5516,91.71176,13.262531
202.36769,91.57929,13.276497
202.18301,91.44487,13.290728
202.00043,91.31299,13.3047085
201.81554,91.17771,13.318935
201.63379,91.04595,13.33296
201.44847,90.91023,13.347227
201.26501,90.77742,13.361275
201.08107,90.64284,13.375509
200.89719,90.509575,13.389593
200.71365,90.37621,13.403679
200.53021,90.24263,13.417841
200.34537,90.108696,13.431917
200.16223,89.974464,13.446127
199.97844,89.84229,13.4601345
199.79395,89.70693,13.474365
199.61093,89.573814,13.488495
199.4261,89.43987,13.502571
199.24185,89.305916,13.5167675
199.05875,89.17303,13.530817
198.87465,89.038124,13.545017
198.69035,88.90441,13.559137
198.50652,88.77091,13.573292
198.32288,88.63647,13.58746
198.13954,88.50396,13.601547
197.95546,88.36985,13.615635
197.772,88.23626,13.629799
197.58723,88.10209,13.643944
197.40329,87.968285,13.658066
197.22026,87.835144,13.672195
197.0358,87.70112,13.686277
196.85272,87.56744,13.700445
196.6684,87.43372,13.714563
196.4839,87.29838,13.728794
196.301,87.16633,13.742849
196.25809,87.078896,13.747162
196.26428,87.00623,13.7482395
196.26976,86.932556,13.749346
196.2753,86.85934,13.750397
196.28119,86.78736,13.751373
196.28743,86.71493,13.752413
196.29225,86.64066,13.753502
196.29845,86.56801,13.754576
196.30408,86.495125,13.755606
196.31047,86.423256,13.756605
196.31613,86.35038,13.757643
