,PH_Al,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.9442175,0.05262775,9.3616545e-06,0.0
1,0.9402992,0.052140944,7.543713e-06,0.0005
2,0.9363808,0.051654078,5.725771e-06,0.001
3,0.9324625,0.051167212,3.937632e-06,0.0015
4,0.9285441,0.05068036,2.1196902e-06,0.002
5,0.9246258,0.050193496,3.017485e-07,0.0025
6,0.9207074,0.04970666,-1.5161932e-06,0.003
7,0.9167891,0.049219824,-3.3341348e-06,0.0035
8,0.9128707,0.04873302,-5.1520765e-06,0.004
9,0.9089523,0.048246168,-6.940216e-06,0.0045
10,0.905081,0.047765113,-8.638948e-06,0.005
11,0.90507406,0.04776264,-9.201467e-07,0.0055
12,0.90506727,0.04776018,6.7688525e-06,0.006
13,0.90506047,0.047757678,1.4547259e-05,0.0065
14,0.90505356,0.047755204,2.226606e-05,0.007
15,0.9050469,0.047752716,3.0044466e-05,0.0075
16,0.90503997,0.04775027,3.7733465e-05,0.008
17,0.9050332,0.047747783,4.5452267e-05,0.0085
18,0.9050264,0.047745295,5.320087e-05,0.009
19,0.90501946,0.047742866,6.0949475e-05,0.0095
20,0.90501267,0.047740377,6.869808e-05,0.01
21,0.9050059,0.047737874,7.641688e-05,0.0105
22,0.90499896,0.047735445,8.413568e-05,0.011
23,0.90499216,0.04773297,9.185448e-05,0.0115
24,0.90498537,0.047730483,9.960309e-05,0.012
25,0.9049786,0.047727965,0.00010735169,0.0125
26,0.90497166,0.04772552,0.00011507049,0.013
27,0.904965,0.047723033,0.0001228191,0.0135
28,0.90495807,0.047720574,0.0001305379,0.014
29,0.9049513,0.047718056,0.0001382865,0.0145
30,0.9049445,0.047715627,0.0001460351,0.015
31,0.9049377,0.04771314,0.00015378371,0.0155
32,0.9049308,0.04771068,0.00016147271,0.016
33,0.904924,0.047708206,0.00016919151,0.0165
34,0.9049172,0.047705717,0.00017696992,0.017
35,0.90491027,0.04770323,0.00018468872,0.0175
36,0.9049035,0.04770077,0.00019243732,0.018
37,0.9048967,0.047698252,0.00020018592,0.0185
38,0.90488976,0.047695823,0.00020790473,0.019
39,0.9048831,0.04769335,0.00021562353,0.0195
40,0.9048762,0.04769089,0.00022337213,0.02
41,0.90486926,0.047688402,0.00023109093,0.0205
42,0.90486246,0.04768593,0.00023886934,0.021
43,0.90485567,0.047683455,0.00024655834,0.0215
44,0.9048489,0.047680996,0.00025430694,0.022
45,0.9048421,0.047678523,0.00026202574,0.0225
46,0.90483516,0.047676004,0.00026978925,0.023
47,0.90482837,0.04767356,0.00027750805,0.0235
48,0.9048216,0.047671087,0.00028524175,0.024
49,0.90481466,0.0476686,0.00029294565,0.0245
50,0.904808,0.04766608,0.00030072406,0.025
51,0.9048011,0.04766365,0.00030844286,0.0255
52,0.9047943,0.047661193,0.00031620637,0.026
53,0.9047875,0.047658704,0.00032392517,0.0265
54,0.9047807,0.04765623,0.00033164397,0.027
55,0.9047738,0.047653742,0.00033939257,0.0275
56,0.904767,0.047651254,0.00034711137,0.028
57,0.9047602,0.04764881,0.00035485998,0.0285
58,0.90475327,0.047646306,0.00036256388,0.029
59,0.9047465,0.047643833,0.00037031248,0.0295
60,0.9047397,0.047641374,0.00037804618,0.03
61,0.9047329,0.04763893,0.0003857948,0.0305
62,0.90472597,0.047636442,0.0003935136,0.031
63,0.9047192,0.047633953,0.0004012473,0.0315
64,0.9047124,0.04763148,0.0004089661,0.032
65,0.90470546,0.047629036,0.0004167296,0.0325
66,0.9046988,0.047626533,0.0004244484,0.033
67,0.9046919,0.047624044,0.0004322268,0.0335
68,0.9046851,0.047621556,0.0004399158,0.034
69,0.9046783,0.047619097,0.0004476793,0.0345
70,0.9046714,0.047616623,0.0004553534,0.035
71,0.9046646,0.047614165,0.00046313182,0.0355
72,0.9046578,0.047611676,0.00047085062,0.036
73,0.90465087,0.047609217,0.00047859922,0.0365
74,0.9046441,0.04760673,0.00048633292,0.037
75,0.9046373,0.047604255,0.0004940517,0.0375
76,0.90463036,0.04760178,0.0005017854,0.038
77,0.9046237,0.047599293,0.00050953403,0.0385
78,0.9046168,0.04759685,0.00051725283,0.039
79,0.90461,0.04759433,0.00052498654,0.0395
80,0.9046032,0.047591887,0.00053273514,0.04
81,0.90459627,0.047589414,0.00054045394,0.0405
82,0.9045896,0.047586925,0.00054820254,0.041
83,0.9045827,0.047584437,0.00055596605,0.0415
84,0.9045759,0.047581963,0.00056366995,0.042
85,0.9045691,0.04757952,0.00057140365,0.0425
86,0.9045623,0.04757703,0.00057915226,0.043
87,0.9045554,0.047574542,0.00058690086,0.0435
88,0.9045486,0.0475721,0.00059461966,0.044
89,0.9045417,0.047569595,0.00060235336,0.0445
90,0.904535,0.047567137,0.00061007217,0.045
91,0.9045281,0.047564663,0.00061780587,0.0455
92,0.9045213,0.047562174,0.0006255694,0.046
93,0.9045145,0.0475597,0.0006333031,0.0465
94,0.9045076,0.047557227,0.0006410219,0.047
95,0.9045009,0.047554754,0.0006487556,0.0475
96,0.904494,0.047552295,0.0006564744,0.048
97,0.9044872,0.047549807,0.000664223,0.0485
98,0.9044804,0.047547363,0.0006719716,0.049
99,0.9044735,0.04754486,0.0006796904,0.0495
100,0.9044667,0.047542356,0.0006874241,0.05
101,0.9044598,0.047539882,0.0006951578,0.0505
102,0.904453,0.04753744,0.0007028766,0.051
103,0.9044462,0.047534965,0.0007106252,0.0515
104,0.9044394,0.047532476,0.000718344,0.052
105,0.9044325,0.047529988,0.0007260926,0.0525
106,0.9044258,0.047527544,0.0007338263,0.053
107,0.9044189,0.04752507,0.00074156,0.0535
108,0.9044121,0.047522597,0.0007492937,0.054
109,0.9044052,0.047520094,0.0007570423,0.0545
110,0.9043984,0.04751762,0.000764776,0.055
111,0.9043916,0.047515146,0.0007725097,0.0555
112,0.9043848,0.047512703,0.0007802285,0.056
113,0.904378,0.047510214,0.00078797713,0.0565
114,0.9043711,0.047507726,0.00079569593,0.057
115,0.9043643,0.047505252,0.00080344453,0.0575
116,0.9043575,0.04750281,0.00081117824,0.058
117,0.9043507,0.04750032,0.00081891194,0.0585
118,0.9043438,0.04749783,0.00082664564,0.059
119,0.904337,0.047495373,0.00083437935,0.0595
120,0.9043302,0.047492884,0.00084209815,0.06
121,0.9043233,0.047490396,0.00084984675,0.0605
122,0.9043165,0.04748795,0.00085758045,0.061
123,0.9043097,0.047485463,0.00086531416,0.0615
124,0.9043029,0.047482975,0.00087306276,0.062
125,0.9042961,0.047480516,0.00088076666,0.0625
126,0.9042892,0.047478028,0.00088851526,0.063
127,0.9042823,0.04747557,0.00089626387,0.0635
