UTS,YS,EL
200.61702,92.12543,8.425383
198.03665,88.67426,9.424812
195.38747,85.11567,10.4576645
192.76183,81.60539,11.47401
193.67326,82.15486,11.840487
197.10135,85.593056,11.744341
200.52293,89.02416,11.648539
203.93808,92.449615,11.552694
207.34673,95.86803,11.457174
210.74904,99.28074,11.36165
215.21866,102.474785,11.5637245
214.68044,101.87531,11.681517
214.4436,101.3032,11.86993
213.5504,100.564896,11.950115
213.07463,99.995834,12.066109
211.73389,99.08731,12.102612
211.2438,97.950165,12.392126
210.09978,97.158875,12.426218
209.88768,96.71678,12.552584
209.38557,96.34175,12.583931
207.8371,95.20352,12.655369
208.91788,96.00587,12.618559
209.21617,96.23553,12.612307
208.74416,95.88986,12.640015
207.52844,94.990166,12.700014
209.64006,96.57096,12.61507
207.90807,95.28659,12.697432
207.78369,95.18584,12.719091
208.28476,95.56464,12.705
208.31425,95.59363,12.710779
207.8795,95.275955,12.736774
206.98692,94.617294,12.782656
205.65317,93.63089,12.847023
208.63274,95.85397,12.727066
206.52515,94.29287,12.824196
203.99777,92.41936,12.939085
206.05963,93.95857,12.8588505
207.88536,95.32187,12.788837
204.31241,92.672516,12.94743
205.5992,93.63594,12.899939
206.6566,94.4273,12.862892
207.49446,95.055725,12.835117
202.62901,91.449036,13.046759
202.96304,91.704056,13.039743
203.08716,91.80243,13.041876
203.00716,91.74988,13.052315
202.72551,91.54757,13.071167
202.24348,91.19658,13.098463
201.56602,90.7,13.133926
200.69867,90.06427,13.176664
205.73503,93.80286,12.976538
204.56401,92.94151,13.032108
203.20338,91.93953,13.095509
201.6617,90.80394,13.166027
199.93758,89.5339,13.24366
204.4981,92.91557,13.065311
202.49402,91.43922,13.154051
200.31192,89.8306,13.250084
204.62938,93.029144,13.083214
202.17976,91.224625,13.189281
199.55673,89.29184,13.302263
203.64513,92.31885,13.145832
200.76193,90.19533,13.268644
197.70953,87.9467,13.398037
201.58702,90.81671,13.250671
198.28049,88.38194,13.389595
202.034,91.15774,13.248421
198.48259,88.543724,13.396227
202.12004,91.23252,13.260431
198.3247,88.440125,13.417143
201.85036,91.04506,13.286449
197.81581,88.077774,13.45175
201.23495,90.603096,13.325798
196.95941,87.45894,13.500113
200.27364,89.90538,13.378994
195.76665,86.59332,13.561138
198.97891,88.96405,13.444405
194.24255,85.484604,13.6345215
197.35573,87.78099,13.522305
200.44667,90.060455,13.411304
195.41428,86.365585,13.611507
198.40956,88.57402,13.50462
193.14912,84.71295,13.712784
195.24191,85.495544,13.90563
198.12926,87.62207,13.803974
192.57977,83.553276,14.020941
195.37706,85.613075,13.923105
198.15445,87.657104,13.826584
192.31694,83.37842,14.053429
195.01135,85.36195,13.959965
197.6842,87.32736,13.8682785
191.57393,82.8534,14.102972
194.16573,84.7592,14.014444
196.73749,86.649704,13.927164
190.35094,81.97546,14.170685
192.84679,83.81007,14.086256
195.32365,85.629425,14.003153
188.66711,80.76121,14.254667
191.07037,82.52783,14.173944
193.45349,84.277054,14.095058
195.82127,86.01434,14.017126
188.84552,80.91813,14.277391
191.14139,82.60312,14.201925
193.56053,84.34027,14.130602
196.46638,86.30147,14.070143
188.3923,80.61215,14.323389
190.77574,82.3094,14.256554
193.58696,84.20465,14.198967
196.38193,86.08635,14.142752
187.47362,79.927795,14.394278
190.18887,81.75525,14.339966
192.89235,83.57373,14.286287
195.58061,85.37923,14.234005
186.28375,78.96414,14.4916725
188.89622,80.718864,14.440916
191.49626,82.46429,14.390768
194.08122,84.196365,14.342112
196.8579,86.23366,14.220741
186.91245,79.21298,14.557968
189.41202,80.88687,14.511448
192.24654,83.087494,14.340284
195.08385,85.30072,14.164879
197.90985,87.506165,13.989746
187.09218,79.53212,14.488186
189.84042,81.679596,14.316925
192.57935,83.820404,14.145996
195.30663,85.952095,13.975769
198.02797,88.08157,13.805017
186.70856,79.72598,14.331032
189.35307,81.79675,14.164612
191.98734,83.86157,13.998049
194.61485,85.92128,13.831842
197.22948,87.97101,13.6663475
199.83777,90.01709,13.500765
187.9535,81.23063,14.058392
190.48927,83.22291,13.89632
193.01782,85.20993,13.734562
194.95424,86.73891,13.631134
196.8076,88.20394,13.535545
198.64966,89.66165,13.440279
187.58229,81.51358,13.892065
189.36678,82.92765,13.799307
191.14607,84.33892,13.706423
192.91228,85.74045,13.614317
194.66537,87.13227,13.522995
196.40758,88.51687,13.432034
198.13966,89.893265,13.341789
186.6113,81.39276,13.813101
188.29825,82.736404,13.724045
189.15642,82.830284,13.898823
191.02481,84.30933,13.802519
192.8835,85.781876,13.706581
194.73392,87.248665,13.611065
196.48927,88.643265,13.519901
196.79657,89.24745,13.386387
197.02895,89.75275,13.2711315
196.24918,88.88192,13.423214
196.53558,89.45901,13.294231
194.95436,87.49905,13.657829
196.27698,89.35881,13.295309
195.64832,88.63602,13.425077
196.2335,89.43819,13.272711
195.65689,88.77993,13.390657
196.29993,89.65394,13.225105
195.77126,89.05654,13.331747
195.26848,88.489975,13.43289
195.99309,89.466835,13.248253
195.53473,88.9578,13.338524
195.10025,88.478455,13.423376
195.90382,89.55405,13.220455
195.51656,89.133835,13.294361
195.1504,88.74038,13.363302
196.03442,89.916794,13.141771
195.71391,89.58159,13.199829
195.41614,89.27412,13.25284
195.1421,88.99487,13.300821
194.88641,88.74085,13.343891
194.7161,88.529854,13.387339
196.08229,89.974655,13.159994
195.98862,89.8281,13.195654
195.91557,89.704926,13.227318
195.87024,89.61122,13.254225
195.85027,89.54516,13.276575
195.85419,89.505264,13.29455
195.88002,89.48993,13.30835
195.93251,89.50295,13.317602
196.01164,89.54433,13.32233
196.11058,89.608376,13.323057
196.236,89.70073,13.319218
196.38446,89.81822,13.311251
196.55696,89.96195,13.2989025
196.75159,90.130295,13.282398
196.97017,90.324326,13.261744
197.21155,90.54347,13.237637
195.9243,89.095634,13.487751
196.20827,89.36104,13.455271
195.53493,88.58333,13.595148
196.86087,89.9645,13.38361
197.21245,90.30386,13.338848
197.59122,90.67244,13.290195
196.41347,89.34349,13.520662
196.83054,89.75434,13.464056
197.26869,90.18799,13.403723
197.73088,90.6479,13.339554
196.62256,89.39515,13.55765
197.12747,89.900986,13.485504
197.6528,90.42926,13.409616
198.1981,90.980415,13.331322
197.16182,89.805145,13.535728
197.7467,90.39918,13.44879
198.35321,91.01695,13.359457
197.36919,89.89838,13.554579
198.01527,90.55902,13.456642
198.68152,91.24219,13.357185
197.74635,90.1767,13.542866
198.45021,90.90138,13.434896
197.54457,89.86847,13.616623
198.29288,90.63995,13.500452
199.0575,91.430756,13.383556
198.19878,90.44893,13.554886
199.00465,91.28403,13.430058
198.17604,90.335045,13.596685
199.01799,91.20993,13.464777
198.21985,90.29399,13.626417
199.0973,91.208145,13.487726
198.33226,90.32787,13.643688
199.24706,91.282555,13.498512
198.51015,90.43325,13.649113
199.46298,91.429344,13.497562
198.75307,90.60984,13.642693
199.74298,91.646324,13.485226
199.06444,90.860756,13.624044
200.08942,91.9359,13.461126
199.43912,91.1808,13.594732
198.80159,90.44041,13.7280655
199.87828,91.57183,13.5541935
199.2696,90.86265,13.680941
200.38005,92.031525,13.502491
199.8,91.35303,13.623732
199.40517,90.86102,13.718304
200.39345,91.91286,13.555803
200.30612,91.72981,13.602219
200.4408,91.77017,13.616659
201.23035,92.62824,13.4823475
