UTS,YS,EL
201.16837,92.60406,8.367994
193.19167,88.86915,8.111835
191.76949,88.09277,8.443232
194.30978,88.98793,8.963291
196.84512,89.88135,9.482351
199.37566,90.773056,10.000448
201.9014,91.663086,10.517523
204.42238,92.55143,11.033676
206.93857,93.43809,11.548818
209.71443,94.415054,12.0799055
219.61137,98.0346,13.081515
219.67119,98.02015,13.107444
220.5302,98.32727,13.202782
219.87949,98.02025,13.170526
219.78305,97.938896,13.185019
218.49182,97.37165,13.098452
217.36983,96.880905,13.018825
216.11145,96.32761,12.934732
216.17749,96.31128,12.963524
215.52475,96.00399,12.930802
214.17387,95.41358,12.83862
214.69247,95.59599,12.911572
214.84865,95.64983,12.960169
214.35995,95.42626,12.947716
213.24919,94.9351,12.876343
214.92067,95.640625,13.068966
213.37888,94.96412,12.956492
213.1323,94.839005,12.982156
213.45428,94.96378,13.047543
213.38327,94.91961,13.075398
212.92592,94.70954,13.065865
212.08539,94.33459,13.02015
210.87979,93.803055,12.9386015
213.2633,94.81329,13.202962
211.41356,94.004944,13.05956
209.21654,93.047714,12.881977
210.83438,93.72882,13.073135
212.25516,94.325226,13.245461
209.19136,92.99594,12.983485
210.16525,93.40051,13.112354
210.94606,93.721924,13.223202
211.54398,93.96472,13.316561
207.41336,92.178055,12.949304
207.59526,92.242485,13.001633
207.60204,92.23166,13.037178
207.44037,92.14859,13.056128
207.11208,91.994095,13.058647
206.61699,91.767914,13.045164
205.96162,91.47321,13.015389
205.15018,91.11159,12.970179
209.21278,92.83966,13.405775
208.14906,92.3697,13.336146
206.9289,91.83268,13.25104
205.56099,91.23251,13.150819
204.0442,90.568726,13.035387
207.70503,92.123604,13.433936
205.9578,91.36103,13.295679
204.065,90.53627,13.142512
207.51965,92.002205,13.5222645
205.40855,91.08403,13.346973
203.15598,90.10542,13.157149
206.41667,91.48764,13.519251
203.95183,90.418236,13.307863
201.35031,89.29065,13.081951
204.43526,90.597336,13.427212
201.62656,89.381134,13.180209
204.60541,90.64199,13.5160055
201.59993,89.342,13.247995
204.47983,90.56005,13.575008
201.27705,89.1759,13.286383
204.06285,90.35345,13.6046095
200.66809,88.887566,13.295418
203.36433,90.02652,13.605298
199.7745,88.47744,13.275704
202.38239,89.57836,13.577331
198.60748,87.950516,13.22782
201.12982,89.01457,13.521474
197.1725,87.30932,13.151848
199.61143,88.337456,13.437717
202.03029,89.35679,13.72216
197.8377,87.55164,13.326605
200.17633,88.5364,13.603564
195.80122,86.65363,13.188335
197.10075,87.204155,13.365266
199.34814,88.14965,13.6336975
194.74583,86.1706,13.19287
196.91777,87.08357,13.454273
199.07133,87.98849,13.714397
194.24033,85.912415,13.248247
