,PH_Al,PH_Al_2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.5032834,0.40136138,0.052392483,-4.1097403e-05,0.0
1,0.50335646,0.40120336,0.051945403,-3.491342e-05,0.0005
2,0.50342965,0.4010453,0.051498294,-2.8699636e-05,0.001
3,0.5035027,0.40088728,0.0510512,-2.2500753e-05,0.0015
4,0.5035759,0.4007292,0.05060409,-1.630187e-05,0.002
5,0.503649,0.4005712,0.050156996,-1.0117888e-05,0.0025
6,0.5037222,0.40041313,0.0497099,-3.9339066e-06,0.003
7,0.50379527,0.4002551,0.049262807,2.2500753e-06,0.0035
8,0.50386846,0.40009704,0.048815712,8.46386e-06,0.004
9,0.50394154,0.39993903,0.048368618,1.4647841e-05,0.0045
10,0.5040016,0.39921004,0.048016146,2.1100044e-05,0.005
11,0.5040134,0.3963851,0.048011124,2.8416514e-05,0.0055
12,0.5040252,0.3935602,0.048006073,3.5747886e-05,0.006
13,0.504037,0.3907353,0.04800105,4.3064356e-05,0.0065
14,0.5040488,0.3879104,0.047996014,5.0365925e-05,0.007
15,0.5040606,0.38508543,0.047990963,5.7712197e-05,0.0075
16,0.5040724,0.38226053,0.047985926,6.504357e-05,0.008
17,0.5040842,0.37943563,0.04798089,7.236004e-05,0.0085
18,0.50409603,0.37661067,0.047975883,7.966161e-05,0.009
19,0.50410783,0.37378576,0.047970816,8.702278e-05,0.0095
20,0.50411963,0.37096086,0.04796578,9.433925e-05,0.01
21,0.50413156,0.36813596,0.047960743,0.000101700425,0.0105
22,0.50414336,0.36531103,0.04795572,0.000109016895,0.011
23,0.50415516,0.3624861,0.04795067,0.00011634827,0.0115
24,0.50416696,0.3596612,0.047945634,0.00012366474,0.012
25,0.50417876,0.3568363,0.047940597,0.00013099611,0.0125
26,0.50419056,0.35401133,0.04793556,0.00013831258,0.013
27,0.50420237,0.35118642,0.04793051,0.00014564395,0.0135
28,0.50421417,0.34836152,0.047925472,0.00015294552,0.014
29,0.50422597,0.34553662,0.04792045,0.00016027689,0.0145
30,0.5042378,0.3427117,0.0479154,0.00016760826,0.015
31,0.5042496,0.33988678,0.047910377,0.00017490983,0.0155
32,0.5042614,0.33706185,0.047905326,0.0001822412,0.016
33,0.5042732,0.33423695,0.04790029,0.00018955767,0.0165
34,0.504285,0.33141202,0.047895253,0.00019688904,0.017
35,0.5042968,0.32858709,0.047890216,0.00020419061,0.0175
36,0.5043086,0.32576218,0.04788518,0.00021153688,0.018
37,0.5043204,0.32293728,0.047880143,0.00021888316,0.0185
38,0.5043322,0.32011235,0.04787509,0.00022621453,0.019
39,0.5043441,0.31728745,0.047870055,0.0002335161,0.0195
40,0.5043558,0.3144625,0.04786502,0.00024086237,0.02
41,0.5043677,0.31163764,0.047859997,0.00024819374,0.0205
42,0.5043795,0.3088127,0.047854945,0.0002555251,0.021
43,0.5043913,0.3059878,0.04784991,0.00026285648,0.0215
44,0.5044031,0.30316287,0.047844887,0.00027015805,0.022
45,0.5044149,0.30033794,0.047839835,0.00027748942,0.0225
46,0.5044267,0.29751304,0.0478348,0.000284791,0.023
47,0.5044385,0.29468814,0.047829762,0.00029212236,0.0235
48,0.5044503,0.2918632,0.047824726,0.00029943883,0.024
49,0.5044621,0.28903827,0.04781969,0.0003067851,0.0245
50,0.5044739,0.28621337,0.047814652,0.00031413138,0.025
51,0.5044857,0.2833884,0.0478096,0.00032144785,0.0255
52,0.5044975,0.28056353,0.04780458,0.00032876432,0.026
53,0.5045093,0.27773863,0.047799528,0.0003361255,0.0265
54,0.50452125,0.2749137,0.047794506,0.00034344196,0.027
55,0.50453293,0.2720888,0.04778944,0.00035077333,0.0275
56,0.50454485,0.26926386,0.047784418,0.0003580898,0.028
57,0.50455666,0.26643893,0.04777938,0.00036542118,0.0285
58,0.50456846,0.26361403,0.04777433,0.00037273765,0.029
59,0.50458026,0.26078913,0.047769293,0.00038003922,0.0295
60,0.50459206,0.2579642,0.04776427,0.0003873706,0.03
61,0.50460386,0.2551393,0.047759235,0.00039468706,0.0305
62,0.50461566,0.25231436,0.047754183,0.00040201843,0.031
63,0.50462747,0.24948946,0.047749147,0.0004093349,0.0315
64,0.50463927,0.2466645,0.04774411,0.00041666627,0.032
65,0.50465107,0.24383962,0.047739074,0.00042398274,0.0325
66,0.5046629,0.24101469,0.047734037,0.0004313141,0.033
67,0.5046747,0.23818979,0.047729,0.00043863058,0.0335
68,0.5046865,0.23536482,0.047723964,0.00044594705,0.034
69,0.5046983,0.23253995,0.047718927,0.00045327842,0.0345
70,0.5047101,0.22971502,0.04771389,0.0004606098,0.035
71,0.504722,0.22689012,0.047708854,0.00046797097,0.0355
72,0.5047338,0.22406521,0.047703817,0.00047528744,0.036
73,0.5047456,0.22124031,0.04769878,0.0004826188,0.0365
74,0.5047574,0.21841538,0.047693744,0.0004899204,0.037
75,0.5047692,0.21559045,0.047688708,0.00049725175,0.0375
76,0.504781,0.21276557,0.04768367,0.0005045831,0.038
77,0.5047928,0.20994064,0.047678635,0.0005119145,0.0385
78,0.5048046,0.20711568,0.047673598,0.00051923096,0.039
79,0.5048164,0.20429078,0.04766853,0.00052659214,0.0395
80,0.5048282,0.20146587,0.047663525,0.0005339086,0.04
81,0.50484,0.19864097,0.04765846,0.0005412251,0.0405
82,0.50485194,0.19581603,0.047653437,0.00054854155,0.041
83,0.50486374,0.19299112,0.047648385,0.0005558729,0.0415
84,0.50487554,0.19016622,0.04764335,0.0005632043,0.042
85,0.50488734,0.18734129,0.047638312,0.00057052076,0.0425
86,0.50489914,0.18451637,0.047633275,0.0005778372,0.043
87,0.50491095,0.18169145,0.04762824,0.0005851686,0.0435
88,0.50492275,0.17886654,0.047623202,0.0005925,0.044
89,0.50493455,0.17604163,0.047618166,0.00059981644,0.0445
90,0.50494635,0.17321669,0.04761313,0.0006071627,0.045
91,0.50495815,0.1703918,0.047608092,0.0006144643,0.0455
92,0.50496995,0.16756685,0.047603056,0.00062179565,0.046
93,0.50498176,0.16474192,0.04759802,0.000629127,0.0465
94,0.50499356,0.16191705,0.047592983,0.0006364435,0.047
95,0.50500536,0.15909211,0.047587946,0.00064375997,0.0475
96,0.50501716,0.15626718,0.04758291,0.00065109134,0.048
97,0.50502896,0.15344228,0.047577873,0.0006584227,0.0485
98,0.50504076,0.15061736,0.04757282,0.0006657392,0.049
99,0.50505257,0.14779244,0.047567785,0.00067305565,0.0495
100,0.50506437,0.14496753,0.047562733,0.000680387,0.05
101,0.5050763,0.1421426,0.047557727,0.0006876886,0.0505
102,0.5050881,0.13931772,0.047552675,0.00069504976,0.051
103,0.5050999,0.13649279,0.047547624,0.00070238113,0.0515
104,0.5051117,0.13366787,0.047542587,0.0007097423,0.052
105,0.5051235,0.13084297,0.04753755,0.0007170439,0.0525
106,0.5051353,0.12801805,0.04753253,0.00072436035,0.053
107,0.5051471,0.1251931,0.047527477,0.0007316917,0.0535
108,0.5051589,0.12236822,0.047522455,0.000739038,0.054
109,0.5051707,0.1195433,0.047517404,0.00074635446,0.0545
110,0.5051825,0.11671835,0.047512382,0.00075370073,0.055
111,0.5051943,0.113893434,0.04750733,0.0007610172,0.0555
112,0.5052062,0.11106855,0.047502294,0.0007683337,0.056
113,0.5052179,0.10824363,0.047497258,0.00077565014,0.0565
114,0.50522983,0.10541868,0.04749222,0.0007829666,0.057
115,0.50524163,0.102593765,0.047487184,0.000790298,0.0575
116,0.50525343,0.09976886,0.047482148,0.00079759955,0.058
117,0.50526524,0.09694396,0.047477096,0.0008049458,0.0585
118,0.50527704,0.09411904,0.047472075,0.0008122623,0.059
119,0.50528884,0.09129414,0.047467038,0.00081957877,0.0595
120,0.50530064,0.08846919,0.047461987,0.00082689524,0.06
121,0.50531244,0.085644275,0.04745695,0.0008342564,0.0605
122,0.50532424,0.08281934,0.04745193,0.0008415729,0.061
123,0.50533605,0.079994425,0.047446877,0.00084888935,0.0615
124,0.50534785,0.07716952,0.04744184,0.0008562356,0.062
125,0.50535965,0.07434462,0.04743682,0.0008635521,0.0625
126,0.50537145,0.07151967,0.047431767,0.00087086856,0.063
127,0.50538325,0.06869477,0.04742673,0.00087818503,0.0635
128,0.50539505,0.06586988,0.04742168,0.0008855164,0.064
129,0.505407,0.06304498,0.047416657,0.000892818,0.0645
130,0.5054188,0.06022003,0.047411606,0.00090014935,0.065
131,0.5054306,0.057395127,0.04740657,0.0009074807,0.0655
132,0.5054424,0.05457024,0.047401533,0.0009148121,0.066
133,0.5054542,0.051745307,0.047396496,0.00092214346,0.0665
134,0.505466,0.04892039,0.04739146,0.00092947483,0.067
135,0.5054778,0.046095487,0.047386423,0.0009367764,0.0675
136,0.5054896,0.04327054,0.047381386,0.0009441078,0.068
137,0.5055014,0.040445637,0.04737635,0.00095146894,0.0685
138,0.5055132,0.03762069,0.047371313,0.0009588301,0.069
139,0.505525,0.034795772,0.047366276,0.0009661466,0.0695
140,0.5055369,0.031970914,0.04736124,0.00097346306,0.07
141,0.5055487,0.029145967,0.04735619,0.0009807795,0.0705
142,0.5055605,0.02632105,0.047351167,0.0009881109,0.071
143,0.5055722,0.023496103,0.04734613,0.0009954274,0.0715
144,0.5055841,0.0206712,0.04734108,0.0010027587,0.072
145,0.5055959,0.017846283,0.047336042,0.0010100603,0.0725
146,0.5056077,0.01502141,0.047331005,0.0010173917,0.073
147,0.5056195,0.012196463,0.047325984,0.001024723,0.0735
148,0.5056313,0.00937153,0.047320932,0.0010320246,0.074
149,0.5056431,0.0065466277,0.04731588,0.001039356,0.0745
150,0.504974,0.0057503246,0.04731269,0.0010469705,0.075
151,0.5035815,0.007109504,0.047311425,0.0010549128,0.0755
152,0.5021889,0.008468654,0.04731016,0.00106287,0.076
153,0.5007962,0.009827804,0.047308907,0.0010707974,0.0765
154,0.4994037,0.011186939,0.04730764,0.0010787398,0.077
155,0.49801108,0.012546074,0.047306374,0.0010867119,0.0775
156,0.49661848,0.013905253,0.047305122,0.0010946542,0.078
157,0.49522588,0.015264418,0.047303855,0.0011025965,0.0785
158,0.49383333,0.016623523,0.04730259,0.0011105239,0.079
159,0.4924408,0.017982718,0.047301337,0.0011184812,0.0795
160,0.4910482,0.019341838,0.04730007,0.0011264086,0.08
161,0.48965558,0.020701002,0.04729882,0.001134336,0.0805
162,0.48826298,0.022060212,0.047297552,0.0011422783,0.081
163,0.4868705,0.023419332,0.0472963,0.0011502504,0.0815
164,0.4854779,0.024778511,0.04729502,0.0011581928,0.082
165,0.4840853,0.026137646,0.047293767,0.0011661351,0.0825
166,0.48269275,0.027496811,0.047292516,0.0011741072,0.083
167,0.48130015,0.028855946,0.047291234,0.0011820495,0.0835
168,0.4799076,0.03021511,0.047289982,0.0011899769,0.084
