,Al,Al2,Si,Al2Si2Sr
0,0.47,1.07,2.72,-0.91
1,0.48,1.07,2.40,-0.91
2,0.48,1.07,2.08,-0.92
3,0.48,1.07,1.75,-0.92
4,0.48,1.07,1.43,-0.92
5,0.48,1.07,1.11,-0.92
6,0.48,1.07,0.79,-0.92
7,0.48,1.07,0.46,-0.93
8,0.48,1.07,0.14,-0.93
9,0.48,1.07,-0.18,-0.93
10,0.48,1.06,-0.29,-0.92
11,0.48,1.04,-0.29,-0.91
12,0.48,1.02,-0.29,-0.90
13,0.48,1.00,-0.30,-0.89
14,0.48,0.98,-0.30,-0.88
15,0.48,0.96,-0.30,-0.86
16,0.48,0.94,-0.30,-0.85
17,0.48,0.92,-0.30,-0.84
18,0.49,0.90,-0.30,-0.83
19,0.49,0.88,-0.31,-0.82
20,0.49,0.86,-0.31,-0.81
21,0.49,0.84,-0.31,-0.79
22,0.49,0.82,-0.31,-0.78
23,0.49,0.80,-0.31,-0.77
24,0.49,0.78,-0.31,-0.76
25,0.49,0.76,-0.32,-0.75
26,0.49,0.74,-0.32,-0.74
27,0.49,0.72,-0.32,-0.72
28,0.49,0.70,-0.32,-0.71
29,0.49,0.69,-0.32,-0.70
30,0.49,0.67,-0.33,-0.69
31,0.49,0.65,-0.33,-0.68
32,0.49,0.63,-0.33,-0.67
33,0.49,0.61,-0.33,-0.66
34,0.49,0.59,-0.33,-0.64
35,0.49,0.57,-0.33,-0.63
36,0.50,0.55,-0.34,-0.62
37,0.50,0.53,-0.34,-0.61
38,0.50,0.51,-0.34,-0.60
39,0.50,0.49,-0.34,-0.59
40,0.50,0.47,-0.34,-0.57
41,0.50,0.45,-0.34,-0.56
42,0.50,0.43,-0.35,-0.55
43,0.50,0.41,-0.35,-0.54
44,0.50,0.39,-0.35,-0.53
45,0.50,0.37,-0.35,-0.52
46,0.50,0.35,-0.35,-0.50
47,0.50,0.34,-0.35,-0.49
48,0.50,0.32,-0.36,-0.48
49,0.50,0.30,-0.36,-0.47
50,0.50,0.28,-0.36,-0.46
51,0.50,0.26,-0.36,-0.45
52,0.50,0.24,-0.36,-0.43
53,0.50,0.22,-0.36,-0.42
54,0.51,0.20,-0.37,-0.41
55,0.51,0.18,-0.37,-0.40
56,0.51,0.16,-0.37,-0.39
57,0.51,0.14,-0.37,-0.38
58,0.51,0.12,-0.37,-0.36
59,0.51,0.10,-0.38,-0.35
60,0.51,0.08,-0.38,-0.34
61,0.51,0.06,-0.38,-0.33
62,0.51,0.04,-0.38,-0.32
63,0.51,0.02,-0.38,-0.31
64,0.51,0.00,-0.38,-0.29
65,0.51,-0.02,-0.39,-0.28
66,0.51,-0.03,-0.39,-0.27
67,0.51,-0.05,-0.39,-0.26
68,0.51,-0.07,-0.39,-0.25
69,0.51,-0.09,-0.39,-0.24
70,0.51,-0.11,-0.39,-0.23
71,0.51,-0.13,-0.40,-0.21
72,0.52,-0.15,-0.40,-0.20
73,0.52,-0.17,-0.40,-0.19
74,0.52,-0.19,-0.40,-0.18
75,0.52,-0.21,-0.40,-0.17
76,0.52,-0.23,-0.40,-0.16
77,0.52,-0.25,-0.41,-0.14
78,0.52,-0.27,-0.41,-0.13
79,0.52,-0.29,-0.41,-0.12
80,0.52,-0.31,-0.41,-0.11
81,0.52,-0.33,-0.41,-0.10
82,0.52,-0.35,-0.41,-0.09
83,0.52,-0.37,-0.42,-0.07
84,0.52,-0.38,-0.42,-0.06
85,0.52,-0.40,-0.42,-0.05
86,0.52,-0.42,-0.42,-0.04
87,0.52,-0.44,-0.42,-0.03
88,0.52,-0.46,-0.43,-0.02
89,0.53,-0.48,-0.43,-0.00
90,0.53,-0.50,-0.43,0.01
91,0.53,-0.52,-0.43,0.02
92,0.53,-0.54,-0.43,0.03
93,0.53,-0.56,-0.43,0.04
94,0.53,-0.58,-0.44,0.05
95,0.53,-0.60,-0.44,0.07
96,0.53,-0.62,-0.44,0.08
97,0.53,-0.64,-0.44,0.09
98,0.53,-0.66,-0.44,0.10
99,0.53,-0.68,-0.44,0.11
100,0.53,-0.70,-0.45,0.12
101,0.53,-0.72,-0.45,0.14
102,0.53,-0.74,-0.45,0.15
103,0.53,-0.75,-0.45,0.16
104,0.53,-0.77,-0.45,0.17
105,0.53,-0.79,-0.45,0.18
106,0.53,-0.81,-0.46,0.19
107,0.54,-0.83,-0.46,0.20
108,0.54,-0.85,-0.46,0.22
109,0.54,-0.87,-0.46,0.23
110,0.54,-0.89,-0.46,0.24
111,0.54,-0.91,-0.46,0.25
112,0.54,-0.93,-0.47,0.26
113,0.54,-0.95,-0.47,0.27
114,0.54,-0.97,-0.47,0.29
