,PH_Al,PH_Al2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.50333935,0.40122208,0.0526023,-2.0995736e-05,0.0
1,0.5033768,0.4012288,0.05207502,-2.1725893e-05,0.0005
2,0.50341415,0.40123552,0.05154776,-2.2560358e-05,0.001
3,0.5034515,0.4012423,0.05102048,-2.3320317e-05,0.0015
4,0.50348896,0.40124905,0.050493218,-2.4095178e-05,0.002
5,0.50352633,0.40125576,0.04996594,-2.4870038e-05,0.0025
6,0.50356376,0.40126252,0.049438678,-2.5644898e-05,0.003
7,0.50360113,0.40126923,0.048911385,-2.6464462e-05,0.0035
8,0.5036385,0.401276,0.048384123,-2.7239323e-05,0.004
9,0.5036754,0.40119672,0.047872894,-2.7760863e-05,0.0045
10,0.50369793,0.39839566,0.04786951,-2.0116568e-05,0.005
11,0.50372046,0.3955946,0.047866173,-1.2531877e-05,0.0055
12,0.503743,0.39279354,0.047862805,-4.9471855e-06,0.006
13,0.50376546,0.38999248,0.047859423,2.6673079e-06,0.0065
14,0.50378793,0.38719136,0.04785607,1.0251999e-05,0.007
15,0.5038105,0.38439035,0.047852702,1.7881393e-05,0.0075
16,0.503833,0.3815893,0.04784932,2.5495887e-05,0.008
17,0.5038555,0.37878823,0.047845952,3.3065677e-05,0.0085
18,0.50387806,0.37598714,0.0478426,4.0709972e-05,0.009
19,0.50390047,0.3731861,0.04783923,4.8279762e-05,0.0095
20,0.503923,0.370385,0.04783585,5.5924058e-05,0.01
21,0.5039455,0.36758393,0.047832496,6.349385e-05,0.0105
22,0.50396806,0.3647829,0.04782913,7.112324e-05,0.011
23,0.5039906,0.36198187,0.04782576,7.8722835e-05,0.0115
24,0.50401306,0.35918075,0.047822393,8.6307526e-05,0.012
25,0.5040356,0.35637972,0.047819026,9.390712e-05,0.0125
26,0.50405806,0.35357866,0.047815643,0.00010155141,0.013
27,0.5040806,0.35077757,0.04781229,0.00010916591,0.0135
28,0.5041031,0.34797654,0.047808923,0.0001167655,0.014
29,0.5041256,0.34517545,0.047805555,0.00012433529,0.0145
30,0.5041481,0.34237438,0.047802188,0.00013194978,0.015
31,0.5041706,0.33957332,0.04779882,0.00013957918,0.0155
32,0.5041931,0.33677226,0.047795452,0.00014717877,0.016
33,0.50421554,0.3339712,0.047792085,0.00015473366,0.0165
34,0.5042381,0.33117014,0.047788717,0.00016237795,0.017
35,0.5042606,0.32836908,0.04778535,0.00017000735,0.0175
36,0.50428313,0.32556802,0.04778198,0.00017757714,0.018
37,0.50430566,0.32276696,0.047778614,0.00018520653,0.0185
38,0.50432813,0.3199659,0.047775246,0.00019279122,0.019
39,0.50435066,0.3171648,0.047771893,0.00020040572,0.0195
40,0.5043732,0.31436378,0.047768526,0.00020800531,0.02
41,0.50439566,0.3115627,0.047765143,0.0002156049,0.0205
42,0.5044182,0.30876163,0.047761805,0.0002232343,0.021
43,0.5044407,0.30596054,0.047758423,0.00023083389,0.0215
44,0.5044632,0.30315953,0.047755055,0.00023840368,0.022
45,0.50448567,0.3003584,0.047751687,0.00024601817,0.0225
46,0.50450826,0.29755735,0.047748335,0.00025363266,0.023
47,0.5045307,0.29475632,0.047744937,0.00026124716,0.0235
48,0.50455326,0.29195526,0.047741584,0.00026886165,0.024
49,0.5045758,0.2891542,0.047738217,0.00027643144,0.0245
50,0.5045982,0.2863531,0.047734834,0.00028406084,0.025
51,0.50462073,0.28355208,0.047731496,0.00029166043,0.0255
52,0.50464326,0.280751,0.047728114,0.00029928982,0.026
53,0.5046658,0.27794993,0.047724746,0.00030688941,0.0265
54,0.50468826,0.27514887,0.047721393,0.0003145039,0.027
55,0.50471073,0.2723478,0.047718026,0.0003220439,0.0275
56,0.50473326,0.26954675,0.047714643,0.0003296882,0.028
57,0.5047558,0.2667457,0.047711276,0.00033725798,0.0285
58,0.50477827,0.26394463,0.047707923,0.00034490228,0.029
59,0.50480086,0.26114357,0.047704555,0.00035253167,0.0295
60,0.50482327,0.2583425,0.047701173,0.00036008656,0.03
61,0.5048458,0.25554144,0.04769782,0.00036771595,0.0305
62,0.5048683,0.25274038,0.047694452,0.00037531555,0.031
63,0.50489086,0.2499393,0.04769107,0.00038291514,0.0315
64,0.50491333,0.24713826,0.047687717,0.00039055943,0.032
65,0.5049358,0.24433717,0.047684334,0.00039811432,0.0325
66,0.50495833,0.24153614,0.04768098,0.00040574372,0.033
67,0.50498086,0.23873502,0.047677614,0.0004133433,0.0335
68,0.5050034,0.23593396,0.047674246,0.0004209429,0.034
69,0.5050258,0.2331329,0.047670864,0.0004285425,0.0345
70,0.5050484,0.23033187,0.047667526,0.0004361719,0.035
71,0.50507087,0.22753078,0.047664143,0.00044377148,0.0355
72,0.5050934,0.22472975,0.047660775,0.00045134127,0.036
73,0.5051159,0.22192869,0.047657408,0.00045898557,0.0365
74,0.50513846,0.2191276,0.04765404,0.00046657026,0.037
75,0.50516087,0.21632653,0.047650672,0.00047421455,0.0375
76,0.5051834,0.2135255,0.047647335,0.00048179924,0.038
77,0.5052059,0.21072441,0.047643937,0.00048936903,0.0385
78,0.50522846,0.20792335,0.04764057,0.00049699843,0.039
79,0.50525093,0.20512229,0.047637217,0.000504598,0.0395
