,PH_Al,PH_Al2,PH_Si,PH_AlSi2Sr,EL_Sr
0,0.503427,0.44076446,0.052608702,-2.1575252e-06,0.0
1,0.50345063,0.43683052,0.052125715,-1.2685778e-06,0.0005
2,0.5034742,0.4328966,0.051642727,-3.7963036e-07,0.001
3,0.5034977,0.42896268,0.05115974,5.092006e-07,0.0015
4,0.50352126,0.42502877,0.050676752,1.3982644e-06,0.002
5,0.5035448,0.42109483,0.050193764,2.2870954e-06,0.0025
6,0.50356835,0.41716096,0.049710777,3.1760428e-06,0.003
7,0.5035919,0.41322705,0.049227793,4.06499e-06,0.0035
8,0.50361544,0.40929312,0.048744805,4.953821e-06,0.004
9,0.503639,0.4053592,0.048261818,5.8427686e-06,0.0045
10,0.50365454,0.40143472,0.04777881,6.7610526e-06,0.005
11,0.5036707,0.40133488,0.047766484,1.3931538e-05,0.0055
12,0.50369537,0.40130478,0.047763996,2.1201093e-05,0.006
13,0.5037201,0.40127474,0.047761504,2.8470764e-05,0.0065
14,0.50374484,0.40124464,0.047759015,3.574032e-05,0.007
15,0.5037695,0.40121454,0.047756527,4.3009873e-05,0.0075
16,0.5037942,0.40118447,0.047754034,5.027943e-05,0.008
17,0.5038189,0.4011544,0.047751546,5.75491e-05,0.0085
18,0.5038436,0.4011243,0.047749057,6.481877e-05,0.009
19,0.50386834,0.40109426,0.047746565,7.2088325e-05,0.0095
20,0.503893,0.40106416,0.047744077,7.935788e-05,0.01
21,0.50391775,0.40103406,0.04774159,8.6627435e-05,0.0105
22,0.50394243,0.401004,0.047739096,9.3897106e-05,0.011
23,0.50396717,0.4009739,0.047736607,0.00010116666,0.0115
24,0.50399184,0.4009438,0.04773412,0.000108436216,0.012
25,0.5040166,0.40091372,0.047731627,0.00011570577,0.0125
26,0.5040413,0.40088362,0.04772914,0.00012297544,0.013
27,0.504066,0.40085354,0.04772665,0.000130245,0.0135
28,0.50409067,0.40082347,0.047724158,0.00013751455,0.014
29,0.5041154,0.40079337,0.04772167,0.0001447841,0.0145
30,0.5041401,0.4007633,0.04771918,0.00015205378,0.015
31,0.5041648,0.4007332,0.04771669,0.00015932333,0.0155
32,0.5041895,0.40070313,0.0477142,0.000166593,0.016
33,0.5042142,0.40067303,0.04771171,0.00017386244,0.0165
34,0.5042389,0.400643,0.04770922,0.00018113223,0.017
35,0.50426364,0.4006129,0.04770673,0.00018840178,0.0175
36,0.5042883,0.4005828,0.047704242,0.00019567134,0.018
37,0.50431305,0.4005527,0.04770175,0.0002029409,0.0185
38,0.5043377,0.40052265,0.04769926,0.00021021045,0.019
39,0.5043624,0.40049255,0.047696773,0.00021748012,0.0195
40,0.50438714,0.40046245,0.04769428,0.00022474967,0.02
41,0.5044118,0.4004324,0.047691792,0.00023201935,0.0205
42,0.50443655,0.4004023,0.047689304,0.0002392889,0.021
43,0.5044612,0.4003722,0.047686815,0.00024655857,0.0215
44,0.50448596,0.40034217,0.047684323,0.00025382813,0.022
45,0.50451064,0.40031207,0.047681835,0.00026109768,0.0225
46,0.5045354,0.40028197,0.047679346,0.00026836724,0.023
47,0.5045601,0.40025187,0.047676854,0.0002756368,0.0235
48,0.5045848,0.4002218,0.047674365,0.00028290646,0.024
49,0.50460947,0.40019172,0.047671877,0.00029017602,0.0245
50,0.5046342,0.40016162,0.047669385,0.0002974457,0.025
51,0.5046589,0.40013155,0.047666896,0.00030471513,0.0255
52,0.5046836,0.40010148,0.047664408,0.0003119849,0.026
53,0.5047083,0.40007138,0.047661915,0.00031925435,0.0265
54,0.504733,0.4000413,0.047659427,0.00032652402,0.027
55,0.5047577,0.40001124,0.04765694,0.00033379358,0.0275
56,0.50478244,0.39998114,0.047654446,0.00034106313,0.028
57,0.5048072,0.39995104,0.047651958,0.0003483328,0.0285
58,0.50483185,0.39992094,0.04764947,0.00035560236,0.029
59,0.5048565,0.3998909,0.047646977,0.00036287203,0.0295
60,0.50488126,0.3998608,0.04764449,0.00037014158,0.03
61,0.50490594,0.3998307,0.047642,0.00037741114,0.0305
62,0.5049307,0.39980063,0.047639508,0.0003846807,0.031
63,0.50495535,0.39977056,0.04763702,0.00039195037,0.0315
64,0.5049801,0.39974046,0.04763453,0.00039921992,0.032
65,0.50500476,0.39971036,0.04763204,0.00040648936,0.0325
