UTS,YS,EL
200.6143,92.307686,7.98553
201.19475,92.39731,8.474874
201.77518,92.48692,8.964215
202.35443,92.57598,9.453528
202.93721,92.66672,9.942956
203.51884,92.7569,10.432361
204.09904,92.84642,10.921681
204.68066,92.9366,11.411071
205.25871,93.0251,11.900313
210.6033,98.37215,12.297814
211.98994,100.34074,12.377683
210.90993,99.823524,12.374549
210.1915,99.41341,12.411729
209.59802,99.04584,12.461225
209.00664,98.67947,12.510674
208.4151,98.31303,12.560176
207.82243,97.94595,12.60959
207.22908,97.57847,12.659011
206.63824,97.21242,12.708507
206.04594,96.84556,12.757945
205.45445,96.47911,12.807475
204.86433,96.11349,12.85695
204.2712,95.74611,12.906379
203.67918,95.37943,12.955768
203.08687,95.01255,13.005208
202.52957,94.66661,13.050958
202.27316,94.50096,13.063403
202.01625,94.335014,13.075866
201.75858,94.16866,13.0882635
201.50323,94.00364,13.100707
201.24663,93.837906,13.113158
200.99141,93.67294,13.125659
200.73271,93.50598,13.138057
200.4775,93.34101,13.150561
200.22095,93.17531,13.162963
199.96518,93.01003,13.175452
199.70772,92.843765,13.187917
199.6428,92.836105,13.19246
199.60384,92.84909,13.196151
199.56183,92.86037,13.199805
199.52176,92.87276,13.203483
199.47919,92.88368,13.207089
199.4376,92.89519,13.2106905
199.39728,92.90741,13.214383
199.35664,92.91945,13.2180395
199.3163,92.93166,13.221711
199.27382,92.942696,13.22536
199.23293,92.954544,13.228969
199.19106,92.96588,13.232572
199.15071,92.9781,13.236257
199.10944,92.9898,13.239894
199.06789,93.00133,13.2435465
199.02754,93.01355,13.24723
198.98615,93.02515,13.25084
198.94508,93.03694,13.254493
198.9035,93.04846,13.258128
198.8641,93.06119,13.261825
198.82256,93.072716,13.265473
198.7819,93.084755,13.26912
198.73988,93.09601,13.272712
198.69899,93.10788,13.276372
198.65742,93.119415,13.280025
198.61736,93.1318,13.283702
198.57549,93.143135,13.287305
198.53516,93.155365,13.290994
198.49286,93.16646,13.294599
198.45222,93.17848,13.298247
198.4119,93.19071,13.301938
198.37006,93.20206,13.305543
198.3286,93.21369,13.309209
198.28676,93.22505,13.312875
198.24615,93.23709,13.316514
198.20625,93.24954,13.320157
198.16515,93.26132,13.323812
198.12236,93.272156,13.327411
198.08176,93.284195,13.331061
198.04095,93.296165,13.334744
198.00003,93.308014,13.338361
197.95967,93.32023,13.342048
197.91692,93.33107,13.345651
197.87657,93.34329,13.349334
197.83528,93.35499,13.352973
197.79541,93.36746,13.356671
197.75403,93.37906,13.360276
197.712,93.39034,13.363908
197.67017,93.40168,13.367515
197.63074,93.414406,13.371209
197.5895,93.426125,13.374906
197.54933,93.438416,13.378547
197.50731,93.44969,13.382194
197.46562,93.4611,13.385758
197.42574,93.47357,13.389455
197.38446,93.48527,13.393102
197.34312,93.49689,13.396749
197.30135,93.50833,13.400378
197.26118,93.520615,13.404035
197.21964,93.53214,13.407681
197.18022,93.544876,13.41137
197.137,93.555466,13.414971
197.09541,93.56699,13.418616
197.05435,93.57877,13.422263
197.01402,93.591,13.425958
196.97244,93.60251,13.429549
196.9304,93.613785,13.433198
196.88976,93.62582,13.436841
196.84944,93.63804,13.440539
196.80852,93.64989,13.444156
196.76819,93.66211,13.447837
196.72633,93.673454,13.451444
196.6848,93.68498,13.455085
196.64493,93.697464,13.458785
196.6038,93.70923,13.462417
196.5618,93.72052,13.466071
196.52051,93.732216,13.469699
196.48033,93.7445,13.473359
196.43924,93.75627,13.477006
196.39738,93.767624,13.480607
196.35616,93.77934,13.484296
196.31506,93.79113,13.487941
196.27441,93.80316,13.491593
196.23378,93.81519,13.495236
196.1927,93.82698,13.498883
196.14992,93.83782,13.502486
196.1094,93.84996,13.506162
196.06848,93.86181,13.509778
196.02907,93.874535,13.513471
195.98781,93.88625,13.517154
195.94597,93.89759,13.520761
195.90532,93.90962,13.5244055
195.86285,93.92066,13.528043
195.82222,93.93269,13.531705
195.78065,93.944214,13.535344
195.74033,93.95644,13.539033
195.69829,93.9677,13.542624
195.65765,93.97974,13.546277
195.61656,93.991516,13.549922
195.57501,94.003044,13.553565
195.53392,94.01483,13.557225
195.49358,94.027054,13.560908
195.69914,94.16947,13.545112
196.04605,94.386826,13.518373
196.39284,94.60408,13.491611
196.74037,94.821815,13.464879
197.08714,95.03909,13.438119
197.43323,95.25597,13.41134
197.77974,95.47308,13.384509
198.19368,95.70374,13.374254
199.16898,96.07853,13.450787
200.15324,96.45679,13.528669
201.13675,96.83457,13.606523
202.12024,97.21203,13.684459
203.17786,97.64204,13.7610855
204.59319,98.32332,13.831883
205.34938,98.67228,13.865901
205.28934,98.60979,13.854367
205.22855,98.546715,13.84283
205.16846,98.484184,13.831306
205.10843,98.42169,13.819777
205.04549,98.35774,13.808078
204.98688,98.29582,13.796651
204.92749,98.233444,13.78521
204.86748,98.17094,13.773682
204.80739,98.10843,13.762142
204.74588,98.04505,13.750561
204.68584,97.98255,13.73903
204.62505,97.91961,13.727472
204.565,97.85711,13.71594
204.50421,97.79417,13.704368
204.44344,97.73123,13.692818
204.38481,97.6693,13.681408
204.32332,97.60607,13.669799
204.26324,97.54342,13.658282
204.20319,97.48091,13.6467495
204.14241,97.41797,13.635193
204.08379,97.35604,13.623771
204.02156,97.29239,13.612132
203.95935,97.22901,13.600448
203.89929,97.1665,13.588912
203.83853,97.10358,13.577354
203.77914,97.04119,13.565898
203.71838,96.978264,13.554337
203.65833,96.91574,13.542809
203.59756,96.85281,13.531255
203.53894,96.79089,13.51983
203.47815,96.72795,13.508259
203.41737,96.66501,13.496715
203.35658,96.602066,13.4851465
203.29652,96.539566,13.473626
203.2372,96.47734,13.462145
203.17786,96.41498,13.450687
203.11636,96.35176,13.439084
203.05629,96.289116,13.427569
202.99332,96.22528,13.415857
202.934,96.16295,13.404408
202.8732,96.09999,13.392843
202.81317,96.03749,13.381316
202.75313,95.974976,13.369787
202.69232,95.91205,13.358228
202.63297,95.849686,13.346772
202.57147,95.78645,13.335162
202.51212,95.72437,13.323661
202.45065,95.66115,13.312054
202.39058,95.59835,13.300571
202.33052,95.53584,13.28904
202.27118,95.47363,13.27757
202.20895,95.40997,13.2659235
202.14815,95.34703,13.25436
202.08954,95.285095,13.242933
202.02948,95.22259,13.231401
201.968,95.15938,13.219791
201.90651,95.096146,13.208184
201.84499,95.032906,13.19657
201.78638,94.97098,13.185151
201.72559,94.90819,13.173567
201.66481,94.845245,13.16201
201.60548,94.78303,13.150539
201.54399,94.7198,13.138916
201.48389,94.657005,13.127437
201.42458,94.594666,13.1159725
201.36523,94.53257,13.104486
201.30518,94.47006,13.092949
201.2451,94.40727,13.0814705
201.18358,94.34403,13.069854
201.12355,94.28154,13.05833
201.06349,94.21902,13.04681
201.0027,94.1561,13.035234
200.9434,94.09374,13.023797
200.8819,94.03051,13.012179
200.82181,93.96812,13.000637
200.75958,93.90447,12.988984
200.6988,93.84152,12.977426
200.64018,93.7796,12.966007
200.57942,93.716675,12.954448
200.51862,93.65373,12.942887
200.45784,93.5908,12.931316
200.39848,93.528694,12.919826
200.33846,93.46593,12.908343
200.27766,93.403114,12.896757
200.21689,93.34005,12.885214
200.15683,93.27754,12.873691
200.09747,93.21531,12.862225
200.03598,93.152084,12.85061
199.97522,93.08916,12.839052
199.9659,93.05376,12.831012
200.46664,93.29088,12.858032
200.9703,93.52919,12.885252
201.47246,93.76687,12.912352
201.97174,94.003265,12.939285
202.47539,94.2417,12.966476
202.97607,94.478546,12.993518
203.47827,94.71624,13.02064
