UTS,YS,EL
201.16211,92.506165,8.301185
201.89624,92.692795,8.753074
202.32138,92.71909,9.20074
202.74661,92.74545,9.64841
203.17172,92.77174,10.096076
203.59683,92.79805,10.54375
204.02197,92.82435,10.99142
204.44714,92.85068,11.439082
204.87228,92.877,11.88676
205.29741,92.90329,12.334422
212.31873,100.30014,11.296664
212.50845,100.31837,11.362449
212.17554,99.92018,11.470435
211.8427,99.52205,11.578422
211.50993,99.12393,11.686416
211.17708,98.725784,11.794402
210.84425,98.32765,11.902392
210.51144,97.92951,12.010379
210.17862,97.53138,12.118369
209.84578,97.13324,12.226359
209.51288,96.73507,12.334346
209.1801,96.33694,12.44234
208.84726,95.9388,12.55033
208.51442,95.54065,12.658317
208.18158,95.14251,12.766307
207.84882,94.7444,12.8742895
207.5159,94.34622,12.982291
207.27524,94.07852,13.05593
207.21454,94.06557,13.0625105
207.1539,94.05264,13.069087
207.09315,94.03966,13.075656
207.03247,94.02672,13.082236
206.97177,94.01376,13.088805
206.91101,94.00076,13.095386
206.85034,93.98782,13.101962
206.78963,93.97487,13.108531
206.72891,93.961914,13.115104
206.66823,93.948975,13.121688
206.60744,93.93597,13.128261
206.54677,93.92302,13.134837
206.48605,93.910065,13.141406
206.42535,93.89711,13.147983
206.36465,93.88414,13.154559
206.30399,93.871216,13.161136
206.2433,93.85826,13.167716
206.18259,93.84531,13.174281
206.1218,93.83229,13.18085
206.0612,93.81941,13.187438
206.00043,93.8064,13.194011
205.93977,93.79347,13.200583
205.87906,93.78052,13.207164
205.81834,93.76755,13.213737
205.75768,93.75461,13.220313
205.69691,93.74162,13.22689
205.63617,93.72865,13.2334585
205.57547,93.7157,13.240035
205.51482,93.70277,13.246608
205.4541,93.689804,13.253188
205.39331,93.67679,13.259765
205.33275,93.6639,13.266345
205.27194,93.6509,13.27291
205.21124,93.63794,13.279483
205.1505,93.6249,13.286082
205.08978,93.61194,13.292651
205.02905,93.59898,13.299228
204.9683,93.58599,13.305804
204.90761,93.573044,13.312377
204.84691,93.56009,13.3189535
204.78622,93.54714,13.32553
204.7255,93.53417,13.33211
204.66481,93.52123,13.3386755
204.6041,93.50827,13.345256
204.5434,93.49531,13.351832
204.48267,93.48234,13.358405
204.42195,93.469376,13.364978
204.36127,93.45643,13.371558
204.3006,93.44348,13.378135
204.23988,93.43053,13.384704
204.1791,93.41751,13.391284
204.11844,93.40459,13.397861
204.05772,93.39163,13.404433
203.99702,93.37866,13.411006
203.93636,93.36573,13.41759
203.87566,93.35277,13.424163
203.81494,93.33983,13.430728
203.75429,93.32687,13.437312
203.69357,93.31392,13.443885
203.63284,93.30095,13.450458
203.57208,93.287964,13.457034
203.5114,93.275024,13.463614
203.45068,93.26206,13.47018
203.38997,93.249084,13.476764
203.32925,93.236115,13.48334
203.26854,93.22316,13.489913
203.20782,93.210205,13.496486
203.14717,93.19727,13.503058
203.08646,93.1843,13.509635
203.02577,93.17136,13.5162115
202.9651,93.158424,13.522784
202.90431,93.14542,13.529365
202.84358,93.132454,13.535937
202.7829,93.11951,13.542514
202.72221,93.10656,13.549079
202.66151,93.0936,13.555663
202.60086,93.08067,13.562232
202.54016,93.0677,13.568812
202.47934,93.0547,13.575389
202.41869,93.04176,13.581965
202.35799,93.02881,13.588534
202.29729,93.015854,13.595107
202.23657,93.00291,13.601687
202.17592,92.98996,13.60826
202.11519,92.977,13.614837
202.05444,92.964005,13.621417
201.99373,92.95104,13.62799
201.93306,92.938095,13.6345625
201.8723,92.92513,13.641139
201.81163,92.91219,13.647712
201.75095,92.89925,13.654288
201.69016,92.88624,13.660865
201.62946,92.87328,13.667438
201.5688,92.86035,13.674018
201.50809,92.8474,13.680594
201.44742,92.83444,13.687163
201.38675,92.8215,13.69374
201.32602,92.80854,13.700316
201.26534,92.79559,13.706889
201.20453,92.78258,13.713462
201.14374,92.76953,13.720061
201.08304,92.75656,13.726642
201.02235,92.74364,13.733203
200.96167,92.73068,13.739783
200.90099,92.717735,13.74636
200.92203,92.79896,13.7203245
201.00958,92.956764,13.667773
201.0971,93.11456,13.615237
201.18468,93.272385,13.562697
201.27223,93.430214,13.510146
201.35977,93.58802,13.457599
201.44736,93.74586,13.405059
201.53485,93.90363,13.352515
201.62619,94.06297,13.30022
201.97508,94.32574,13.265067
202.32393,94.588486,13.229907
202.67279,94.85125,13.194743
203.02167,95.11402,13.159579
203.37045,95.37674,13.124415
203.7193,95.6395,13.089263
204.06815,95.90226,13.054091
204.41704,96.16502,13.018939
204.7659,96.427795,12.983775
205.11475,96.69054,12.948615
205.82326,97.05365,12.961322
206.64737,97.44876,12.990539
207.25131,97.707886,13.022235
206.14932,96.91314,13.073226
205.04735,96.11839,13.124221
204.32047,95.5565,13.165236
203.86093,95.16056,13.199134
203.40138,94.76462,13.233039
202.94183,94.3687,13.26694
202.4823,93.97275,13.300841
202.02274,93.5768,13.334739
201.5632,93.18088,13.36864
201.10365,92.78493,13.402545
200.6441,92.38898,13.436442
200.18454,91.99304,13.47034
199.72502,91.59712,13.504241
199.26547,91.20117,13.538146
198.80592,90.80523,13.57204
198.34637,90.409294,13.605945
197.88698,90.01349,13.639819
197.42743,89.61754,13.673728
197.10323,89.34013,13.695537
197.16171,89.39783,13.683162
197.22023,89.45554,13.670783
197.27872,89.51324,13.658408
197.33722,89.57093,13.646041
197.39569,89.62862,13.633658
197.45421,89.686325,13.621284
197.51273,89.74403,13.608916
197.5712,89.80173,13.596545
197.62971,89.859436,13.58417
197.68823,89.91713,13.571799
197.7467,89.974815,13.559424
197.80522,90.03253,13.5470495
197.86371,90.090225,13.534675
197.9222,90.14793,13.5223
197.9807,90.20561,13.509929
198.0392,90.263306,13.497561
198.09769,90.321014,13.485183
198.15633,90.37883,13.472793
198.21483,90.43652,13.460418
198.27333,90.49423,13.448043
198.33182,90.551926,13.435672
198.39032,90.60963,13.423301
198.44884,90.66733,13.41093
198.5073,90.72502,13.398555
198.56583,90.78272,13.38618
198.6243,90.840416,13.373805
198.6828,90.89812,13.361434
198.7413,90.955826,13.349051
198.79977,91.013504,13.33668
198.8583,91.07123,13.324313
198.91678,91.128914,13.311931
198.97528,91.186615,13.29956
199.03378,91.244316,13.287189
199.09229,91.302,13.274817
199.15079,91.3597,13.26245
199.20929,91.417435,13.250064
199.26779,91.47511,13.237693
199.32639,91.53291,13.2253065
199.38495,91.59062,13.212935
199.4434,91.648315,13.200564
199.50189,91.70602,13.188182
199.56042,91.76372,13.175815
199.6189,91.82141,13.163436
199.67741,91.87912,13.151065
199.73589,91.93681,13.138694
199.7944,91.99452,13.126319
199.85284,92.0522,13.113944
199.91139,92.10991,13.101569
199.96991,92.16761,13.089198
200.02838,92.2253,13.076831
200.08688,92.283005,13.064448
200.14539,92.340706,13.052081
200.20389,92.39839,13.039714
200.26234,92.456085,13.027335
200.32086,92.51378,13.014964
200.37936,92.571495,13.002593
200.43787,92.629196,12.990214
200.49649,92.68701,12.97782
200.555,92.74471,12.965453
200.61348,92.8024,12.953078
200.672,92.860115,12.940703
200.7305,92.9178,12.928336
200.789,92.97551,12.915954
200.84744,93.03319,12.903586
200.90599,93.09091,12.891208
200.9645,93.14862,12.878829
201.02296,93.2063,12.866462
201.1142,93.27876,12.856338
201.25653,93.37421,12.849753
201.39882,93.46962,12.843173
201.54117,93.565094,12.836577
201.68361,93.66063,12.829986
201.82594,93.75607,12.823401
201.96823,93.85149,12.816821
202.11069,93.94705,12.810214
202.253,94.04249,12.80363
202.39534,94.13794,12.797046
