UTS,YS,EL
190.59506,106.16077,10.166995
191.85112,105.464424,9.87828
192.79654,104.27719,9.610129
192.81792,103.97023,9.34452
194.42084,103.70413,9.02473
195.43199,102.867645,8.735362
196.53046,102.19267,8.4352255
197.53094,101.53221,8.130034
198.30434,100.821045,7.8340635
199.03442,100.17403,7.5341635
200.10703,99.85654,7.208667
200.30554,99.08239,6.9232016
201.50607,98.85695,6.5912085
203.58218,97.749886,6.2448263
205.732,98.15801,6.46675
208.64085,99.069336,6.8533545
214.54243,99.978714,7.714301
217.21896,100.85701,8.079642
223.95676,103.11368,8.626582
228.28802,104.73253,8.940413
190.54425,106.91673,10.153911
191.76071,106.25224,9.86328
192.13817,105.740944,9.595416
193.39575,105.1582,9.300021
194.65305,104.48442,8.999064
195.67316,103.82716,8.704417
196.66064,103.07359,8.410323
196.51733,103.37982,8.118884
198.82394,101.97064,7.7905035
199.99147,101.621414,7.4713774
201.29391,101.28944,7.1390944
201.6401,100.67261,6.845561
202.05591,100.0224,6.547488
203.45178,99.636185,6.2033033
206.14755,99.25277,6.1644545
208.83871,99.942154,6.5910597
215.07513,101.15476,7.4030905
217.79028,101.92641,7.810111
224.05115,103.29419,8.572574
223.87903,103.29985,8.716826
191.27982,107.41836,10.1181555
192.511,106.70279,9.828971
193.68091,106.737335,9.5235815
194.07013,105.72635,9.266074
195.91983,105.29007,8.940005
195.37442,105.192276,8.681865
196.58432,104.53732,8.377479
197.66873,103.82164,8.070151
199.02655,103.68291,7.7432775
200.17297,103.20429,7.4279127
202.6275,101.909294,7.0819006
203.22432,101.46603,6.776038
203.89165,100.9892,6.465686
205.03766,100.42918,6.1338835
207.89005,100.12404,6.1448774
210.88077,101.0942,6.5245504
214.61221,102.15994,6.9963408
219.6676,102.89022,7.7806044
223.2469,103.89023,8.2487135
226.69452,104.60561,8.721496
191.75836,107.68329,10.096511
192.99966,107.75565,9.786044
193.59854,107.01436,9.519725
195.71837,106.73833,9.190131
195.55048,106.321335,8.927012
197.10593,105.97349,8.609069
198.16515,105.21455,8.311294
199.77823,104.80411,7.980754
201.08691,104.40231,7.661479
201.4425,103.95058,7.370803
202.1555,103.158585,7.066066
204.99557,102.500824,6.6960707
205.72476,102.11984,6.383239
206.16318,100.95859,6.0868483
206.74542,101.05989,5.759837
212.88445,102.213524,6.4629087
215.55003,102.94162,6.880542
221.51741,103.90174,7.730811
224.19455,104.88135,8.064338
228.03113,105.8251,8.523219
192.67352,108.24657,10.05572
194.32458,108.599594,9.726054
194.99481,107.79457,9.4578085
196.57397,107.08733,9.155257
197.30319,107.232,8.850459
198.35663,106.374054,8.55762
199.6205,106.26107,8.241904
200.95645,105.718765,7.922282
201.73138,105.00711,7.6264296
203.3167,105.00159,7.286578
204.18361,104.31265,6.9754286
204.8787,103.822365,6.667289
207.55377,103.08244,6.301524
207.4289,101.75845,6.028247
209.25302,102.192314,5.667449
214.44907,103.02849,6.434287
217.22287,103.96345,6.7995977
220.09445,104.77615,7.2173147
226.48352,106.27002,7.957202
229.95932,106.91595,8.4607
193.96414,109.01187,9.998233
194.39465,109.09727,9.712134
196.12097,108.38837,9.4085455
196.88141,108.359344,9.113257
198.74402,107.87293,8.788772
200.03268,107.79989,8.473807
200.93787,106.93194,8.182929
202.35544,106.43959,7.8623343
203.7786,106.23265,7.533679
204.45927,105.381256,7.2395773
205.68991,105.16575,6.90792
206.1423,104.564224,6.6103354
207.39398,104.5428,6.272624
209.36768,103.0218,5.9381514
210.23035,102.973816,5.604434
213.11383,103.89273,5.937869
219.20966,104.91316,6.78601
222.37552,106.021835,7.156806
228.41908,107.204926,7.9464216
231.64001,107.83266,8.417621
198.3274,113.15148,9.769694
199.43451,113.121475,9.462928
200.92853,112.53891,9.162913
203.57343,112.56297,8.810397
203.28183,112.351654,8.544646
205.39725,111.98567,8.209231
206.659,111.64557,7.8961477
208.01799,111.05653,7.578212
210.26917,111.35717,7.2135153
211.5773,111.21978,6.884597
211.45044,109.729614,6.6220236
213.42017,110.341095,6.2497816
215.14539,110.0771,5.900634
216.89053,109.31317,5.5552588
218.16866,109.14087,5.214919
219.54205,109.195694,5.168399
225.98613,110.46035,5.9893026
229.2879,111.66148,6.3503027
235.35068,112.7892,7.161296
238.7869,113.768814,7.5527945
201.52611,116.17206,9.607345
204.36124,116.22418,9.242679
205.13576,116.09674,8.953044
207.39838,116.20758,8.608478
209.3939,115.92311,8.274726
209.89767,116.4845,7.96889
211.85818,115.94113,7.6360235
212.51096,115.206436,7.3442335
215.22748,115.65819,6.960498
216.3326,115.54611,6.638503
216.75568,114.31482,6.354308
218.69469,114.96318,5.980895
221.83978,114.43176,5.594596
223.19139,114.46542,5.2423353
224.63277,114.23653,4.8961325
224.66086,113.922424,4.59431
230.7056,115.02958,5.197112
234.14148,116.256775,5.5702887
240.81938,117.88037,6.31166
243.59276,118.53041,6.7137785
204.90778,118.50384,9.453967
206.90137,118.92686,9.104259
209.39438,119.19668,8.754714
210.59311,119.57638,8.437198
212.42447,119.179535,8.11024
215.16539,119.69782,7.735057
214.92389,119.505,7.4627943
216.46484,119.26973,7.1310606
219.54094,119.73396,6.736438
220.7956,119.895905,6.4029303
221.20192,119.738785,6.0951414
223.12639,119.291336,5.7459097
226.5603,118.89467,5.3488913
227.8452,118.92475,5.0043707
228.74837,118.68159,4.669158
229.77817,118.65201,4.330386
