UTS,YS,EL
197.637,113.92535,9.548866
198.9851,114.844376,9.423668
200.54338,115.906685,9.278952
196.34111,111.822945,9.626938
197.54799,110.34544,9.43508
198.1681,108.29741,9.291796
198.59148,105.981735,9.162157
198.48907,103.02775,9.071638
197.73401,99.390816,9.033478
196.59348,95.30324,9.024601
195.61835,91.262535,8.998074
192.81744,85.350006,9.119358
190.80215,81.973206,9.237051
199.95714,89.46335,8.430149
201.98647,90.55823,8.231682
203.85023,91.56619,8.049484
214.34233,99.94264,7.1175346
215.5227,100.33563,6.993637
225.50024,108.31752,6.107952
195.42346,112.416336,9.7544365
196.58728,113.20974,9.646353
194.27246,111.63168,9.861328
195.24248,110.53372,9.710231
196.31421,108.95956,9.530766
196.48993,106.42017,9.42222
196.7318,103.918976,9.307293
189.93886,93.6737,9.743431
196.53534,98.00459,9.125061
196.14978,94.688805,9.054985
196.02705,91.559845,8.960766
193.33188,85.74448,9.073099
189.20615,80.83673,9.383591
191.86407,82.88137,9.144821
200.80609,90.0022,8.349926
202.527,90.79564,8.176935
213.32559,99.56041,7.222742
214.85303,100.20445,7.067112
225.41757,108.81299,6.1347675
196.71277,113.29529,9.634699
198.05972,114.21353,9.509607
197.09239,113.55408,9.599443
196.13515,111.43774,9.637575
198.6694,111.40083,9.3410225
191.75233,101.187546,9.792733
192.51617,99.23346,9.635963
192.85722,96.759926,9.510441
192.64525,93.640076,9.426937
192.5295,90.62607,9.33589
199.1197,94.81302,8.713259
196.84822,89.43161,8.791281
193.4618,84.84773,9.026861
195.054,85.97797,8.88055
203.98232,93.083595,8.086723
205.95544,94.20796,7.8958244
209.72018,96.87637,7.5497303
218.22029,103.48863,6.788683
221.72212,105.91115,6.464693
197.7392,113.99502,9.539375
196.93721,113.448296,9.613855
196.08536,112.86757,9.6929655
199.28781,114.706894,9.383631
194.5696,106.88474,9.662075
195.81517,105.453064,9.467297
196.32591,103.24276,9.331131
197.72423,101.864334,9.120405
198.03903,99.33516,8.996008
195.05812,93.261154,9.132664
194.07635,89.268196,9.108568
200.38313,93.11072,8.507015
197.15923,88.40373,8.719393
197.44913,88.282974,8.681429
197.93645,88.20912,8.6220875
209.34714,97.579254,7.617573
210.75183,98.083885,7.471409
221.40273,106.63501,6.527014
222.3221,106.83656,6.4268856
199.5294,115.21543,9.373119
199.39207,115.121826,9.385872
198.96313,114.8294,9.425709
201.40558,116.49446,9.198879
198.3627,110.84855,9.357603
199.18613,109.02243,9.19833
198.70934,105.68782,9.138231
199.47902,103.65434,8.978027
198.73358,100.029236,8.939156
198.91093,97.277054,8.82304
198.20163,93.563995,8.776909
196.40398,88.6946,8.817478
201.40189,92.402084,8.363743
199.32631,90.21536,8.529732
203.37457,93.40961,8.16884
212.12924,100.29931,7.3877563
213.39629,100.775185,7.2566357
215.29044,101.750114,7.0697556
225.9524,110.52229,6.1317368
202.12521,116.985054,9.132048
198.33508,114.401245,9.4840355
201.38391,116.47969,9.2008915
199.05782,114.27491,9.395445
201.77142,114.43343,9.084774
201.33875,111.17709,9.022251
201.60323,108.7218,8.906279
202.5304,106.84723,8.73324
202.73338,104.181465,8.617136
201.96086,100.50867,8.579763
201.28253,96.77764,8.529398
198.92464,91.3228,8.614941
195.83022,87.81304,8.853756
202.03644,93.04024,8.311939
204.25153,94.452774,8.102842
206.29724,95.65248,7.9060993
217.22932,104.476295,6.9383984
219.21289,105.62803,6.7472324
229.5545,113.99649,5.8325367
206.61787,120.04778,8.714817
205.50212,119.287155,8.818436
207.3633,120.55595,8.645592
211.62955,123.46433,8.249388
205.92567,118.40182,8.738382
209.20544,119.14739,8.382105
209.32924,116.48531,8.275356
210.31052,114.6839,8.098549
212.09312,113.648285,7.854933
211.64189,110.241066,7.789341
209.56245,105.16099,7.8554363
209.34227,101.85632,7.7664757
208.87485,100.73568,7.78207
209.19534,101.20701,7.761074
211.33191,102.773506,7.5664654
