UTS,YS,EL
210.12804,114.55477,10.263925
198.9057,107.27842,10.113969
198.61497,107.114876,9.551585
200.44307,107.985214,8.925686
206.30038,112.04505,8.10639
207.82854,110.9522,7.864812
202.89247,101.53775,8.681673
200.48198,96.85696,8.938373
199.87823,95.793755,8.760675
198.70831,94.19778,8.615019
197.47813,92.584526,8.461552
194.1373,88.878334,8.451602
193.10674,87.47152,8.283625
200.01335,93.50016,7.6204405
196.4224,89.489845,7.637534
198.1485,89.11933,7.644351
212.19933,100.20879,6.9262476
219.33804,104.572815,6.7058945
242.6301,121.98472,5.9379787
210.22826,114.576904,10.271539
198.98193,107.276,10.122945
194.09552,103.857834,9.744178
199.64554,107.621284,8.95591
205.40417,111.51621,8.143724
205.92357,110.07741,7.8393326
200.82909,100.52128,8.66367
188.21907,86.00245,9.5914
197.3929,93.62551,8.899522
196.99649,92.816956,8.700507
196.93175,92.31569,8.473264
193.61156,88.65662,8.459529
190.69226,85.37137,8.41841
191.04807,85.24987,8.157237
195.29243,88.7753,7.6626673
196.57849,87.986046,7.6912737
210.8514,99.38743,6.943619
217.9192,103.631996,6.7334385
241.63503,121.53955,5.9238577
211.02411,115.34635,10.230748
199.78734,108.055664,10.081632
196.17448,105.73064,9.642623
200.2972,108.267784,8.923685
207.13889,113.07549,8.05956
204.1185,109.55975,7.7639637
196.15395,97.86358,8.670264
191.09767,88.28431,9.495106
190.7774,87.58996,9.290252
190.8454,87.202675,9.06392
200.67726,96.01566,8.224704
197.80263,92.81431,8.179514
195.3359,89.9936,8.106545
195.25288,89.420876,7.876462
199.48218,92.931854,7.3828173
200.7604,92.31406,7.378995
206.75851,95.9186,7.1383944
221.18323,107.14957,6.458802
237.4178,117.74705,6.160631
211.55344,115.85765,10.20391
200.26343,108.50242,10.057694
195.43126,105.20957,9.67665
202.62239,110.34032,8.810617
204.1946,110.96603,8.183015
206.2746,111.28791,7.6948795
199.73215,100.63265,8.563269
196.9559,94.06539,9.106459
197.55338,94.202965,8.847626
193.71388,90.082466,8.869535
192.86438,88.75576,8.698971
201.81783,96.84266,7.907202
199.2075,93.89623,7.842703
198.38332,92.51266,7.669382
192.82692,86.83092,7.7785206
204.86554,96.55202,7.0740747
207.75117,97.14033,7.034747
224.23393,110.484634,6.194648
237.38982,118.09107,6.1047487
212.51624,116.789955,10.154399
201.63678,109.835014,9.986409
197.54517,107.061005,9.575223
204.1675,111.64597,8.738865
206.98325,113.382164,8.049598
207.8429,112.45337,7.6580973
201.77686,102.49885,8.463155
198.64832,95.85026,8.983818
198.05815,94.80012,8.805382
198.15405,94.52143,8.569553
197.58463,93.47857,8.379942
195.39317,90.92358,8.291967
203.84026,98.50799,7.5314865
201.01268,95.17531,7.48915
199.85205,93.75282,7.3135014
208.26465,100.03031,6.8262167
210.44914,100.0283,6.8163595
217.55702,104.492744,6.5670843
240.3407,121.3826,5.839698
213.85097,118.09049,10.084205
201.82652,109.97409,9.984355
199.32051,108.60367,9.490838
202.52682,110.627556,8.799723
209.49266,115.52022,7.930579
209.95276,114.54293,7.5313063
204.46675,104.65809,8.371932
202.23396,99.408806,8.74456
202.54898,99.31491,8.499783
202.04153,98.31808,8.315136
201.12553,97.0216,8.140755
198.25746,93.799385,8.097861
196.57823,91.80677,7.968114
204.8259,99.04928,7.226122
201.29015,95.278824,7.2085943
201.22145,93.75686,7.2041245
214.36867,104.09077,6.5223827
221.32147,108.59623,6.242959
243.54076,124.75686,5.5826855
218.477,122.50213,9.855525
207.06488,115.02427,9.716538
203.76427,113.05058,9.259101
211.73375,118.86435,8.355775
212.60191,118.983055,7.7582464
216.61017,120.91349,7.1636496
210.62389,110.89362,7.9850054
209.23315,106.918365,8.223774
211.27412,108.55895,7.8617887
210.63214,107.55428,7.6746225
208.85127,105.21945,7.5748625
207.92747,104.06533,7.38879
209.6077,105.25007,7.048334
213.46927,108.433754,6.5723724
212.42776,107.01656,6.400324
209.83418,103.71301,6.4095526
223.11745,114.25942,5.704254
228.7533,117.57125,5.4878607
249.84999,133.02393,4.8214626
221.98824,125.81257,9.689839
212.24861,120.03276,9.451922
207.77327,117.013435,9.053205
214.6003,121.94689,8.200681
221.52573,126.85627,7.3326626
222.2412,126.88398,6.7663803
216.18944,116.54867,7.6328297
212.64363,110.906494,7.9403152
216.26016,114.082726,7.47513
214.54004,112.05012,7.35682
214.2444,111.176414,7.159274
213.038,109.76352,6.989917
222.84628,118.690285,6.1389837
221.18172,116.71296,5.999612
221.20325,116.30964,5.759856
214.74928,109.692986,5.9314184
227.66464,120.1645,5.191594
232.34024,122.58254,5.023367
253.27528,138.44554,4.2609777
225.6478,129.31424,9.509379
214.99968,122.62272,9.3218565
212.78847,121.67867,8.81076
216.33661,124.06449,8.102307
223.06093,128.79282,7.244237
229.00577,132.84158,6.4711485
216.47011,118.27153,7.4176607
213.81871,112.73493,7.801365
219.11287,117.51769,7.229826
216.92317,115.08628,7.1365967
211.83995,109.81997,7.2259684
215.38696,112.76706,6.7717953
225.98495,122.469734,5.869321
224.2148,120.40397,5.741473
221.55058,117.420784,5.6676846
218.63951,114.23919,5.6099243
228.35243,122.22812,4.941203
233.96028,125.56863,4.706788
253.44719,140.24728,3.9922762
226.83855,130.34799,9.467883
216.54199,123.97933,9.265271
212.01323,121.5865,8.834695
216.98207,125.193016,8.057689
222.77176,129.19601,7.242956
230.7497,135.14458,6.319108
224.13058,124.98487,7.0819626
213.68379,113.18866,7.7579966
220.32526,119.273155,7.0994225
219.52249,118.20869,6.914199
217.59895,115.858315,6.812456
229.20416,126.6834,5.8335886
227.95766,125.08224,5.6787825
225.33617,121.93576,5.6247063
225.01138,121.49732,5.379238
226.22418,122.32639,5.052779
231.62404,126.74322,4.534376
234.47551,127.32084,4.4876766
254.1652,142.75967,3.6583643
228.7286,132.08997,9.385352
219.72964,127.01458,9.1112795
212.70872,122.65565,8.790837
220.61018,128.56424,7.8874006
222.98105,129.92148,7.2214556
231.75278,136.56618,6.2587976
224.11644,126.38152,6.8895044
223.66188,123.20663,7.084608
226.20743,125.41665,6.682811
227.99373,126.83897,6.332284
229.01439,127.29194,6.044365
229.7907,127.84791,5.742878
229.04619,126.813286,5.548111
225.84602,123.42071,5.501874
226.86766,123.98321,5.1983204
236.21513,132.53352,4.363681
232.75702,128.83813,4.33724
235.38686,129.46521,4.24566
254.07875,144.25519,3.4157763
230.82295,134.03134,9.293778
220.18839,127.315605,9.11217
211.41763,122.11277,8.84105
220.40431,128.93594,7.885728
228.60634,135.034,6.9540815
230.27928,135.94005,6.3157234
224.41113,127.832146,6.713132
222.19969,122.32359,7.1324854
224.9381,124.733864,6.7167816
227.67436,127.12798,6.299842
228.57303,127.61259,6.006151
230.45648,129.11575,5.644888
229.77744,128.14383,5.446267
228.38063,126.439064,5.2888927
232.11223,129.67409,4.805029
237.08057,134.00851,4.2516537
234.41643,131.1203,4.1707354
235.71928,130.94792,4.057783
253.24849,144.87457,3.2475424
231.49251,134.5595,9.280107
221.68184,128.64557,9.05511
213.79825,124.42092,8.730193
219.22124,128.41382,7.932765
227.12315,134.31755,7.0144186
231.71461,137.64743,6.2386217
225.05316,129.50278,6.527359
222.55031,123.1372,7.0685196
223.29288,123.68731,6.775419
226.01941,126.04514,6.3618517
227.42386,127.07258,6.030612
228.79883,128.03058,5.7072306
228.77585,127.733604,5.4622335
232.15977,130.67316,5.0000534
230.09422,128.34958,4.8809366
237.91162,135.46252,4.1416454
235.96498,133.30818,4.0107594
235.8331,132.29237,3.8734827
252.25604,145.36865,3.085145
231.38466,134.3212,9.308848
223.18343,130.02016,8.99323
213.19638,123.94535,8.774503
221.6009,130.72107,7.823247
225.43103,133.38194,7.0864305
233.93562,139.80917,6.138054
226.72318,131.89648,6.3179865
219.5147,120.70458,7.2177896
220.1563,121.092255,6.9402924
223.1659,123.76412,6.504902
226.04489,126.26968,6.073846
228.83296,128.64688,5.6542435
229.042,128.53334,5.3983707
228.31996,127.53419,5.198786
226.94473,125.891045,5.0338373
237.97855,136.1382,4.0845327
238.56764,136.39226,3.7940502
234.11058,131.69675,3.8325987
250.65685,145.14883,2.9832745
233.31915,136.11377,9.224856
223.39519,130.08163,9.007291
213.95242,124.56332,8.755525
218.81401,128.8122,7.949132
224.20842,132.74432,7.139472
232.40747,139.07407,6.200864
230.93312,135.6629,6.1266565
217.92265,120.65751,7.1034966
217.2153,118.73922,7.0884066
222.46806,123.523735,6.513296
223.33759,124.15626,6.210536
225.1212,125.53672,5.8531895
225.86873,125.97018,5.5604944
226.7786,126.61529,5.2492237
238.82193,137.8379,4.231168
237.12558,135.87085,4.091999
237.49336,135.92487,3.8146515
234.00644,132.20274,3.7809124
248.5765,144.36566,2.9289865
232.73979,135.40244,9.2811575
223.7509,130.28741,9.013253
216.56422,126.99618,8.639333
216.01659,126.913536,8.075902
226.81888,135.30806,7.018424
230.8958,138.2515,6.265601
232.7592,138.09325,5.9255705
221.15869,123.74853,6.9284496
213.89206,115.86826,7.2748117
221.5066,123.042656,6.5372314
219.97064,121.24346,6.394808
224.67223,125.57772,5.8418684
227.48708,128.02167,5.414507
230.10495,130.32962,4.992367
237.03128,136.61034,4.304241
236.57066,135.9318,4.0767336
236.74043,135.80803,3.8110533
234.39565,133.17567,3.7050037
