UTS,YS,EL
206.11191,111.94792,9.628841
207.361,112.12551,9.283935
209.03885,112.52449,8.88446
202.96887,106.70538,9.190468
203.73941,106.543434,8.884918
204.01767,105.835785,8.608289
203.96515,104.882324,8.361872
203.21689,103.33673,8.171553
201.66324,101.11512,8.052365
199.58627,98.46703,7.978719
197.53024,95.891914,7.903863
193.36777,91.47206,8.007339
193.6098,90.40655,8.020608
205.21652,97.6846,7.580176
205.55331,96.211464,7.9296618
206.32529,95.663605,8.129087
216.69012,101.70867,7.831437
216.72284,100.63979,8.073844
226.45798,106.264084,7.8042755
203.02112,109.57529,9.923965
203.97891,109.5191,9.606005
200.41333,105.73435,9.687557
201.05731,105.41147,9.391688
201.849,105.16906,9.074171
201.49304,103.97945,8.8587055
201.2384,102.84056,8.628315
191.51572,94.09511,9.258144
199.6607,99.73642,8.261085
198.40039,97.83573,8.122137
197.43353,96.15814,7.9499445
193.33643,91.83039,8.051678
190.4671,88.33002,8.161961
195.13516,90.33257,8.183494
203.78073,95.265724,7.9592876
204.50055,94.63249,8.173256
215.0662,100.886086,7.848565
215.5622,100.1266,8.070657
225.79291,106.15013,7.7604
204.45612,110.8833,9.809749
205.6691,111.02688,9.467831
203.5766,108.59088,9.4319105
201.95377,106.2914,9.327199
204.50974,107.56455,8.85865
194.84845,98.8046,9.482738
195.22235,98.208466,9.198862
195.06894,97.14125,8.954229
193.9491,95.41574,8.810832
193.08731,93.813774,8.633108
201.12009,99.35829,7.638721
197.48938,95.457535,7.703315
194.66312,92.11913,7.754257
198.86389,93.59142,7.843394
207.56161,98.61179,7.6061306
207.8352,97.21852,7.9328346
210.62259,98.05634,8.02749
218.86401,102.61348,7.846487
221.40887,103.28551,7.954339
205.63644,111.92467,9.712267
203.78104,109.71005,9.660566
202.19086,107.51356,9.563429
205.5376,109.49945,9.034581
198.82416,103.10271,9.3888
199.68658,102.99521,9.072598
199.79114,102.151505,8.810278
200.84393,102.155235,8.465906
200.50873,101.01575,8.245979
195.99173,96.3976,8.394593
194.1499,93.88565,8.288892
201.55093,99.06724,7.369089
198.18399,95.392494,7.4091835
201.75626,96.15306,7.5731792
199.92386,93.020004,8.067038
211.62125,100.53027,7.5854244
211.4548,98.829926,7.9383783
221.9855,105.024994,7.624029
221.6564,103.700096,7.8849506
207.62708,113.70807,9.549994
206.53265,112.19025,9.437557
205.51932,110.455185,9.287587
208.09018,111.69669,8.817123
203.26385,106.99469,9.017423
203.83246,106.52044,8.714486
202.37332,104.54051,8.607858
202.69293,103.905945,8.325552
