UTS,YS,EL
146.93225,47.226734,10.312078
149.64516,47.5674,9.971694
152.51324,47.510197,9.732429
158.84627,55.267654,9.202781
165.86317,62.383465,8.876932
172.3017,68.206436,8.622282
179.4813,75.327995,8.343679
187.58072,83.92796,8.055952
196.33351,93.66207,7.778176
204.83931,103.27332,7.5032063
206.10472,103.14228,7.4051194
206.7699,102.472565,7.5175123
207.95735,102.3383,7.5135603
211.07951,101.49247,7.497367
211.62296,101.05399,7.5829277
212.12651,100.79728,7.643423
215.01698,99.847786,7.6596055
215.32883,99.58684,7.7340727
218.08191,98.79523,7.7339573
146.59834,48.20323,10.073236
149.2872,48.608383,9.71781
156.56133,57.01992,9.340471
162.87883,62.89991,9.06409
169.1063,68.44356,8.788881
176.48778,76.000595,8.514517
183.71156,83.16462,8.246239
198.68126,105.45901,7.9128885
200.37404,101.29232,7.6452208
204.27873,104.53181,7.3898993
205.88219,104.45058,7.2150717
206.54205,103.92577,7.305192
207.31221,103.37616,7.3926325
208.88011,103.11447,7.3858585
211.34717,102.420494,7.3871794
211.80128,101.91411,7.489613
214.79028,101.29613,7.4479017
215.19382,100.87808,7.540695
218.12218,100.39027,7.4822865
146.60022,48.338062,10.023945
149.31232,48.670677,9.68623
155.36655,55.414436,9.208727
163.05174,63.48883,8.992683
168.03047,66.95919,8.682626
185.50658,92.37351,8.364441
192.31462,98.85407,8.08201
199.48682,105.893845,7.8027
201.01244,106.02155,7.559659
202.68288,105.85636,7.340753
206.71037,105.06239,7.0660534
207.46346,104.70189,7.124534
208.32812,104.316505,7.180255
209.8041,103.89038,7.20505
212.26714,103.18744,7.2079487
212.8041,102.98616,7.257435
213.83873,102.726425,7.2862234
216.17076,101.74006,7.343034
217.13033,101.43019,7.3839197
146.6236,48.345093,10.012136
149.15182,49.85667,9.424612
157.18155,58.7396,9.180917
161.48042,61.23271,8.857813
175.50365,80.47016,8.570513
182.2959,87.14303,8.253889
189.1623,93.679,7.985515
196.0015,100.1921,7.6611238
202.52592,106.749725,7.363299
203.27242,106.55466,7.2139416
204.80626,106.10403,7.035879
208.33061,105.69958,6.912949
209.15785,105.403496,6.9573503
210.49509,104.41388,7.0787477
210.62888,104.52207,7.1052933
213.79437,104.03335,7.030351
214.16125,103.553024,7.1359587
217.09857,102.673904,7.137416
217.34276,102.53676,7.1971927
146.65028,48.44304,9.967954
149.07146,49.875496,9.346255
155.42186,56.044945,9.07523
159.65009,58.215313,8.808105
172.91864,76.39471,8.445339
179.04167,81.65057,8.192709
188.6107,93.22814,7.8497725
195.90514,100.4752,7.544268
202.57175,107.28797,7.294724
204.20033,107.543495,7.0274186
205.78989,107.18942,6.8336797
206.7598,106.83478,6.837079
210.17116,106.339424,6.7457957
211.0511,105.17783,6.923477
212.19435,105.628204,6.832
214.60281,104.76345,6.8639526
214.9403,104.544266,6.9311256
215.44734,104.14498,7.014272
218.41179,103.87546,6.9194145
146.70331,48.547714,9.91353
150.4531,52.798508,9.258046
153.78615,53.481102,8.994328
165.51837,69.030205,8.659739
170.17091,71.90726,8.354885
179.65883,83.42203,8.011356
186.5519,89.960754,7.758036
193.79146,97.13916,7.4453883
202.5214,107.07239,7.102515
205.06613,107.926735,6.9191957
206.52634,107.99094,6.683757
207.37558,107.549194,6.685787
208.39845,107.59493,6.6643314
211.85732,106.38362,6.683387
212.47035,106.37734,6.696871
213.02824,106.206696,6.740425
216.047,105.38229,6.7274804
216.59038,105.29759,6.7608805
219.45232,104.68753,6.725507
146.25838,50.869946,9.242319
150.95772,55.59821,8.739518
155.97067,59.281895,8.465731
159.65254,60.842754,8.101986
175.33815,83.081795,7.793989
179.59117,85.30973,7.4715633
187.87161,94.527695,7.154584
194.80058,101.11984,6.8540716
202.77919,109.981606,6.442642
206.4761,113.226974,6.172366
207.85646,112.140945,6.0831175
209.21512,112.93547,5.7666674
211.08957,112.83679,5.6736107
213.47243,112.2637,5.6618567
214.68068,112.18106,5.6495495
215.23438,111.83828,5.719983
218.39677,111.26004,5.659335
218.99843,111.270256,5.6742344
221.908,110.57907,5.6482563
145.91469,52.53666,8.761545
148.78566,52.80713,8.401149
157.47871,63.62626,8.011231
163.28433,68.93742,7.6436563
168.44246,72.8032,7.3153505
185.94176,97.014946,6.966629
189.12694,98.78698,6.605092
198.28171,109.20943,6.331442
205.08997,116.09217,5.896408
206.9358,117.1188,5.66539
208.64085,116.28586,5.522236
209.92566,117.10607,5.2079124
213.88129,116.9978,4.8443213
214.94586,117.09502,4.813593
216.40254,116.96961,4.791726
216.36258,116.68612,4.8908987
219.64162,116.302444,4.792553
220.33757,116.31375,4.8010206
223.4637,116.1533,4.6786823
146.44298,53.232452,8.5584755
152.38821,57.941826,8.103908
157.23112,62.71074,7.685533
172.00407,79.21029,7.4678435
175.5944,83.05332,7.0530257
182.07745,89.518555,6.6272373
201.48613,112.03739,6.5390058
208.8336,120.20532,6.1837416
210.32845,120.876015,5.696439
210.9383,121.221565,5.4269247
210.91893,121.25052,5.233444
210.96432,121.02936,4.7886877
214.18057,121.03008,4.3046637
215.3341,121.229,4.1424026
216.19388,121.05878,4.166876
216.96648,121.083305,4.1660967
219.98337,120.96386,4.044609
221.13664,120.880165,4.037036
224.01524,120.436104,3.9747543
155.28333,60.771404,8.553718
166.75972,72.9603,8.238949
169.97647,75.80528,7.785476
183.17859,90.05304,7.4981346
189.40436,96.97605,7.1375103
194.81773,102.04751,6.6770153
200.29324,107.73621,6.260748
213.8666,123.500084,6.1835995
215.51198,124.22358,5.656886
216.5305,124.78918,5.3462963
215.75934,124.21941,5.061015
217.66277,124.94045,4.3818674
217.80252,124.94283,4.0750046
216.04207,123.74575,3.7999878
218.64517,125.26719,3.6127434
219.58476,125.62439,3.4450245
220.91629,125.45301,3.2843914
221.60818,124.871605,3.383873
224.76907,125.23243,3.1779842
163.74973,69.033,8.581285
166.05626,70.38177,8.07415
178.97787,84.45017,7.8023143
184.01785,89.077194,7.3475156
200.48772,107.929146,7.1862345
205.4363,112.15569,6.688547
213.55112,120.601944,6.297245
217.53122,125.12657,5.891223
220.19234,127.08546,5.485649
221.46172,127.72698,5.0987663
220.70038,127.063805,4.7274427
222.86913,128.3245,4.3614426
223.77791,128.81245,4.0389156
224.63785,129.34749,3.777197
224.9548,129.3859,3.3966608
225.70805,129.339,3.0176191
225.89186,129.35765,2.9927654
225.76506,129.13783,2.9541006
226.99144,129.46175,2.6115046
166.7625,71.232124,8.531569
179.7527,85.31709,8.259968
192.18689,98.24836,7.926893
195.64159,100.7703,7.416931
199.8446,104.51328,6.9407907
220.20125,127.59684,6.8296747
223.01701,129.38518,6.316592
222.81848,129.06471,5.931589
224.71474,130.08524,5.519971
226.59604,131.09424,5.1040764
227.11293,131.27069,4.7349358
228.35648,131.88931,4.3381224
229.31085,132.40466,4.013382
229.90572,132.70554,3.6997528
231.00989,133.16655,3.2388897
231.36156,133.05948,2.8418827
232.045,133.38136,2.7824726
231.93472,133.15833,2.7325687
233.16869,133.48627,2.3890047
177.2276,82.45333,8.657175
190.27316,96.09967,8.341097
194.65984,99.507195,7.838487
207.23393,112.90078,7.5284586
212.96617,118.31246,7.0736794
224.71378,130.81543,6.8084507
226.4001,131.72661,6.4268627
226.99532,131.78348,5.9185963
229.2428,133.10117,5.5648413
230.85793,133.93689,5.150283
231.91597,134.44984,4.765667
