UTS,YS,EL
187.71169,102.539055,10.389143
189.68214,102.88564,9.988289
191.29488,102.76463,9.592916
192.8982,103.72324,9.268446
195.34557,104.54288,8.833123
196.88399,104.43353,8.475143
197.62404,103.39356,8.244741
198.37395,102.42117,8.012024
199.01979,101.46767,7.7888393
199.71452,100.62374,7.5635757
200.77751,100.11125,7.3127728
201.24747,99.30997,7.1037006
202.41641,98.87457,6.846302
205.75685,98.59242,7.1727657
208.19797,99.23474,7.344677
210.79044,100.0582,7.493849
214.72389,99.91551,8.004318
221.391,102.08257,8.676287
231.60349,105.293465,9.534437
188.0305,103.33324,10.409003
190.00198,103.720146,10.0117855
191.66191,104.397766,9.664313
193.7417,104.89298,9.254888
195.82692,105.32778,8.83498
197.67627,105.66304,8.448933
198.32428,104.55846,8.223909
199.48773,105.38275,8.008001
200.03087,102.849976,7.7490273
201.06705,102.2452,7.502262
202.18242,101.62157,7.2437515
202.81111,100.979294,7.026451
203.44435,100.26684,6.805147
205.8709,100.40465,6.838785
209.2111,100.53288,7.1698837
211.55922,101.13328,7.344141
215.46553,101.30082,7.727852
221.55867,102.63667,8.540108
232.12505,106.08485,9.37933
188.6399,103.76263,10.370782
190.59143,104.09381,9.971586
192.90933,105.24487,9.581529
194.34546,105.39939,9.222229
196.84546,106.00871,8.76725
198.30354,107.29726,8.475475
199.41139,106.61729,8.195023
200.14513,105.53498,7.960638
201.382,105.14215,7.705435
202.31458,104.366745,7.4619865
203.02037,101.94814,7.1863556
203.85045,101.44656,6.956894
204.68495,100.874115,6.7234592
207.0981,100.99602,6.813259
210.42938,101.11714,7.145117
213.0953,101.98995,7.290348
216.08614,102.77493,7.478922
223.27669,103.551704,8.513203
231.00128,106.10441,9.223589
189.0056,103.97568,10.345158
191.35193,105.150215,9.957165
192.99417,105.54101,9.594306
195.65486,106.24928,9.13277
197.15341,107.15113,8.810009
199.54512,107.893745,8.375691
200.36082,106.9257,8.1276
201.46956,106.05638,7.8685627
202.4947,105.31903,7.620365
203.22728,104.894104,7.4040203
203.83746,103.866875,7.175701
205.12059,102.1741,6.87574
206.03966,101.71025,6.6379375
207.95844,101.381935,6.8004093
210.62889,102.58609,6.8821087
214.5895,102.819046,7.238264
216.99702,103.49573,7.40658
224.941,104.47624,8.476292
231.6356,106.745804,9.126339
189.7282,104.44654,10.295819
192.4128,105.8648,9.885728
194.0648,106.17941,9.516997
196.24823,106.502235,9.083498
198.46687,107.88099,8.711447
200.34827,108.12312,8.304327
201.54988,107.795235,8.056868
202.4849,106.852936,7.8103485
203.13031,105.897964,7.587223
204.54004,105.60327,7.3189373
205.26811,104.65777,7.0831337
206.09068,104.05199,6.851301
207.27585,102.314316,6.556614
208.95114,102.010925,6.751066
212.52505,103.393875,6.8626766
215.71046,103.3853,7.2101135
218.31487,104.3015,7.346426
223.37129,105.024445,8.113316
233.63911,107.9415,9.05891
190.73686,105.082146,10.225182
192.67932,106.37388,9.8926
194.9113,106.65579,9.454308
197.01907,107.81207,9.085696
199.49942,108.367,8.628691
201.88066,109.43062,8.217924
202.42506,108.19885,7.9989758
203.41257,107.294235,7.7480965
204.61977,106.78044,7.492386
205.14821,105.67325,7.2729855
206.32823,105.23891,7.014847
206.99881,104.57539,6.7937336
208.33379,104.40192,6.5305233
210.4773,103.014114,6.668478
213.33998,104.04895,6.7959805
216.03754,104.94356,6.93898
219.64273,104.897156,7.3241196
225.28127,105.93693,8.112278
235.43535,108.86386,9.040508
194.87936,108.86765,10.015486
197.11078,109.95705,9.635096
199.2863,110.400154,9.215539
202.35118,111.35568,8.724929
203.88959,112.489815,8.414914
206.51562,113.09324,7.948591
207.55298,112.45062,7.7065315
208.45522,111.434555,7.4601383
210.26913,111.29538,7.165121
211.50511,110.927704,6.9093513
211.35747,109.266014,6.72513
213.35881,109.679825,6.426569
214.6482,108.9824,6.152109
216.55185,108.23253,6.1085415
219.68915,109.10748,6.284996
222.23828,109.84531,6.447361
226.14485,110.007675,6.8142757
231.33781,111.069275,7.4847355
240.90306,112.989555,8.612646
197.88556,111.61429,9.864388
201.02708,112.5686,9.370728
203.06802,113.59677,9.005001
205.98732,114.69304,8.542098
208.62938,115.440735,8.081029
210.92528,117.28663,7.7322645
212.21974,116.33092,7.440613
212.81502,115.392914,7.2219467
214.8742,115.27827,6.907736
216.06963,115.02565,6.6588078
216.26447,113.50458,6.450012
218.28857,113.98076,6.1522503
219.76343,112.344604,5.8374043
221.60674,112.48863,5.6578865
224.8634,113.29376,5.8562984
227.10532,114.16646,5.971323
231.24434,114.48973,6.323866
235.65979,115.47561,6.827202
244.89528,116.49214,8.159777
200.65903,113.6091,9.688781
203.56639,115.080025,9.255113
206.64185,116.29002,8.785661
209.15843,117.81727,8.396388
211.66722,118.46709,7.9444866
214.99377,119.88405,7.4585896
215.73633,120.04469,7.263565
216.95518,119.44595,7.0037594
219.12106,119.20564,6.6770496
220.56554,119.27241,6.417698
221.56297,119.24403,6.1879845
222.76196,118.20932,5.913067
224.41393,116.64508,5.585512
225.81096,116.53137,5.3189983
228.25938,117.091034,5.375248
231.25084,118.1349,5.510498
235.52663,118.767494,5.8172417
239.43724,119.60145,6.199074
247.72313,120.03622,7.5416775
202.05937,115.588524,9.666654
205.28552,117.405876,9.221452
208.4652,118.56701,8.73663
211.61557,120.425224,8.29814
214.00018,121.18897,7.868437
217.63947,122.77938,7.351309
219.46683,122.553116,7.0345554
220.33107,122.912796,6.830494
222.62767,122.61423,6.491888
224.37512,122.792725,6.2112617
224.92589,121.86273,5.9914513
227.51283,121.12304,5.6134377
228.69337,120.73425,5.3579674
228.59608,119.18733,5.1676083
232.10051,120.798615,4.9421844
235.98512,122.06186,5.0990753
239.94594,122.77438,5.368294
242.61649,123.26886,5.626154
251.23273,124.27527,6.8215275
203.84308,117.513115,9.596045
207.62782,119.04774,9.069936
210.55962,120.75184,8.650084
214.15782,122.32823,8.14297
216.16035,123.58207,7.7887545
220.22359,125.4386,7.240756
222.67543,126.00346,6.8735905
223.55771,124.81704,6.625677
225.87132,125.117355,6.303768
227.83255,125.148834,6.0009766
228.44945,123.86905,5.7659874
231.0208,124.62546,5.4313087
232.72926,124.70262,5.146446
234.38907,125.02225,4.867403
235.74867,124.461655,4.588812
240.1983,124.98374,4.8396015
243.16005,126.07448,4.965149
246.15642,126.974686,5.133074
254.04198,127.9467,6.16588
205.43872,118.90475,9.51362
208.42642,120.669,9.093108
212.13377,122.89017,8.619197
216.14651,124.640335,8.077037
219.71715,126.09412,7.5585346
221.96985,127.81767,7.2086134
225.51436,128.9966,6.7304993
226.4838,128.01764,6.481037
228.88017,128.37405,6.1545715
231.27075,128.70686,5.8252316
232.74483,128.31781,5.5464287
234.71404,128.30684,5.238718
236.44885,128.4032,4.9516697
237.96733,128.32492,4.673151
239.91582,127.97722,4.3533726
243.10194,128.13269,4.4462357
246.40553,129.46104,4.550579
249.46313,130.35123,4.7248745
256.3309,131.25633,5.541504
206.28773,120.319,9.514897
209.94705,122.56585,9.050633
214.1618,124.55089,8.505242
217.49654,126.49581,8.051973
221.15746,128.13188,7.536912
224.42801,130.22017,7.094159
227.7037,131.78087,6.634054
229.2869,130.83665,6.3353214
231.87785,131.67441,6.0066223
234.09068,131.82964,5.68721
235.9379,131.7492,5.3869476
237.51534,131.41249,5.1023426
239.53848,131.7081,4.798235
241.65431,131.59921,4.473135
243.30524,131.73485,4.188347
246.09875,131.39874,4.036585
249.71266,132.94176,4.1221046
252.95764,133.96126,4.285284
259.06763,134.78065,4.947212
206.57568,121.45446,9.561472
210.98921,123.43596,8.995399
214.6965,125.89871,8.539088
219.50914,128.1392,7.93948
222.35878,129.95744,7.527465
226.32527,131.77638,6.9893475
229.4947,134.18709,6.578663
231.64581,133.69147,6.226692
234.04121,134.33807,5.909422
236.52649,134.73158,5.5746307
238.87115,134.94977,5.2418404
240.92421,134.89635,4.926508
242.72458,134.93462,4.6334095
244.54375,135.10757,4.3411884
246.34631,135.29953,4.0457344
248.83354,134.47653,3.6686156
252.66638,135.82196,3.7826693
255.62535,137.04163,3.8875945
261.4304,138.02411,4.384802
207.96011,122.56904,9.483831
211.52866,124.78796,9.02882
215.55447,127.23335,8.534619
220.09096,129.56047,7.9730053
223.36853,131.43948,7.5160284
227.82649,133.8974,6.966216
231.94917,135.81654,6.4150133
233.83136,136.37187,6.1276283
236.59294,137.37325,5.789814
238.98842,137.35754,5.450865
241.42256,137.98415,5.126114
243.26564,137.82715,4.822584
245.29306,138.02248,4.5152454
247.68396,138.54515,4.186611
250.32967,137.71696,3.7944624
251.95671,137.8006,3.5125182
254.9144,138.61035,3.4107172
258.02875,139.78645,3.534859
263.45132,141.03082,3.8423617
208.1409,123.40141,9.677568
212.13828,126.10879,9.051144
217.5088,128.83716,8.424761
220.75734,131.08394,8.002949
225.71802,133.40509,7.386677
228.94655,135.58191,6.9563837
233.59164,137.91547,6.373337
235.7583,137.85622,6.016201
238.19545,139.49649,5.7221622
241.48656,140.05687,5.32675
243.0895,140.14714,5.0516644
245.97748,140.6732,4.685356
248.30507,140.88072,4.3539486
250.97998,141.45323,4.0029736
253.03719,140.75146,3.6637309
255.3613,141.37009,3.3402827
257.472,141.66583,3.0234168
260.6856,142.75914,3.156607
266.0384,144.16199,3.3918211
208.65742,123.87033,9.69057
212.80185,126.74247,9.022942
217.02803,129.45105,8.525013
221.40117,132.18172,8.007182
225.9,134.49658,7.4439106
230.08388,137.15353,6.9363575
234.3292,139.48425,6.3996115
238.18053,141.14566,5.914442
240.64992,141.15088,5.572382
242.69385,142.59123,5.303852
245.67497,143.3485,4.9350147
247.70409,143.27116,4.6218376
250.50856,143.95798,4.265644
253.56471,143.53328,3.856537
255.42049,143.5582,3.5531008
257.9645,144.23111,3.2129862
260.22354,144.77586,2.8917773
263.03677,145.5175,2.7972453
268.28806,146.8975,3.0296443
208.58792,124.47664,9.899109
212.54962,127.484985,9.104396
217.71382,130.78656,8.5394
222.44518,133.24847,7.965811
226.56592,135.81195,7.4601355
231.86563,138.70712,6.8442354
234.943,140.96297,6.4342213
239.69409,143.30527,5.8548965
242.65,143.79977,5.487177
245.57814,144.44626,5.124542
248.21654,144.9165,4.778488
250.94049,145.31956,4.419857
253.44118,145.89165,4.0850754
256.20108,146.61768,3.732424
258.14963,146.6073,3.4206011
260.51794,147.30215,3.0962183
262.69492,147.69083,2.776562
266.334,147.48967,2.652428
270.41934,149.54916,2.6750739
208.18275,124.776596,10.11595
213.15118,128.03061,9.077877
218.41989,131.61098,8.520078
222.7252,134.45068,8.018331
226.76982,137.12097,7.529372
231.63608,139.62086,6.936392
236.98604,142.41531,6.3054647
240.18834,144.4577,5.8593693
243.68419,145.57288,5.455717
247.36383,146.84271,5.0496826
249.83675,147.24423,4.715498
252.74562,147.82483,4.3464737
255.42978,148.52336,4.001047
257.92496,149.01328,3.663214
260.30212,149.30133,3.3249648
