UTS,YS,EL
187.3908,105.3443,10.4787035
189.89343,105.59195,9.98132
191.6022,105.25528,9.488763
199.13728,107.93416,8.968846
202.68715,108.79821,8.427148
205.85995,109.24753,7.9019327
208.93951,109.64685,7.4228106
207.77396,107.50525,7.443101
207.12827,105.59516,7.456296
206.96979,103.934326,7.4566393
207.33224,102.62603,7.430745
208.51352,101.52352,7.4119883
208.86884,100.25068,7.3816767
202.63205,95.94255,7.525277
206.53085,99.23693,7.5100794
211.48752,102.65715,7.488866
210.58302,101.85019,7.70123
219.39725,107.27455,7.633649
225.41638,109.99573,7.776017
190.1304,106.91759,10.464196
192.83592,107.27492,9.966054
198.55539,109.04792,9.456426
201.67764,109.60201,8.939172
204.71835,110.063156,8.409524
208.4771,110.858055,7.8801203
212.13191,111.55313,7.345666
219.58392,113.9922,7.1322756
210.52156,107.74622,7.3358393
210.2543,106.16199,7.324155
209.77957,104.44427,7.3146524
211.17346,103.51404,7.284257
212.23776,102.39665,7.261277
211.40274,100.46713,7.260476
208.6643,100.96583,7.3767138
213.2934,104.2473,7.369565
212.48564,103.61055,7.5625772
220.13,108.34506,7.521043
226.11554,111.12193,7.651494
189.8386,107.0022,10.447896
192.33429,107.24115,9.951222
197.82187,109.139275,9.42241
201.7941,109.89992,8.922589
204.05331,110.10611,8.382398
214.13458,114.014404,7.847165
217.52557,114.63191,7.30824
217.6449,113.265884,7.145589
217.6278,111.90988,7.1192217
216.84892,110.021996,7.1234903
208.04303,103.892685,7.3159304
209.37384,103.009346,7.278039
210.36993,101.936646,7.24767
209.58273,99.93011,7.2543154
207.17334,100.3507,7.3766375
212.1014,103.77384,7.352624
216.09326,106.53253,7.368947
219.42361,108.01225,7.5149317
227.80267,112.91847,7.5026217
189.42049,106.92807,10.439439
194.75238,108.78845,9.9181795
198.95517,109.77963,9.418839
200.82294,109.89015,8.887364
208.73837,112.676605,8.357438
212.13895,113.437904,7.816682
215.5607,114.02687,7.2815485
214.95323,112.411896,7.1472216
213.9139,110.44763,7.1528635
215.91199,109.90895,7.104039
215.31918,107.934784,7.118642
208.04826,102.83743,7.251523
209.2876,101.92145,7.2125597
208.14664,99.47305,7.254838
213.54973,103.92288,7.1633806
210.92752,103.294235,7.338147
216.16174,106.845856,7.322171
218.81,107.78067,7.5001993
228.06282,113.5116,7.427678
188.88083,106.922424,10.420732
194.09502,108.84738,9.889668
197.86734,109.61684,9.391065
199.68347,109.52156,8.874276
207.1347,112.33438,8.3238
210.09418,112.68071,7.797929
215.2338,114.325195,7.2478266
215.0823,112.88631,7.0994883
214.42644,110.97176,7.112912
214.31071,109.611694,7.081666
213.67221,107.660286,7.0923586
214.4557,106.49355,7.0668764
207.42078,101.460495,7.199048
207.45279,99.502846,7.2280054
210.22964,102.83345,7.1703424
209.82043,102.7726,7.3357286
215.39815,106.630196,7.2966623
221.44708,110.542725,7.274678
227.49707,113.44704,7.389817
188.03069,106.86075,10.39417
195.587,109.74524,9.879617
196.85242,109.40899,9.369924
203.35745,111.73535,8.837731
205.41748,111.82789,8.29873
210.51158,113.47776,7.7538385
213.9437,114.02777,7.2231684
213.6083,112.50125,7.091611
213.04391,110.85495,7.078267
212.12552,108.73844,7.102681
212.41684,107.44185,7.073434
213.51468,106.37733,7.047639
214.61972,105.55574,6.9934893
206.59918,99.658676,7.1816072
210.32501,103.14238,7.1267405
214.8307,106.653915,7.095216
213.5777,105.648865,7.3096437
220.71045,110.266495,7.2568026
226.69461,113.01307,7.3920183
190.63054,109.80419,10.266065
195.98076,111.63334,9.748662
198.29077,111.83054,9.238305
199.78094,111.89603,8.696248
208.72641,115.243286,8.162232
210.53923,115.27261,7.6176615
214.85316,116.44844,7.0725718
215.35666,115.39584,6.8320093
214.31929,113.743454,6.8032427
214.52806,112.4832,6.772073
213.5782,110.03433,6.8272524
215.06564,109.691185,6.7350855
213.46176,107.46178,6.7426424
209.6026,103.90671,6.815465
211.10489,105.57072,6.7986917
215.53604,108.88977,6.7827044
214.20659,107.91058,6.9867983
220.9156,112.337776,6.9359674
226.79582,114.97374,7.080323
192.4209,111.9064,10.178224
193.3599,111.76045,9.64689
199.31656,113.80748,9.126061
202.12112,114.51339,8.584519
204.4956,114.83825,8.040727
214.02965,118.7769,7.4826555
215.71881,118.67106,6.936063
218.95241,118.969894,6.5617495
217.02696,116.95747,6.5418596
218.0292,116.091736,6.4949007
216.41617,113.435745,6.550378
218.15071,113.23162,6.4512186
210.45964,107.97793,6.5850077
211.62973,107.17297,6.5254755
212.03769,107.70018,6.5217257
217.84094,111.97713,6.456376
216.45,111.01187,6.653241
221.82648,114.74295,6.6205072
227.73761,117.563095,6.7374773
191.26108,112.3745,10.1067095
195.91006,114.07127,9.567193
198.49535,114.75485,9.030129
205.22682,117.35889,8.486241
207.6339,117.6532,7.9464655
210.82211,118.68762,7.3774157
219.80316,122.05182,6.835294
223.98743,123.19356,6.270261
220.91275,120.63565,6.2707376
222.63712,120.24078,6.1965914
225.92807,120.42039,6.10793
222.74844,117.369316,6.1537485
214.70135,112.00346,6.2880526
215.93753,111.26236,6.227727
217.8814,111.76395,6.18369
221.30048,115.31102,6.1379786
220.47963,115.216995,6.283082
224.24937,117.88286,6.294503
229.12779,120.15083,6.4328127
195.68408,115.244064,10.056642
200.79736,117.311295,9.50744
202.70804,117.67896,8.969132
208.57008,120.06502,8.408578
212.05215,120.88088,7.870366
214.72455,121.73591,7.2954607
217.72868,122.47464,6.7340403
227.46455,126.21924,6.174241
225.02228,124.13997,6.026765
226.09256,123.52942,5.953828
226.26167,121.93048,5.953847
218.78624,117.24509,6.0343103
219.32457,116.08058,5.998681
219.04515,113.93237,6.038129
221.54951,114.85675,5.89013
222.61151,117.48741,5.871537
222.86485,118.23526,5.974187
227.14726,121.1004,5.9931345
230.55962,122.92865,6.100747
198.26178,117.28575,10.000737
199.55539,117.57416,9.450089
205.35522,119.87953,8.903859
207.8382,120.67784,8.344811
215.48358,123.52199,7.8020983
217.81194,124.35244,7.215211
221.71515,125.68671,6.6431246
224.44626,125.986046,6.0892916
225.11473,125.50495,5.8827868
224.46698,124.096466,5.8389025
222.41641,121.38642,5.8849344
223.39319,121.0097,5.7791643
224.29669,120.240685,5.71243
226.99466,120.310555,5.6093035
225.97574,118.37863,5.601327
220.82571,117.8389,5.7229433
225.77524,121.355835,5.6859446
230.22145,124.45915,5.6824427
231.96713,125.482025,5.8031282
198.75793,118.185486,9.96103
204.54648,120.524,9.41792
209.8551,122.860596,8.85027
211.55127,123.40158,8.280816
213.77748,123.99974,7.7103395
222.83272,127.679855,7.1557016
224.96286,128.39409,6.563222
228.2969,129.02538,6.007371
230.46332,129.4503,5.6332827
229.68845,128.14346,5.573697
228.96942,126.45558,5.552926
