UTS,YS,EL
191.768,108.397705,10.557036
192.85161,108.32683,10.042209
193.71342,107.546524,9.598506
194.26077,108.26621,8.897853
195.50424,107.904,8.5379095
195.8953,106.64179,8.35044
196.41324,105.579254,8.130385
196.89948,104.61986,7.87094
197.25095,103.72891,7.580962
197.61581,102.970024,7.2591887
198.32904,102.52577,6.9000387
198.38828,101.93972,6.4900846
199.20964,101.55455,6.1319723
200.42543,98.89792,6.7951612
201.2518,98.164406,7.163642
202.76991,98.13644,7.4596434
210.59828,101.861755,7.7112722
213.435,103.226105,7.8441
221.43674,107.01995,8.060946
192.18983,108.880264,10.534282
193.01717,109.31908,9.92129
193.72285,109.62017,9.304389
194.98033,109.486084,8.791064
196.00092,108.93992,8.3880415
196.48273,107.94213,8.15731
196.91061,106.83438,7.934951
197.35991,108.13546,7.187896
198.06932,105.14218,7.394305
198.79926,104.5628,7.0822935
199.6152,103.94675,6.772727
199.82454,103.50619,6.352084
200.0538,102.97638,5.9471884
201.2675,101.93367,6.1997366
202.54826,99.701805,6.976775
203.28247,98.96039,7.335685
210.17961,101.664566,7.7037153
213.20807,103.118835,7.83887
221.56711,107.08179,8.064578
192.77434,109.24338,10.53461
193.62854,109.56042,9.94163
195.00824,110.21207,9.332553
195.57872,109.903755,8.786014
197.00417,109.34018,8.4377775
197.04092,110.25061,7.740512
197.62106,109.14483,7.537734
198.11627,108.041916,7.309783
199.03877,107.65297,6.9889746
199.69373,106.88914,6.705859
200.55325,104.01365,6.8847494
200.9682,103.67425,6.4698286
201.40332,103.24454,6.0710516
202.40656,102.10377,6.31079
203.67487,99.86456,7.087863
204.75381,99.37236,7.434413
208.3374,100.79559,7.666671
215.11476,104.021164,7.8856535
219.7121,106.20418,8.019774
193.11728,109.43741,10.538047
194.25568,110.65998,9.835895
195.02812,110.57405,9.287032
196.93506,110.46972,8.82405
197.35007,111.16765,8.097182
198.2554,110.31256,7.8887205
198.70798,109.14123,7.6834974
199.61166,108.16496,7.482318
200.37784,107.40386,7.2192106
200.66959,107.19769,6.771682
200.96454,106.25019,6.4640913
202.32742,104.096634,6.5620756
202.84724,103.782135,6.1498938
203.20184,102.17683,6.398875
204.43512,102.252144,6.632724
206.20483,99.774635,7.5328207
208.99359,101.10562,7.681319
216.93114,104.88075,7.9302664
220.15137,106.41214,8.030768
193.82053,109.86031,10.5387335
195.3619,111.16177,9.860488
196.15648,110.96117,9.330447
197.58553,110.54396,8.871417
198.6484,111.426926,8.211932
199.03848,110.09151,8.040088
199.92706,109.793655,7.708476
200.62811,108.79083,7.486644
200.9799,107.897736,7.1974363
202.08429,107.575714,6.880355
202.5075,106.68949,6.576743
202.94418,106.21192,6.193881
204.19046,104.04709,6.2736807
204.19055,102.57434,6.436942
206.16263,102.338936,6.841399
207.80096,100.51318,7.5711584
210.57497,101.85264,7.7162237
213.82272,103.41008,7.854987
222.25888,107.40955,8.082648
194.7955,110.43942,10.539512
195.54468,111.73184,9.799804
197.05383,111.22666,9.371734
198.16116,111.98877,8.712577
199.64769,111.4559,8.339313
200.56042,111.190155,8.010463
200.87994,109.94586,7.804221
201.65645,108.980446,7.5838118
202.56947,108.43624,7.295005
202.80591,107.39367,7.015971
203.64836,107.00538,6.6626997
203.91393,106.51621,6.2599974
204.86414,106.41262,5.8599157
205.73294,103.25175,6.483329
207.02643,102.900665,6.824538
208.14943,102.428894,7.1721983
212.75047,102.87936,7.7615004
216.06755,104.47245,7.910163
224.28659,108.369125,8.132377
