UTS,YS,EL
188.4923,103.17018,10.548704
189.21123,103.22224,10.162746
191.10529,103.86068,9.72139
194.78464,107.14104,8.978067
197.82655,108.941154,8.433476
200.36684,110.32443,7.9038167
203.15193,111.96717,7.3464513
202.6873,109.00155,7.292547
201.81621,105.55528,7.2867126
201.20093,102.449745,7.23911
201.03964,99.752014,7.1517425
200.89111,97.46629,6.987743
201.93054,96.64623,6.823947
202.4714,95.57776,7.0193586
204.8446,97.11966,6.6508703
209.67319,99.49816,6.706336
214.5805,99.849144,7.7000566
225.43074,104.89095,8.045939
236.38908,108.329025,8.996189
190.0905,104.931145,10.386839
190.33742,104.72044,10.017459
193.4949,107.20613,9.371444
196.1478,108.67954,8.855972
198.78705,110.09461,8.33425
201.5731,111.79095,7.7749915
204.2993,113.40377,7.216261
209.05194,118.01876,6.311165
204.11613,108.43916,7.011605
203.66869,105.374016,6.9787884
203.14137,102.08325,6.962821
203.19922,100.013176,6.782977
203.31715,98.03573,6.614745
205.33772,98.83691,6.4386654
206.35493,98.441414,6.4936056
210.75447,100.607155,6.515483
215.90292,101.120735,7.4996758
226.0689,105.741234,7.8726845
236.91306,108.96493,8.878529
190.3425,105.01569,10.408268
190.59431,104.75466,10.0457
194.13579,107.41917,9.414282
196.60251,109.00201,8.853844
199.29175,110.24209,8.372475
203.65263,114.592995,7.491551
206.41304,116.158516,6.9459624
208.57437,116.87629,6.480216
208.39041,114.10607,6.429468
207.62975,110.62757,6.438607
202.87589,101.152145,7.118189
203.03746,99.11249,6.945857
203.70013,97.88369,6.755015
205.60349,98.63324,6.572648
206.61504,98.2351,6.627345
211.26782,100.56965,6.640979
217.60828,103.04327,7.133292
226.54625,105.625374,8.016476
237.50694,110.27538,8.527076
190.38097,104.931366,10.435724
191.86794,106.19191,9.923831
194.5451,107.985886,9.358483
197.2147,109.134895,8.908591
200.94122,112.514854,8.13662
203.90201,114.22399,7.597768
206.58797,115.75306,7.049766
208.1685,115.42011,6.723071
207.35646,111.82336,6.7558975
207.79178,110.303185,6.528392
206.88185,106.74778,6.51445
203.2505,98.638885,7.0725803
204.32007,98.00313,6.847207
205.73616,98.42867,6.6783686
208.88283,100.767784,6.18433
211.74939,100.51282,6.7671347
218.17787,103.39007,7.123557
227.05664,105.582245,8.140896
238.06404,110.79032,8.45859
190.57253,104.90525,10.474622
192.39867,106.35257,9.963089
194.95384,107.95793,9.418548
197.27745,108.876854,8.96925
201.36105,112.35775,8.223422
203.85732,113.661224,7.70246
207.33498,116.14123,7.0729237
208.90823,115.91356,6.723957
208.03255,112.46135,6.7190084
207.90228,109.64443,6.6784534
207.04607,106.0973,6.6705046
206.94237,103.6567,6.543996
204.70102,97.850655,6.9871607
206.18872,98.538345,6.737654
209.12378,100.25645,6.4263706
212.04019,100.37856,6.881361
218.69429,103.467896,7.2056007
227.83885,107.5702,7.583214
238.80165,110.90383,8.574243
190.78313,104.80485,10.534538
193.0442,107.16325,9.88995
195.23051,107.86741,9.473864
198.94301,110.89455,8.784612
201.55504,112.031166,8.313756
205.02707,114.510284,7.690484
207.62903,115.993065,7.1413045
208.81999,115.19592,6.85994
208.3604,112.0231,6.853725
207.27348,108.30104,6.867775
207.15446,105.59676,6.7886066
207.10048,103.3296,6.6338806
207.4712,101.27226,6.487628
206.94643,98.77755,6.815442
209.7188,100.60476,6.4285965
213.999,102.82871,6.367719
218.78282,103.07454,7.373729
228.47942,107.52193,7.737114
239.25189,110.71475,8.738951
194.66667,107.95072,10.4137
196.22876,109.27167,9.892891
198.69969,110.43663,9.42367
201.53221,111.58788,8.995163
205.6077,115.46544,8.170311
208.27267,116.56741,7.7123413
211.43591,118.636635,7.1218667
212.98997,118.38586,6.7752137
212.6982,115.08552,6.818101
212.61198,112.44629,6.74716
211.03915,108.36228,6.7528906
212.04378,106.86976,6.5831156
211.09627,102.82316,6.6630106
211.9447,102.01634,6.7111278
214.2959,103.24247,6.4549437
217.96263,105.20785,6.3157024
222.9028,105.51954,7.330367
231.72334,109.56909,7.682236
242.45172,112.68209,8.703749
197.4871,110.21757,10.334032
198.12605,109.780365,10.050155
201.62236,112.54634,9.393989
204.7635,114.2457,8.8971815
207.58638,115.602974,8.411339
212.35854,120.06788,7.562372
214.90738,121.05688,7.103006
217.58586,122.66318,6.528128
217.03313,118.8066,6.6483393
217.29942,116.73596,6.5105724
215.63005,112.28797,6.578034
216.77391,110.994865,6.3863688
213.29204,102.998825,6.9649367
215.94458,104.527275,6.6590004
218.12373,105.505486,6.4565697
221.67047,107.89674,6.089237
226.72243,108.25077,7.1119647
234.38284,111.71969,7.4660625
245.39903,115.009766,8.484415
198.7079,110.67762,10.429598
200.65833,112.05084,9.937502
203.83296,113.73033,9.460028
207.89632,117.039825,8.762397
210.6401,118.3592,8.273667
214.23254,120.4128,7.750543
218.36653,124.324455,6.918514
221.6619,126.410706,6.3251705
221.68646,123.24627,6.3774595
222.46518,121.802376,6.1813273
223.66832,121.24131,5.845498
221.92474,116.05367,6.0567217
218.15736,107.48878,6.6844797
219.77077,107.389885,6.4467764
222.29887,108.91073,6.1136103
225.17728,110.67247,5.785883
230.73822,111.53534,6.725528
237.4343,114.218956,7.185959
247.57199,117.18111,8.157897
201.8207,113.846214,10.177368
203.33807,115.03908,9.705346
206.37807,116.454735,9.262249
210.61574,119.64426,8.61056
213.60081,121.40107,8.068386
217.20435,123.32555,7.571988
220.42963,125.0875,7.0498133
224.86798,129.35611,6.1717415
225.96149,127.57848,6.078034
226.62912,125.77285,5.94053
226.04913,122.76626,5.8614697
223.18169,115.00242,6.453433
223.19153,112.49585,6.351113
222.23091,109.28847,6.279509
226.07712,111.67183,5.9220266
228.66423,112.85771,5.729326
234.18404,114.098946,6.4902806
240.57133,116.75658,6.8977356
250.03358,119.53463,7.8264027
204.2439,116.07142,10.041006
204.56517,115.49361,9.787843
208.63216,118.580315,9.143651
212.14001,120.42577,8.668449
216.1371,123.912056,7.912358
219.92534,125.85752,7.435735
223.64075,128.16707,6.8712964
