Alloy_ID,PH_Al,PH_Sum(Al_2/Si),PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
1,0.75024,0.23557,0.0047,0,4,0
2,0.71472,0.27365,0.00546,0,4.5,0
3,0.67857,0.31435,0.00628,0,5,0
4,0.64131,0.34284,0.00685,0,5.5,0
5,0.60353,0.38125,0.00761,0,6,0
6,0.56565,0.4207,0.0084,0,6.5,0
7,0.52722,0.45975,0.00918,0,7,0
8,0.48776,0.49878,0.00996,0,7.5,0
9,0.44841,0.53673,0.01072,0,8,0
10,0.40861,0.57419,0.01147,0,8.5,0
11,0.36758,0.61196,0.01222,0,9,0
12,0.3269,0.64776,0.01294,0,9.5,0
13,0.28582,0.68561,0.01369,0,10,0
14,0.24399,0.73667,0.01471,0,10.5,0
15,0.2021,0.77213,0.01542,0,11,0
16,0.15981,0.80728,0.01612,0,11.5,0
17,0.1167,0.85818,0.01714,0,12,0
18,0.07367,0.89282,0.01783,0,12.5,0
19,0.03089,0.94231,0.01882,0,13,0
21,0.75038,0.22898,0.00456,0,4,0.01
22,0.71486,0.26652,0.00531,0,4.5,0.01
23,0.67822,0.29848,0.00595,0,5,0.01
24,0.64147,0.3366,0.00671,0,5.5,0.01
25,0.6037,0.37617,0.0075,0,6,0.01
26,0.56583,0.41419,0.00826,0,6.5,0.01
27,0.52741,0.45319,0.00904,0,7,0.01
28,0.4874,0.47756,0.00952,0,7.5,0.01
29,0.4486,0.5304,0.01058,0,8,0.01
30,0.40881,0.56816,0.01133,0,8.5,0.01
31,0.36779,0.60748,0.01211,0,9,0.01
32,0.32713,0.6429,0.01282,0,9.5,0.01
33,0.28605,0.67932,0.01355,0,10,0.01
34,0.24363,0.72064,0.01437,0,10.5,0.01
35,0.20234,0.76719,0.0153,0,11,0.01
36,0.16007,0.8026,0.01601,0,11.5,0.01
37,0.11696,0.85331,0.01702,0,12,0.01
38,0.07394,0.88878,0.01773,0,12.5,0.01
39,0.03117,0.93861,0.01872,0,13,0.01
41,0.75051,0.22936,0.00456,0,4,0.02
42,0.71501,0.2674,0.00532,0,4.5,0.02
43,0.67837,0.29984,0.00596,0,5,0.02
44,0.64163,0.33604,0.00669,0,5.5,0.02
45,0.60387,0.37735,0.00751,0,6,0.02
46,0.56548,0.40139,0.00799,0,6.5,0.02
47,0.52705,0.44097,0.00878,0,7,0.02
48,0.48759,0.48097,0.00958,0,7.5,0.02
49,0.44825,0.51788,0.01031,0,8,0.02
50,0.40846,0.55657,0.01108,0,8.5,0.02
51,0.36801,0.61056,0.01216,0,9,0.02
52,0.32735,0.64612,0.01287,0,9.5,0.02
53,0.28628,0.68268,0.0136,0,10,0.02
54,0.24387,0.72386,0.01442,0,10.5,0.02
55,0.20259,0.77039,0.01535,0,11,0.02
56,0.16032,0.80555,0.01605,0,11.5,0.02
57,0.11661,0.84481,0.01683,0,12,0.02
58,0.07421,0.89208,0.01778,0,12.5,0.02
59,0.03083,0.93076,0.01855,0,13,0.02
61,0.75065,0.23007,0.00457,0,4,0.03
62,0.71467,0.26205,0.0052,0,4.5,0.03
63,0.67853,0.29693,0.0059,0,5,0.03
64,0.64179,0.33792,0.00671,0,5.5,0.03
65,0.60351,0.36685,0.00729,0,6,0.03
66,0.56565,0.40568,0.00806,0,6.5,0.03
67,0.52724,0.44515,0.00885,0,7,0.03
68,0.48779,0.48595,0.00966,0,7.5,0.03
69,0.44845,0.52471,0.01043,0,8,0.03
70,0.40867,0.55823,0.0111,0,8.5,0.03
71,0.36765,0.59762,0.01189,0,9,0.03
72,0.32757,0.64854,0.0129,0,9.5,0.03
73,0.28651,0.68471,0.01362,0,10,0.03
74,0.24411,0.72638,0.01446,0,10.5,0.03
75,0.20224,0.75822,0.01509,0,11,0.03
76,0.16057,0.80856,0.01609,0,11.5,0.03
77,0.11687,0.84446,0.01681,0,12,0.03
78,0.07448,0.89495,0.01782,0,12.5,0.03
79,0.0311,0.92915,0.0185,0,13,0.03
81,0.75079,0.23108,0.00458,0,4,0.04
82,0.71481,0.26332,0.00521,0,4.5,0.04
83,0.67868,0.29915,0.00593,0,5,0.04
84,0.64196,0.34028,0.00675,0,5.5,0.04
85,0.60368,0.37021,0.00734,0,6,0.04
86,0.56578,0.41009,0.00814,0,6.5,0.04
87,0.52743,0.44553,0.00884,0,7,0.04
88,0.48798,0.48567,0.00964,0,7.5,0.04
89,0.44865,0.52362,0.0104,0,8,0.04
90,0.40887,0.56117,0.01114,0,8.5,0.04
91,0.36787,0.60067,0.01193,0,9,0.04
92,0.32722,0.63722,0.01266,0,9.5,0.04
93,0.28674,0.68806,0.01367,0,10,0.04
94,0.24435,0.72755,0.01447,0,10.5,0.04
95,0.20249,0.76434,0.01519,0,11,0.04
96,0.16082,0.8112,0.01613,0,11.5,0.04
